sequence,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBarBFn?BTqB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFxgBmiB/qBarBFn?B0pB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFlgBanBziB2pBXm?BRvB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBanBziBFmB3l?BRvB,v115@GhA8IeA8EeA8AeD8DeE8Jex/IvhFXhBmiBypBFnBzq?B0pB,v115@GhA8IeA8EeA8AeD8DeE8JeUBJvhFRiB/pBFlBinBzq?BmpB,v115@GhA8IeA8EeA8AeD8DeE8JeT/IvhFRiB/qBFmBinB0p?BmqB,v115@GhA8IeA8EeA8AeD8DeE8Je0/IvhFxgBmiB/pBFnBiq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8Je2EJvhFRgBanBziB1qB0p?BXrB,v115@GhA8IeA8EeA8AeD8DeE8JeOEJvhF8kBRiBFmBinBXq?BzqB,v115@GhA8IeA8EeA8AeD8DeE8JeRCJvhFTkB/qBFmBinB0p?BmqB
TILJSZO,O,O,O,O,X,X,O,O,X,O,X
TILJSOZ,O,O,O,O,X,X,X,O,X,X,O
TILJZSO,O,O,O,O,X,X,X,O,X,X,X
TILJZOS,O,O,O,O,X,X,X,X,X,X,X
TILJOSZ,O,O,O,O,O,X,X,O,X,X,X
TILJOZS,O,X,O,O,O,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,O,O,X,O,X
TILSJOZ,O,O,O,O,X,X,X,O,X,X,O
TILSZJO,O,O,O,O,X,X,O,O,X,O,X
TILSZOJ,O,O,O,O,X,X,O,O,X,O,O
TILSOJZ,O,O,O,O,X,X,X,O,X,X,O
TILSOZJ,O,O,O,O,X,X,O,O,X,O,O
TILZJSO,O,O,X,O,X,X,X,O,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,O,O,X,O,X
TILZSOJ,O,O,X,O,X,X,O,O,X,O,O
TILZOJS,O,O,X,O,X,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,X,X,X
TILOJSZ,O,O,O,O,O,X,X,O,X,X,X
TILOJZS,O,X,O,O,O,X,X,X,X,X,X
TILOSJZ,O,O,O,O,O,X,X,O,X,X,O
TILOSZJ,O,O,O,O,O,X,O,O,X,O,O
TILOZJS,O,X,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X,O,X,X,X
TIJLSOZ,O,O,O,O,X,X,X,O,X,X,X
TIJLZSO,O,O,O,O,X,X,X,O,X,X,X
TIJLZOS,O,O,O,O,X,X,X,X,X,X,X
TIJLOSZ,O,O,O,O,O,X,X,O,X,X,X
TIJLOZS,O,X,O,O,O,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,X,O,X,X,X
TIJSLOZ,O,O,O,O,O,X,X,O,X,X,X
TIJSZLO,O,O,O,O,X,X,X,O,X,X,X
TIJSZOL,O,O,O,O,O,X,X,O,X,X,X
TIJSOLZ,O,X,O,O,O,X,X,X,X,X,X
TIJSOZL,O,O,O,O,O,X,X,O,X,X,X
TIJZLSO,O,O,O,O,X,X,X,O,X,X,X
TIJZLOS,O,O,O,O,X,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,O,X,X,X
TIJZSOL,O,O,O,O,X,X,X,O,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X,X,X,X
TIJZOSL,O,O,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,O,O,X,X,O,X,X,X
TIJOLZS,O,X,O,O,O,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,O,X,X,X,X,X,X
TIJOSZL,O,O,O,O,O,X,X,O,X,X,X
TIJOZLS,X,O,O,O,X,X,X,X,X,X,X
TIJOZSL,O,O,O,O,X,X,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,O,O,X,O,X
TISLJOZ,O,O,O,O,O,X,X,O,X,X,O
TISLZJO,O,O,O,O,X,X,O,O,X,O,X
TISLZOJ,O,O,O,O,X,X,O,O,X,O,O
TISLOJZ,O,O,O,O,X,X,X,O,X,X,O
TISLOZJ,O,O,O,O,X,X,O,O,X,O,O
TISJLZO,O,O,O,O,X,X,X,O,X,X,X
TISJLOZ,O,O,O,O,O,X,X,O,X,X,X
TISJZLO,O,O,O,O,X,X,X,O,X,X,X
TISJZOL,O,O,O,O,O,X,X,O,X,X,X
TISJOLZ,O,X,O,O,O,X,X,X,X,X,X
TISJOZL,O,O,O,O,O,X,X,O,X,X,X
TISZLJO,O,O,O,O,X,X,O,O,X,O,X
TISZLOJ,O,O,O,O,X,X,O,O,X,O,X
TISZJLO,O,O,O,O,X,X,X,O,X,O,X
TISZJOL,O,O,O,O,O,X,X,O,X,X,X
TISZOLJ,O,O,O,O,X,X,O,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,O,X,X,X
TISOLJZ,O,X,O,O,O,X,X,X,X,X,O
TISOLZJ,O,X,O,O,O,X,X,X,X,X,O
TISOJLZ,O,X,O,O,O,X,X,X,X,X,X
TISOJZL,O,O,O,O,O,X,X,O,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X,X,X,X
TISOZJL,O,O,O,O,O,X,X,O,X,X,X
TIZLJSO,O,O,X,O,X,X,X,O,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,O,X,X,X,O,X,X,X
TIZLSOJ,O,O,X,O,X,X,X,O,X,X,X
TIZLOJS,O,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,X,O,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,X,O,X,X,X
TIZJSOL,O,O,X,O,X,X,X,O,X,X,X
TIZJOLS,X,O,X,O,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,X,O,X,X,X
TIZSLOJ,X,O,X,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,O,X,X,X,O,X,X,X
TIZSJOL,O,O,X,O,X,X,X,O,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,X,X,X
TIZSOJL,O,O,X,O,X,X,X,O,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,O,X,X,X,X,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,O,X,X,X,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,O,O,X,X,O,X,X,X
TIOLJZS,O,X,O,O,O,X,X,X,X,X,X
TIOLSJZ,O,O,O,O,O,X,X,O,X,X,X
TIOLSZJ,O,O,O,O,O,X,X,O,X,X,X
TIOLZJS,O,X,X,O,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,O,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,O,X,X,O,X,X,X
TIOJLZS,O,X,O,O,O,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,O,X,X,X,X,X,X
TIOJSZL,O,O,O,O,O,X,X,O,X,X,X
TIOJZLS,X,O,O,O,X,X,X,X,X,X,X
TIOJZSL,O,O,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,O,O,X,X,X,X,X,X
TIOSLZJ,O,X,O,O,O,X,X,X,X,X,X
TIOSJLZ,O,X,O,O,O,X,X,X,X,X,X
TIOSJZL,O,O,O,O,O,X,X,O,X,X,X
TIOSZLJ,O,O,O,O,X,X,X,X,X,X,X
TIOSZJL,O,O,O,O,O,X,X,O,X,X,X
TIOZLJS,X,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,O,X,O,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,O,X,O,X,X,X,X,X,X,X
TLIJSZO,O,O,O,O,X,X,O,O,X,O,X
TLIJSOZ,O,O,O,O,X,X,X,O,X,X,O
TLIJZSO,O,O,O,O,X,X,X,O,X,X,X
TLIJZOS,O,O,O,O,X,X,X,X,X,X,X
TLIJOSZ,O,O,O,O,O,X,X,O,X,X,X
TLIJOZS,O,X,O,O,O,X,X,X,X,X,X
TLISJZO,O,O,O,O,X,X,O,O,X,O,X
TLISJOZ,O,O,O,O,X,X,X,O,X,X,O
TLISZJO,O,O,O,O,X,X,O,O,X,O,X
TLISZOJ,O,O,O,O,X,X,O,O,X,O,O
TLISOJZ,O,O,O,O,X,O,X,O,X,X,O
TLISOZJ,O,O,O,O,X,O,O,O,X,O,O
TLIZJSO,O,O,X,O,X,X,X,O,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,O,O,X,O,X
TLIZSOJ,O,O,X,O,X,X,O,O,X,O,O
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,O,X,O,O,X,X,X,X
TLIOJSZ,O,O,O,O,O,X,X,O,X,X,X
TLIOJZS,O,X,O,O,O,X,X,X,X,X,X
TLIOSJZ,O,O,O,O,O,O,X,O,X,X,O
TLIOSZJ,O,O,O,O,O,O,O,O,X,O,O
TLIOZJS,O,X,X,O,O,X,X,X,X,X,X
TLIOZSJ,O,X,X,O,O,O,X,X,X,X,X
TLJISZO,O,O,O,O,X,X,O,O,X,O,X
TLJISOZ,O,O,O,O,X,X,X,O,X,X,O
TLJIZSO,O,O,O,O,X,X,X,O,X,X,X
TLJIZOS,O,O,O,O,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,O,O,X,X,O,X,X,X
TLJIOZS,O,X,O,O,O,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,O,O,X,O,X
TLJSIOZ,O,O,O,X,O,X,X,O,X,X,O
TLJSZIO,O,O,O,X,X,X,O,O,X,O,X
TLJSZOI,O,O,O,X,X,X,O,O,X,O,X
TLJSOIZ,O,O,O,X,O,X,X,O,X,X,O
TLJSOZI,O,O,O,X,O,X,X,O,X,X,O
TLJZISO,O,O,O,X,X,X,X,O,X,X,X
TLJZIOS,O,O,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,X,X,X,O,X,X,X
TLJZSOI,O,O,O,X,X,X,X,O,X,X,X
TLJZOIS,O,O,O,X,O,X,X,X,X,X,X
TLJZOSI,O,O,O,X,O,X,X,X,X,X,X
TLJOISZ,O,O,O,O,O,X,X,O,X,X,X
TLJOIZS,O,X,O,O,O,X,X,X,X,X,X
TLJOSIZ,O,O,O,X,O,X,X,O,X,X,X
TLJOSZI,O,O,O,X,O,X,X,O,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X,X,X,X
TLJOZSI,O,X,O,X,O,X,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X,O,O,X,O,X
TLSIJOZ,O,O,O,O,O,X,X,O,X,X,O
TLSIZJO,O,O,O,O,X,X,O,O,X,O,X
TLSIZOJ,O,O,O,O,X,X,O,O,X,O,O
TLSIOJZ,O,O,O,O,X,O,X,O,X,X,O
TLSIOZJ,O,O,O,O,X,O,O,O,X,O,O
TLSJIZO,O,O,O,X,X,X,O,O,X,O,X
TLSJIOZ,O,O,O,X,O,X,X,O,X,X,O
TLSJZIO,O,O,O,X,X,X,O,O,X,O,X
TLSJZOI,O,O,O,X,X,X,O,O,X,O,X
TLSJOIZ,O,O,O,X,O,X,X,O,X,X,O
TLSJOZI,O,O,O,X,O,X,X,O,X,X,O
TLSZIJO,O,O,O,X,X,X,O,O,X,O,X
TLSZIOJ,O,O,O,X,X,X,O,O,X,O,O
TLSZJIO,O,O,O,X,X,X,O,O,X,O,X
TLSZJOI,O,O,O,X,X,X,O,O,X,O,X
TLSZOIJ,O,O,O,X,X,X,O,O,X,O,O
TLSZOJI,O,O,O,X,X,X,O,O,X,O,O
TLSOIJZ,O,O,O,O,O,O,X,O,X,X,O
TLSOIZJ,O,O,O,O,O,O,O,O,X,O,O
TLSOJIZ,O,O,O,X,O,O,X,O,X,X,O
TLSOJZI,O,O,O,X,O,O,X,O,X,X,O
TLSOZIJ,O,O,O,X,O,O,O,O,X,O,O
TLSOZJI,O,O,O,X,O,O,O,O,X,O,O
TLZIJSO,O,O,X,O,X,X,X,O,O,X,X
TLZIJOS,O,O,X,O,X,X,X,X,O,X,X
TLZISJO,O,O,X,O,X,X,O,O,O,O,X
TLZISOJ,O,O,X,O,X,X,O,O,O,O,O
TLZIOJS,O,O,X,O,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,O,X,O,O,X,O,X,X
TLZJISO,O,O,X,X,X,X,X,O,O,X,X
TLZJIOS,O,O,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,X,X,X,X,X,O,O,X,X
TLZJSOI,O,O,X,X,X,X,X,O,O,X,X
TLZJOIS,O,O,X,X,O,X,X,X,O,X,X
TLZJOSI,O,O,X,X,O,X,X,X,O,X,X
TLZSIJO,O,O,X,X,X,X,O,O,O,O,X
TLZSIOJ,O,O,X,X,X,X,O,O,O,O,O
TLZSJIO,O,O,X,X,X,X,O,O,O,O,X
TLZSJOI,O,O,X,X,X,X,O,O,O,O,X
TLZSOIJ,O,O,X,X,X,X,O,O,O,O,O
TLZSOJI,O,O,X,X,X,X,O,O,O,O,O
TLZOIJS,O,O,X,O,O,X,X,X,O,X,X
TLZOISJ,O,X,X,O,O,O,O,X,O,X,X
TLZOJIS,O,O,X,X,O,X,X,X,O,X,X
TLZOJSI,O,O,X,X,O,X,X,X,O,X,X
TLZOSIJ,O,O,X,X,O,O,O,X,O,X,X
TLZOSJI,O,O,X,X,O,O,O,X,O,X,X
TLOIJSZ,O,O,O,O,O,X,X,O,X,X,X
TLOIJZS,O,X,O,O,O,X,X,X,X,X,X
TLOISJZ,O,O,O,O,O,O,X,O,X,X,O
TLOISZJ,O,O,O,O,O,O,O,O,X,O,O
TLOIZJS,O,X,X,O,O,X,X,X,X,X,X
