sequence,v115@HhB8HeA8HeG8BeB8Jex/IvhFcnBTjBVqBGmBimB3sB,v115@HhB8HeA8HeG8BeB8Jex/IvhF3iBcoBVqBGmBimBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF0hBSoBXlBVrBmnBTsB,v115@HhB8HeA8HeG8BeB8Jex/IvhF2mBliBcoBXlBSrBTsB,v115@HhB8HeA8HeG8BeB8Je/FJvhFamBumBxnB0kBFoBTsB,v115@HhB8HeA8HeG8BeB8JeRCJvhFSoBmlBzmB0kBllB3sB,v115@HhB8HeA8HeG8BeB8JeRCJvhFcoBmlBCnBlkB3lBTsB,v115@HhB8HeA8HeG8BeB8JeqGJvhFllBxnB0kBmlBXoBTsB
TILJSZO,O,X,X,X,O,X,X,O
TILJSOZ,O,X,X,X,O,X,X,O
TILJZSO,X,O,X,X,X,X,X,O
TILJZOS,X,O,X,X,X,X,X,O
TILJOSZ,O,X,X,X,X,X,X,O
TILJOZS,X,O,X,X,X,X,X,O
TILSJZO,O,X,O,X,O,X,X,O
TILSJOZ,O,X,X,X,O,X,X,O
TILSZJO,O,X,O,X,X,X,X,O
TILSZOJ,O,X,O,X,X,X,X,O
TILSOJZ,O,X,X,X,X,X,X,O
TILSOZJ,O,X,O,X,X,X,X,O
TILZJSO,X,O,X,X,X,X,X,O
TILZJOS,X,O,X,X,X,X,X,O
TILZSJO,X,O,O,X,X,X,X,O
TILZSOJ,X,X,O,X,X,X,X,O
TILZOJS,X,O,X,X,X,X,X,O
TILZOSJ,X,O,X,X,X,X,X,O
TILOJSZ,O,X,X,X,X,X,X,O
TILOJZS,X,O,X,X,X,X,X,O
TILOSJZ,O,X,X,X,X,X,X,O
TILOSZJ,O,X,X,X,X,X,X,O
TILOZJS,X,O,X,X,X,X,X,O
TILOZSJ,X,O,X,X,X,X,X,O
TIJLSZO,O,X,X,X,O,X,X,O
TIJLSOZ,O,X,X,X,O,X,X,O
TIJLZSO,X,O,X,X,X,X,X,O
TIJLZOS,X,O,X,X,X,X,X,O
TIJLOSZ,O,X,X,X,X,X,X,O
TIJLOZS,X,O,X,X,X,X,X,O
TIJSLZO,O,X,X,X,O,X,X,X
TIJSLOZ,O,X,X,X,O,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X
