sequence,v115@GhC8FeD8FeC8GeB8Jex/IvhF0hBliBmlBXqBSwBTsB,v115@GhC8FeD8FeC8GeB8Jex/IvhFlhB3iBeqBCrBTsBUrB,v115@GhC8FeD8FeC8GeB8Jex/IvhFOmBliBzmB0qBSxBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFThBiiB+sB0qBlrBXqB,v115@GhC8FeD8FeC8GeB8Jex/IvhFKmBzhBunB0qBVxBXqB,v115@GhC8FeD8FeC8GeB8JeRBJvhF3iBOqB0mBzqBSxBlpB,v115@GhC8FeD8FeC8GeB8JeTAJvhFlhB3iByqBGsB0pBRwB,v115@GhC8FeD8FeC8GeB8JeRCJvhF/qBFmB6sBzrB0pBmqB
TILJSZO,O,X,X,X,X,X,O,X
TILJSOZ,X,X,X,O,O,X,O,X
TILJZSO,O,X,O,O,O,X,O,X
TILJZOS,O,X,O,O,O,X,O,X
TILJOSZ,O,X,O,O,O,X,O,X
TILJOZS,O,X,O,O,O,X,O,X
TILSJZO,O,X,X,X,X,X,O,X
TILSJOZ,O,X,X,X,O,X,O,X
TILSZJO,O,X,O,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,X
TILSOJZ,O,X,O,X,O,X,O,X
TILSOZJ,O,X,X,X,X,X,X,X
TILZJSO,O,X,O,O,O,X,O,X
TILZJOS,O,X,O,O,O,X,O,X
TILZSJO,O,X,O,X,O,X,X,X
TILZSOJ,X,X,O,X,O,X,X,X
TILZOJS,O,X,O,X,O,X,O,X
TILZOSJ,X,X,O,X,O,X,X,X
TILOJSZ,O,O,O,X,O,X,O,X
TILOJZS,O,X,O,X,O,X,O,X
TILOSJZ,O,O,O,X,O,X,O,O
TILOSZJ,O,O,X,X,X,X,X,O
TILOZJS,O,X,O,X,O,X,O,X
TILOZSJ,O,O,O,X,O,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X
TIJLSOZ,X,X,X,O,O,X,O,X
TIJLZSO,O,X,O,O,O,X,O,X
TIJLZOS,O,X,O,O,O,X,O,X
TIJLOSZ,X,O,O,O,O,X,O,X
TIJLOZS,O,O,O,O,O,X,O,X
TIJSLZO,O,X,X,X,X,X,O,X
TIJSLOZ,O,O,X,O,O,X,O,X
TIJSZLO,O,X,X,X,O,X,O,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,O,O,X,O,X,X,O,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,X,X,O,O,O,X,O,X
TIJZLOS,X,X,O,O,O,X,O,X
TIJZSLO,X,X,O,O,O,X,O,X
TIJZSOL,X,X,X,O,X,X,X,X
TIJZOLS,X,X,O,O,O,X,X,X
TIJZOSL,X,X,X,O,X,X,X,X
TIJOLSZ,O,O,X,O,O,X,O,X
TIJOLZS,O,O,X,O,O,X,O,X
TIJOSLZ,O,O,X,O,X,X,O,X
