sequence,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiB6oBuqBzn?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBOnB6oB8q?BzsB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFxgBXiBuqBCoBTo?BlrB,v115@HhA8IeC8GeC8AeA8AeD8Jel/IvhF3gB5mBKnBziB+o?B8qB,v115@HhA8IeC8GeC8AeA8AeD8Je0/IvhFXhBxiBGnBToB6q?BlrB
TJIZLSO,O,O,O,O,X
TJIZLOS,X,X,X,O,X
TJIZSLO,O,O,O,O,X
TJIZSOL,O,O,X,X,X
TJIZOLS,O,O,X,X,X
TJIZOSL,O,O,X,X,X
TJIOLSZ,O,X,X,X,X
TJIOLZS,O,O,X,X,X
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,X,X,X,X
TJIOZLS,O,O,X,X,X
TJIOZSL,O,O,X,X,X
TJLISZO,O,X,O,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,O,O,O,O,X
TJLIZOS,X,X,X,O,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,X,O,X
TJLSIZO,O,X,O,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,O,X,O,X,X
TJLSZOI,X,X,O,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,O,O,O,O,X
TJLZIOS,X,X,X,O,X
TJLZSIO,O,O,O,O,X
TJLZSOI,X,X,O,O,X
TJLZOIS,X,X,X,O,X
TJLZOSI,X,X,X,O,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,X,O,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,X,O,X
TJLOZSI,X,X,X,O,X
TJSILZO,O,X,O,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,O,X,O,X,X
TJSIZOL,O,X,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,O,X,O,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,O,X,O,X,X
TJSLZOI,X,X,O,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,O,X,O,X,X
TJSZIOL,O,X,X,X,X
TJSZLIO,O,X,O,X,X
TJSZLOI,X,X,O,X,X
