sequence,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBmiB?5oBXlBtsBzrB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?doB5oBGsBXsB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeqEJvhFTgB0hB?xiB3nB9tBWxB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeGAJvhF0hBxiB?zkB9tBCsB3sB,v115@9gA8IeA8CeA8EeA8BeB8EeE8CeA8KeCAJvhF0hBdoB?5oBXlBTnBWxB
ITLOSZJ,O,O,O,O,X
ITLOZJS,O,O,O,O,X
ITLOZSJ,O,O,O,O,X
ITJLSZO,O,O,O,O,O
ITJLSOZ,O,O,O,X,O
ITJLZSO,O,O,O,O,O
ITJLZOS,X,O,O,O,X
ITJLOSZ,X,O,O,O,X
ITJLOZS,X,O,O,O,X
ITJSLZO,O,O,O,O,O
ITJSLOZ,O,O,O,X,O
ITJSZLO,O,O,O,O,O
ITJSZOL,O,X,O,O,O
ITJSOLZ,O,X,O,X,O
ITJSOZL,O,X,O,X,O
ITJZLSO,O,O,O,O,O
ITJZLOS,X,O,O,O,X
ITJZSLO,O,O,O,O,O
ITJZSOL,O,X,O,O,O
ITJZOLS,X,O,O,O,X
ITJZOSL,O,X,X,O,O
ITJOLSZ,O,O,O,O,X
ITJOLZS,O,O,O,O,X
ITJOSLZ,O,X,X,O,O
ITJOSZL,O,X,X,O,O
ITJOZLS,O,O,O,O,X
ITJOZSL,O,X,X,O,O
ITSLJZO,O,O,O,O,O
ITSLJOZ,O,O,O,X,O
ITSLZJO,O,X,O,O,O
ITSLZOJ,O,O,O,O,O
ITSLOJZ,O,O,O,O,O
ITSLOZJ,O,O,O,O,O
ITSJLZO,O,O,O,O,O
ITSJLOZ,O,O,O,X,O
ITSJZLO,O,O,O,O,O
ITSJZOL,O,X,O,O,O
ITSJOLZ,O,X,O,X,O
ITSJOZL,O,X,O,X,O
ITSZLJO,O,X,O,X,O
ITSZLOJ,O,O,O,X,O
ITSZJLO,O,X,O,O,O
ITSZJOL,O,X,X,O,O
ITSZOLJ,O,X,O,X,O
ITSZOJL,O,X,X,O,X
ITSOLJZ,O,X,O,O,O
ITSOLZJ,O,X,O,O,O
ITSOJLZ,O,X,X,O,O
ITSOJZL,O,X,X,O,O
ITSOZLJ,O,X,O,X,O
ITSOZJL,O,X,X,O,X
ITZLJSO,O,O,O,O,X
ITZLJOS,X,O,O,O,X
ITZLSJO,O,X,O,O,O
ITZLSOJ,O,O,O,O,O
ITZLOJS,X,O,O,O,X
ITZLOSJ,X,O,O,O,X
ITZJLSO,O,O,O,O,O
ITZJLOS,X,O,O,O,X
ITZJSLO,O,O,O,O,O
ITZJSOL,O,X,O,O,O
ITZJOLS,X,O,O,O,X
ITZJOSL,O,X,X,O,O
ITZSLJO,O,X,O,X,O
ITZSLOJ,O,O,O,X,O
ITZSJLO,O,X,O,O,O
ITZSJOL,O,X,X,O,O
ITZSOLJ,O,X,O,X,O
ITZSOJL,O,X,X,O,X
ITZOLJS,O,O,O,O,X
ITZOLSJ,O,O,O,O,X
ITZOJLS,O,X,X,O,X
ITZOJSL,O,X,X,O,X
ITZOSLJ,O,X,X,X,O
ITZOSJL,O,X,X,O,X
ITOLJSZ,O,O,O,O,X
ITOLJZS,O,O,O,O,X
ITOLSJZ,O,O,O,O,X
ITOLSZJ,O,O,O,O,X
ITOLZJS,O,O,O,O,X
ITOLZSJ,O,O,O,O,X
ITOJLSZ,O,O,O,O,X
ITOJLZS,O,O,O,O,X
ITOJSLZ,O,X,X,O,O
ITOJSZL,O,X,X,O,O
ITOJZLS,O,O,O,O,X
ITOJZSL,O,X,X,O,O
ITOSLJZ,O,X,X,O,O
ITOSLZJ,O,X,X,O,O
ITOSJLZ,O,X,X,O,O
ITOSJZL,O,X,X,O,O
ITOSZLJ,O,X,X,X,O
ITOSZJL,O,X,X,O,X
ITOZLJS,O,O,O,O,X
ITOZLSJ,O,O,O,O,X
ITOZJLS,O,X,X,O,X
ITOZJSL,O,X,X,O,X
ITOZSLJ,O,X,X,X,O
ITOZSJL,O,X,X,O,X
ILTJSZO,O,O,O,O,O
ILTJSOZ,O,O,O,X,O
ILTJZSO,O,O,O,O,O
ILTJZOS,X,O,O,O,X
ILTJOSZ,X,O,O,O,X
ILTJOZS,X,O,O,O,X
ILTSJZO,O,O,O,O,O
ILTSJOZ,O,O,O,X,O
ILTSZJO,O,X,O,O,O
ILTSZOJ,O,O,O,O,O
ILTSOJZ,O,O,O,O,O
ILTSOZJ,O,O,O,O,O
ILTZJSO,O,O,O,O,X
ILTZJOS,X,O,O,O,X
ILTZSJO,O,X,O,O,O
ILTZSOJ,O,O,O,O,O
ILTZOJS,X,O,O,O,X
ILTZOSJ,X,O,O,O,X
ILTOJSZ,O,O,O,O,X
ILTOJZS,O,O,O,O,X
ILTOSJZ,O,O,O,O,X
ILTOSZJ,O,O,O,O,X
ILTOZJS,O,O,O,O,X
ILTOZSJ,O,O,O,O,X
ILJTSZO,X,O,O,O,O
ILJTSOZ,X,O,O,X,O
ILJTZSO,X,O,O,O,O
ILJTZOS,X,O,O,O,X
ILJTOSZ,X,O,O,X,X
ILJTOZS,X,O,O,O,X
ILJSTZO,X,O,X,X,O
ILJSTOZ,X,O,X,X,O
ILJSZTO,X,O,X,X,O
ILJSZOT,X,O,X,X,O
ILJSOTZ,X,O,X,X,O
ILJSOZT,X,O,X,X,O
ILJZTSO,X,O,O,O,O
ILJZTOS,X,O,O,O,X
ILJZSTO,X,O,X,O,O
ILJZSOT,X,O,O,O,O
ILJZOTS,X,O,O,O,X
ILJZOST,X,O,O,O,X
ILJOTSZ,X,O,O,X,X
ILJOTZS,X,O,O,X,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,X,O,O,X,X
ILJOZST,X,O,O,X,X
ILSTJZO,O,O,X,X,O
ILSTJOZ,O,O,X,X,O
ILSTZJO,O,X,X,X,O
ILSTZOJ,O,O,X,X,O
ILSTOJZ,O,O,X,X,O
ILSTOZJ,O,O,X,X,O
ILSJTZO,O,O,X,X,O
ILSJTOZ,O,O,X,X,O
ILSJZTO,O,O,X,X,O
ILSJZOT,X,O,X,X,O
ILSJOTZ,O,O,X,X,O
ILSJOZT,O,O,X,X,O
ILSZTJO,O,X,X,X,O
ILSZTOJ,O,O,X,X,O
ILSZJTO,O,O,X,X,O
ILSZJOT,X,O,X,X,O
ILSZOTJ,O,O,X,X,O
ILSZOJT,O,O,X,X,O
ILSOTJZ,O,O,X,X,O
ILSOTZJ,O,O,X,X,O
ILSOJTZ,O,O,X,X,O
ILSOJZT,O,O,X,X,O
ILSOZTJ,O,O,X,X,O
ILSOZJT,O,O,X,X,O
ILZTJSO,O,O,O,O,X
ILZTJOS,X,O,O,O,X
ILZTSJO,O,X,O,O,O
ILZTSOJ,O,O,O,O,O
ILZTOJS,X,O,O,O,X
ILZTOSJ,X,O,O,O,X
ILZJTSO,X,O,O,O,O
ILZJTOS,X,O,O,O,X
ILZJSTO,X,O,X,O,O
ILZJSOT,X,O,O,O,O
ILZJOTS,X,O,O,O,X
ILZJOST,X,O,O,O,X
ILZSTJO,O,X,X,X,O
ILZSTOJ,O,O,X,X,O
ILZSJTO,O,O,X,O,O
ILZSJOT,X,O,X,O,O
ILZSOTJ,O,O,O,X,O
ILZSOJT,X,O,O,O,O
ILZOTJS,X,O,O,O,X
ILZOTSJ,X,O,O,O,X
ILZOJTS,X,O,O,O,X
ILZOJST,X,O,O,O,X
ILZOSTJ,X,O,O,X,X
ILZOSJT,X,O,O,O,X
ILOTJSZ,O,O,O,O,X
ILOTJZS,O,O,O,O,X
ILOTSJZ,O,O,O,O,X
ILOTSZJ,O,O,O,O,X
ILOTZJS,O,O,O,O,X
ILOTZSJ,O,O,O,O,X
ILOJTSZ,X,O,O,O,X
ILOJTZS,X,O,O,O,X
ILOJSTZ,X,O,X,X,X
ILOJSZT,X,O,X,X,X
ILOJZTS,X,O,O,O,X
ILOJZST,X,O,O,O,X
ILOSTJZ,O,O,X,X,X
ILOSTZJ,O,O,X,X,X
ILOSJTZ,O,O,X,X,X
ILOSJZT,O,O,X,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,O,X,X,X
ILOZTJS,O,O,O,O,X
ILOZTSJ,O,O,O,O,X
ILOZJTS,X,O,O,O,X
ILOZJST,X,O,O,O,X
ILOZSTJ,O,O,O,X,X
ILOZSJT,O,O,O,O,X
IJTLSZO,O,O,O,O,O
IJTLSOZ,O,O,O,X,O
IJTLZSO,O,O,O,O,O
IJTLZOS,X,O,O,O,X
IJTLOSZ,X,O,O,X,X
IJTLOZS,X,O,O,O,X
IJTSLZO,O,O,O,O,O
IJTSLOZ,O,O,O,X,O
IJTSZLO,O,O,O,O,O
IJTSZOL,O,X,O,O,O
IJTSOLZ,O,X,O,X,O
IJTSOZL,O,X,O,X,O
IJTZLSO,O,O,O,O,O
IJTZLOS,X,O,O,O,X
IJTZSLO,O,O,O,O,O
IJTZSOL,O,X,O,O,O
IJTZOLS,X,O,O,O,X
IJTZOSL,O,X,X,O,O
IJTOLSZ,O,O,O,X,X
IJTOLZS,O,O,O,O,X
IJTOSLZ,O,X,X,X,O
IJTOSZL,O,X,X,X,O
IJTOZLS,O,O,O,O,X
IJTOZSL,O,X,X,O,O
IJLTSZO,X,O,O,O,O
IJLTSOZ,X,O,O,X,O
IJLTZSO,X,O,O,O,O
IJLTZOS,X,O,O,O,X
IJLTOSZ,X,O,O,X,X
IJLTOZS,X,O,O,O,X
IJLSTZO,X,O,X,X,O
IJLSTOZ,X,O,X,X,O
IJLSZTO,X,O,X,X,O
IJLSZOT,X,O,X,X,O
IJLSOTZ,X,O,X,X,O
IJLSOZT,X,O,X,X,O
IJLZTSO,X,O,O,O,O
IJLZTOS,X,O,O,O,X
IJLZSTO,X,O,X,O,O
IJLZSOT,X,O,O,O,O
IJLZOTS,X,O,O,O,X
IJLZOST,X,O,O,O,X
IJLOTSZ,X,O,O,X,X
IJLOTZS,X,O,O,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,X,O,O,X,X
IJLOZST,X,O,O,X,X
IJSTLZO,O,O,X,X,O
IJSTLOZ,O,O,X,X,O
IJSTZLO,O,O,X,X,O
IJSTZOL,O,X,X,X,O
IJSTOLZ,O,X,X,X,O
IJSTOZL,O,X,X,X,O
IJSLTZO,O,O,X,X,O
IJSLTOZ,O,O,X,X,O
IJSLZTO,O,O,X,X,O
IJSLZOT,X,O,X,X,O
IJSLOTZ,O,O,X,X,O
IJSLOZT,O,O,X,X,O
IJSZTLO,O,O,X,X,O
IJSZTOL,O,X,X,X,O
IJSZLTO,O,O,X,X,O
IJSZLOT,X,O,X,X,O
IJSZOTL,X,X,X,X,O
IJSZOLT,X,X,X,X,O
IJSOTLZ,O,X,X,X,O
IJSOTZL,O,X,X,X,O
IJSOLTZ,O,X,X,X,O
IJSOLZT,O,X,X,X,O
IJSOZTL,O,X,X,X,O
IJSOZLT,O,X,X,X,O
IJZTLSO,O,O,O,O,O
IJZTLOS,X,O,O,O,X
IJZTSLO,O,O,O,O,O
IJZTSOL,O,X,O,O,O
IJZTOLS,X,O,O,O,X
IJZTOSL,O,X,X,O,O
IJZLTSO,X,O,O,O,O
IJZLTOS,X,O,O,O,X
IJZLSTO,X,O,X,O,O
IJZLSOT,X,O,O,O,O
IJZLOTS,X,O,O,O,X
IJZLOST,X,O,O,O,X
IJZSTLO,O,O,X,O,O
IJZSTOL,O,X,X,O,O
IJZSLTO,O,O,X,O,O
IJZSLOT,X,O,O,O,O
IJZSOTL,X,X,X,O,O
IJZSOLT,X,X,X,O,O
IJZOTLS,X,O,X,O,X
IJZOTSL,X,X,X,O,O
IJZOLTS,X,O,O,O,X
IJZOLST,X,O,O,O,X
IJZOSTL,X,X,X,O,O
IJZOSLT,X,X,X,O,O
IJOTLSZ,O,O,X,X,X
IJOTLZS,O,O,X,X,X
IJOTSLZ,O,X,X,X,O
IJOTSZL,O,X,X,X,O
IJOTZLS,O,O,X,X,X
IJOTZSL,O,X,X,X,O
IJOLTSZ,X,O,X,X,X
IJOLTZS,X,O,X,X,X
IJOLSTZ,X,O,X,X,X
IJOLSZT,X,O,X,X,X
IJOLZTS,X,O,X,X,X
IJOLZST,X,O,X,X,X
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,X,X,X,O
IJOSLTZ,O,X,X,X,O
IJOSLZT,O,X,X,X,O
IJOSZTL,O,X,X,X,O
IJOSZLT,O,X,X,X,O
IJOZTLS,O,O,X,X,X
IJOZTSL,O,X,X,X,O
IJOZLTS,X,O,X,X,X
IJOZLST,X,O,X,X,X
IJOZSTL,O,X,X,X,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,X,X,O
ISTLJOZ,O,O,X,X,O
ISTLZJO,O,X,X,X,O
ISTLZOJ,O,O,X,X,O
ISTLOJZ,O,O,X,X,O
ISTLOZJ,O,O,X,X,O
ISTJLZO,O,O,X,X,O
ISTJLOZ,O,O,X,X,O
ISTJZLO,O,O,X,X,O
ISTJZOL,O,X,X,X,O
ISTJOLZ,O,X,X,X,O
ISTJOZL,O,X,X,X,O
ISTZLJO,O,X,X,X,O
ISTZLOJ,O,O,X,X,O
ISTZJLO,O,X,X,X,O
ISTZJOL,O,X,X,X,O
ISTZOLJ,O,X,X,X,O
ISTZOJL,O,X,X,X,X
ISTOLJZ,O,X,X,X,O
ISTOLZJ,O,X,X,X,O
ISTOJLZ,O,X,X,X,O
ISTOJZL,O,X,X,X,O
ISTOZLJ,O,X,X,X,O
ISTOZJL,O,X,X,X,X
ISLTJZO,O,O,X,X,O
ISLTJOZ,O,O,X,X,O
ISLTZJO,O,X,X,X,O
ISLTZOJ,O,O,X,X,O
ISLTOJZ,O,O,X,X,O
ISLTOZJ,O,O,X,X,O
ISLJTZO,O,O,X,X,O
ISLJTOZ,O,O,X,X,O
ISLJZTO,O,O,X,X,O
ISLJZOT,X,O,X,X,O
ISLJOTZ,O,O,X,X,O
ISLJOZT,O,O,X,X,O
ISLZTJO,O,X,X,X,O
ISLZTOJ,O,O,X,X,O
ISLZJTO,O,O,X,X,O
ISLZJOT,X,O,X,X,O
ISLZOTJ,O,O,X,X,O
ISLZOJT,O,O,X,X,O
ISLOTJZ,O,O,X,X,O
ISLOTZJ,O,O,X,X,O
ISLOJTZ,O,O,X,X,O
ISLOJZT,O,O,X,X,O
ISLOZTJ,O,O,X,X,O
ISLOZJT,O,O,X,X,O
ISJTLZO,O,O,X,X,O
ISJTLOZ,O,O,X,X,O
ISJTZLO,O,O,X,X,O
ISJTZOL,O,X,X,X,O
ISJTOLZ,O,X,X,X,O
ISJTOZL,O,X,X,X,O
ISJLTZO,O,O,X,X,O
ISJLTOZ,O,O,X,X,O
ISJLZTO,O,O,X,X,O
ISJLZOT,X,O,X,X,O
ISJLOTZ,O,O,X,X,O
ISJLOZT,O,O,X,X,O
ISJZTLO,O,O,X,X,O
ISJZTOL,O,X,X,X,O
ISJZLTO,O,O,X,X,O
ISJZLOT,X,O,X,X,O
ISJZOTL,X,X,X,X,O
ISJZOLT,X,X,X,X,O
ISJOTLZ,O,X,X,X,O
ISJOTZL,O,X,X,X,O
ISJOLTZ,O,X,X,X,O
ISJOLZT,O,X,X,X,O
ISJOZTL,O,X,X,X,O
ISJOZLT,O,X,X,X,O
ISZTLJO,O,X,X,X,O
ISZTLOJ,O,O,X,X,O
ISZTJLO,O,X,X,X,O
ISZTJOL,O,X,X,X,O
ISZTOLJ,O,X,X,X,O
ISZTOJL,O,X,X,X,X
ISZLTJO,O,X,X,X,O
ISZLTOJ,O,O,X,X,O
ISZLJTO,O,O,X,X,O
ISZLJOT,X,O,X,X,O
ISZLOTJ,O,O,X,X,O
ISZLOJT,O,O,X,X,O
ISZJTLO,O,O,X,X,O
ISZJTOL,O,X,X,X,O
ISZJLTO,O,O,X,X,O
ISZJLOT,X,O,X,X,O
ISZJOTL,X,X,X,X,O
ISZJOLT,X,X,X,X,O
ISZOTLJ,O,X,X,X,O
ISZOTJL,O,X,X,X,X
ISZOLTJ,O,X,X,X,O
ISZOLJT,O,X,X,X,O
ISZOJTL,O,X,X,X,O
ISZOJLT,O,X,X,X,O
ISOTLJZ,O,X,X,X,O
ISOTLZJ,O,X,X,X,O
ISOTJLZ,O,X,X,X,O
ISOTJZL,O,X,X,X,O
ISOTZLJ,O,X,X,X,O
ISOTZJL,O,X,X,X,X
ISOLTJZ,O,X,X,X,O
ISOLTZJ,O,X,X,X,O
ISOLJTZ,O,X,X,X,O
ISOLJZT,O,X,X,X,O
ISOLZTJ,O,X,X,X,O
ISOLZJT,O,X,X,X,O
ISOJTLZ,O,X,X,X,O
ISOJTZL,O,X,X,X,O
ISOJLTZ,O,X,X,X,O
ISOJLZT,O,X,X,X,O
ISOJZTL,O,X,X,X,O
ISOJZLT,O,X,X,X,O
ISOZTLJ,O,X,X,X,O
ISOZTJL,O,X,X,X,X
ISOZLTJ,O,X,X,X,O
ISOZLJT,O,X,X,X,O
ISOZJTL,O,X,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,O,O,O,O,X
IZTLJOS,X,O,O,O,X
IZTLSJO,O,X,O,O,O
IZTLSOJ,O,O,O,O,O
IZTLOJS,X,O,O,O,X
IZTLOSJ,X,O,O,O,X
IZTJLSO,O,O,O,O,O
IZTJLOS,X,O,O,O,X
IZTJSLO,O,O,O,O,O
IZTJSOL,O,X,O,O,O
IZTJOLS,X,O,O,O,X
IZTJOSL,O,X,X,O,O
IZTSLJO,O,X,O,X,O
IZTSLOJ,O,O,O,X,O
IZTSJLO,O,X,O,O,O
IZTSJOL,O,X,X,O,O
IZTSOLJ,O,X,O,X,O
IZTSOJL,O,X,X,O,X
IZTOLJS,O,O,O,O,X
IZTOLSJ,O,O,O,O,X
IZTOJLS,O,X,X,O,X
IZTOJSL,O,X,X,O,X
IZTOSLJ,O,X,X,X,O
IZTOSJL,O,X,X,O,X
IZLTJSO,O,O,O,O,X
IZLTJOS,X,O,O,O,X
IZLTSJO,O,X,O,O,O
IZLTSOJ,O,O,O,O,O
IZLTOJS,X,O,O,O,X
IZLTOSJ,X,O,O,O,X
IZLJTSO,X,O,O,O,O
IZLJTOS,X,O,O,O,X
IZLJSTO,X,O,X,O,O
IZLJSOT,X,O,O,O,O
IZLJOTS,X,O,O,O,X
IZLJOST,X,O,O,O,X
IZLSTJO,O,X,X,X,O
IZLSTOJ,O,O,X,X,O
IZLSJTO,O,O,X,O,O
IZLSJOT,X,O,X,O,O
IZLSOTJ,O,O,O,X,O
IZLSOJT,X,O,O,O,O
IZLOTJS,X,O,O,O,X
IZLOTSJ,X,O,O,O,X
IZLOJTS,X,O,O,O,X
IZLOJST,X,O,O,O,X
IZLOSTJ,X,O,O,X,X
IZLOSJT,X,O,O,O,X
IZJTLSO,O,O,O,O,O
IZJTLOS,X,O,O,O,X
IZJTSLO,O,O,O,O,O
IZJTSOL,O,X,O,O,O
IZJTOLS,X,O,O,O,X
IZJTOSL,O,X,X,O,O
IZJLTSO,X,O,O,O,O
IZJLTOS,X,O,O,O,X
IZJLSTO,X,O,X,O,O
IZJLSOT,X,O,O,O,O
IZJLOTS,X,O,O,O,X
IZJLOST,X,O,O,O,X
IZJSTLO,O,O,X,O,O
IZJSTOL,O,X,X,O,O
IZJSLTO,O,O,X,O,O
IZJSLOT,X,O,O,O,O
IZJSOTL,X,X,X,O,O
IZJSOLT,X,X,X,O,O
IZJOTLS,X,O,X,O,X
IZJOTSL,X,X,X,O,O
IZJOLTS,X,O,O,O,X
IZJOLST,X,O,O,O,X
IZJOSTL,X,X,X,O,O
IZJOSLT,X,X,X,O,O
IZSTLJO,O,X,X,X,O
IZSTLOJ,O,O,X,X,O
IZSTJLO,O,X,X,X,O
IZSTJOL,O,X,X,X,O
IZSTOLJ,O,X,X,X,O
IZSTOJL,O,X,X,X,X
IZSLTJO,O,X,X,X,O
IZSLTOJ,O,O,X,X,O
IZSLJTO,O,O,X,X,O
IZSLJOT,X,O,X,X,O
IZSLOTJ,O,O,O,X,O
IZSLOJT,O,O,O,X,O
IZSJTLO,O,O,X,O,O
IZSJTOL,O,X,X,O,O
IZSJLTO,O,O,X,O,O
IZSJLOT,X,O,X,O,O
IZSJOTL,X,X,X,O,O
IZSJOLT,X,X,X,O,O
IZSOTLJ,O,X,X,X,O
IZSOTJL,O,X,X,X,X
IZSOLTJ,O,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,O,X,X,O,O
IZSOJLT,O,X,X,O,O
IZOTLJS,O,O,X,O,X
IZOTLSJ,O,O,X,O,X
IZOTJLS,O,X,X,O,X
IZOTJSL,O,X,X,O,X
IZOTSLJ,O,X,X,X,O
IZOTSJL,O,X,X,O,X
IZOLTJS,O,O,O,O,X
IZOLTSJ,O,O,O,O,X
IZOLJTS,X,O,O,O,X
IZOLJST,X,O,O,O,X
IZOLSTJ,O,O,O,X,X
IZOLSJT,O,O,O,O,X
IZOJTLS,O,O,X,O,X
IZOJTSL,O,X,X,O,O
IZOJLTS,X,O,X,O,X
IZOJLST,X,O,X,O,X
IZOJSTL,O,X,X,O,O
IZOJSLT,O,X,X,O,O
IZOSTLJ,O,X,X,X,O
IZOSTJL,O,X,X,X,X
IZOSLTJ,O,X,X,X,O
IZOSLJT,O,X,X,X,O
IZOSJTL,O,X,X,O,O
IZOSJLT,O,X,X,O,O
IOTLJSZ,O,O,X,O,X
IOTLJZS,O,O,X,O,X
IOTLSJZ,O,O,X,O,X
IOTLSZJ,O,O,X,O,X
IOTLZJS,O,O,X,O,X
IOTLZSJ,O,O,X,O,X
IOTJLSZ,O,O,X,O,X
IOTJLZS,O,O,X,O,X
IOTJSLZ,O,X,X,O,O
IOTJSZL,O,X,X,O,O
IOTJZLS,O,O,X,O,X
IOTJZSL,O,X,X,O,O
IOTSLJZ,O,X,X,O,O
IOTSLZJ,O,X,X,O,O
IOTSJLZ,O,X,X,O,O
IOTSJZL,O,X,X,O,O
IOTSZLJ,O,X,X,X,O
IOTSZJL,O,X,X,O,X
IOTZLJS,O,O,X,O,X
IOTZLSJ,O,O,X,O,X
IOTZJLS,O,X,X,O,X
IOTZJSL,O,X,X,O,X
IOTZSLJ,O,X,X,X,O
IOTZSJL,O,X,X,O,X
IOLTJSZ,O,O,X,O,X
IOLTJZS,O,O,X,O,X
IOLTSJZ,O,O,X,O,X
IOLTSZJ,O,O,X,O,X
IOLTZJS,O,O,X,O,X
IOLTZSJ,O,O,X,O,X
IOLJTSZ,X,O,X,O,X
IOLJTZS,X,O,X,O,X
IOLJSTZ,X,O,X,X,X
IOLJSZT,X,O,X,X,X
IOLJZTS,X,O,X,O,X
IOLJZST,X,O,X,O,X
IOLSTJZ,O,O,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,O,O,X,X,X
IOLSJZT,O,O,X,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,X,X,X
IOLZTJS,O,O,X,O,X
IOLZTSJ,O,O,X,O,X
IOLZJTS,X,O,X,O,X
IOLZJST,X,O,X,O,X
IOLZSTJ,O,O,X,X,X
IOLZSJT,O,O,X,O,X
IOJTLSZ,O,O,X,O,X
IOJTLZS,O,O,X,O,X
IOJTSLZ,O,X,X,O,O
IOJTSZL,O,X,X,O,O
IOJTZLS,O,O,X,O,X
IOJTZSL,O,X,X,O,O
IOJLTSZ,X,O,X,O,X
IOJLTZS,X,O,X,O,X
IOJLSTZ,X,O,X,X,X
IOJLSZT,X,O,X,X,X
IOJLZTS,X,O,X,O,X
IOJLZST,X,O,X,O,X
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,X,X,X,O
IOJSLTZ,O,X,X,X,O
IOJSLZT,O,X,X,X,O
IOJSZTL,O,X,X,X,O
IOJSZLT,O,X,X,X,O
IOJZTLS,O,O,X,O,X
IOJZTSL,O,X,X,O,O
IOJZLTS,X,O,X,O,X
IOJZLST,X,O,X,O,X
IOJZSTL,O,X,X,O,O
IOJZSLT,O,X,X,O,O
IOSTLJZ,O,X,X,X,O
IOSTLZJ,O,X,X,X,O
IOSTJLZ,O,X,X,X,O
IOSTJZL,O,X,X,X,O
IOSTZLJ,O,X,X,X,O
IOSTZJL,O,X,X,X,X
IOSLTJZ,O,X,X,X,O
IOSLTZJ,O,X,X,X,O
IOSLJTZ,O,X,X,X,O
IOSLJZT,O,X,X,X,O
IOSLZTJ,O,X,X,X,O
IOSLZJT,O,X,X,X,O
IOSJTLZ,O,X,X,X,O
IOSJTZL,O,X,X,X,O
IOSJLTZ,O,X,X,X,O
IOSJLZT,O,X,X,X,O
IOSJZTL,O,X,X,X,O
IOSJZLT,O,X,X,X,O
IOSZTLJ,O,X,X,X,O
IOSZTJL,O,X,X,X,X
IOSZLTJ,O,X,X,X,O
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,X,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,O,O,X,O,X
IOZTLSJ,O,O,X,O,X
IOZTJLS,O,X,X,O,X
IOZTJSL,O,X,X,O,X
IOZTSLJ,O,X,X,X,O
IOZTSJL,O,X,X,O,X
IOZLTJS,O,O,X,O,X
IOZLTSJ,O,O,X,O,X
IOZLJTS,X,O,X,O,X
IOZLJST,X,O,X,O,X
IOZLSTJ,O,O,X,X,X
IOZLSJT,O,O,X,O,X
IOZJTLS,O,O,X,O,X
IOZJTSL,O,X,X,O,O
IOZJLTS,X,O,X,O,X
IOZJLST,X,O,X,O,X
IOZJSTL,O,X,X,O,O
IOZJSLT,O,X,X,O,O
IOZSTLJ,O,X,X,X,O
IOZSTJL,O,X,X,X,X
IOZSLTJ,O,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,O,X,X,O,O
IOZSJLT,O,X,X,O,O
LTIJSZO,O,O,O,O,O
LTIJSOZ,O,O,O,X,O
LTIJZSO,O,O,O,O,O
LTIJZOS,X,O,O,O,X
LTIJOSZ,X,O,O,O,X
LTIJOZS,X,O,O,O,X
LTISJZO,O,O,O,O,O
LTISJOZ,O,O,O,X,O
LTISZJO,O,X,O,O,O
LTISZOJ,O,O,O,O,O
LTISOJZ,O,O,O,O,O
LTISOZJ,O,O,O,O,O
LTIZJSO,O,O,O,O,X
LTIZJOS,X,O,O,O,X
LTIZSJO,O,X,O,O,O
LTIZSOJ,O,O,O,O,O
LTIZOJS,X,O,O,O,X
LTIZOSJ,X,O,O,O,X
LTIOJSZ,O,O,O,O,X
LTIOJZS,O,O,O,O,X
LTIOSJZ,O,O,O,O,X
LTIOSZJ,O,O,O,O,X
LTIOZJS,O,O,O,O,X
LTIOZSJ,O,O,O,O,X
LTJISZO,O,O,O,O,O
LTJISOZ,O,O,O,X,O
LTJIZSO,O,O,O,O,O
LTJIZOS,X,O,O,O,X
LTJIOSZ,X,O,O,O,X
LTJIOZS,X,O,O,O,X
LTJSIZO,O,O,O,O,O
LTJSIOZ,O,O,O,X,O
LTJSZIO,O,O,O,O,O
LTJSZOI,O,O,O,X,O
LTJSOIZ,O,O,O,X,O
LTJSOZI,O,O,O,X,O
LTJZISO,O,O,O,O,O
LTJZIOS,X,O,O,O,X
LTJZSIO,O,O,O,O,O
LTJZSOI,O,O,O,X,O
LTJZOIS,X,O,O,O,X
LTJZOSI,X,O,O,O,X
LTJOISZ,X,O,O,O,X
LTJOIZS,X,O,O,O,X
LTJOSIZ,X,O,O,O,X
LTJOSZI,X,O,O,O,X
LTJOZIS,X,O,O,O,X
LTJOZSI,X,O,O,O,X
LTSIJZO,O,O,O,O,O
LTSIJOZ,O,O,O,X,O
