sequence,v115@ThB8EeF8AeD8Jei/IvhFWmBxhBTjB3kB0nBlrB,v115@ThB8EeF8AeD8Jei/IvhFzgBRiBcoB3kBGnBlrB,v115@ThB8EeF8AeD8JeOEJvhF8kBzgBCiBxnBXoBlrB,v115@ThB8EeF8AeD8Jex/IvhFlhB3iBcoBTkBmlBCsB,v115@ThB8EeF8AeD8Jem/IvhFfmB0hBxiBTkBFoBCsB,v115@ThB8EeF8AeD8Je2EJvhFqnBTjBRmB3kBFmB8rB
TOSILJZ,O,O,X,X,O,X
TOSILZJ,X,O,O,X,O,X
TOSIJLZ,O,O,X,X,O,X
TOSIJZL,O,O,X,X,O,X
TOSIZLJ,X,O,O,X,O,X
TOSIZJL,X,O,O,X,O,X
TOSLIJZ,O,O,X,X,O,X
TOSLIZJ,X,O,O,X,O,X
TOSLJIZ,O,O,X,X,O,X
TOSLJZI,O,O,X,X,O,X
TOSLZIJ,O,O,O,X,O,X
TOSLZJI,O,O,O,X,O,X
TOSJILZ,O,O,X,X,O,X
TOSJIZL,O,O,X,X,O,X
TOSJLIZ,O,O,X,X,O,X
TOSJLZI,O,O,X,X,O,X
TOSJZIL,O,O,X,X,O,X
TOSJZLI,O,O,X,X,O,X
TOSZILJ,O,O,O,X,O,X
TOSZIJL,O,O,O,X,O,X
TOSZLIJ,O,O,O,X,O,X
TOSZLJI,O,O,O,X,O,X
TOSZJIL,O,O,O,X,O,X
TOSZJLI,O,O,O,X,O,X
TOZILJS,O,X,O,O,X,X
TOZILSJ,O,O,O,O,X,X
TOZIJLS,O,O,O,O,X,X
TOZIJSL,O,O,O,O,O,X
TOZISLJ,O,O,O,O,O,X
TOZISJL,O,O,O,O,O,X
TOZLIJS,O,X,O,O,X,X
TOZLISJ,O,O,O,O,X,X
TOZLJIS,O,O,O,O,X,X
TOZLJSI,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,X,X
TOZLSJI,O,O,O,O,X,X
TOZJILS,O,O,O,O,X,X
TOZJISL,O,O,O,O,O,X
TOZJLIS,O,O,O,O,X,X
TOZJLSI,O,O,O,O,X,X
TOZJSIL,O,O,O,O,O,X
TOZJSLI,O,O,O,O,O,X
TOZSILJ,O,O,O,O,O,X
TOZSIJL,O,O,O,O,O,X
TOZSLIJ,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,X
TOZSJLI,O,O,O,O,O,X
ITLJSZO,X,X,X,X,O,X
ITLJSOZ,X,X,X,X,O,X
ITLJZSO,X,X,O,X,X,X
ITLJZOS,X,X,O,X,X,X
ITLJOSZ,X,X,X,X,X,O
ITLJOZS,X,X,O,X,X,O
ITLSJZO,X,X,X,X,O,X
ITLSJOZ,X,X,X,X,O,X
ITLSZJO,X,X,O,X,O,X
ITLSZOJ,X,X,O,X,O,X
ITLSOJZ,X,X,X,X,O,X
ITLSOZJ,X,X,O,X,O,X
ITLZJSO,X,X,O,X,X,X
ITLZJOS,X,X,O,X,X,X
ITLZSJO,X,X,O,X,X,X
ITLZSOJ,X,X,O,X,X,X
ITLZOJS,X,X,O,X,X,X
ITLZOSJ,X,X,O,X,X,X
ITLOJSZ,X,X,X,X,O,O
ITLOJZS,X,X,O,X,X,O
ITLOSJZ,X,X,X,X,O,X
ITLOSZJ,X,X,O,X,O,X
ITLOZJS,X,X,O,X,X,X
ITLOZSJ,X,X,O,X,X,X
ITJLSZO,O,X,X,X,O,X
ITJLSOZ,O,X,X,X,O,X
ITJLZSO,O,X,O,X,X,X
ITJLZOS,O,X,O,X,X,X
ITJLOSZ,O,X,X,X,X,O
ITJLOZS,X,X,O,X,X,O
ITJSLZO,O,O,X,X,O,X
ITJSLOZ,O,O,X,X,O,X
ITJSZLO,O,O,X,X,O,X
ITJSZOL,O,O,X,X,O,X
ITJSOLZ,O,O,X,X,O,X
ITJSOZL,O,O,X,X,O,X
ITJZLSO,O,O,O,X,X,X
ITJZLOS,O,O,O,X,X,X
ITJZSLO,O,O,O,X,O,X
ITJZSOL,O,O,O,X,O,X
ITJZOLS,O,O,O,X,X,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,O,X,X,X,O,O
ITJOLZS,X,X,O,X,X,O
ITJOSLZ,O,O,X,X,O,X
ITJOSZL,O,O,X,X,O,X
ITJOZLS,O,O,O,X,X,X
ITJOZSL,O,O,O,X,O,X
ITSLJZO,O,O,X,X,O,X
ITSLJOZ,O,O,X,X,O,X
ITSLZJO,O,O,O,X,O,X
ITSLZOJ,O,O,O,X,O,X
ITSLOJZ,O,O,X,X,O,X
ITSLOZJ,X,O,O,X,O,X
ITSJLZO,O,O,X,X,O,X
ITSJLOZ,O,O,X,X,O,X
ITSJZLO,O,O,X,X,O,X
ITSJZOL,O,O,X,X,O,X
ITSJOLZ,O,O,X,X,O,X
ITSJOZL,O,O,X,X,O,X
ITSZLJO,O,O,O,X,O,X
ITSZLOJ,O,O,O,X,O,X
ITSZJLO,O,O,O,X,O,X
ITSZJOL,O,O,O,X,O,X
ITSZOLJ,O,O,O,X,O,X
ITSZOJL,O,O,O,X,O,X
ITSOLJZ,O,O,X,X,O,X
ITSOLZJ,X,O,O,X,O,X
ITSOJLZ,O,O,X,X,O,X
ITSOJZL,O,O,X,X,O,X
ITSOZLJ,X,O,O,X,O,X
ITSOZJL,X,O,O,X,O,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,O,O,O,X,X,X
ITZLSJO,O,O,O,X,X,X
ITZLSOJ,O,O,O,X,X,X
ITZLOJS,O,X,O,X,X,X
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,O,X,X,X
ITZJLOS,O,O,O,X,X,X
ITZJSLO,O,O,O,X,O,X
ITZJSOL,O,O,O,X,O,X
ITZJOLS,O,O,O,X,X,X
ITZJOSL,O,O,O,X,X,X
ITZSLJO,O,O,O,X,O,X
ITZSLOJ,O,O,O,X,O,X
ITZSJLO,O,O,O,X,O,X
ITZSJOL,O,O,O,X,O,X
ITZSOLJ,O,O,O,X,O,X
ITZSOJL,O,O,O,X,O,X
ITZOLJS,O,X,O,X,X,X
ITZOLSJ,O,O,O,X,X,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,O,O,X,O,X
ITZOSLJ,O,O,O,X,O,X
ITZOSJL,O,O,O,X,O,X
ITOLJSZ,X,X,X,X,O,O
ITOLJZS,X,X,O,X,X,O
ITOLSJZ,X,X,X,X,O,X
ITOLSZJ,X,X,O,X,O,X
ITOLZJS,X,X,O,X,X,X
ITOLZSJ,X,X,O,X,X,X
ITOJLSZ,O,X,X,X,O,O
ITOJLZS,X,X,O,X,X,O
ITOJSLZ,O,O,X,X,O,X
ITOJSZL,O,O,X,X,O,X
ITOJZLS,X,O,O,X,X,X
ITOJZSL,O,O,O,X,O,X
ITOSLJZ,O,O,X,X,O,X
ITOSLZJ,X,O,O,X,O,X
ITOSJLZ,O,O,X,X,O,X
ITOSJZL,O,O,X,X,O,X
ITOSZLJ,X,O,O,X,O,X
ITOSZJL,X,O,O,X,O,X
ITOZLJS,X,X,O,X,X,X
ITOZLSJ,X,O,O,X,X,X
ITOZJLS,X,O,O,X,X,X
ITOZJSL,X,O,O,X,O,X
ITOZSLJ,X,O,O,X,O,X
ITOZSJL,X,O,O,X,O,X
ILTJSZO,X,X,X,O,O,X
ILTJSOZ,X,X,X,X,O,X
ILTJZSO,X,X,O,O,O,X
ILTJZOS,X,X,O,O,X,X
ILTJOSZ,X,X,X,O,O,O
ILTJOZS,X,X,O,O,O,O
ILTSJZO,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,O,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,X,O,X,O,X
ILTSOJZ,X,X,X,X,O,X
ILTSOZJ,X,X,O,X,O,X
ILTZJSO,X,X,O,O,O,X
ILTZJOS,X,X,O,O,X,X
ILTZSJO,X,X,O,O,O,X
ILTZSOJ,X,X,O,O,O,X
ILTZOJS,X,X,O,O,O,X
ILTZOSJ,X,X,O,O,O,X
ILTOJSZ,X,X,X,X,O,O
ILTOJZS,X,X,O,O,O,O
ILTOSJZ,X,X,X,X,O,X
ILTOSZJ,X,X,O,O,O,X
ILTOZJS,X,X,O,O,O,X
ILTOZSJ,X,X,O,O,O,X
ILJTSZO,X,X,X,O,O,X
ILJTSOZ,X,X,X,X,O,X
ILJTZSO,X,X,X,O,O,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,X,X,X,O,O,O
ILJTOZS,X,X,X,O,X,O
ILJSTZO,X,X,X,O,O,X
ILJSTOZ,X,X,X,X,O,X
ILJSZTO,X,X,X,O,O,X
ILJSZOT,X,X,X,O,O,X
ILJSOTZ,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,O
ILJZTSO,X,X,X,O,X,X
ILJZTOS,X,X,O,O,X,X
ILJZSTO,X,X,X,O,X,X
ILJZSOT,X,X,O,O,X,X
ILJZOTS,X,X,O,O,X,O
ILJZOST,X,X,O,O,X,O
ILJOTSZ,X,X,X,O,X,O
ILJOTZS,X,X,X,O,X,O
ILJOSTZ,X,X,X,O,X,O
ILJOSZT,X,X,X,O,X,O
ILJOZTS,X,X,O,O,X,O
ILJOZST,X,X,O,O,X,O
ILSTJZO,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,O,X
ILSTZJO,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,O,X
ILSTOJZ,X,X,X,X,O,X
ILSTOZJ,X,X,X,X,O,X
ILSJTZO,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,O,X
ILSJZTO,X,X,X,X,O,X
ILSJZOT,X,X,X,X,O,X
ILSJOTZ,X,X,X,X,X,O
ILSJOZT,X,X,X,X,X,O
ILSZTJO,X,X,X,X,O,X
ILSZTOJ,X,X,X,X,O,X
ILSZJTO,X,X,X,X,O,X
ILSZJOT,X,X,O,X,O,X
ILSZOTJ,X,X,X,X,O,X
ILSZOJT,X,X,O,X,O,X
ILSOTJZ,X,X,X,X,O,X
ILSOTZJ,X,X,X,X,O,X
ILSOJTZ,X,X,X,X,O,O
ILSOJZT,X,X,X,X,O,O
ILSOZTJ,X,X,X,X,O,X
ILSOZJT,X,X,O,X,O,X
ILZTJSO,X,X,O,O,X,X
ILZTJOS,X,X,O,O,X,X
ILZTSJO,X,X,O,O,X,X
ILZTSOJ,X,X,O,O,X,X
ILZTOJS,X,X,O,O,X,X
ILZTOSJ,X,X,O,O,X,X
ILZJTSO,X,X,O,O,X,X
ILZJTOS,X,X,O,O,X,X
ILZJSTO,X,X,X,O,X,X
ILZJSOT,X,X,O,O,X,X
ILZJOTS,X,X,O,O,X,O
ILZJOST,X,X,O,O,X,O
ILZSTJO,X,X,X,O,X,X
ILZSTOJ,X,X,X,O,X,X
ILZSJTO,X,X,X,O,X,X
ILZSJOT,X,X,O,O,X,X
ILZSOTJ,X,X,X,O,X,X
ILZSOJT,X,X,O,O,X,X
ILZOTJS,X,X,O,O,X,X
ILZOTSJ,X,X,X,O,X,X
ILZOJTS,X,X,O,O,X,O
ILZOJST,X,X,O,O,X,O
ILZOSTJ,X,X,X,O,X,X
ILZOSJT,X,X,O,O,X,X
ILOTJSZ,X,X,X,O,O,O
ILOTJZS,X,X,X,O,O,O
ILOTSJZ,X,X,X,X,O,X
ILOTSZJ,X,X,X,O,O,X
ILOTZJS,X,X,O,O,O,X
ILOTZSJ,X,X,X,O,O,X
ILOJTSZ,X,X,X,O,O,O
ILOJTZS,X,X,X,O,O,O
ILOJSTZ,X,X,X,O,O,O
ILOJSZT,X,X,X,O,O,O
ILOJZTS,X,X,O,O,X,O
ILOJZST,X,X,O,O,X,O
ILOSTJZ,X,X,X,X,O,X
ILOSTZJ,X,X,X,O,O,X
ILOSJTZ,X,X,X,O,O,O
ILOSJZT,X,X,X,O,O,O
ILOSZTJ,X,X,X,O,O,X
ILOSZJT,X,X,O,O,O,X
ILOZTJS,X,X,O,O,X,X
ILOZTSJ,X,X,X,O,X,X
ILOZJTS,X,X,O,O,X,O
ILOZJST,X,X,O,O,X,O
ILOZSTJ,X,X,X,O,X,X
ILOZSJT,X,X,O,O,X,X
IJTLSZO,X,X,X,O,O,X
IJTLSOZ,X,X,X,X,O,X
IJTLZSO,X,X,O,O,X,X
IJTLZOS,X,X,O,O,X,X
IJTLOSZ,X,X,X,O,X,O
IJTLOZS,X,X,O,O,X,O
IJTSLZO,O,X,X,O,O,X
IJTSLOZ,O,X,X,X,O,X
IJTSZLO,O,X,X,O,O,X
IJTSZOL,O,X,X,O,O,X
IJTSOLZ,O,X,X,X,O,X
IJTSOZL,X,X,X,X,O,X
IJTZLSO,X,X,O,O,X,X
IJTZLOS,X,X,O,O,X,X
IJTZSLO,O,X,O,O,O,X
IJTZSOL,O,X,O,O,O,X
IJTZOLS,X,X,O,O,X,X
IJTZOSL,O,X,O,O,X,X
IJTOLSZ,X,X,X,O,X,O
IJTOLZS,X,X,O,O,X,O
IJTOSLZ,O,X,X,O,O,X
IJTOSZL,X,X,X,O,O,X
IJTOZLS,X,X,O,O,X,X
IJTOZSL,X,X,O,O,X,X
IJLTSZO,X,X,X,O,O,X
IJLTSOZ,X,X,X,X,O,X
IJLTZSO,X,X,X,O,O,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,X,X,X,O,O,O
IJLTOZS,X,X,X,O,X,O
IJLSTZO,O,X,X,O,O,X
IJLSTOZ,O,X,X,X,O,X
IJLSZTO,O,X,X,O,O,X
IJLSZOT,O,X,X,O,O,X
IJLSOTZ,O,X,X,X,X,O
IJLSOZT,O,X,X,X,X,O
IJLZTSO,X,X,X,O,X,X
IJLZTOS,X,X,O,O,X,X
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,O,O,X,X
IJLZOTS,X,X,O,O,X,O
IJLZOST,O,X,O,O,X,O
IJLOTSZ,X,X,X,O,X,O
IJLOTZS,X,X,X,O,X,O
IJLOSTZ,O,X,X,O,X,O
IJLOSZT,O,X,X,O,X,O
IJLOZTS,X,X,O,O,X,O
IJLOZST,X,X,O,O,X,O
IJSTLZO,O,X,X,O,O,X
IJSTLOZ,O,X,X,X,O,X
IJSTZLO,O,X,X,O,O,X
IJSTZOL,O,X,X,O,O,X
IJSTOLZ,O,X,X,X,O,X
IJSTOZL,X,X,X,X,O,X
IJSLTZO,O,X,X,O,O,X
IJSLTOZ,O,X,X,X,O,X
IJSLZTO,O,O,X,O,O,X
IJSLZOT,O,O,X,O,O,X
IJSLOTZ,O,X,X,X,X,O
IJSLOZT,O,O,X,X,X,O
IJSZTLO,O,O,X,O,O,X
IJSZTOL,O,O,X,O,O,X
IJSZLTO,O,O,X,O,O,X
IJSZLOT,O,O,X,O,O,X
IJSZOTL,O,O,X,O,O,X
IJSZOLT,O,O,X,O,O,X
IJSOTLZ,O,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,O
IJSOLZT,O,O,X,X,X,O
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,O,X,X,X,X
IJZTLSO,X,X,O,O,X,X
IJZTLOS,X,X,O,O,X,X
IJZTSLO,O,O,O,O,X,X
IJZTSOL,O,O,O,O,X,X
IJZTOLS,X,X,O,O,X,X
IJZTOSL,O,O,O,O,X,X
IJZLTSO,X,X,O,O,X,X
IJZLTOS,X,X,O,O,X,X
IJZLSTO,O,O,X,O,X,X
IJZLSOT,O,O,O,O,X,X
IJZLOTS,X,X,O,O,X,O
IJZLOST,O,O,O,O,X,O
IJZSTLO,O,O,O,O,X,X
IJZSTOL,O,O,O,O,X,X
IJZSLTO,O,O,X,O,X,X
IJZSLOT,O,O,O,O,X,X
IJZSOTL,O,O,X,O,X,X
IJZSOLT,O,O,O,O,X,X
IJZOTLS,X,X,O,O,X,X
IJZOTSL,O,O,O,O,X,X
IJZOLTS,X,X,O,O,X,O
IJZOLST,O,O,O,O,X,O
IJZOSTL,O,O,X,O,X,X
IJZOSLT,O,O,O,O,X,X
IJOTLSZ,O,X,X,O,X,O
IJOTLZS,X,X,X,O,X,O
IJOTSLZ,O,X,X,O,X,X
IJOTSZL,O,X,X,O,X,X
IJOTZLS,X,X,X,O,X,X
IJOTZSL,O,X,X,O,X,X
IJOLTSZ,X,X,X,O,X,O
IJOLTZS,X,X,X,O,X,O
IJOLSTZ,O,X,X,O,X,O
IJOLSZT,O,X,X,O,X,O
IJOLZTS,X,X,O,O,X,O
IJOLZST,X,X,O,O,X,O
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,O,X,X,O,X,X
IJOSLTZ,O,X,X,O,X,O
IJOSLZT,O,O,X,O,X,O
IJOSZTL,O,O,X,O,X,X
IJOSZLT,O,O,X,O,X,X
IJOZTLS,X,X,O,O,X,X
IJOZTSL,O,O,X,O,X,X
IJOZLTS,X,X,O,O,X,O
IJOZLST,O,O,O,O,X,O
IJOZSTL,O,O,X,O,X,X
IJOZSLT,O,O,O,O,X,X
ISTLJZO,O,O,X,X,O,X
ISTLJOZ,O,O,X,X,O,X
ISTLZJO,O,O,O,X,O,X
ISTLZOJ,O,O,O,X,O,X
ISTLOJZ,O,O,X,X,O,X
ISTLOZJ,X,O,O,X,O,X
ISTJLZO,O,O,X,X,O,X
ISTJLOZ,O,O,X,X,O,X
ISTJZLO,O,O,X,X,O,X
ISTJZOL,O,O,X,X,O,X
ISTJOLZ,O,O,X,X,O,X
ISTJOZL,O,O,X,X,O,X
ISTZLJO,O,O,O,X,O,X
ISTZLOJ,O,O,O,X,O,X
ISTZJLO,O,O,O,X,O,X
ISTZJOL,O,O,O,X,O,X
ISTZOLJ,O,O,O,X,O,X
ISTZOJL,O,O,O,X,O,X
ISTOLJZ,O,O,X,X,O,X
ISTOLZJ,X,O,O,X,O,X
ISTOJLZ,O,O,X,X,O,X
ISTOJZL,O,O,X,X,O,X
ISTOZLJ,X,O,O,X,O,X
ISTOZJL,X,O,O,X,O,X
ISLTJZO,O,O,X,X,O,X
ISLTJOZ,O,O,X,X,O,X
ISLTZJO,O,O,X,X,O,X
ISLTZOJ,O,O,X,X,O,X
ISLTOJZ,O,O,X,X,O,X
ISLTOZJ,X,O,X,X,O,X
ISLJTZO,O,X,X,X,O,X
ISLJTOZ,O,X,X,X,O,X
ISLJZTO,O,O,X,X,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,O,X,X,X,X,O
ISLJOZT,O,O,X,X,X,O
ISLZTJO,O,O,X,X,O,X
ISLZTOJ,O,O,X,X,O,X
ISLZJTO,O,O,X,X,O,X
ISLZJOT,O,O,O,X,O,X
ISLZOTJ,O,O,X,X,O,X
ISLZOJT,O,O,O,X,O,X
ISLOTJZ,O,O,X,X,O,X
ISLOTZJ,X,O,X,X,O,X
ISLOJTZ,O,X,X,X,O,O
ISLOJZT,O,O,X,X,O,O
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,O,O,X,O,X
ISJTLZO,O,X,X,X,O,X
ISJTLOZ,O,X,X,X,O,X
ISJTZLO,O,X,X,X,O,X
ISJTZOL,O,X,X,X,O,X
ISJTOLZ,O,X,X,X,O,X
ISJTOZL,X,X,X,X,O,X
ISJLTZO,O,X,X,X,O,X
ISJLTOZ,O,X,X,X,O,X
ISJLZTO,O,O,X,X,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,O,X,X,X,X,O
ISJLOZT,O,O,X,X,X,O
ISJZTLO,O,O,X,X,O,X
ISJZTOL,O,O,X,X,O,X
ISJZLTO,O,O,X,X,O,X
ISJZLOT,O,O,X,X,O,X
ISJZOTL,O,O,X,X,O,X
ISJZOLT,O,O,X,X,O,X
ISJOTLZ,O,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,O
ISJOLZT,O,O,X,X,X,O
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,O,X,X,X,X
ISZTLJO,O,O,O,X,O,X
ISZTLOJ,O,O,O,X,O,X
ISZTJLO,O,O,O,X,O,X
ISZTJOL,O,O,O,X,O,X
ISZTOLJ,O,O,O,X,O,X
ISZTOJL,O,O,O,X,O,X
ISZLTJO,O,O,X,X,O,X
ISZLTOJ,O,O,X,X,O,X
ISZLJTO,O,O,X,X,O,X
ISZLJOT,O,O,O,X,O,X
ISZLOTJ,O,O,X,X,O,X
ISZLOJT,O,O,O,X,O,X
ISZJTLO,O,O,O,X,O,X
ISZJTOL,O,O,O,X,O,X
ISZJLTO,O,O,X,X,O,X
ISZJLOT,O,O,O,X,O,X
ISZJOTL,O,O,X,X,O,X
ISZJOLT,O,O,O,X,O,X
ISZOTLJ,O,O,X,X,O,X
ISZOTJL,O,O,X,X,O,X
ISZOLTJ,O,O,X,X,O,X
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,O,X,X,O,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,O,O,X,X,O,X
ISOTLZJ,X,O,X,X,O,X
ISOTJLZ,O,O,X,X,O,X
ISOTJZL,O,O,X,X,O,X
ISOTZLJ,X,O,X,X,O,X
ISOTZJL,X,O,X,X,O,X
ISOLTJZ,O,O,X,X,O,X
ISOLTZJ,X,O,X,X,O,X
ISOLJTZ,O,X,X,X,O,O
ISOLJZT,O,O,X,X,O,O
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,O,X,O,X
ISOJTLZ,O,X,X,X,O,X
ISOJTZL,O,X,X,X,O,X
ISOJLTZ,O,X,X,X,O,O
ISOJLZT,O,O,X,X,O,O
ISOJZTL,O,O,X,X,O,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,O,O,X,X,O,X
ISOZTJL,O,O,X,X,O,X
ISOZLTJ,O,O,X,X,O,X
ISOZLJT,O,O,O,X,O,X
ISOZJTL,O,O,X,X,O,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,O,O,O,X,X,X
IZTLJOS,O,O,O,X,X,X
IZTLSJO,O,O,O,X,X,X
IZTLSOJ,O,O,O,X,X,X
IZTLOJS,O,X,O,X,X,X
IZTLOSJ,O,O,O,X,X,X
IZTJLSO,O,O,O,X,X,X
IZTJLOS,O,O,O,X,X,X
IZTJSLO,O,O,O,X,X,X
IZTJSOL,O,O,O,X,X,X
IZTJOLS,O,O,O,X,X,X
IZTJOSL,O,O,O,X,X,X
IZTSLJO,O,O,O,X,X,X
IZTSLOJ,O,O,O,X,X,X
IZTSJLO,O,O,O,X,X,X
IZTSJOL,O,O,O,X,X,X
IZTSOLJ,O,O,O,X,X,X
IZTSOJL,O,O,O,X,X,X
IZTOLJS,O,X,O,X,X,X
IZTOLSJ,O,O,O,X,X,X
IZTOJLS,O,O,O,X,X,X
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,O,O,O,X,X,X
IZTOSJL,O,O,O,X,X,X
IZLTJSO,X,O,O,O,X,X
IZLTJOS,X,O,O,O,X,X
IZLTSJO,X,O,O,O,X,X
IZLTSOJ,X,O,O,O,X,X
IZLTOJS,X,X,O,O,X,X
IZLTOSJ,X,O,O,O,X,X
IZLJTSO,X,X,O,O,X,X
IZLJTOS,X,X,O,O,X,X
IZLJSTO,O,O,X,O,X,X
IZLJSOT,O,O,O,O,X,X
IZLJOTS,X,X,O,O,X,O
IZLJOST,O,O,O,O,X,O
IZLSTJO,O,O,X,O,X,X
IZLSTOJ,O,O,X,O,X,X
IZLSJTO,O,O,X,O,X,X
IZLSJOT,O,O,O,O,X,X
IZLSOTJ,O,O,X,O,X,X
IZLSOJT,O,O,O,O,X,X
IZLOTJS,X,X,O,O,X,X
IZLOTSJ,X,X,X,O,X,X
IZLOJTS,X,X,O,O,X,O
IZLOJST,O,X,O,O,X,O
IZLOSTJ,O,O,X,O,X,X
IZLOSJT,O,O,O,O,X,X
IZJTLSO,X,O,O,O,X,X
IZJTLOS,X,O,O,O,X,X
IZJTSLO,O,O,O,O,X,X
IZJTSOL,O,O,O,O,X,X
IZJTOLS,X,O,O,O,X,X
IZJTOSL,O,O,O,O,X,X
IZJLTSO,X,X,O,O,X,X
IZJLTOS,X,X,O,O,X,X
IZJLSTO,O,O,X,O,X,X
IZJLSOT,O,O,O,O,X,X
IZJLOTS,X,X,O,O,X,O
IZJLOST,O,O,O,O,X,O
IZJSTLO,O,O,O,O,X,X
IZJSTOL,O,O,O,O,X,X
IZJSLTO,O,O,X,O,X,X
IZJSLOT,O,O,O,O,X,X
IZJSOTL,O,O,X,O,X,X
IZJSOLT,O,O,O,O,X,X
IZJOTLS,X,X,O,O,X,X
IZJOTSL,O,O,O,O,X,X
IZJOLTS,X,X,O,O,X,O
IZJOLST,O,O,O,O,X,O
IZJOSTL,O,O,X,O,X,X
IZJOSLT,O,O,O,O,X,X
IZSTLJO,O,O,O,X,X,X
IZSTLOJ,O,O,O,X,X,X
IZSTJLO,O,O,O,O,X,X
IZSTJOL,O,O,O,O,X,X
IZSTOLJ,O,O,O,O,X,X
IZSTOJL,O,O,O,O,X,X
IZSLTJO,O,O,X,O,X,X
IZSLTOJ,O,O,X,O,X,X
IZSLJTO,O,O,X,O,X,X
IZSLJOT,O,O,O,O,X,X
IZSLOTJ,O,O,X,O,X,X
IZSLOJT,O,O,O,O,X,X
IZSJTLO,O,O,O,O,X,X
IZSJTOL,O,O,O,O,X,X
IZSJLTO,O,O,X,O,X,X
IZSJLOT,O,O,O,O,X,X
IZSJOTL,O,O,X,O,X,X
IZSJOLT,O,O,O,O,X,X
IZSOTLJ,O,O,X,O,X,X
IZSOTJL,O,O,X,O,X,X
IZSOLTJ,O,O,X,O,X,X
IZSOLJT,O,O,O,O,X,X
IZSOJTL,O,O,X,O,X,X
IZSOJLT,O,O,O,O,X,X
IZOTLJS,O,X,O,O,X,X
IZOTLSJ,O,O,O,O,X,X
IZOTJLS,O,O,O,O,X,X
IZOTJSL,O,O,O,O,X,X
IZOTSLJ,O,O,O,O,X,X
IZOTSJL,O,O,O,O,X,X
IZOLTJS,X,X,O,O,X,X
IZOLTSJ,X,X,X,O,X,X
IZOLJTS,X,X,O,O,X,O
IZOLJST,O,X,O,O,X,O
IZOLSTJ,O,O,X,O,X,X
IZOLSJT,O,O,O,O,X,X
IZOJTLS,X,X,O,O,X,X
IZOJTSL,O,O,O,O,X,X
IZOJLTS,X,X,O,O,X,O
IZOJLST,O,O,O,O,X,O
IZOJSTL,O,O,X,O,X,X
IZOJSLT,O,O,O,O,X,X
IZOSTLJ,O,O,X,O,X,X
IZOSTJL,O,O,X,O,X,X
IZOSLTJ,O,O,X,O,X,X
IZOSLJT,O,O,O,O,X,X
IZOSJTL,O,O,X,O,X,X
IZOSJLT,O,O,O,O,X,X
IOTLJSZ,X,X,X,O,O,O
IOTLJZS,X,X,O,O,X,O
IOTLSJZ,X,X,X,X,O,X
IOTLSZJ,X,X,O,O,O,X
IOTLZJS,X,X,O,O,X,X
IOTLZSJ,X,X,O,O,X,X
IOTJLSZ,O,X,X,O,O,O
IOTJLZS,X,X,O,O,X,O
IOTJSLZ,O,O,X,O,O,X
IOTJSZL,O,O,X,O,O,X
IOTJZLS,X,O,O,O,X,X
IOTJZSL,O,O,O,O,O,X
IOTSLJZ,O,O,X,X,O,X
IOTSLZJ,X,O,O,X,O,X
IOTSJLZ,O,O,X,X,O,X
IOTSJZL,O,O,X,X,O,X
IOTSZLJ,X,O,O,X,O,X
IOTSZJL,X,O,O,X,O,X
IOTZLJS,X,X,O,O,X,X
IOTZLSJ,X,O,O,O,X,X
IOTZJLS,X,O,O,O,X,X
IOTZJSL,X,O,O,O,O,X
IOTZSLJ,X,O,O,O,O,X
IOTZSJL,X,O,O,O,O,X
IOLTJSZ,X,X,X,O,O,O
IOLTJZS,X,X,X,O,O,O
IOLTSJZ,X,X,X,X,O,X
IOLTSZJ,X,X,X,O,O,X
IOLTZJS,X,X,O,O,O,X
