sequence,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFzfBRhBcnBFmBXq?BWxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFlgB/pBxmBiqBzr?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeOEJvhFXgBVmBUiBzpBRr?BSxB,v115@FhB8HeB8GeD8BeB8CeB8JeTCJvhFmlBxpBUsB/pB6r?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Je0BJvhFmlBxpBzrB/pB6s?BFqB,v115@FhB8HeB8GeD8BeB8CeB8Jel/IvhF/pBOqBxmBzlBUs?BCsB,v115@FhB8HeB8GeD8BeB8CeB8JeUAJvhFFhBmpBRrB/pB6s?BzrB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFRhBTkBUmBFnBXq?BSxB,v115@FhB8HeB8GeD8BeB8CeB8Je0/IvhFxgBTiB/pBGmBiq?BVxB,v115@FhB8HeB8GeD8BeB8CeB8JeRAJvhF1mB0lBmpBzrB/p?B6sB,v115@FhB8HeB8GeD8BeB8CeB8JemAJvhFSnBxkBTkBXqBlr?BUsB,v115@FhB8HeB8GeD8BeB8CeB8JeXAJvhFxhB2pBzlBCnBVx?B0pB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhFXhBypBFnBGrB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8Jex/IvhF8lBSnBTkBeqB3m?BVxB,v115@FhB8HeB8GeD8BeB8CeB8Jem/IvhFChB/rBFnBxpB0p?BTsB,v115@FhB8HeB8GeD8BeB8CeB8JeKEJvhFUhBFlBRrBXsBzp?BGsB,v115@FhB8HeB8GeD8BeB8CeB8JeUBJvhF/pBFlBRrBTsBmp?BCsB
TILJSZO,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILZOJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLSZO,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
