sequence,v115@KhA8FeA8AeB8DeG8DeA8Jex/IvhF0hB6nBTjBlkB/r?B2xB,v115@KhA8FeA8AeB8DeG8DeA8Jex/IvhFKmBWnBTjBlkB0s?BXsB,v115@KhA8FeA8AeB8DeG8DeA8Je/EJvhFFgBxhBTjBmmBqs?B0rB,v115@KhA8FeA8AeB8DeG8DeA8Jex/IvhFOmBTjBlkBCnB0s?BXsB,v115@KhA8FeA8AeB8DeG8DeA8Jex/IvhF0hBTjBlkB2rBqs?BXsB,v115@KhA8FeA8AeB8DeG8DeA8Je/EJvhFFgBmhBTjBxrBqs?B0rB
TILJSZO,O,X,X,X,O,X
TILJSOZ,O,O,X,X,O,X
TILJZSO,O,O,X,O,O,X
TILJZOS,O,O,X,O,O,X
TILJOSZ,O,O,X,X,O,X
TILJOZS,O,O,X,O,O,X
TILSJZO,O,X,X,X,O,X
TILSJOZ,O,O,X,X,O,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,O,O,X,X,X,X
TILSOJZ,O,O,X,X,O,X
TILSOZJ,O,O,X,X,X,X
TILZJSO,X,O,X,O,O,X
TILZJOS,X,O,X,O,O,X
TILZSJO,X,O,X,O,X,X
TILZSOJ,X,O,X,O,X,X
TILZOJS,X,O,X,O,O,X
TILZOSJ,X,O,X,O,X,X
TILOJSZ,O,O,X,X,O,X
TILOJZS,O,O,X,O,O,X
TILOSJZ,O,O,X,X,O,X
TILOSZJ,O,O,X,X,X,X
TILOZJS,X,O,X,O,O,X
TILOZSJ,X,O,X,O,X,X
TIJLSZO,O,X,X,X,O,X
TIJLSOZ,O,O,X,X,O,X
TIJLZSO,O,O,X,O,O,X
TIJLZOS,O,O,X,O,O,X
TIJLOSZ,O,O,X,X,O,X
TIJLOZS,O,O,X,O,O,X
TIJSLZO,O,X,X,X,O,O
TIJSLOZ,O,X,X,X,O,O
TIJSZLO,O,X,X,O,X,O
TIJSZOL,O,X,X,O,X,X
TIJSOLZ,O,X,X,X,O,O
