sequence,v115@+gA8IeB8HeB8DeA8AeA8AeB8CeB8AeA8JeZEJvhFlg?B3hBCjB8rBOtBzqB,v115@+gA8IeB8HeB8DeA8AeA8AeB8CeB8AeA8JeZEJvhFlg?B3hBGjB8rBatBzqB,v115@+gA8IeB8HeB8DeA8AeA8AeB8CeB8AeA8JeZEJvhFlg?BzhBGjB8qBatB3rB,v115@+gA8IeB8HeB8DeA8AeA8AeB8CeB8AeA8JeZEJvhFlg?BzhBCjB8qBOtB3rB,v115@+gA8IeB8HeB8DeA8AeA8AeB8CeB8AeA8JeZEJvhFXh?BcoBFnB6qBTrBmsB
TILJSZO,O,O,O,O,X
TILJSOZ,O,O,O,X,X
TILJZSO,O,O,O,O,X
TILJZOS,O,O,O,O,X
TILJOSZ,O,O,X,X,X
TILJOZS,O,O,O,O,X
TILSJZO,X,O,O,X,X
TILSJOZ,X,O,O,X,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,O,O,X
TILSOJZ,X,O,O,X,X
TILSOZJ,O,O,O,O,X
TILZJSO,O,O,O,O,X
TILZJOS,O,O,O,O,X
TILZSJO,O,O,O,O,X
TILZSOJ,O,O,O,O,X
TILZOJS,O,O,O,X,X
TILZOSJ,O,O,O,O,O
TILOJSZ,O,O,X,X,X
TILOJZS,O,O,O,X,X
TILOSJZ,X,O,X,X,X
TILOSZJ,O,O,X,X,O
TILOZJS,O,O,O,X,X
TILOZSJ,O,O,O,O,O
TIJLSZO,O,O,O,O,X
TIJLSOZ,O,O,X,O,X
TIJLZSO,O,O,O,O,X
TIJLZOS,O,O,O,O,X
TIJLOSZ,O,O,X,X,X
TIJLOZS,O,O,O,O,X
TIJSLZO,O,X,X,O,X
TIJSLOZ,O,X,X,O,X
TIJSZLO,O,O,O,O,X
TIJSZOL,O,O,O,O,X
TIJSOLZ,O,X,X,O,X
TIJSOZL,O,O,O,O,X
TIJZLSO,O,O,O,O,X
TIJZLOS,O,O,O,O,X
TIJZSLO,O,O,X,O,X
TIJZSOL,O,O,X,X,X
