sequence,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeOEJvhFlgBUiB5oBz?kBKrBfsB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kei/IvhF3gBUiB5oB1?pBOrBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeT/IvhF0gBlhB5oBy?pBXnB2wB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kel/IvhF3gBUiB5oB2?pBTmBywB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflBUiB5oBF?mBzrBmqB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gB5oBF?nBTrBmrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB5oBUmBF?nBmqBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gBlhB5?oBOsBTrB
TILJSZO,O,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,O,X
TILSZOJ,O,O,X,X,X,O,O,X
TILSOJZ,O,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,O,X
TILZSOJ,X,O,X,X,X,X,O,X
TILZOJS,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X,X,X
