sequence,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBxiBToBXsByvB,v115@HhA8IeF8DeB8EeC8Jel/IvhF3gBTjBxsBurBcsByvB,v115@HhA8IeF8DeB8EeC8Jex/IvhFmhBCjBToBXsBUqBFrB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgBWnBTjBxsByvBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFmgBCiBTjBxsB1vBXsB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBKnBziB+oB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBRiB+oB3nBTqBywB,v115@HhA8IeF8DeB8EeC8Je0/IvhFlgB3hBOsBToBCoBxvB,v115@HhA8IeF8DeB8EeC8Jel/IvhFRhBGjBUoBXsBTqBirB,v115@HhA8IeF8DeB8EeC8Jel/IvhFUhBGjBxsBTqBisB3rB,v115@HhA8IeF8DeB8EeC8Jex/IvhFKnBziB+oBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8Je0/IvhFxgBOnB6oBznB3qB1wB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBiiB+oB3nBcqBRwB,v115@HhA8IeF8DeB8EeC8Jex/IvhFOnB6oBznBFqBXrB0rB,v115@HhA8IeF8DeB8EeC8JeSFJvhFxiBcsBToBlrBmpBXrB,v115@HhA8IeF8DeB8EeC8Jel/IvhFThBOnBXjBStBcqBRwB,v115@HhA8IeF8DeB8EeC8Je0/IvhFVmBxnBGoBisBTqB3rB
IZJSTLO,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZJSLTO,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJSLOT,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZJSOLT,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJOTSL,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IZJOLTS,X,O,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X
IZJOLST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
IZJOSTL,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJOSLT,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZSTLJO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJOL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTJO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJTO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLJOT,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZOTLJS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IZOTLSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOTJLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IZOTJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOTSJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOLTJS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IZOLTSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOLJTS,X,O,X,O,X,O,X,X,X,O,X,O,X,O,O,X,X
IZOLJST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
IZOLSTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOLSJT,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZOJTLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IZOJTSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IZOJLTS,X,O,X,O,X,O,X,X,X,O,X,O,X,O,O,X,X
IZOJLST,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOJSLT,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZOSTLJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOSTJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZOSLJT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSJLT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOTLJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTLJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTLSJZ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTJLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJSZL,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOLTJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOLTSJZ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOLTSZJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOLJTZS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOLJSTZ,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X
IOLJSZT,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IOLJZTS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X
IOLJZST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
IOLSTJZ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOLSTZJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X
IOLSJZT,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOLSZTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSZJT,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOLZTJS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOLZTSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLZJTS,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,O,X
IOLZJST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
IOLZSTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLZSJT,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,O,X
IOJTLSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
IOJTLZS,X,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJTSZL,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOJTZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJLTZS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJLSTZ,X,O,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X
IOJLSZT,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
IOJLZTS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJLZST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOJSTLZ,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJSTZL,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X
IOJSLZT,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJSZTL,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOJSZLT,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJZTLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOJZTSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOJZLTS,X,O,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJZLST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
IOJZSLT,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X
IOSTLJZ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTJZ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOSLJZT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLZJT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSJTZL,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IOSJLZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSJZTL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJZLT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLJT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZJLT,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTLJS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOZTLSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZTJLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOZTJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZTSJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLTJS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOZLTSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZLJTS,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOZLJST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOZLSTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZLSJT,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZJTLS,X,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOZJTSL,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
IOZJLTS,X,O,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOZJLST,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
IOZJSTL,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZJSLT,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZSTLJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZSTJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOZSLJT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSJLT,O,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X
LTIJSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTIJZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
LTIJZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O
LTIJOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTIJOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LTISJZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTISZOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTISOZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTIZJOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
LTIZSJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTIZSOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
LTIZOSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
LTIOJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
LTIOSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIOZJS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
LTIOZSJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
LTJZIOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTJZSIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTSIJZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIJOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSIZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTSZIOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZJIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSOJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSOZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTZIJOS,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
LTZISJO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LTZISOJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZIOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
LTZJIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTZJSIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTZSIOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTZOISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZOJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTZOJSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
LTZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZOSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
LTOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOISZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJIZS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJSIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJSZI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTOJZIS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTOJZSI,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOSJZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOSZIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
LTOZISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOZJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOZJSI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
LTOZSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOZSJI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LITJSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITJZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
LITJZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O
LITJOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITJOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
LITSJZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITSZJO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
LITSZOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITSOZJ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
