sequence,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBzhBGjBUoBFr?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFylBFiBTjBfsBWt?BUrB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFmhBCjBllBcrBTo?BXsB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBOnBXjB0lBSt?B1wB,v115@+gC8GeA8IeB8HeC8CeC8JeZEJvhFThBiiB+oB0lB3n?B1wB
TLJOIZS,O,O,X,O,X
TLJOSIZ,X,O,X,O,O
TLJOSZI,X,O,X,O,O
TLJOZIS,O,O,X,O,X
TLJOZSI,O,O,X,O,X
TLSIJZO,O,O,O,O,X
TLSIJOZ,O,O,X,O,X
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,X,O,O,X
TLSIOJZ,O,O,O,O,X
TLSIOZJ,O,X,O,O,X
TLSJIZO,O,O,O,O,X
TLSJIOZ,O,O,X,O,X
TLSJZIO,O,O,O,O,X
TLSJZOI,O,O,O,O,X
TLSJOIZ,O,O,X,O,X
TLSJOZI,O,O,X,O,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,X,O,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,O,O,X
TLSZOIJ,O,X,O,O,X
TLSZOJI,O,X,O,O,X
TLSOIJZ,O,O,O,O,X
TLSOIZJ,O,X,O,O,X
TLSOJIZ,O,O,O,O,X
TLSOJZI,O,O,O,O,X
TLSOZIJ,O,X,O,O,X
TLSOZJI,O,X,O,O,X
TLZIJSO,O,O,X,O,O
TLZIJOS,O,O,O,O,O
TLZISJO,O,O,X,O,X
TLZISOJ,O,O,X,O,X
TLZIOJS,O,X,O,O,O
TLZIOSJ,O,X,O,O,X
TLZJISO,O,O,X,O,O
TLZJIOS,O,O,O,O,O
TLZJSIO,O,O,X,O,O
TLZJSOI,O,O,X,O,O
TLZJOIS,O,O,O,O,O
TLZJOSI,O,O,O,O,O
TLZSIJO,O,O,X,O,X
TLZSIOJ,O,O,X,O,X
TLZSJIO,O,O,X,O,X
TLZSJOI,O,O,X,O,X
TLZSOIJ,O,O,X,O,X
TLZSOJI,O,O,X,O,X
TLZOIJS,O,X,O,O,O
TLZOISJ,O,X,O,O,X
TLZOJIS,O,X,O,O,O
TLZOJSI,O,X,O,O,O
TLZOSIJ,O,X,O,O,X
TLZOSJI,O,X,O,O,X
TLOIJSZ,X,X,O,O,O
TLOIJZS,O,X,O,O,X
TLOISJZ,O,X,O,O,X
TLOISZJ,O,X,O,O,X
TLOIZJS,O,X,O,O,X
TLOIZSJ,O,X,O,O,X
TLOJISZ,X,X,O,O,O
TLOJIZS,O,X,O,O,X
TLOJSIZ,X,X,O,O,O
TLOJSZI,X,X,O,O,O
TLOJZIS,O,X,O,O,X
TLOJZSI,O,X,O,O,X
TLOSIJZ,O,X,O,O,X
TLOSIZJ,O,X,O,O,X
TLOSJIZ,O,X,O,O,X
TLOSJZI,O,X,O,O,X
TLOSZIJ,O,X,O,O,X
TLOSZJI,O,X,O,O,X
TLOZIJS,O,X,O,O,X
TLOZISJ,O,X,O,O,X
TLOZJIS,O,X,O,O,X
TLOZJSI,O,X,O,O,X
TLOZSIJ,O,X,O,O,X
TLOZSJI,O,X,O,O,X
TJILSZO,O,O,X,O,O
TJILSOZ,O,O,X,O,O
TJILZSO,O,O,X,O,O
TJILZOS,O,O,X,O,O
TJILOSZ,X,O,X,O,O
TJILOZS,O,O,X,O,X
TJISLZO,O,O,O,O,O
TJISLOZ,O,O,X,O,O
TJISZLO,O,O,O,O,O
TJISZOL,O,O,O,O,O
TJISOLZ,O,O,O,O,O
TJISOZL,O,O,O,X,O
TJIZLSO,O,O,X,O,O
TJIZLOS,O,O,O,O,O
TJIZSLO,O,O,X,O,O
TJIZSOL,O,O,O,O,O
TJIZOLS,O,O,O,O,O
TJIZOSL,O,O,O,O,O
TJIOLSZ,X,O,O,O,O
TJIOLZS,O,O,O,O,X
TJIOSLZ,X,O,O,O,O
TJIOSZL,X,O,O,X,O
TJIOZLS,O,O,O,O,O
TJIOZSL,O,O,O,O,O
TJLISZO,O,O,X,O,O
TJLISOZ,O,O,X,O,O
TJLIZSO,O,O,X,O,O
TJLIZOS,O,O,X,O,O
TJLIOSZ,X,O,X,O,O
TJLIOZS,O,O,X,O,X
TJLSIZO,O,O,X,O,O
TJLSIOZ,O,O,X,O,O
TJLSZIO,O,O,X,O,O
TJLSZOI,O,O,X,O,O
TJLSOIZ,O,O,X,O,O
TJLSOZI,O,O,X,O,O
TJLZISO,O,O,X,O,O
TJLZIOS,O,O,X,O,O
TJLZSIO,O,O,X,O,O
TJLZSOI,O,O,X,O,O
TJLZOIS,O,O,X,O,O
TJLZOSI,O,O,X,O,O
TJLOISZ,X,O,X,O,O
TJLOIZS,O,O,X,O,X
TJLOSIZ,X,O,X,O,O
TJLOSZI,X,O,X,O,O
TJLOZIS,O,O,X,O,X
TJLOZSI,O,O,X,O,X
TJSILZO,O,O,O,O,O
TJSILOZ,O,O,X,O,O
TJSIZLO,O,O,O,O,O
TJSIZOL,O,O,O,O,O
TJSIOLZ,O,O,O,O,O
TJSIOZL,O,O,O,X,O
TJSLIZO,O,O,O,O,O
TJSLIOZ,O,O,X,O,O
TJSLZIO,O,O,O,O,O
TJSLZOI,O,O,O,O,O
TJSLOIZ,O,O,X,O,O
TJSLOZI,O,O,X,O,O
TJSZILO,O,O,O,O,O
TJSZIOL,O,O,O,O,O
TJSZLIO,O,O,O,O,O
TJSZLOI,O,O,O,O,O
TJSZOIL,O,O,O,O,O
TJSZOLI,O,O,O,O,O
TJSOILZ,O,O,O,O,O
TJSOIZL,O,O,O,X,O
TJSOLIZ,O,O,O,O,O
TJSOLZI,O,O,O,O,O
TJSOZIL,O,O,O,X,O
TJSOZLI,O,O,O,X,O
TJZILSO,O,O,X,O,O
TJZILOS,O,O,O,O,O
TJZISLO,O,O,X,O,O
TJZISOL,O,O,O,O,O
TJZIOLS,O,O,O,O,O
TJZIOSL,O,O,O,O,O
TJZLISO,O,O,X,O,O
TJZLIOS,O,O,O,O,O
TJZLSIO,O,O,X,O,O
TJZLSOI,O,O,X,O,O
TJZLOIS,O,O,O,O,O
TJZLOSI,O,O,O,O,O
TJZSILO,O,O,X,O,O
TJZSIOL,O,O,O,O,O
TJZSLIO,O,O,X,O,O
TJZSLOI,O,O,X,O,O
TJZSOIL,O,O,O,O,O
TJZSOLI,O,O,O,O,O
TJZOILS,O,O,O,O,O
TJZOISL,O,O,O,O,O
TJZOLIS,O,O,O,O,O
TJZOLSI,O,O,O,O,O
TJZOSIL,O,O,O,O,O
TJZOSLI,O,O,O,O,O
TJOILSZ,X,O,O,O,O
TJOILZS,O,O,O,O,X
TJOISLZ,X,O,O,O,O
TJOISZL,X,O,O,X,O
TJOIZLS,O,O,O,O,O
TJOIZSL,O,O,O,O,O
TJOLISZ,X,O,O,O,O
TJOLIZS,O,O,O,O,X
TJOLSIZ,X,O,O,O,O
TJOLSZI,X,O,O,O,O
TJOLZIS,O,O,O,O,X
TJOLZSI,O,O,O,O,X
TJOSILZ,X,O,O,O,O
TJOSIZL,X,O,O,X,O
TJOSLIZ,X,O,O,O,O
TJOSLZI,X,O,O,O,O
TJOSZIL,X,O,O,X,O
TJOSZLI,X,O,O,X,O
TJOZILS,O,O,O,O,O
TJOZISL,O,O,O,O,O
TJOZLIS,O,O,O,O,O
TJOZLSI,O,O,O,O,O
TJOZSIL,O,O,O,O,O
TJOZSLI,O,O,O,O,O
TSILJZO,O,O,O,O,X
TSILJOZ,O,O,O,O,X
TSILZJO,O,O,O,O,X
TSILZOJ,O,X,O,O,X
TSILOJZ,O,O,O,O,X
TSILOZJ,O,X,O,O,X
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,O,O,O
TSIJZLO,O,O,O,O,O
TSIJZOL,O,O,O,O,O
TSIJOLZ,O,O,O,O,O
TSIJOZL,O,O,O,X,O
TSIZLJO,O,O,O,O,X
TSIZLOJ,O,X,O,O,X
TSIZJLO,O,O,O,O,O
TSIZJOL,O,O,O,O,O
TSIZOLJ,O,X,O,O,X
TSIZOJL,O,X,O,O,O
TSIOLJZ,O,O,O,O,X
TSIOLZJ,O,X,O,O,X
TSIOJLZ,O,O,O,O,O
TSIOJZL,O,O,O,X,O
TSIOZLJ,O,X,O,X,X
TSIOZJL,O,X,O,X,X
TSLIJZO,O,O,O,O,X
TSLIJOZ,O,O,O,O,X
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,X,O,O,X
TSLIOJZ,O,O,O,O,X
TSLIOZJ,O,X,O,O,X
TSLJIZO,O,O,O,O,X
TSLJIOZ,O,O,O,O,X
TSLJZIO,O,O,O,O,X
TSLJZOI,O,O,O,O,X
TSLJOIZ,O,O,X,O,X
TSLJOZI,O,O,X,O,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,X,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,X
TSLZOIJ,O,X,O,O,X
TSLZOJI,O,X,O,O,X
TSLOIJZ,O,O,O,O,X
TSLOIZJ,O,X,O,O,X
TSLOJIZ,O,O,O,O,X
TSLOJZI,O,O,O,O,X
TSLOZIJ,O,X,O,O,X
TSLOZJI,O,X,O,O,X
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,O,O,O
TSJIZLO,O,O,O,O,O
TSJIZOL,O,O,O,O,O
TSJIOLZ,O,O,O,O,O
TSJIOZL,O,O,O,X,O
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,O,O,O
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,X,O,O
TSJLOZI,O,O,X,O,O
TSJZILO,O,O,O,O,O
TSJZIOL,O,O,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,O,O,O
TSJZOLI,O,O,O,O,O
TSJOILZ,O,O,O,O,O
TSJOIZL,O,O,O,X,O
TSJOLIZ,O,O,O,O,O
TSJOLZI,O,O,O,O,O
TSJOZIL,O,O,O,X,O
TSJOZLI,O,O,O,X,O
TSZILJO,O,O,O,O,X
TSZILOJ,O,X,O,O,X
TSZIJLO,O,O,O,O,O
TSZIJOL,O,O,O,O,O
TSZIOLJ,O,X,O,O,X
TSZIOJL,O,X,O,O,O
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,X,O,O,X
TSZLJIO,O,O,O,O,X
TSZLJOI,O,O,O,O,X
TSZLOIJ,O,X,O,O,X
TSZLOJI,O,X,O,O,X
TSZJILO,O,O,O,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,O,O,O,O
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,O,O,O
TSZJOLI,O,O,O,O,O
TSZOILJ,O,X,O,O,X
TSZOIJL,O,X,O,O,O
TSZOLIJ,O,X,O,O,X
TSZOLJI,O,X,O,O,X
TSZOJIL,O,X,O,O,O
TSZOJLI,O,X,O,O,O
TSOILJZ,O,O,O,O,X
TSOILZJ,O,X,O,O,X
TSOIJLZ,O,O,O,O,O
TSOIJZL,O,O,O,X,O
TSOIZLJ,O,X,O,X,X
TSOIZJL,O,X,O,X,X
TSOLIJZ,O,O,O,O,X
TSOLIZJ,O,X,O,O,X
TSOLJIZ,O,O,O,O,X
TSOLJZI,O,O,O,O,X
TSOLZIJ,O,X,O,O,X
TSOLZJI,O,X,O,O,X
TSOJILZ,O,O,O,O,O
TSOJIZL,O,O,O,X,O
TSOJLIZ,O,O,O,O,O
TSOJLZI,O,O,O,O,O
TSOJZIL,O,O,O,X,O
TSOJZLI,O,O,O,X,O
TSOZILJ,O,X,O,X,X
TSOZIJL,O,X,O,X,X
TSOZLIJ,O,X,O,X,X
TSOZLJI,O,X,O,X,X
TSOZJIL,O,X,O,X,X
TSOZJLI,O,X,O,X,X
TZILJSO,O,O,X,O,O
TZILJOS,O,O,O,O,O
TZILSJO,O,O,X,O,X
TZILSOJ,O,O,X,O,X
TZILOJS,O,X,O,O,O
TZILOSJ,O,X,O,O,X
TZIJLSO,O,O,X,O,O
TZIJLOS,O,O,O,O,O
TZIJSLO,O,O,X,O,O
TZIJSOL,O,O,O,O,O
TZIJOLS,O,O,O,O,O
TZIJOSL,O,O,O,O,O
TZISLJO,O,O,O,O,X
TZISLOJ,O,O,O,O,X
TZISJLO,O,O,O,O,O
TZISJOL,O,O,O,O,O
TZISOLJ,O,O,O,O,X
TZISOJL,O,O,O,O,O
TZIOLJS,O,X,O,O,O
TZIOLSJ,O,X,O,O,X
TZIOJLS,O,X,O,O,O
TZIOJSL,O,X,O,O,O
TZIOSLJ,O,X,O,O,X
TZIOSJL,O,X,O,O,O
TZLIJSO,O,O,X,O,O
TZLIJOS,O,O,O,O,O
TZLISJO,O,O,X,O,X
TZLISOJ,O,O,X,O,X
TZLIOJS,O,X,O,O,O
TZLIOSJ,O,X,O,O,X
TZLJISO,O,O,X,O,O
TZLJIOS,O,O,O,O,O
TZLJSIO,O,O,X,O,O
TZLJSOI,O,O,X,O,O
TZLJOIS,O,O,O,O,O
TZLJOSI,O,O,O,O,O
TZLSIJO,O,O,X,O,X
TZLSIOJ,O,O,X,O,X
TZLSJIO,O,O,X,O,X
TZLSJOI,O,O,X,O,X
TZLSOIJ,O,O,X,O,X
TZLSOJI,O,O,X,O,X
TZLOIJS,O,X,O,O,O
TZLOISJ,O,X,O,O,X
TZLOJIS,O,X,O,O,O
TZLOJSI,O,X,O,O,O
TZLOSIJ,O,X,O,O,X
TZLOSJI,O,X,O,O,X
TZJILSO,O,O,X,O,O
TZJILOS,O,O,O,O,O
TZJISLO,O,O,X,O,O
TZJISOL,O,O,O,O,O
TZJIOLS,O,O,O,O,O
TZJIOSL,O,O,O,O,O
TZJLISO,O,O,X,O,O
TZJLIOS,O,O,O,O,O
TZJLSIO,O,O,X,O,O
TZJLSOI,O,O,X,O,O
TZJLOIS,O,O,O,O,O
TZJLOSI,O,O,O,O,O
TZJSILO,O,O,X,O,O
TZJSIOL,O,O,O,O,O
TZJSLIO,O,O,X,O,O
TZJSLOI,O,O,X,O,O
TZJSOIL,O,O,O,O,O
TZJSOLI,O,O,O,O,O
TZJOILS,O,O,O,O,O
TZJOISL,O,O,O,O,O
TZJOLIS,O,O,O,O,O
TZJOLSI,O,O,O,O,O
TZJOSIL,O,O,O,O,O
TZJOSLI,O,O,O,O,O
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,O,O,X
TZSIJLO,O,O,O,O,O
TZSIJOL,O,O,O,O,O
TZSIOLJ,O,O,O,O,X
TZSIOJL,O,O,O,O,O
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,X
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,O,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,O,O,O,O
TZSJLOI,O,O,O,O,O
TZSJOIL,O,O,O,O,O
TZSJOLI,O,O,O,O,O
TZSOILJ,O,O,O,O,X
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,O
TZSOJLI,O,O,O,O,O
TZOILJS,O,X,O,O,O
TZOILSJ,O,X,O,O,X
TZOIJLS,O,X,O,O,O
TZOIJSL,O,X,O,O,O
TZOISLJ,O,X,O,O,X
TZOISJL,O,X,O,O,O
TZOLIJS,O,X,O,O,O
TZOLISJ,O,X,O,O,X
TZOLJIS,O,X,O,O,O
TZOLJSI,O,X,O,O,O
TZOLSIJ,O,X,O,O,X
TZOLSJI,O,X,O,O,X
TZOJILS,O,X,O,O,O
TZOJISL,O,X,O,O,O
TZOJLIS,O,X,O,O,O
TZOJLSI,O,X,O,O,O
TZOJSIL,O,X,O,O,O
TZOJSLI,O,X,O,O,O
TZOSILJ,O,X,O,O,X
TZOSIJL,O,X,O,O,O
TZOSLIJ,O,X,O,O,X
TZOSLJI,O,X,O,O,X
TZOSJIL,O,X,O,O,O
TZOSJLI,O,X,O,O,O
TOILJSZ,X,X,O,O,O
TOILJZS,O,X,O,O,X
TOILSJZ,O,X,O,O,X
TOILSZJ,O,X,O,O,X
TOILZJS,O,X,O,O,X
TOILZSJ,O,X,O,O,X
TOIJLSZ,X,X,O,O,O
TOIJLZS,O,X,O,O,X
TOIJSLZ,X,X,O,O,O
TOIJSZL,X,X,O,X,O
TOIJZLS,O,X,O,O,O
TOIJZSL,O,X,O,O,O
TOISLJZ,O,X,O,O,X
TOISLZJ,O,X,O,O,X
TOISJLZ,O,X,O,O,O
TOISJZL,O,X,O,X,O
TOISZLJ,O,X,O,X,X
TOISZJL,O,X,O,X,X
TOIZLJS,O,X,O,O,O
TOIZLSJ,O,X,O,O,X
TOIZJLS,O,X,O,O,O
TOIZJSL,O,X,O,O,O
TOIZSLJ,O,X,O,O,X
TOIZSJL,O,X,O,O,O
TOLIJSZ,X,X,O,O,O
TOLIJZS,O,X,O,O,X
TOLISJZ,O,X,O,O,X
TOLISZJ,O,X,O,O,X
TOLIZJS,O,X,O,O,X
TOLIZSJ,O,X,O,O,X
TOLJISZ,X,X,O,O,O
TOLJIZS,O,X,O,O,X
TOLJSIZ,X,X,O,O,O
TOLJSZI,X,X,O,O,O
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,O,X
TOLSIJZ,O,X,O,O,X
TOLSIZJ,O,X,O,O,X
TOLSJIZ,O,X,O,O,X
TOLSJZI,O,X,O,O,X
TOLSZIJ,O,X,O,O,X
TOLSZJI,O,X,O,O,X
TOLZIJS,O,X,O,O,X
TOLZISJ,O,X,O,O,X
TOLZJIS,O,X,O,O,X
TOLZJSI,O,X,O,O,X
TOLZSIJ,O,X,O,O,X
TOLZSJI,O,X,O,O,X
TOJILSZ,X,X,O,O,O
TOJILZS,O,X,O,O,X
TOJISLZ,X,X,O,O,O
TOJISZL,X,X,O,X,O
TOJIZLS,O,X,O,O,O
TOJIZSL,O,X,O,O,O
TOJLISZ,X,X,O,O,O
TOJLIZS,O,X,O,O,X
TOJLSIZ,X,X,O,O,O
TOJLSZI,X,X,O,O,O
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,O,X
TOJSILZ,X,X,O,O,O
TOJSIZL,X,X,O,X,O
TOJSLIZ,X,X,O,O,O
TOJSLZI,X,X,O,O,O
TOJSZIL,X,X,O,X,O
TOJSZLI,X,X,O,X,O
TOJZILS,O,X,O,O,O
TOJZISL,O,X,O,O,O
TOJZLIS,O,X,O,O,O
TOJZLSI,O,X,O,O,O
TOJZSIL,O,X,O,O,O
TOJZSLI,O,X,O,O,O
TOSILJZ,O,X,O,O,X
TOSILZJ,O,X,O,O,X
TOSIJLZ,O,X,O,O,O
