sequence,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFlgBcmBxiBXnB6t?BWwB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhF0gBmiB5oBFnBXm?BSwB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFSmBmiB5oBXnBUr?BlqB,v115@JhA8GeC8DeB8AeC8CeC8KeT/IvhFXhBxiBFnB6tBGr?B0qB
ILTJZSO,O,O,X,O
ILTJZOS,O,O,X,O
ILTJOSZ,O,O,X,O
ILTJOZS,O,O,X,O
ILTSJZO,O,O,X,O
ILTSJOZ,O,O,X,O
ILTSZJO,O,O,X,X
ILTSZOJ,O,O,X,O
ILTSOJZ,O,O,X,O
ILTSOZJ,O,O,X,O
ILTZJSO,X,O,X,O
ILTZJOS,X,O,X,O
ILTZSJO,X,O,X,X
ILTZSOJ,X,O,X,O
ILTZOJS,X,O,X,O
ILTZOSJ,X,O,X,O
ILTOJSZ,O,O,X,O
ILTOJZS,O,O,X,O
ILTOSJZ,O,O,X,O
ILTOSZJ,O,O,X,O
ILTOZJS,X,O,X,O
ILTOZSJ,X,O,X,O
ILJTSZO,O,O,X,O
ILJTSOZ,O,O,X,O
ILJTZSO,O,O,X,O
ILJTZOS,O,O,X,O
ILJTOSZ,O,O,X,O
ILJTOZS,O,O,X,O
ILJSTZO,O,X,X,O
ILJSTOZ,O,X,O,O
ILJSZTO,O,X,O,X
ILJSZOT,O,X,O,X
ILJSOTZ,O,X,O,O
ILJSOZT,O,X,O,X
ILJZTSO,O,O,X,X
ILJZTOS,O,O,X,X
ILJZSTO,O,X,O,X
ILJZSOT,O,X,O,X
ILJZOTS,O,O,X,X
ILJZOST,O,X,O,X
ILJOTSZ,O,O,X,O
ILJOTZS,O,O,X,O
ILJOSTZ,O,X,O,O
ILJOSZT,O,X,O,X
ILJOZTS,O,O,X,X
ILJOZST,O,X,O,X
ILSTJZO,O,O,X,O
ILSTJOZ,O,O,O,O
ILSTZJO,O,O,X,X
ILSTZOJ,O,O,X,O
ILSTOJZ,O,O,O,O
ILSTOZJ,O,O,X,O
ILSJTZO,O,X,X,X
ILSJTOZ,O,X,O,X
ILSJZTO,O,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,X,O,X
ILSJOZT,O,X,O,X
ILSZTJO,O,O,O,X
ILSZTOJ,O,O,O,X
ILSZJTO,O,X,O,X
ILSZJOT,O,X,O,X
ILSZOTJ,O,O,O,X
ILSZOJT,O,X,O,X
ILSOTJZ,O,O,O,O
ILSOTZJ,O,O,X,O
ILSOJTZ,O,X,O,X
ILSOJZT,O,X,O,X
ILSOZTJ,O,O,O,X
ILSOZJT,O,X,O,X
ILZTJSO,X,O,X,O
ILZTJOS,X,O,X,O
ILZTSJO,X,O,X,X
ILZTSOJ,X,O,X,O
ILZTOJS,X,O,X,O
ILZTOSJ,X,O,X,O
ILZJTSO,O,O,X,X
ILZJTOS,O,O,X,X
ILZJSTO,O,X,O,X
ILZJSOT,O,X,O,X
ILZJOTS,O,O,X,X
ILZJOST,O,X,O,X
ILZSTJO,O,O,O,X
ILZSTOJ,O,O,O,X
ILZSJTO,O,X,O,X
ILZSJOT,O,X,O,X
ILZSOTJ,O,O,O,X
ILZSOJT,O,X,O,X
ILZOTJS,X,O,X,O
ILZOTSJ,X,O,X,O
ILZOJTS,O,O,X,X
ILZOJST,O,X,O,X
ILZOSTJ,O,O,O,X
ILZOSJT,O,X,O,X
ILOTJSZ,O,O,X,O
ILOTJZS,O,O,X,O
ILOTSJZ,O,O,X,O
ILOTSZJ,O,O,X,O
ILOTZJS,X,O,X,O
ILOTZSJ,X,O,X,O
ILOJTSZ,O,O,X,O
ILOJTZS,O,O,X,O
ILOJSTZ,O,X,O,O
ILOJSZT,O,X,O,X
ILOJZTS,O,O,X,X
ILOJZST,O,X,O,X
ILOSTJZ,O,O,O,O
ILOSTZJ,O,O,X,O
ILOSJTZ,O,X,O,X
ILOSJZT,O,X,O,X
ILOSZTJ,O,O,O,X
ILOSZJT,O,X,O,X
ILOZTJS,X,O,X,O
ILOZTSJ,X,O,X,O
ILOZJTS,O,O,X,X
ILOZJST,O,X,O,X
ILOZSTJ,O,O,O,X
ILOZSJT,O,X,O,X
IJTLSZO,X,O,X,O
IJTLSOZ,X,O,X,O
IJTLZSO,O,O,X,O
IJTLZOS,O,O,X,O
IJTLOSZ,X,O,X,O
IJTLOZS,O,O,X,O
IJTSLZO,X,O,X,O
IJTSLOZ,X,O,O,O
IJTSZLO,X,X,O,X
IJTSZOL,X,O,O,X
IJTSOLZ,X,O,O,O
IJTSOZL,X,O,O,X
IJTZLSO,O,O,X,X
IJTZLOS,O,O,X,X
IJTZSLO,X,X,O,X
IJTZSOL,X,O,O,X
IJTZOLS,O,O,X,X
IJTZOSL,X,O,O,X
IJTOLSZ,X,O,X,O
IJTOLZS,O,O,X,O
IJTOSLZ,X,O,O,O
IJTOSZL,X,O,O,X
IJTOZLS,O,O,X,X
IJTOZSL,X,O,O,X
IJLTSZO,O,O,X,O
IJLTSOZ,O,O,X,O
IJLTZSO,O,O,X,O
IJLTZOS,O,O,X,O
IJLTOSZ,O,O,X,O
IJLTOZS,O,O,X,O
IJLSTZO,O,X,X,O
IJLSTOZ,O,X,O,O
IJLSZTO,O,X,O,X
IJLSZOT,O,X,O,X
IJLSOTZ,O,X,O,O
IJLSOZT,O,X,O,X
IJLZTSO,O,O,X,X
IJLZTOS,O,O,X,X
IJLZSTO,O,X,O,X
IJLZSOT,O,X,O,X
IJLZOTS,O,O,X,X
IJLZOST,O,X,O,X
IJLOTSZ,O,O,X,O
IJLOTZS,O,O,X,O
IJLOSTZ,O,X,O,O
IJLOSZT,O,X,O,X
IJLOZTS,O,O,X,X
IJLOZST,O,X,O,X
IJSTLZO,X,O,X,O
IJSTLOZ,X,O,O,O
IJSTZLO,O,X,O,X
IJSTZOL,O,O,O,X
IJSTOLZ,X,O,O,O
IJSTOZL,O,O,O,X
IJSLTZO,O,X,X,O
IJSLTOZ,O,X,O,O
IJSLZTO,O,X,O,X
IJSLZOT,O,X,O,X
IJSLOTZ,O,X,O,O
IJSLOZT,O,X,O,X
IJSZTLO,O,X,O,X
IJSZTOL,O,X,O,X
IJSZLTO,O,X,O,X
IJSZLOT,O,X,O,X
IJSZOTL,O,X,O,X
IJSZOLT,O,X,O,X
IJSOTLZ,X,O,O,O
IJSOTZL,O,O,O,X
IJSOLTZ,O,X,O,O
IJSOLZT,O,X,O,X
IJSOZTL,O,X,O,X
IJSOZLT,O,X,O,X
IJZTLSO,O,O,X,X
IJZTLOS,O,O,X,X
IJZTSLO,X,X,O,X
IJZTSOL,X,O,O,X
IJZTOLS,O,O,X,X
IJZTOSL,X,O,O,X
IJZLTSO,O,O,X,X
IJZLTOS,O,O,X,X
IJZLSTO,O,X,O,X
IJZLSOT,O,X,O,X
IJZLOTS,O,O,X,X
IJZLOST,O,X,O,X
IJZSTLO,X,X,O,X
IJZSTOL,X,X,O,X
IJZSLTO,X,X,O,X
IJZSLOT,X,X,O,X
IJZSOTL,X,X,O,X
IJZSOLT,X,X,O,X
IJZOTLS,O,O,X,X
IJZOTSL,X,O,O,X
IJZOLTS,O,O,X,X
IJZOLST,O,X,O,X
IJZOSTL,X,X,O,X
IJZOSLT,X,X,O,X
IJOTLSZ,X,O,X,O
IJOTLZS,O,O,X,O
IJOTSLZ,X,O,O,O
IJOTSZL,X,O,O,X
IJOTZLS,O,O,X,X
IJOTZSL,X,O,O,X
IJOLTSZ,O,O,X,O
IJOLTZS,O,O,X,O
IJOLSTZ,O,X,O,O
IJOLSZT,O,X,O,X
IJOLZTS,O,O,X,X
IJOLZST,O,X,O,X
IJOSTLZ,X,O,O,O
IJOSTZL,O,O,O,X
IJOSLTZ,O,X,O,O
IJOSLZT,O,X,O,X
IJOSZTL,O,X,O,X
IJOSZLT,O,X,O,X
IJOZTLS,O,O,X,X
IJOZTSL,X,O,O,X
IJOZLTS,O,O,X,X
IJOZLST,O,X,O,X
IJOZSTL,X,X,O,X
IJOZSLT,X,X,O,X
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,O,X
ISTLZJO,X,O,X,X
ISTLZOJ,X,O,X,X
ISTLOJZ,X,O,O,X
ISTLOZJ,X,O,X,X
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,O,X
ISTJZLO,O,X,O,X
ISTJZOL,O,O,O,X
ISTJOLZ,X,O,O,X
ISTJOZL,O,O,O,X
ISTZLJO,X,X,O,X
ISTZLOJ,O,X,O,X
ISTZJLO,X,X,O,X
ISTZJOL,O,O,O,X
ISTZOLJ,O,X,O,X
ISTZOJL,O,O,O,X
ISTOLJZ,X,O,O,X
ISTOLZJ,X,O,X,X
ISTOJLZ,X,O,O,X
ISTOJZL,O,O,O,X
ISTOZLJ,O,X,O,X
ISTOZJL,O,O,O,X
ISLTJZO,O,O,X,X
ISLTJOZ,O,O,O,X
ISLTZJO,O,O,X,X
ISLTZOJ,O,O,X,X
ISLTOJZ,O,O,O,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,X,X,X
ISLJTOZ,O,X,O,X
ISLJZTO,O,X,O,X
ISLJZOT,O,X,O,X
ISLJOTZ,O,X,O,X
ISLJOZT,O,X,O,X
ISLZTJO,O,O,O,X
ISLZTOJ,O,O,O,X
ISLZJTO,O,X,O,X
ISLZJOT,O,X,O,X
ISLZOTJ,O,O,O,X
ISLZOJT,O,X,O,X
ISLOTJZ,O,O,O,X
ISLOTZJ,O,O,X,X
ISLOJTZ,O,X,O,X
ISLOJZT,O,X,O,X
ISLOZTJ,O,O,O,X
ISLOZJT,O,X,O,X
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,O,X
ISJTZLO,O,X,O,X
ISJTZOL,O,O,O,X
ISJTOLZ,X,O,O,X
ISJTOZL,O,O,O,X
ISJLTZO,O,X,X,X
ISJLTOZ,O,X,O,X
ISJLZTO,O,X,O,X
ISJLZOT,O,X,O,X
ISJLOTZ,O,X,O,X
ISJLOZT,O,X,O,X
ISJZTLO,O,X,O,X
ISJZTOL,O,X,O,X
ISJZLTO,O,X,O,X
ISJZLOT,O,X,O,X
ISJZOTL,O,X,O,X
ISJZOLT,O,X,O,X
ISJOTLZ,X,O,O,X
ISJOTZL,O,O,O,X
ISJOLTZ,O,X,O,X
ISJOLZT,O,X,O,X
ISJOZTL,O,X,O,X
ISJOZLT,O,X,O,X
ISZTLJO,O,X,O,X
ISZTLOJ,O,X,O,X
ISZTJLO,X,X,O,X
ISZTJOL,O,O,O,X
ISZTOLJ,O,X,O,X
ISZTOJL,O,O,O,X
ISZLTJO,O,O,O,X
ISZLTOJ,O,O,O,X
ISZLJTO,O,X,O,X
ISZLJOT,O,X,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,O,X,O,X
ISZJTLO,O,X,O,X
ISZJTOL,O,X,O,X
ISZJLTO,O,X,O,X
ISZJLOT,O,X,O,X
ISZJOTL,O,X,O,X
ISZJOLT,O,X,O,X
ISZOTLJ,O,X,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,O,O,X
ISZOLJT,O,X,O,X
ISZOJTL,O,X,O,X
ISZOJLT,O,X,O,X
ISOTLJZ,X,O,O,X
ISOTLZJ,X,O,X,X
ISOTJLZ,X,O,O,X
ISOTJZL,O,O,O,X
ISOTZLJ,O,X,O,X
ISOTZJL,O,O,O,X
ISOLTJZ,O,O,O,X
ISOLTZJ,O,O,X,X
ISOLJTZ,O,X,O,X
ISOLJZT,O,X,O,X
ISOLZTJ,O,O,O,X
ISOLZJT,O,X,O,X
ISOJTLZ,X,O,O,X
ISOJTZL,O,O,O,X
ISOJLTZ,O,X,O,X
ISOJLZT,O,X,O,X
ISOJZTL,O,X,O,X
ISOJZLT,O,X,O,X
ISOZTLJ,O,X,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,O,O,X
ISOZLJT,O,X,O,X
ISOZJTL,O,X,O,X
ISOZJLT,O,X,O,X
IZTLJSO,X,O,X,X
IZTLJOS,X,O,X,X
IZTLSJO,X,O,X,X
IZTLSOJ,X,O,X,X
IZTLOJS,X,O,X,X
IZTLOSJ,X,O,X,X
IZTJLSO,X,O,X,X
IZTJLOS,X,O,X,X
IZTJSLO,X,X,O,X
IZTJSOL,X,O,O,X
IZTJOLS,X,O,X,X
IZTJOSL,X,O,O,X
IZTSLJO,X,X,O,X
IZTSLOJ,X,X,O,X
IZTSJLO,X,X,O,X
IZTSJOL,X,O,O,X
IZTSOLJ,X,X,O,X
IZTSOJL,X,O,O,X
IZTOLJS,X,O,X,X
IZTOLSJ,X,O,X,X
IZTOJLS,X,O,X,X
IZTOJSL,X,O,O,X
IZTOSLJ,X,X,O,X
IZTOSJL,X,O,O,X
IZLTJSO,X,O,X,X
IZLTJOS,X,O,X,X
IZLTSJO,X,O,X,X
IZLTSOJ,X,O,X,X
IZLTOJS,X,O,X,X
IZLTOSJ,X,O,X,X
IZLJTSO,X,O,X,X
IZLJTOS,X,O,X,X
IZLJSTO,X,X,O,X
IZLJSOT,X,X,O,X
IZLJOTS,X,O,X,X
IZLJOST,X,X,O,X
IZLSTJO,X,O,O,X
IZLSTOJ,X,O,O,X
IZLSJTO,X,X,O,X
IZLSJOT,X,X,O,X
IZLSOTJ,X,O,O,X
IZLSOJT,X,X,O,X
IZLOTJS,X,O,X,X
IZLOTSJ,X,O,X,X
IZLOJTS,X,O,X,X
IZLOJST,X,X,O,X
IZLOSTJ,X,O,O,X
IZLOSJT,X,X,O,X
IZJTLSO,X,O,X,X
IZJTLOS,X,O,X,X
IZJTSLO,X,X,O,X
IZJTSOL,X,O,O,X
IZJTOLS,X,O,X,X
IZJTOSL,X,O,O,X
IZJLTSO,X,O,X,X
IZJLTOS,X,O,X,X
IZJLSTO,X,X,O,X
IZJLSOT,X,X,O,X
IZJLOTS,X,O,X,X
IZJLOST,X,X,O,X
IZJSTLO,X,X,O,X
IZJSTOL,X,X,O,X
IZJSLTO,X,X,O,X
IZJSLOT,X,X,O,X
IZJSOTL,X,X,O,X
IZJSOLT,X,X,O,X
IZJOTLS,X,O,X,X
IZJOTSL,X,O,O,X
IZJOLTS,X,O,X,X
IZJOLST,X,X,O,X
IZJOSTL,X,X,O,X
IZJOSLT,X,X,O,X
IZSTLJO,X,X,O,X
IZSTLOJ,X,X,O,X
IZSTJLO,X,X,O,X
IZSTJOL,X,O,O,X
IZSTOLJ,X,X,O,X
IZSTOJL,X,O,O,X
IZSLTJO,X,O,O,X
IZSLTOJ,X,O,O,X
IZSLJTO,X,X,O,X
IZSLJOT,X,X,O,X
IZSLOTJ,X,O,O,X
IZSLOJT,X,X,O,X
IZSJTLO,X,X,O,X
IZSJTOL,X,X,O,X
IZSJLTO,X,X,O,X
IZSJLOT,X,X,O,X
IZSJOTL,X,X,O,X
IZSJOLT,X,X,O,X
IZSOTLJ,X,X,O,X
IZSOTJL,X,O,O,X
IZSOLTJ,X,O,O,X
IZSOLJT,X,X,O,X
IZSOJTL,X,X,O,X
IZSOJLT,X,X,O,X
IZOTLJS,X,O,X,X
IZOTLSJ,X,O,X,X
IZOTJLS,X,O,X,X
IZOTJSL,X,O,O,X
IZOTSLJ,X,X,O,X
IZOTSJL,X,O,O,X
IZOLTJS,X,O,X,X
IZOLTSJ,X,O,X,X
IZOLJTS,X,O,X,X
IZOLJST,X,X,O,X
IZOLSTJ,X,O,O,X
IZOLSJT,X,X,O,X
IZOJTLS,X,O,X,X
IZOJTSL,X,O,O,X
IZOJLTS,X,O,X,X
IZOJLST,X,X,O,X
IZOJSTL,X,X,O,X
IZOJSLT,X,X,O,X
IZOSTLJ,X,X,O,X
IZOSTJL,X,O,O,X
IZOSLTJ,X,O,O,X
IZOSLJT,X,X,O,X
IZOSJTL,X,X,O,X
IZOSJLT,X,X,O,X
IOTLJSZ,X,O,X,O
IOTLJZS,O,O,X,O
IOTLSJZ,X,O,X,O
IOTLSZJ,X,O,X,O
IOTLZJS,X,O,X,O
IOTLZSJ,X,O,X,O
IOTJLSZ,X,O,X,O
IOTJLZS,O,O,X,O
IOTJSLZ,X,O,O,O
IOTJSZL,X,O,O,X
IOTJZLS,O,O,X,X
IOTJZSL,X,O,O,X
IOTSLJZ,X,O,O,O
IOTSLZJ,X,O,X,O
IOTSJLZ,X,O,O,X
IOTSJZL,X,O,O,X
IOTSZLJ,X,X,O,X
IOTSZJL,X,O,O,X
IOTZLJS,X,O,X,X
IOTZLSJ,X,O,X,X
IOTZJLS,X,O,X,X
IOTZJSL,X,O,O,X
IOTZSLJ,X,X,O,X
IOTZSJL,X,O,O,X
IOLTJSZ,O,O,X,O
IOLTJZS,O,O,X,O
IOLTSJZ,O,O,X,O
IOLTSZJ,O,O,X,O
IOLTZJS,X,O,X,O
IOLTZSJ,X,O,X,O
IOLJTSZ,O,O,X,O
IOLJTZS,O,O,X,O
IOLJSTZ,O,X,O,O
IOLJSZT,O,X,O,X
IOLJZTS,O,O,X,X
IOLJZST,O,X,O,X
IOLSTJZ,O,O,O,O
IOLSTZJ,O,O,X,O
IOLSJTZ,O,X,O,X
IOLSJZT,O,X,O,X
IOLSZTJ,O,O,O,X
IOLSZJT,O,X,O,X
IOLZTJS,X,O,X,O
IOLZTSJ,X,O,X,O
IOLZJTS,O,O,X,X
IOLZJST,O,X,O,X
IOLZSTJ,O,O,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,X,O,X,O
IOJTLZS,O,O,X,O
IOJTSLZ,X,O,O,O
IOJTSZL,X,O,O,X
IOJTZLS,O,O,X,X
IOJTZSL,X,O,O,X
IOJLTSZ,O,O,X,O
IOJLTZS,O,O,X,O
IOJLSTZ,O,X,O,O
IOJLSZT,O,X,O,X
IOJLZTS,O,O,X,X
IOJLZST,O,X,O,X
IOJSTLZ,X,O,O,O
IOJSTZL,O,O,O,X
IOJSLTZ,O,X,O,O
IOJSLZT,O,X,O,X
IOJSZTL,O,X,O,X
IOJSZLT,O,X,O,X
IOJZTLS,O,O,X,X
IOJZTSL,X,O,O,X
IOJZLTS,O,O,X,X
IOJZLST,O,X,O,X
IOJZSTL,X,X,O,X
IOJZSLT,X,X,O,X
IOSTLJZ,X,O,O,X
IOSTLZJ,X,O,X,X
IOSTJLZ,X,O,O,X
IOSTJZL,O,O,O,X
IOSTZLJ,O,X,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,O,O,X
IOSLTZJ,O,O,X,X
IOSLJTZ,O,X,O,X
IOSLJZT,O,X,O,X
IOSLZTJ,O,O,O,X
IOSLZJT,O,X,O,X
IOSJTLZ,X,O,O,X
IOSJTZL,O,O,O,X
IOSJLTZ,O,X,O,X
IOSJLZT,O,X,O,X
IOSJZTL,O,X,O,X
IOSJZLT,O,X,O,X
IOSZTLJ,O,X,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,O,X
IOSZLJT,O,X,O,X
IOSZJTL,O,X,O,X
IOSZJLT,O,X,O,X
IOZTLJS,X,O,X,X
IOZTLSJ,X,O,X,X
IOZTJLS,X,O,X,X
IOZTJSL,X,O,O,X
IOZTSLJ,X,X,O,X
IOZTSJL,X,O,O,X
IOZLTJS,X,O,X,X
IOZLTSJ,X,O,X,X
IOZLJTS,X,O,X,X
IOZLJST,X,X,O,X
IOZLSTJ,X,O,O,X
IOZLSJT,X,X,O,X
IOZJTLS,X,O,X,X
IOZJTSL,X,O,O,X
IOZJLTS,X,O,X,X
IOZJLST,X,X,O,X
IOZJSTL,X,X,O,X
IOZJSLT,X,X,O,X
IOZSTLJ,X,X,O,X
IOZSTJL,X,O,O,X
IOZSLTJ,X,O,O,X
IOZSLJT,X,X,O,X
IOZSJTL,X,X,O,X
IOZSJLT,X,X,O,X
LTIJSZO,O,O,X,O
LTIJSOZ,O,O,X,O
LTIJZSO,O,O,X,O
LTIJZOS,O,O,X,O
LTIJOSZ,O,O,X,O
LTIJOZS,O,O,X,O
LTISJZO,O,O,X,O
LTISJOZ,O,O,X,O
LTISZJO,O,O,X,X
LTISZOJ,O,O,X,O
LTISOJZ,O,O,X,O
LTISOZJ,O,O,X,O
LTIZJSO,X,O,X,O
LTIZJOS,X,O,X,O
LTIZSJO,X,O,X,X
LTIZSOJ,X,O,X,O
LTIZOJS,X,O,X,O
LTIZOSJ,X,O,X,O
LTIOJSZ,O,O,X,O
LTIOJZS,O,O,X,O
LTIOSJZ,O,O,X,O
LTIOSZJ,O,O,X,O
LTIOZJS,X,O,X,O
LTIOZSJ,X,O,X,O
LTJISZO,O,O,X,O
LTJISOZ,O,O,X,O
LTJIZSO,O,O,X,O
LTJIZOS,O,O,X,O
LTJIOSZ,O,O,X,O
LTJIOZS,O,O,X,O
LTJSIZO,O,O,X,O
LTJSIOZ,O,O,X,O
LTJSZIO,O,O,X,O
LTJSZOI,O,O,X,O
LTJSOIZ,O,O,X,O
LTJSOZI,O,O,X,O
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,O,O,X,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,X,O
LTJZOSI,O,O,X,O
LTJOISZ,O,O,X,O
LTJOIZS,O,O,X,O
LTJOSIZ,O,O,X,O
LTJOSZI,O,O,X,O
LTJOZIS,O,O,X,O
LTJOZSI,O,O,X,O
LTSIJZO,O,O,X,O
LTSIJOZ,O,O,X,O
LTSIZJO,O,O,X,X
LTSIZOJ,O,O,X,O
LTSIOJZ,O,O,X,O
LTSIOZJ,O,O,X,O
LTSJIZO,O,O,X,O
LTSJIOZ,O,O,X,O
LTSJZIO,O,O,X,O
LTSJZOI,O,O,X,O
LTSJOIZ,O,O,X,O
LTSJOZI,O,O,X,O
LTSZIJO,O,O,X,X
LTSZIOJ,O,O,X,O
LTSZJIO,O,O,X,X
LTSZJOI,O,O,X,X
LTSZOIJ,O,O,X,O
LTSZOJI,O,O,X,O
LTSOIJZ,O,O,X,O
LTSOIZJ,O,O,X,O
LTSOJIZ,O,O,X,O
LTSOJZI,O,O,X,O
LTSOZIJ,O,O,X,O
LTSOZJI,O,O,X,O
LTZIJSO,X,O,X,O
LTZIJOS,X,O,X,O
LTZISJO,X,O,X,X
LTZISOJ,X,O,X,O
LTZIOJS,X,O,X,O
LTZIOSJ,X,O,X,O
LTZJISO,O,O,X,O
LTZJIOS,O,O,X,O
LTZJSIO,O,O,X,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,X,O
LTZJOSI,O,O,X,O
LTZSIJO,X,O,X,X
LTZSIOJ,X,O,X,O
LTZSJIO,X,O,X,X
LTZSJOI,X,O,X,X
LTZSOIJ,X,O,X,O
LTZSOJI,X,O,X,O
LTZOIJS,X,O,X,O
LTZOISJ,X,O,X,O
LTZOJIS,O,O,X,O
LTZOJSI,O,O,X,O
LTZOSIJ,X,O,X,O
LTZOSJI,X,O,X,O
LTOIJSZ,O,O,X,O
LTOIJZS,O,O,X,O
LTOISJZ,O,O,X,O
LTOISZJ,O,O,X,O
LTOIZJS,X,O,X,O
LTOIZSJ,X,O,X,O
LTOJISZ,O,O,X,O
LTOJIZS,O,O,X,O
LTOJSIZ,O,O,X,O
LTOJSZI,O,O,X,O
LTOJZIS,O,O,X,O
LTOJZSI,O,O,X,O
LTOSIJZ,O,O,X,O
LTOSIZJ,O,O,X,O
LTOSJIZ,O,O,X,O
LTOSJZI,O,O,X,O
LTOSZIJ,O,O,X,O
LTOSZJI,O,O,X,O
LTOZIJS,X,O,X,O
LTOZISJ,X,O,X,O
LTOZJIS,O,O,X,O
LTOZJSI,O,O,X,O
LTOZSIJ,X,O,X,O
LTOZSJI,X,O,X,O
LITJSZO,O,O,X,O
LITJSOZ,O,O,X,O
LITJZSO,O,O,X,O
LITJZOS,O,O,X,O
LITJOSZ,O,O,X,O
LITJOZS,O,O,X,O
LITSJZO,O,O,X,O
LITSJOZ,O,O,X,O
LITSZJO,O,O,X,X
LITSZOJ,O,O,X,O
LITSOJZ,O,O,X,O
LITSOZJ,O,O,X,O
LITZJSO,X,O,X,O
LITZJOS,X,O,X,O
LITZSJO,X,O,X,X
LITZSOJ,X,O,X,O
LITZOJS,X,O,X,O
LITZOSJ,X,O,X,O
LITOJSZ,O,O,X,O
LITOJZS,O,O,X,O
LITOSJZ,O,O,X,O
LITOSZJ,O,O,X,O
LITOZJS,X,O,X,O
LITOZSJ,X,O,X,O
LIJTSZO,O,O,X,O
LIJTSOZ,O,O,X,O
LIJTZSO,O,O,X,O
LIJTZOS,O,O,X,O
LIJTOSZ,O,O,X,O
LIJTOZS,O,O,X,O
LIJSTZO,O,X,X,O
LIJSTOZ,O,X,O,O
LIJSZTO,O,X,O,X
LIJSZOT,O,X,O,X
LIJSOTZ,O,X,O,O
LIJSOZT,O,X,O,X
LIJZTSO,O,O,X,X
LIJZTOS,O,O,X,X
LIJZSTO,O,X,O,X
LIJZSOT,O,X,O,X
LIJZOTS,O,O,X,X
LIJZOST,O,X,O,X
LIJOTSZ,O,O,X,O
LIJOTZS,O,O,X,O
LIJOSTZ,O,X,O,O
LIJOSZT,O,X,O,X
LIJOZTS,O,O,X,X
LIJOZST,O,X,O,X
LISTJZO,O,O,X,O
LISTJOZ,O,O,O,O
LISTZJO,O,O,X,X
LISTZOJ,O,O,X,O
LISTOJZ,O,O,O,O
LISTOZJ,O,O,X,O
LISJTZO,O,X,X,X
LISJTOZ,O,X,O,X
LISJZTO,O,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,O,X,O,X
LISJOZT,O,X,O,X
LISZTJO,O,O,O,X
LISZTOJ,O,O,O,X
LISZJTO,O,X,O,X
LISZJOT,O,X,O,X
LISZOTJ,O,O,O,X
LISZOJT,O,X,O,X
LISOTJZ,O,O,O,O
LISOTZJ,O,O,X,O
LISOJTZ,O,X,O,X
LISOJZT,O,X,O,X
LISOZTJ,O,O,O,X
LISOZJT,O,X,O,X
LIZTJSO,X,O,X,O
LIZTJOS,X,O,X,O
LIZTSJO,X,O,X,X
LIZTSOJ,X,O,X,O
LIZTOJS,X,O,X,O
LIZTOSJ,X,O,X,O
LIZJTSO,O,O,X,X
LIZJTOS,O,O,X,X
LIZJSTO,O,X,O,X
LIZJSOT,O,X,O,X
LIZJOTS,O,O,X,X
LIZJOST,O,X,O,X
LIZSTJO,O,O,O,X
LIZSTOJ,O,O,O,X
LIZSJTO,O,X,O,X
LIZSJOT,O,X,O,X
LIZSOTJ,O,O,O,X
LIZSOJT,O,X,O,X
LIZOTJS,X,O,X,O
LIZOTSJ,X,O,X,O
LIZOJTS,O,O,X,X
LIZOJST,O,X,O,X
LIZOSTJ,O,O,O,X
LIZOSJT,O,X,O,X
LIOTJSZ,O,O,X,O
LIOTJZS,O,O,X,O
LIOTSJZ,O,O,X,O
LIOTSZJ,O,O,X,O
LIOTZJS,X,O,X,O
LIOTZSJ,X,O,X,O
LIOJTSZ,O,O,X,O
LIOJTZS,O,O,X,O
LIOJSTZ,O,X,O,O
LIOJSZT,O,X,O,X
LIOJZTS,O,O,X,X
LIOJZST,O,X,O,X
LIOSTJZ,O,O,O,O
LIOSTZJ,O,O,X,O
LIOSJTZ,O,X,O,X
LIOSJZT,O,X,O,X
LIOSZTJ,O,O,O,X
LIOSZJT,O,X,O,X
LIOZTJS,X,O,X,O
LIOZTSJ,X,O,X,O
LIOZJTS,O,O,X,X
LIOZJST,O,X,O,X
LIOZSTJ,O,O,O,X
LIOZSJT,O,X,O,X
LJTISZO,O,O,X,O
LJTISOZ,O,O,X,O
LJTIZSO,O,O,X,O
LJTIZOS,O,O,X,O
LJTIOSZ,O,O,X,O
LJTIOZS,O,O,X,O
LJTSIZO,O,O,X,O
LJTSIOZ,O,O,X,O
LJTSZIO,O,O,X,O
LJTSZOI,O,O,X,O
LJTSOIZ,O,O,X,O
