sequence,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFCgBXhBVnB8pBGr?BTsB,v115@EhC8HeB8HeB8BeC8CeB8Je2EJvhFRgBUiB3lB1rBTp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFzfBfmBlhB8rB+s?BCqB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhF8lBzhBikB+sB3p?BlrB,v115@EhC8HeB8HeB8BeC8CeB8Jex/IvhFlhBOpB8pBzlBXn?BSxB,v115@EhC8HeB8HeB8BeC8CeB8Jei/IvhFRhBFlBXmB8rB+s?BTpB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFChBVnBupB/rBUl?BTsB,v115@EhC8HeB8HeB8BeC8CeB8JeXAJvhF8lBzhBlpBxrBOp?BSxB,v115@EhC8HeB8HeB8BeC8CeB8JeZEJvhFfmBlhBUlB6sBup?BzrB
TILJSZO,X,X,O,X,X,O,X,X,O
TILJSOZ,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,O,X,X,X
TILJZOS,X,X,O,X,X,O,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,O,X,X,X
TILSJZO,X,X,O,X,X,O,X,X,O
TILSJOZ,X,X,O,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,O
TILSZOJ,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,O
TILZJSO,X,X,X,X,X,O,X,O,X
TILZJOS,X,X,X,X,X,O,X,O,X
TILZSJO,X,X,X,X,X,X,X,O,O
TILZSOJ,X,X,X,X,X,X,X,O,O
TILZOJS,X,X,X,X,X,X,X,O,X
TILZOSJ,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,O,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,O,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,X,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,X,X,O,X
TIJLSZO,O,X,O,X,X,O,X,X,X
TIJLSOZ,X,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,X,X,O,X,X,X
TIJLZOS,O,X,O,X,X,O,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,O,X,X,X
TIJSLZO,O,X,O,X,X,O,O,X,X
TIJSLOZ,X,X,O,X,X,X,O,X,X
TIJSZLO,O,X,O,X,X,X,O,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,X,O,X,O,X
TIJZLOS,O,X,O,X,X,O,X,O,X
TIJZSLO,O,X,O,X,X,O,X,O,X
TIJZSOL,O,X,O,X,X,O,X,O,X
TIJZOLS,O,X,X,X,X,O,X,O,X
TIJZOSL,O,X,O,X,X,X,X,O,X
TIJOLSZ,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,X
TIJOSZL,O,X,X,X,X,X,O,X,X
TIJOZLS,O,X,X,X,X,X,X,O,X
TIJOZSL,O,X,X,X,X,X,O,O,X
TISLJZO,X,O,O,X,X,O,O,X,O
TISLJOZ,X,X,O,X,X,X,O,X,X
TISLZJO,X,O,X,X,X,X,O,X,O
TISLZOJ,X,X,X,X,X,X,X,X,O
TISLOJZ,X,X,O,X,X,X,O,X,X
TISLOZJ,X,X,X,X,X,X,X,X,O
TISJLZO,X,O,O,X,X,X,O,X,X
TISJLOZ,X,X,O,X,X,X,O,X,X
TISJZLO,X,O,O,X,X,X,O,X,X
TISJZOL,X,O,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,X
TISJOZL,X,O,X,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,O,O,O
TISZLOJ,X,X,X,X,X,X,X,O,O
TISZJLO,X,O,X,X,X,X,O,O,X
TISZJOL,X,O,X,X,X,X,X,O,X
TISZOLJ,X,O,X,X,X,X,X,O,X
TISZOJL,X,O,X,X,X,X,X,O,X
TISOLJZ,X,O,X,X,X,X,O,X,X
TISOLZJ,X,O,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,X,X,O,X,X
TISOJZL,X,O,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,X,O,X
TISOZJL,X,O,X,X,X,X,X,O,X
TIZLJSO,O,X,X,X,X,O,X,O,X
TIZLJOS,O,X,X,X,X,O,X,O,X
TIZLSJO,X,X,X,X,X,X,X,O,O
TIZLSOJ,X,X,X,X,X,X,X,O,O
TIZLOJS,O,X,X,X,X,X,X,O,X
TIZLOSJ,O,X,X,X,X,X,X,O,X
TIZJLSO,O,X,X,X,X,X,X,O,X
TIZJLOS,O,X,X,X,X,X,X,O,X
TIZJSLO,O,X,X,X,X,X,X,O,X
TIZJSOL,O,X,X,X,X,X,X,O,X
TIZJOLS,O,X,X,X,X,X,X,O,X
TIZJOSL,O,X,X,X,X,X,X,O,X
TIZSLJO,X,O,X,X,X,X,X,O,O
TIZSLOJ,X,X,X,X,X,X,X,O,O
TIZSJLO,X,O,X,X,X,X,X,O,X
TIZSJOL,X,O,X,X,X,X,X,O,X
TIZSOLJ,X,O,X,X,X,X,X,O,X
TIZSOJL,X,O,X,X,X,X,X,O,X
TIZOLJS,O,X,X,X,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,O,X
TIZOJLS,O,O,X,X,X,X,X,O,X
TIZOJSL,O,O,X,X,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X,O,X
TIZOSJL,O,O,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,X,X,O,X,X
TIOLJZS,O,X,X,X,X,O,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,X,O,X,X
TIOLZJS,O,X,X,X,X,X,X,O,X
TIOLZSJ,O,X,X,X,X,X,X,O,X
TIOJLSZ,O,X,X,X,X,X,O,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,O,X,X
TIOJSZL,O,O,X,X,X,X,O,X,X
TIOJZLS,O,O,X,X,X,X,X,O,X
TIOJZSL,O,O,X,X,X,X,O,O,X
TIOSLJZ,O,O,X,X,X,X,O,X,X
TIOSLZJ,O,O,X,X,X,X,O,X,X
TIOSJLZ,O,O,X,X,X,X,O,X,X
TIOSJZL,O,O,X,X,X,X,O,X,X
TIOSZLJ,O,O,X,X,X,X,O,O,X
TIOSZJL,O,O,X,X,X,X,O,O,X
TIOZLJS,O,X,X,X,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,O,X
TIOZJLS,O,O,X,X,X,X,X,O,X
TIOZJSL,O,O,X,X,X,X,O,O,X
TIOZSLJ,O,O,X,X,X,X,O,O,X
TIOZSJL,O,O,X,X,X,X,O,O,X
TLIJSZO,X,X,O,X,X,O,X,X,O
TLIJSOZ,X,X,O,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,O,X,X,X
TLIJZOS,X,X,O,X,X,O,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X
TLIJOZS,X,X,O,X,X,O,X,X,X
TLISJZO,X,O,O,X,X,O,X,X,O
TLISJOZ,X,O,O,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,X,X,O
TLISZOJ,X,O,X,X,X,X,X,X,O
TLISOJZ,X,O,O,X,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X,O
TLIZJSO,X,X,X,X,X,O,X,O,X
TLIZJOS,X,X,X,X,X,O,X,O,X
TLIZSJO,X,O,X,X,X,X,X,O,O
TLIZSOJ,X,O,X,X,X,X,X,O,O
TLIZOJS,X,O,X,X,X,X,X,O,X
TLIZOSJ,X,O,X,X,X,X,X,O,X
TLIOJSZ,X,O,O,X,X,X,X,X,X
TLIOJZS,X,O,O,X,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,X,O
TLIOZJS,X,O,X,X,X,X,X,O,X
TLIOZSJ,X,O,X,X,X,X,X,O,X
TLJISZO,X,X,O,X,X,O,X,X,O
TLJISOZ,X,X,O,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,O,X,X,X
TLJIZOS,X,X,O,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,O,X,X,O,X,X,X
TLJSIZO,X,O,O,X,X,O,X,X,O
TLJSIOZ,X,O,O,X,X,X,X,X,X
TLJSZIO,X,O,O,X,X,O,X,X,O
TLJSZOI,X,O,O,X,X,O,X,X,X
TLJSOIZ,X,O,O,X,X,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X,X
TLJZIOS,X,X,O,X,X,O,X,X,X
TLJZSIO,X,O,O,X,X,O,X,X,X
TLJZSOI,X,O,O,X,X,O,X,X,X
TLJZOIS,X,O,O,X,X,O,X,X,X
TLJZOSI,X,O,O,X,X,O,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,O,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,O,X,X,X
TLJOZSI,X,O,O,X,X,O,X,X,X
TLSIJZO,X,O,O,X,X,O,X,X,O
TLSIJOZ,X,O,O,X,X,X,X,X,X
TLSIZJO,X,O,X,X,O,X,X,X,O
TLSIZOJ,X,O,X,X,O,X,X,X,O
TLSIOJZ,X,O,O,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,O,X,X,X,O
TLSJIZO,X,O,O,X,X,O,X,X,O
TLSJIOZ,X,O,O,X,X,X,X,X,X
TLSJZIO,X,O,O,X,O,O,X,X,O
TLSJZOI,X,O,O,X,O,O,X,X,X
TLSJOIZ,X,O,O,X,O,X,X,X,X
TLSJOZI,X,O,O,X,O,X,X,X,X
TLSZIJO,X,O,X,X,O,X,X,O,O
TLSZIOJ,X,O,X,X,O,X,X,O,O
TLSZJIO,X,O,X,X,O,X,X,X,O
TLSZJOI,X,O,X,X,O,X,X,X,X
TLSZOIJ,X,O,X,X,O,X,X,X,O
TLSZOJI,X,O,X,X,O,X,X,X,X
TLSOIJZ,X,O,O,X,O,X,X,X,X
TLSOIZJ,X,O,X,X,O,X,X,X,O
TLSOJIZ,X,O,O,X,O,X,X,X,X
TLSOJZI,X,O,O,X,O,X,X,X,X
TLSOZIJ,X,O,X,X,O,X,X,X,O
TLSOZJI,X,O,X,X,O,X,X,X,X
TLZIJSO,X,X,X,X,X,O,X,O,X
TLZIJOS,X,X,X,X,X,O,X,O,X
TLZISJO,X,O,X,X,O,X,X,O,O
TLZISOJ,X,O,X,X,O,X,X,O,O
TLZIOJS,X,O,X,X,O,X,X,O,X
TLZIOSJ,X,O,X,X,O,X,X,O,X
TLZJISO,X,X,X,X,O,O,X,X,X
TLZJIOS,X,X,X,X,O,O,X,X,X
TLZJSIO,X,O,X,X,O,O,X,X,X
TLZJSOI,X,O,X,X,O,O,X,X,X
TLZJOIS,X,O,X,X,O,O,X,X,X
TLZJOSI,X,O,X,X,O,O,X,X,X
TLZSIJO,X,O,X,X,O,X,X,O,O
TLZSIOJ,X,O,X,X,O,X,X,O,O
TLZSJIO,X,O,X,X,O,X,X,X,O
TLZSJOI,X,O,X,X,O,X,X,X,X
TLZSOIJ,X,O,X,X,O,X,X,X,O
TLZSOJI,X,O,X,X,O,X,X,X,X
TLZOIJS,X,O,X,X,O,X,X,X,X
TLZOISJ,X,O,X,X,O,X,X,X,X
TLZOJIS,X,O,X,X,O,X,X,X,X
TLZOJSI,X,O,X,X,O,X,X,X,X
TLZOSIJ,X,O,X,X,O,X,X,X,X
TLZOSJI,X,O,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,O,X,X,X,X
TLOIJZS,X,O,O,X,O,O,X,X,X
TLOISJZ,X,O,O,X,O,X,X,X,X
TLOISZJ,X,O,X,X,O,X,X,X,O
TLOIZJS,X,O,X,X,O,X,X,X,X
TLOIZSJ,X,O,X,X,O,X,X,X,X
TLOJISZ,X,O,O,X,O,X,X,X,X
TLOJIZS,X,O,O,X,O,O,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X
TLOJZIS,X,O,O,X,O,O,X,X,X
TLOJZSI,X,O,O,X,O,O,X,X,X
TLOSIJZ,X,O,O,X,O,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,X,X,O
TLOSJIZ,X,O,O,X,O,X,X,X,X
TLOSJZI,X,O,O,X,O,X,X,X,X
TLOSZIJ,X,O,X,X,O,X,X,X,O
TLOSZJI,X,O,X,X,O,X,X,X,X
TLOZIJS,X,O,X,X,O,X,X,X,X
TLOZISJ,X,O,X,X,O,X,X,X,X
TLOZJIS,X,O,X,X,O,X,X,X,X
TLOZJSI,X,O,X,X,O,X,X,X,X
TLOZSIJ,X,O,X,X,O,X,X,X,X
TLOZSJI,X,O,X,X,O,X,X,X,X
TJILSZO,O,X,O,X,X,O,X,X,X
TJILSOZ,X,X,O,X,X,X,X,X,X
TJILZSO,O,X,O,X,X,O,X,X,X
TJILZOS,O,X,O,X,X,O,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X
TJILOZS,X,X,O,X,X,O,X,X,X
TJISLZO,O,X,O,O,X,O,O,X,X
TJISLOZ,X,X,O,O,X,X,O,X,X
TJISZLO,O,X,O,O,X,X,O,X,X
TJISZOL,O,X,O,O,X,X,X,X,X
TJISOLZ,X,X,X,O,X,X,O,X,X
TJISOZL,O,X,X,O,X,X,X,X,X
