sequence,v115@LhB8DeA8CeB8DeF8CeA8Je2EJvhFRgBFiBXjBSqBct?BTsB,v115@LhB8DeA8CeB8DeF8CeA8Je2EJvhFRgBFiBTjBSqBcs?BXtB,v115@LhB8DeA8CeB8DeF8CeA8Je/EJvhFRgBanBGjBTlBUo?B1xB,v115@LhB8DeA8CeB8DeF8CeA8Jei/IvhF3gBTjBWqBxsB0s?BFsB,v115@LhB8DeA8CeB8DeF8CeA8Je/EJvhFRgBGjBTlBinBFt?BUsB
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,O,X,X,X,X
TJIZSOL,X,O,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,O,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,O,O,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,O,X,X,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,O
TJLSOZI,X,X,X,X,O
TJLZISO,O,O,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,O,O,X,X,X
TJLZSOI,X,O,X,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,O,X,X,X,X
TJLOSIZ,X,X,X,X,O
TJLOSZI,X,X,X,X,O
TJLOZIS,O,X,X,X,X
TJLOZSI,O,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,O
TJSLOZI,X,X,X,X,O
TJSZILO,X,X,X,X,X
