sequence,v115@PhA8AeB8AeB8CeA8AeC8CeC8KeT/IvhFOlBXhBliB5?oBUnBSwB
TILJSZO,X
TILJSOZ,O
TILJZSO,X
TILJZOS,X
TILJOSZ,O
TILJOZS,X
TILSJZO,X
TILSJOZ,O
TILSZJO,X
TILSZOJ,X
TILSOJZ,O
TILSOZJ,X
TILZJSO,X
TILZJOS,X
TILZSJO,X
TILZSOJ,X
TILZOJS,X
TILZOSJ,X
TILOJSZ,O
TILOJZS,X
TILOSJZ,O
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,X
TIJLSOZ,O
TIJLZSO,X
TIJLZOS,X
TIJLOSZ,O
TIJLOZS,X
TIJSLZO,X
TIJSLOZ,X
TIJSZLO,X
TIJSZOL,X
TIJSOLZ,X
TIJSOZL,O
TIJZLSO,X
TIJZLOS,X
TIJZSLO,X
TIJZSOL,O
TIJZOLS,X
TIJZOSL,O
TIJOLSZ,O
TIJOLZS,X
TIJOSLZ,X
TIJOSZL,O
TIJOZLS,X
TIJOZSL,O
TISLJZO,X
TISLJOZ,X
TISLZJO,X
TISLZOJ,X
TISLOJZ,X
TISLOZJ,X
TISJLZO,X
TISJLOZ,X
TISJZLO,X
TISJZOL,X
TISJOLZ,X
TISJOZL,O
TISZLJO,X
TISZLOJ,X
TISZJLO,X
TISZJOL,X
TISZOLJ,X
TISZOJL,X
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,O
TISOZLJ,X
TISOZJL,X
TIZLJSO,X
TIZLJOS,X
TIZLSJO,X
TIZLSOJ,X
TIZLOJS,X
TIZLOSJ,X
TIZJLSO,X
TIZJLOS,X
TIZJSLO,X
TIZJSOL,O
TIZJOLS,X
TIZJOSL,O
TIZSLJO,X
TIZSLOJ,X
TIZSJLO,X
TIZSJOL,O
TIZSOLJ,X
TIZSOJL,O
TIZOLJS,X
TIZOLSJ,X
TIZOJLS,X
TIZOJSL,O
TIZOSLJ,X
TIZOSJL,O
TIOLJSZ,O
TIOLJZS,X
TIOLSJZ,O
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,O
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,O
TIOJZLS,X
TIOJZSL,O
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,O
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,O
TIOZSLJ,X
TIOZSJL,O
TLIJSZO,X
TLIJSOZ,O
TLIJZSO,X
TLIJZOS,X
TLIJOSZ,O
TLIJOZS,X
TLISJZO,X
TLISJOZ,O
TLISZJO,X
TLISZOJ,X
TLISOJZ,O
TLISOZJ,X
TLIZJSO,X
TLIZJOS,X
TLIZSJO,X
TLIZSOJ,X
TLIZOJS,X
TLIZOSJ,X
TLIOJSZ,O
TLIOJZS,X
TLIOSJZ,O
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,X
TLJISOZ,O
TLJIZSO,X
TLJIZOS,X
TLJIOSZ,O
TLJIOZS,X
TLJSIZO,X
TLJSIOZ,O
TLJSZIO,X
TLJSZOI,X
TLJSOIZ,O
TLJSOZI,X
TLJZISO,X
TLJZIOS,X
TLJZSIO,X
TLJZSOI,X
TLJZOIS,X
TLJZOSI,X
TLJOISZ,O
TLJOIZS,X
TLJOSIZ,O
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,X
TLSIJOZ,O
TLSIZJO,X
TLSIZOJ,X
TLSIOJZ,O
TLSIOZJ,X
TLSJIZO,X
TLSJIOZ,O
TLSJZIO,X
TLSJZOI,X
TLSJOIZ,O
TLSJOZI,X
TLSZIJO,X
TLSZIOJ,X
TLSZJIO,X
TLSZJOI,X
TLSZOIJ,X
TLSZOJI,X
TLSOIJZ,O
TLSOIZJ,X
TLSOJIZ,O
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,X
TLZIJOS,X
TLZISJO,X
TLZISOJ,X
TLZIOJS,X
TLZIOSJ,X
TLZJISO,X
TLZJIOS,X
TLZJSIO,X
TLZJSOI,X
TLZJOIS,X
TLZJOSI,X
TLZSIJO,X
TLZSIOJ,X
TLZSJIO,X
TLZSJOI,X
TLZSOIJ,X
TLZSOJI,X
TLZOIJS,X
TLZOISJ,X
TLZOJIS,X
TLZOJSI,X
TLZOSIJ,X
TLZOSJI,X
TLOIJSZ,O
TLOIJZS,X
TLOISJZ,O
TLOISZJ,X
TLOIZJS,X
TLOIZSJ,X
TLOJISZ,O
TLOJIZS,X
TLOJSIZ,O
TLOJSZI,X
TLOJZIS,X
TLOJZSI,X
TLOSIJZ,O
TLOSIZJ,X
TLOSJIZ,O
TLOSJZI,X
TLOSZIJ,X
TLOSZJI,X
TLOZIJS,X
TLOZISJ,X
TLOZJIS,X
TLOZJSI,X
TLOZSIJ,X
TLOZSJI,X
TJILSZO,X
TJILSOZ,O
TJILZSO,X
TJILZOS,X
TJILOSZ,O
TJILOZS,X
TJISLZO,X
TJISLOZ,X
TJISZLO,X
TJISZOL,X
TJISOLZ,X
TJISOZL,O
TJIZLSO,X
TJIZLOS,X
TJIZSLO,X
TJIZSOL,O
TJIZOLS,X
TJIZOSL,O
TJIOLSZ,O
TJIOLZS,X
TJIOSLZ,X
TJIOSZL,O
TJIOZLS,X
TJIOZSL,O
TJLISZO,X
TJLISOZ,O
TJLIZSO,X
TJLIZOS,X
TJLIOSZ,O
TJLIOZS,X
TJLSIZO,X
TJLSIOZ,O
TJLSZIO,X
TJLSZOI,X
TJLSOIZ,O
TJLSOZI,X
TJLZISO,X
TJLZIOS,X
TJLZSIO,X
TJLZSOI,X
TJLZOIS,X
TJLZOSI,X
TJLOISZ,O
TJLOIZS,X
TJLOSIZ,O
TJLOSZI,X
TJLOZIS,X
TJLOZSI,X
TJSILZO,X
TJSILOZ,X
TJSIZLO,X
TJSIZOL,X
TJSIOLZ,X
TJSIOZL,O
TJSLIZO,X
TJSLIOZ,X
TJSLZIO,X
TJSLZOI,X
TJSLOIZ,X
TJSLOZI,X
TJSZILO,X
TJSZIOL,X
TJSZLIO,X
TJSZLOI,X
TJSZOIL,X
TJSZOLI,X
TJSOILZ,X
TJSOIZL,O
TJSOLIZ,X
TJSOLZI,X
TJSOZIL,X
TJSOZLI,X
TJZILSO,X
TJZILOS,X
TJZISLO,X
TJZISOL,O
TJZIOLS,X
TJZIOSL,O
TJZLISO,X
TJZLIOS,X
TJZLSIO,X
TJZLSOI,X
TJZLOIS,X
TJZLOSI,X
TJZSILO,X
TJZSIOL,O
TJZSLIO,X
TJZSLOI,X
TJZSOIL,O
TJZSOLI,X
TJZOILS,X
TJZOISL,O
TJZOLIS,X
TJZOLSI,X
TJZOSIL,O
TJZOSLI,X
TJOILSZ,O
TJOILZS,X
TJOISLZ,X
TJOISZL,O
TJOIZLS,X
TJOIZSL,O
TJOLISZ,O
TJOLIZS,X
TJOLSIZ,O
TJOLSZI,X
TJOLZIS,X
TJOLZSI,X
TJOSILZ,X
TJOSIZL,O
TJOSLIZ,X
TJOSLZI,X
TJOSZIL,X
TJOSZLI,X
TJOZILS,X
TJOZISL,O
TJOZLIS,X
TJOZLSI,X
TJOZSIL,O
TJOZSLI,X
TSILJZO,X
