sequence,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBRhBGjB0mBlnBXtB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhBziB+oB3kBlmB0sB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhB+oB3kB0mBlnBzsB,v115@KhA8HeC8EeG8BeA8Je2EJvhFFhBxiBCnBToB3kB0sB,v115@KhA8HeC8EeG8BeA8JeOEJvhF8kBFhB6oBRnBXnBzsB,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBUhBFiBGoBRsBXtB
TLJISOZ,X,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,O,X,O
TLJIOSZ,X,O,X,O,X,X
TLJIOZS,X,X,X,O,X,O
TLJSIZO,X,O,X,X,X,X
TLJSIOZ,X,O,X,X,X,X
TLJSZIO,X,O,X,X,X,X
TLJSZOI,X,O,X,O,X,O
TLJSOIZ,X,O,X,O,X,X
TLJSOZI,X,O,X,O,X,O
TLJZISO,X,O,X,X,X,X
TLJZIOS,X,O,X,O,O,O
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,X,O,O,O
TLJZOIS,X,O,X,O,O,O
TLJZOSI,X,O,X,O,O,O
TLJOISZ,X,O,X,O,X,X
TLJOIZS,X,X,X,O,O,O
TLJOSIZ,X,O,X,O,X,X
TLJOSZI,X,O,X,O,X,O
TLJOZIS,X,X,X,O,O,O
TLJOZSI,X,X,X,O,O,O
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,O,X,X,X,X
TLSJZOI,O,O,X,O,X,X
TLSJOIZ,O,O,X,O,X,X
TLSJOZI,O,O,X,O,X,X
TLSZIJO,O,O,X,X,X,X
TLSZIOJ,O,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X
TLSZJOI,O,O,X,O,O,X
TLSZOIJ,O,O,X,O,O,X
TLSZOJI,O,O,X,O,O,X
TLSOIJZ,O,O,X,O,X,X
TLSOIZJ,O,O,X,X,O,X
TLSOJIZ,O,O,X,O,X,X
TLSOJZI,O,O,X,O,X,X
TLSOZIJ,O,O,X,X,O,X
TLSOZJI,O,O,X,X,O,X
TLZIJSO,O,O,X,X,X,O
TLZIJOS,O,O,X,O,O,O
TLZISJO,O,O,X,X,X,O
TLZISOJ,O,O,X,X,X,O
TLZIOJS,O,X,X,O,O,O
TLZIOSJ,O,X,X,O,O,O
TLZJISO,O,O,X,X,X,O
TLZJIOS,O,O,X,O,O,O
TLZJSIO,O,O,X,X,X,X
TLZJSOI,O,O,X,O,O,O
TLZJOIS,O,O,X,O,O,O
TLZJOSI,O,O,X,O,O,O
TLZSIJO,O,O,X,X,X,O
TLZSIOJ,O,O,X,X,X,O
TLZSJIO,O,O,X,X,X,X
TLZSJOI,O,O,X,O,O,O
TLZSOIJ,O,O,X,O,O,O
TLZSOJI,O,O,X,O,O,O
TLZOIJS,O,X,X,O,O,O
TLZOISJ,O,X,X,O,O,O
TLZOJIS,O,X,X,O,O,O
TLZOJSI,O,X,X,O,O,O
TLZOSIJ,O,X,X,O,O,O
TLZOSJI,O,X,X,O,O,O
TLOIJSZ,X,X,X,O,X,O
TLOIJZS,X,X,X,O,O,O
TLOISJZ,O,X,X,O,X,O
TLOISZJ,O,X,X,X,O,O
TLOIZJS,O,X,X,O,O,O
TLOIZSJ,O,X,X,X,O,O
TLOJISZ,X,X,X,O,X,X
TLOJIZS,X,X,X,O,O,O
TLOJSIZ,X,X,X,O,X,X
TLOJSZI,X,X,X,O,X,O
TLOJZIS,X,X,X,O,O,O
TLOJZSI,X,X,X,O,O,O
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,X,X,X,O,X
TLOSJIZ,O,X,X,O,X,X
TLOSJZI,O,X,X,O,X,X
TLOSZIJ,O,X,X,X,O,X
TLOSZJI,O,X,X,X,O,X
TLOZIJS,O,X,X,O,O,O
TLOZISJ,O,X,X,O,O,O
TLOZJIS,O,X,X,O,O,O
TLOZJSI,O,X,X,O,O,O
TLOZSIJ,O,X,X,O,O,O
TLOZSJI,O,X,X,O,O,O
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,O,X,O
TJILOSZ,X,O,X,O,X,X
TJILOZS,X,X,X,O,X,O
TJISLZO,X,O,O,X,X,X
TJISLOZ,X,O,X,X,X,X
TJISZLO,X,O,O,X,X,X
TJISZOL,X,O,O,X,X,X
TJISOLZ,X,O,X,X,X,X
TJISOZL,X,O,X,X,X,X
TJIZLSO,X,O,O,X,X,X
TJIZLOS,X,O,X,O,X,O
TJIZSLO,X,O,O,X,X,X
TJIZSOL,X,O,O,X,X,X
TJIZOLS,X,O,X,X,X,X
TJIZOSL,X,O,O,X,X,X
TJIOLSZ,X,O,X,O,X,X
TJIOLZS,X,X,X,O,X,X
TJIOSLZ,X,O,X,X,X,X
TJIOSZL,X,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,X
TJLISZO,X,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,O,X,O
TJLIOSZ,X,O,X,O,X,X
TJLIOZS,X,X,X,O,X,O
TJLSIZO,X,O,O,X,X,X
TJLSIOZ,X,O,X,X,X,X
TJLSZIO,X,O,O,X,X,X
TJLSZOI,X,O,O,O,X,O
TJLSOIZ,X,O,X,O,X,X
TJLSOZI,X,O,O,O,X,O
TJLZISO,X,O,O,X,X,X
TJLZIOS,X,O,X,O,O,O
TJLZSIO,X,O,O,X,X,X
