sequence,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBRhBGjB0mBlnBXtB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhBziB+oB3kBlmB0sB,v115@KhA8HeC8EeG8BeA8Jei/IvhFRhB+oB3kB0mBlnBzsB,v115@KhA8HeC8EeG8BeA8Je2EJvhFFhBxiBCnBToB3kB0sB,v115@KhA8HeC8EeG8BeA8JeOEJvhF8kBFhB6oBRnBXnBzsB,v115@KhA8HeC8EeG8BeA8JeKEJvhFzfBUhBFiBGoBRsBXtB
IZOLJST,O,X,X,O,O,O
IZOLSTJ,O,X,X,O,O,O
IZOLSJT,O,X,X,O,O,O
IZOJTLS,X,X,X,O,O,O
IZOJTSL,X,O,O,X,O,X
IZOJLTS,X,X,X,O,O,O
IZOJLST,X,O,X,O,O,O
IZOJSTL,X,O,O,X,O,X
IZOJSLT,X,O,O,O,O,X
IZOSTLJ,O,X,X,X,O,X
IZOSTJL,O,X,X,X,O,X
IZOSLTJ,O,X,X,O,O,X
IZOSLJT,O,O,O,O,O,X
IZOSJTL,X,O,O,X,O,X
IZOSJLT,O,O,O,O,O,X
IOTLJSZ,X,X,X,O,X,O
IOTLJZS,X,X,X,O,O,O
IOTLSJZ,X,X,X,O,X,O
IOTLSZJ,X,X,X,X,O,O
IOTLZJS,X,X,X,O,O,O
IOTLZSJ,X,X,X,X,O,O
IOTJLSZ,X,O,X,O,X,O
IOTJLZS,X,X,X,O,O,O
IOTJSLZ,X,O,X,X,X,X
IOTJSZL,X,O,X,X,X,X
IOTJZLS,X,O,X,X,O,O
IOTJZSL,X,O,X,X,O,X
IOTSLJZ,X,O,X,X,X,X
IOTSLZJ,X,O,X,X,O,X
IOTSJLZ,X,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X
IOTSZLJ,X,O,X,X,O,X
IOTSZJL,X,O,X,X,O,X
IOTZLJS,X,X,X,X,O,O
IOTZLSJ,X,X,X,X,O,O
IOTZJLS,X,O,X,X,O,O
IOTZJSL,X,O,X,X,O,X
IOTZSLJ,X,O,X,X,O,X
IOTZSJL,X,O,X,X,O,X
IOLTJSZ,X,X,X,O,X,O
IOLTJZS,X,X,X,O,O,O
IOLTSJZ,O,X,X,O,X,O
IOLTSZJ,O,X,X,X,O,O
IOLTZJS,O,X,X,O,O,O
IOLTZSJ,O,X,X,X,O,O
IOLJTSZ,X,X,X,O,X,O
IOLJTZS,X,X,X,O,O,O
IOLJSTZ,O,X,X,O,X,O
IOLJSZT,O,X,X,X,X,O
IOLJZTS,O,X,X,O,O,O
IOLJZST,O,X,X,X,O,O
IOLSTJZ,O,X,X,O,X,O
IOLSTZJ,O,X,X,X,O,O
IOLSJTZ,O,X,X,O,X,O
IOLSJZT,O,X,X,X,X,O
IOLSZTJ,O,X,X,X,O,O
IOLSZJT,O,X,X,X,O,O
IOLZTJS,O,X,X,O,O,O
IOLZTSJ,O,X,X,X,O,O
IOLZJTS,O,X,X,O,O,O
IOLZJST,O,X,X,X,O,O
IOLZSTJ,O,X,X,X,O,O
IOLZSJT,O,X,X,X,O,O
IOJTLSZ,X,O,X,O,X,O
IOJTLZS,X,X,X,O,O,O
IOJTSLZ,X,O,X,X,X,X
IOJTSZL,X,O,X,X,X,X
IOJTZLS,X,O,X,X,O,O
IOJTZSL,X,O,X,X,O,X
IOJLTSZ,X,X,X,O,X,O
IOJLTZS,X,X,X,O,O,O
IOJLSTZ,X,O,X,O,X,O
IOJLSZT,X,O,X,X,X,O
IOJLZTS,X,X,X,O,O,O
IOJLZST,X,X,X,X,O,O
IOJSTLZ,X,O,X,X,X,X
IOJSTZL,X,O,X,X,X,X
IOJSLTZ,X,O,X,O,X,X
IOJSLZT,X,O,O,X,X,X
IOJSZTL,X,O,O,X,X,X
IOJSZLT,X,O,O,X,X,X
IOJZTLS,X,X,X,X,O,O
IOJZTSL,X,O,O,X,O,X
IOJZLTS,X,X,X,O,O,O
IOJZLST,X,O,X,X,O,O
IOJZSTL,X,O,O,X,O,X
IOJZSLT,X,O,O,X,O,X
IOSTLJZ,O,O,X,X,X,X
IOSTLZJ,O,O,X,X,O,X
IOSTJLZ,O,O,X,X,X,X
IOSTJZL,X,O,X,X,X,X
IOSTZLJ,X,O,X,X,O,X
IOSTZJL,X,O,X,X,O,X
IOSLTJZ,O,O,X,O,X,X
IOSLTZJ,O,O,X,X,O,X
IOSLJTZ,O,O,X,O,X,X
IOSLJZT,O,O,O,X,X,X
IOSLZTJ,O,X,X,X,O,X
IOSLZJT,O,O,O,X,O,X
IOSJTLZ,X,O,X,X,X,X
IOSJTZL,X,O,X,X,X,X
IOSJLTZ,O,O,X,O,X,X
IOSJLZT,O,O,O,X,X,X
IOSJZTL,X,O,O,X,X,X
IOSJZLT,X,O,O,X,X,X
IOSZTLJ,O,X,X,X,O,X
IOSZTJL,O,X,X,X,O,X
IOSZLTJ,O,X,X,X,O,X
IOSZLJT,O,O,O,X,O,X
IOSZJTL,X,O,O,X,O,X
IOSZJLT,O,O,O,X,O,X
IOZTLJS,O,X,X,X,O,O
IOZTLSJ,O,X,X,X,O,O
IOZTJLS,O,X,X,X,O,O
IOZTJSL,X,X,X,X,O,X
IOZTSLJ,X,X,X,X,O,X
IOZTSJL,X,X,X,X,O,X
IOZLTJS,O,X,X,O,O,O
IOZLTSJ,O,X,X,X,O,O
IOZLJTS,O,X,X,O,O,O
IOZLJST,O,X,X,X,O,O
IOZLSTJ,O,X,X,X,O,O
IOZLSJT,O,X,X,X,O,O
IOZJTLS,X,X,X,X,O,O
IOZJTSL,X,O,O,X,O,X
IOZJLTS,X,X,X,O,O,O
IOZJLST,X,O,X,X,O,O
IOZJSTL,X,O,O,X,O,X
IOZJSLT,X,O,O,X,O,X
IOZSTLJ,O,X,X,X,O,X
IOZSTJL,O,X,X,X,O,X
IOZSLTJ,O,X,X,X,O,X
IOZSLJT,O,O,O,X,O,X
IOZSJTL,X,O,O,X,O,X
IOZSJLT,O,O,O,X,O,X
LTIJSZO,X,O,X,X,X,O
LTIJSOZ,X,O,X,X,X,O
LTIJZSO,X,O,X,X,X,O
LTIJZOS,X,O,X,O,X,O
LTIJOSZ,X,O,X,O,X,O
LTIJOZS,X,X,X,O,X,O
LTISJZO,O,O,X,X,X,O
LTISJOZ,O,O,X,X,X,O
LTISZJO,O,O,X,X,X,O
LTISZOJ,O,O,X,X,X,O
LTISOJZ,O,O,X,X,X,O
LTISOZJ,O,O,X,X,X,O
LTIZJSO,O,O,X,X,X,O
LTIZJOS,O,O,X,O,O,O
LTIZSJO,O,O,X,X,X,O
LTIZSOJ,O,O,X,X,X,O
LTIZOJS,O,X,X,O,O,O
LTIZOSJ,O,X,X,O,O,O
LTIOJSZ,X,X,X,O,X,O
LTIOJZS,X,X,X,O,O,O
LTIOSJZ,O,X,X,O,X,O
LTIOSZJ,O,X,X,X,O,O
LTIOZJS,O,X,X,O,O,O
LTIOZSJ,O,X,X,X,O,O
LTJISZO,X,O,X,X,X,X
LTJISOZ,X,O,X,X,X,X
LTJIZSO,X,O,X,X,X,X
LTJIZOS,X,O,X,O,X,O
LTJIOSZ,X,O,X,O,X,X
LTJIOZS,X,X,X,O,X,O
LTJSIZO,X,O,X,X,X,X
LTJSIOZ,X,O,X,X,X,X
LTJSZIO,X,O,X,X,X,X
LTJSZOI,X,O,X,O,X,O
LTJSOIZ,X,O,X,O,X,X
LTJSOZI,X,O,X,O,X,O
LTJZISO,X,O,X,X,X,X
LTJZIOS,X,O,X,O,O,O
LTJZSIO,X,O,X,X,X,X
LTJZSOI,X,O,X,O,O,O
LTJZOIS,X,O,X,O,O,O
LTJZOSI,X,O,X,O,O,O
LTJOISZ,X,O,X,O,X,X
LTJOIZS,X,X,X,O,O,O
LTJOSIZ,X,O,X,O,X,X
LTJOSZI,X,O,X,O,X,O
LTJOZIS,X,X,X,O,O,O
LTJOZSI,X,X,X,O,O,O
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X
LTSIZOJ,O,O,X,X,X,X
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,O,O,X,X,X,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,X,X,X,X
LTSJZOI,O,O,X,O,X,X
LTSJOIZ,O,O,X,O,X,X
LTSJOZI,O,O,X,O,X,X
LTSZIJO,O,O,X,X,X,X
LTSZIOJ,O,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X
LTSZJOI,O,O,X,O,O,X
LTSZOIJ,O,O,X,O,O,X
LTSZOJI,O,O,X,O,O,X
LTSOIJZ,O,O,X,O,X,X
LTSOIZJ,O,O,X,X,O,X
LTSOJIZ,O,O,X,O,X,X
LTSOJZI,O,O,X,O,X,X
LTSOZIJ,O,O,X,X,O,X
LTSOZJI,O,O,X,X,O,X
LTZIJSO,O,O,X,X,X,O
LTZIJOS,O,O,X,O,O,O
LTZISJO,O,O,X,X,X,O
LTZISOJ,O,O,X,X,X,O
LTZIOJS,O,X,X,O,O,O
LTZIOSJ,O,X,X,O,O,O
LTZJISO,O,O,X,X,X,O
LTZJIOS,O,O,X,O,O,O
LTZJSIO,O,O,X,X,X,X
LTZJSOI,O,O,X,O,O,O
LTZJOIS,O,O,X,O,O,O
LTZJOSI,O,O,X,O,O,O
LTZSIJO,O,O,X,X,X,O
LTZSIOJ,O,O,X,X,X,O
LTZSJIO,O,O,X,X,X,X
LTZSJOI,O,O,X,O,O,O
LTZSOIJ,O,O,X,O,O,O
LTZSOJI,O,O,X,O,O,O
LTZOIJS,O,X,X,O,O,O
LTZOISJ,O,X,X,O,O,O
LTZOJIS,O,X,X,O,O,O
LTZOJSI,O,X,X,O,O,O
LTZOSIJ,O,X,X,O,O,O
LTZOSJI,O,X,X,O,O,O
LTOIJSZ,X,X,X,O,X,O
LTOIJZS,X,X,X,O,O,O
LTOISJZ,O,X,X,O,X,O
LTOISZJ,O,X,X,X,O,O
LTOIZJS,O,X,X,O,O,O
LTOIZSJ,O,X,X,X,O,O
LTOJISZ,X,X,X,O,X,X
LTOJIZS,X,X,X,O,O,O
LTOJSIZ,X,X,X,O,X,X
LTOJSZI,X,X,X,O,X,O
LTOJZIS,X,X,X,O,O,O
LTOJZSI,X,X,X,O,O,O
LTOSIJZ,O,X,X,O,X,X
LTOSIZJ,O,X,X,X,O,X
LTOSJIZ,O,X,X,O,X,X
LTOSJZI,O,X,X,O,X,X
LTOSZIJ,O,X,X,X,O,X
LTOSZJI,O,X,X,X,O,X
LTOZIJS,O,X,X,O,O,O
LTOZISJ,O,X,X,O,O,O
LTOZJIS,O,X,X,O,O,O
LTOZJSI,O,X,X,O,O,O
LTOZSIJ,O,X,X,O,O,O
LTOZSJI,O,X,X,O,O,O
LITJSZO,X,O,X,X,X,O
LITJSOZ,X,O,X,X,X,O
LITJZSO,X,O,X,X,X,O
LITJZOS,X,O,X,O,X,O
LITJOSZ,X,O,X,O,X,O
LITJOZS,X,X,X,O,X,O
LITSJZO,O,O,X,X,X,O
LITSJOZ,O,O,X,X,X,O
LITSZJO,O,O,X,X,X,O
LITSZOJ,O,O,X,X,X,O
LITSOJZ,O,O,X,X,X,O
LITSOZJ,O,O,X,X,X,O
LITZJSO,O,O,X,X,X,O
LITZJOS,O,O,X,O,O,O
LITZSJO,O,O,X,X,X,O
LITZSOJ,O,O,X,X,X,O
LITZOJS,O,X,X,O,O,O
LITZOSJ,O,X,X,O,O,O
LITOJSZ,X,X,X,O,X,O
LITOJZS,X,X,X,O,O,O
LITOSJZ,O,X,X,O,X,O
LITOSZJ,O,X,X,X,O,O
LITOZJS,O,X,X,O,O,O
LITOZSJ,O,X,X,X,O,O
LIJTSZO,X,O,X,X,X,O
LIJTSOZ,X,O,X,X,X,O
LIJTZSO,X,O,X,X,X,O
LIJTZOS,X,O,X,O,X,O
LIJTOSZ,X,O,X,O,X,O
LIJTOZS,X,X,X,O,X,O
LIJSTZO,O,O,O,X,X,O
LIJSTOZ,O,O,X,X,X,O
LIJSZTO,O,O,O,X,X,O
LIJSZOT,O,O,O,X,X,O
LIJSOTZ,O,O,X,X,X,O
LIJSOZT,O,O,O,X,X,O
LIJZTSO,O,X,O,X,X,O
LIJZTOS,O,X,X,O,X,O
LIJZSTO,O,O,O,X,X,O
LIJZSOT,O,O,O,X,X,O
LIJZOTS,O,X,X,O,X,O
LIJZOST,O,O,X,O,X,O
LIJOTSZ,X,X,X,O,X,O
LIJOTZS,X,X,X,O,X,O
LIJOSTZ,O,O,X,O,X,O
LIJOSZT,O,O,X,X,X,O
LIJOZTS,O,X,X,O,X,O
LIJOZST,O,X,X,X,X,O
LISTJZO,O,O,O,X,X,O
LISTJOZ,O,O,X,X,X,O
LISTZJO,O,O,O,X,X,O
LISTZOJ,O,O,X,X,X,O
LISTOJZ,O,O,X,X,X,O
LISTOZJ,O,O,X,X,X,O
LISJTZO,O,O,O,X,X,O
LISJTOZ,O,O,X,X,X,O
LISJZTO,O,O,O,X,X,O
LISJZOT,O,O,O,X,X,O
LISJOTZ,O,O,X,X,X,O
LISJOZT,O,O,O,X,X,O
LISZTJO,O,O,O,X,X,O
LISZTOJ,O,O,X,X,X,O
LISZJTO,O,O,O,X,X,O
LISZJOT,O,O,O,X,X,O
LISZOTJ,O,X,X,X,X,O
LISZOJT,O,O,O,X,X,O
LISOTJZ,O,O,X,X,X,O
LISOTZJ,O,O,X,X,X,O
LISOJTZ,O,O,X,X,X,O
LISOJZT,O,O,O,X,X,O
LISOZTJ,O,X,X,X,X,O
LISOZJT,O,O,O,X,X,O
LIZTJSO,O,X,X,X,X,O
LIZTJOS,O,X,X,O,O,O
LIZTSJO,O,X,X,X,X,O
LIZTSOJ,O,X,X,X,X,O
LIZTOJS,O,X,X,O,O,O
LIZTOSJ,O,X,X,O,O,O
LIZJTSO,O,X,O,X,X,O
LIZJTOS,O,X,X,O,O,O
LIZJSTO,O,O,O,X,X,O
LIZJSOT,O,O,O,X,X,O
LIZJOTS,O,X,X,O,O,O
LIZJOST,O,O,X,O,O,O
LIZSTJO,O,O,O,X,X,O
LIZSTOJ,O,X,X,X,X,O
LIZSJTO,O,O,O,X,X,O
LIZSJOT,O,O,O,X,X,O
LIZSOTJ,O,X,X,X,X,O
LIZSOJT,O,O,O,X,X,O
LIZOTJS,O,X,X,O,O,O
LIZOTSJ,O,X,X,O,O,O
LIZOJTS,O,X,X,O,O,O
LIZOJST,O,X,X,O,O,O
LIZOSTJ,O,X,X,O,O,O
LIZOSJT,O,X,X,O,O,O
LIOTJSZ,X,X,X,O,X,O
LIOTJZS,X,X,X,O,O,O
LIOTSJZ,O,X,X,O,X,O
LIOTSZJ,O,X,X,X,O,O
LIOTZJS,O,X,X,O,O,O
LIOTZSJ,O,X,X,X,O,O
LIOJTSZ,X,X,X,O,X,O
LIOJTZS,X,X,X,O,O,O
LIOJSTZ,O,X,X,O,X,O
LIOJSZT,O,X,X,X,X,O
LIOJZTS,O,X,X,O,O,O
LIOJZST,O,X,X,X,O,O
LIOSTJZ,O,X,X,O,X,O
LIOSTZJ,O,X,X,X,O,O
LIOSJTZ,O,X,X,O,X,O
LIOSJZT,O,X,X,X,X,O
LIOSZTJ,O,X,X,X,O,O
LIOSZJT,O,X,X,X,O,O
LIOZTJS,O,X,X,O,O,O
LIOZTSJ,O,X,X,X,O,O
LIOZJTS,O,X,X,O,O,O
LIOZJST,O,X,X,X,O,O
LIOZSTJ,O,X,X,X,O,O
LIOZSJT,O,X,X,X,O,O
LJTISZO,X,O,X,X,X,X
LJTISOZ,X,O,X,X,X,X
LJTIZSO,X,O,X,X,X,X
LJTIZOS,X,O,X,O,X,O
LJTIOSZ,X,O,X,O,X,X
LJTIOZS,X,X,X,O,X,O
LJTSIZO,X,O,O,X,X,X
LJTSIOZ,X,O,X,X,X,X
LJTSZIO,X,O,O,X,X,X
LJTSZOI,X,O,O,O,X,O
LJTSOIZ,X,O,X,O,X,X
LJTSOZI,X,O,O,O,X,O
LJTZISO,X,O,O,X,X,X
LJTZIOS,X,O,X,O,O,O
LJTZSIO,X,O,O,X,X,X
LJTZSOI,X,O,O,O,O,O
LJTZOIS,X,O,X,O,O,O
LJTZOSI,X,O,X,O,O,O
LJTOISZ,X,O,X,O,X,X
LJTOIZS,X,X,X,O,O,O
LJTOSIZ,X,O,X,O,X,X
LJTOSZI,X,O,X,O,X,O
LJTOZIS,X,X,X,O,O,O
LJTOZSI,X,X,X,O,O,O
LJITSZO,X,O,X,X,X,O
LJITSOZ,X,O,X,X,X,O
LJITZSO,X,O,X,X,X,O
LJITZOS,X,O,X,O,X,O
LJITOSZ,X,O,X,O,X,O
LJITOZS,X,X,X,O,X,O
LJISTZO,O,O,O,X,X,O
LJISTOZ,O,O,X,X,X,O
LJISZTO,O,O,O,X,X,O
LJISZOT,O,O,O,X,X,O
LJISOTZ,O,O,X,X,X,O
LJISOZT,O,O,O,X,X,O
LJIZTSO,O,X,O,X,X,O
LJIZTOS,O,X,X,O,X,O
LJIZSTO,O,O,O,X,X,O
LJIZSOT,O,O,O,X,X,O
LJIZOTS,O,X,X,O,X,O
LJIZOST,O,O,X,O,X,O
LJIOTSZ,X,X,X,O,X,O
LJIOTZS,X,X,X,O,X,O
LJIOSTZ,O,O,X,O,X,O
LJIOSZT,O,O,X,X,X,O
LJIOZTS,O,X,X,O,X,O
LJIOZST,O,X,X,X,X,O
LJSTIZO,O,O,O,X,X,X
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,O,O,X,X,X
LJSTZOI,O,O,O,O,X,O
LJSTOIZ,O,O,X,O,X,X
LJSTOZI,O,O,O,O,X,O
LJSITZO,O,O,O,X,X,X
LJSITOZ,O,O,X,X,X,X
LJSIZTO,O,O,O,X,X,X
LJSIZOT,O,O,O,X,X,X
LJSIOTZ,O,O,X,X,X,X
LJSIOZT,O,O,O,X,X,X
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,O,O,X,O
LJSZITO,O,O,O,X,X,X
LJSZIOT,O,O,O,X,X,X
LJSZOTI,O,O,O,O,X,O
LJSZOIT,O,O,O,O,X,X
LJSOTIZ,O,O,X,O,X,X
LJSOTZI,O,O,O,O,X,O
LJSOITZ,O,O,X,O,X,X
LJSOIZT,O,O,O,X,X,X
LJSOZTI,O,O,O,X,X,O
LJSOZIT,O,O,O,X,X,X
LJZTISO,O,O,O,X,X,O
LJZTIOS,O,O,X,O,O,O
LJZTSIO,O,O,O,X,X,X
LJZTSOI,O,O,O,O,O,O
LJZTOIS,O,O,X,O,O,O
LJZTOSI,O,O,X,O,O,O
LJZITSO,O,X,O,X,X,O
LJZITOS,O,X,X,O,O,O
LJZISTO,O,O,O,X,X,O
LJZISOT,O,O,O,X,X,O
LJZIOTS,O,X,X,O,O,O
LJZIOST,O,O,X,O,O,O
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,O,O,O,O
LJZSITO,O,O,O,X,X,X
LJZSIOT,O,O,O,X,X,X
LJZSOTI,O,O,O,O,O,O
LJZSOIT,O,O,O,O,O,X
LJZOTIS,O,O,X,O,O,O
LJZOTSI,O,O,X,O,O,O
LJZOITS,O,X,X,O,O,O
LJZOIST,O,O,X,O,O,O
LJZOSTI,O,O,X,O,O,O
LJZOSIT,O,O,X,O,O,X
LJOTISZ,X,O,X,O,X,X
LJOTIZS,X,X,X,O,O,O
LJOTSIZ,X,O,X,O,X,X
LJOTSZI,X,O,X,O,X,O
LJOTZIS,X,X,X,O,O,O
LJOTZSI,X,X,X,O,O,O
LJOITSZ,X,X,X,O,X,O
LJOITZS,X,X,X,O,O,O
LJOISTZ,O,O,X,O,X,O
LJOISZT,O,O,X,X,X,O
LJOIZTS,O,X,X,O,O,O
LJOIZST,O,X,X,X,O,O
LJOSTIZ,O,O,X,O,X,X
LJOSTZI,O,O,X,O,X,O
LJOSITZ,O,O,X,O,X,X
LJOSIZT,O,O,X,X,X,X
LJOSZTI,O,O,X,X,X,O
LJOSZIT,O,O,X,X,X,X
LJOZTIS,O,X,X,O,O,O
LJOZTSI,O,X,X,O,O,O
LJOZITS,O,X,X,O,O,O
LJOZIST,O,X,X,O,O,O
LJOZSTI,O,X,X,O,O,O
LJOZSIT,O,X,X,O,O,X
LSTIJZO,O,O,O,X,X,X
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,O,O,O,X,X,X
LSTIZOJ,O,O,X,X,X,X
LSTIOJZ,O,O,X,X,X,X
LSTIOZJ,O,O,X,X,X,X
LSTJIZO,O,O,O,X,X,X
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,O,O,X,X
LSTJOIZ,O,O,X,O,X,X
LSTJOZI,O,O,O,O,X,X
LSTZIJO,O,O,O,X,X,X
LSTZIOJ,O,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X
LSTZJOI,O,O,O,O,O,X
LSTZOIJ,O,O,X,O,O,X
LSTZOJI,O,O,X,O,O,X
LSTOIJZ,O,O,X,O,X,X
LSTOIZJ,O,O,X,X,O,X
LSTOJIZ,O,O,X,O,X,X
LSTOJZI,O,O,X,O,X,X
LSTOZIJ,O,O,X,X,O,X
LSTOZJI,O,O,X,X,O,X
LSITJZO,O,O,O,X,X,O
LSITJOZ,O,O,X,X,X,O
LSITZJO,O,O,O,X,X,O
LSITZOJ,O,O,X,X,X,O
LSITOJZ,O,O,X,X,X,O
LSITOZJ,O,O,X,X,X,O
LSIJTZO,O,O,O,X,X,O
LSIJTOZ,O,O,X,X,X,O
LSIJZTO,O,O,O,X,X,O
LSIJZOT,O,O,O,X,X,O
LSIJOTZ,O,O,X,X,X,O
LSIJOZT,O,O,O,X,X,O
LSIZTJO,O,O,O,X,X,O
LSIZTOJ,O,O,X,X,X,O
LSIZJTO,O,O,O,X,X,O
LSIZJOT,O,O,O,X,X,O
LSIZOTJ,O,X,X,X,X,O
LSIZOJT,O,O,O,X,X,O
LSIOTJZ,O,O,X,X,X,O
LSIOTZJ,O,O,X,X,X,O
LSIOJTZ,O,O,X,X,X,O
LSIOJZT,O,O,O,X,X,O
LSIOZTJ,O,X,X,X,X,O
LSIOZJT,O,O,O,X,X,O
LSJTIZO,O,O,O,X,X,X
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,O,O,X,O
LSJTOIZ,O,O,X,O,X,X
LSJTOZI,O,O,O,O,X,O
LSJITZO,O,O,O,X,X,X
LSJITOZ,O,O,X,X,X,X
LSJIZTO,O,O,O,X,X,X
LSJIZOT,O,O,O,X,X,X
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,O,X,X,X
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,O,O,X,O
LSJZITO,O,O,O,X,X,X
LSJZIOT,O,O,O,X,X,X
LSJZOTI,O,O,O,O,X,O
LSJZOIT,O,O,O,O,X,X
LSJOTIZ,O,O,X,O,X,X
LSJOTZI,O,O,O,O,X,O
LSJOITZ,O,O,X,O,X,X
LSJOIZT,O,O,O,X,X,X
LSJOZTI,O,O,O,X,X,O
LSJOZIT,O,O,O,X,X,X
LSZTIJO,O,O,O,X,X,O
LSZTIOJ,O,O,X,X,X,O
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,O,O,O,O
LSZTOIJ,O,O,X,O,O,O
LSZTOJI,O,O,X,O,O,O
LSZITJO,O,O,O,X,X,O
LSZITOJ,O,O,X,X,X,O
LSZIJTO,O,O,O,X,X,O
LSZIJOT,O,O,O,X,X,O
LSZIOTJ,O,X,X,X,X,O
LSZIOJT,O,O,O,X,X,O
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,O,O,O,O
LSZJITO,O,O,O,X,X,X
LSZJIOT,O,O,O,X,X,X
LSZJOTI,O,O,O,O,O,O
LSZJOIT,O,O,O,O,O,X
LSZOTIJ,O,O,X,O,O,O
LSZOTJI,O,O,X,O,O,O
LSZOITJ,O,X,X,O,O,O
LSZOIJT,O,O,O,O,O,O
LSZOJTI,O,O,O,O,O,O
LSZOJIT,O,O,O,O,O,X
LSOTIJZ,O,O,X,O,X,X
LSOTIZJ,O,O,X,X,O,X
LSOTJIZ,O,O,X,O,X,X
LSOTJZI,O,O,X,O,X,X
LSOTZIJ,O,O,X,X,O,X
LSOTZJI,O,O,X,X,O,X
LSOITJZ,O,O,X,O,X,O
LSOITZJ,O,O,X,X,O,O
LSOIJTZ,O,O,X,O,X,O
LSOIJZT,O,O,O,X,X,O
LSOIZTJ,O,X,X,X,O,O
LSOIZJT,O,O,O,X,O,O
LSOJTIZ,O,O,X,O,X,X
LSOJTZI,O,O,O,O,X,O
LSOJITZ,O,O,X,O,X,X
LSOJIZT,O,O,O,X,X,X
LSOJZTI,O,O,O,X,X,O
LSOJZIT,O,O,O,X,X,X
LSOZTIJ,O,O,X,X,O,O
LSOZTJI,O,O,X,X,O,O
LSOZITJ,O,X,X,X,O,O
LSOZIJT,O,O,O,X,O,O
LSOZJTI,O,O,O,X,O,O
LSOZJIT,O,O,O,X,O,X
LZTIJSO,O,O,X,X,X,O
LZTIJOS,O,O,X,O,O,O
LZTISJO,O,O,X,X,X,O
LZTISOJ,O,O,X,X,X,O
LZTIOJS,O,X,X,O,O,O
LZTIOSJ,O,X,X,O,O,O
LZTJISO,O,O,X,X,X,O
LZTJIOS,O,O,X,O,O,O
LZTJSIO,O,O,X,X,X,X
LZTJSOI,O,O,X,O,O,O
LZTJOIS,O,O,X,O,O,O
LZTJOSI,O,O,X,O,O,O
LZTSIJO,O,O,X,X,X,O
LZTSIOJ,O,O,X,X,X,O
LZTSJIO,O,O,X,X,X,X
LZTSJOI,O,O,X,O,O,O
LZTSOIJ,O,O,X,O,O,O
LZTSOJI,O,O,X,O,O,O
LZTOIJS,O,X,X,O,O,O
LZTOISJ,O,X,X,O,O,O
LZTOJIS,O,X,X,O,O,O
LZTOJSI,O,X,X,O,O,O
LZTOSIJ,O,X,X,O,O,O
LZTOSJI,O,X,X,O,O,O
LZITJSO,O,X,X,X,X,O
LZITJOS,O,X,X,O,O,O
LZITSJO,O,X,X,X,X,O
LZITSOJ,O,X,X,X,X,O
LZITOJS,O,X,X,O,O,O
LZITOSJ,O,X,X,O,O,O
LZIJTSO,O,X,O,X,X,O
LZIJTOS,O,X,X,O,O,O
LZIJSTO,O,O,O,X,X,O
LZIJSOT,O,O,O,X,X,O
LZIJOTS,O,X,X,O,O,O
LZIJOST,O,O,X,O,O,O
LZISTJO,O,O,O,X,X,O
LZISTOJ,O,X,X,X,X,O
LZISJTO,O,O,O,X,X,O
LZISJOT,O,O,O,X,X,O
LZISOTJ,O,X,X,X,X,O
LZISOJT,O,O,O,X,X,O
LZIOTJS,O,X,X,O,O,O
LZIOTSJ,O,X,X,O,O,O
LZIOJTS,O,X,X,O,O,O
LZIOJST,O,X,X,O,O,O
LZIOSTJ,O,X,X,O,O,O
LZIOSJT,O,X,X,O,O,O
LZJTISO,O,O,O,X,X,O
LZJTIOS,O,O,X,O,O,O
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,O,O,O,O
LZJTOIS,O,O,X,O,O,O
LZJTOSI,O,O,X,O,O,O
LZJITSO,O,X,O,X,X,O
LZJITOS,O,X,X,O,O,O
LZJISTO,O,O,O,X,X,O
LZJISOT,O,O,O,X,X,O
LZJIOTS,O,X,X,O,O,O
LZJIOST,O,O,X,O,O,O
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,O,O,O,O
LZJSITO,O,O,O,X,X,X
LZJSIOT,O,O,O,X,X,X
LZJSOTI,O,O,O,O,O,O
LZJSOIT,O,O,O,O,O,X
LZJOTIS,O,O,X,O,O,O
