sequence,v115@9gA8IeA8IeB8CeB8CeC8CeC8KeCAJvhFmiB5oB/qBF?mB0nBTrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFGhB/nBaoB5?oBlqBUrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFfmBaoB5oBG?nB0qBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhFlgBcmBiiB5?oBznBWwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF0gBaoB5oBG?nBzqBlrB,v115@9gA8IeA8IeB8CeB8CeC8CeC8KefFJvhF6lBThBmiB5?oB0nBVwB,v115@9gA8IeA8IeB8CeB8CeC8CeC8Kez/IvhFxiB1qB0nB6?tBXrBGrB
TILJSZO,X,O,X,X,X,X,X
TILJSOZ,X,O,X,X,O,X,X
TILJZSO,X,X,O,X,X,X,X
TILJZOS,X,X,O,X,X,X,X
TILJOSZ,X,O,X,X,O,X,X
TILJOZS,X,X,O,X,X,X,X
TILSJZO,O,O,X,O,X,X,X
TILSJOZ,X,O,X,X,O,X,X
TILSZJO,O,O,X,O,X,X,X
TILSZOJ,O,O,X,O,X,X,X
TILSOJZ,X,O,X,X,O,X,X
TILSOZJ,O,O,X,X,X,X,X
TILZJSO,O,X,O,X,X,X,O
TILZJOS,X,X,O,X,X,X,O
TILZSJO,O,X,X,O,X,X,O
TILZSOJ,O,X,X,O,X,X,O
TILZOJS,X,X,O,X,X,X,O
TILZOSJ,X,X,X,X,X,X,O
TILOJSZ,X,O,X,X,O,X,X
TILOJZS,X,X,O,X,X,X,X
TILOSJZ,X,O,X,X,O,X,X
TILOSZJ,X,O,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,O
TILOZSJ,X,X,X,X,X,X,O
TIJLSZO,X,O,X,X,X,X,X
TIJLSOZ,X,O,X,X,O,X,X
TIJLZSO,X,X,O,X,X,X,X
TIJLZOS,X,X,O,X,X,X,X
TIJLOSZ,X,O,X,X,O,X,X
TIJLOZS,X,X,O,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X
TIJSLOZ,X,O,X,X,O,X,X
TIJSZLO,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,O,X,X
TIJSOZL,X,O,X,X,O,X,X
TIJZLSO,X,X,O,X,X,X,X
TIJZLOS,X,X,O,X,X,X,X
TIJZSLO,X,O,O,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X
TIJZOSL,X,O,O,X,X,X,X
TIJOLSZ,X,O,X,X,O,X,X
TIJOLZS,X,X,O,X,X,X,X
TIJOSLZ,X,O,X,X,O,X,X
TIJOSZL,X,O,X,X,O,X,X
TIJOZLS,X,X,O,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X
TISLJZO,O,O,X,O,X,O,X
TISLJOZ,X,O,X,X,O,O,X
TISLZJO,O,O,X,O,X,O,X
TISLZOJ,O,O,X,O,X,O,X
TISLOJZ,X,O,X,X,O,O,X
TISLOZJ,O,O,X,X,X,O,X
TISJLZO,O,O,X,O,X,O,X
TISJLOZ,X,O,X,X,O,O,X
TISJZLO,O,O,X,O,X,O,X
TISJZOL,O,O,X,O,X,O,X
TISJOLZ,X,O,X,O,O,O,X
TISJOZL,X,O,X,O,O,O,X
TISZLJO,O,O,X,O,X,O,X
TISZLOJ,O,O,X,O,X,O,X
TISZJLO,O,O,X,O,X,O,X
TISZJOL,O,O,X,O,X,O,X
TISZOLJ,O,O,X,O,X,O,X
TISZOJL,O,O,X,O,X,O,X
TISOLJZ,X,O,X,O,O,O,X
TISOLZJ,O,O,X,O,X,O,X
TISOJLZ,X,O,X,O,O,O,X
TISOJZL,X,O,X,O,O,O,X
TISOZLJ,O,O,X,O,X,O,X
TISOZJL,O,O,X,O,O,O,X
TIZLJSO,O,X,O,X,X,X,O
TIZLJOS,X,X,O,X,X,X,O
TIZLSJO,O,X,X,O,X,X,O
TIZLSOJ,O,X,X,O,X,X,O
TIZLOJS,X,X,O,X,X,X,O
TIZLOSJ,X,X,X,X,X,X,O
TIZJLSO,O,X,O,X,X,X,X
TIZJLOS,X,X,O,X,X,X,X
TIZJSLO,O,O,O,X,X,O,X
TIZJSOL,O,O,O,X,X,O,X
TIZJOLS,X,X,O,X,X,X,X
TIZJOSL,X,O,O,X,X,X,X
TIZSLJO,O,O,X,O,X,O,X
TIZSLOJ,O,O,X,O,X,O,X
TIZSJLO,O,O,O,O,X,O,X
TIZSJOL,O,O,O,O,X,O,X
TIZSOLJ,O,O,X,O,X,O,X
TIZSOJL,O,O,O,O,X,O,X
TIZOLJS,X,X,O,X,X,X,O
TIZOLSJ,X,X,X,O,X,X,O
TIZOJLS,X,X,O,X,X,X,X
TIZOJSL,X,O,O,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X
TIZOSJL,X,O,O,O,X,X,X
TIOLJSZ,X,O,X,X,O,X,X
TIOLJZS,X,X,O,X,X,X,X
TIOLSJZ,X,O,X,O,O,X,X
TIOLSZJ,X,O,X,O,X,X,X
TIOLZJS,X,X,O,X,X,X,O
TIOLZSJ,X,X,X,O,X,X,O
TIOJLSZ,X,O,X,X,O,X,X
TIOJLZS,X,X,O,X,X,X,X
TIOJSLZ,X,O,X,X,O,X,X
TIOJSZL,X,O,X,X,O,X,X
TIOJZLS,X,X,O,X,X,X,X
TIOJZSL,X,O,O,X,X,X,X
TIOSLJZ,X,O,X,O,O,X,X
TIOSLZJ,X,O,X,O,X,X,X
TIOSJLZ,X,O,X,O,O,X,X
TIOSJZL,X,O,X,O,O,X,X
TIOSZLJ,X,O,X,O,X,X,X
TIOSZJL,X,O,X,O,O,X,X
TIOZLJS,X,X,O,X,X,X,O
TIOZLSJ,X,X,X,O,X,X,O
TIOZJLS,X,X,O,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X
TIOZSLJ,X,O,X,O,X,X,X
TIOZSJL,X,O,O,O,X,X,X
TLIJSZO,X,O,X,X,X,X,X
TLIJSOZ,X,O,X,X,O,X,X
TLIJZSO,X,X,O,X,X,X,X
TLIJZOS,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,O,X,X
TLIJOZS,X,X,O,X,X,X,X
TLISJZO,O,O,X,O,X,X,X
TLISJOZ,X,O,X,X,O,X,X
TLISZJO,O,O,X,O,X,X,X
TLISZOJ,O,O,X,O,X,X,X
TLISOJZ,X,O,X,X,O,X,X
TLISOZJ,O,O,X,X,X,X,X
TLIZJSO,O,X,O,X,X,X,O
TLIZJOS,X,X,O,X,X,X,O
TLIZSJO,O,X,X,O,X,X,O
TLIZSOJ,O,X,X,O,X,X,O
TLIZOJS,X,X,O,X,X,X,O
TLIZOSJ,X,X,X,X,X,X,O
TLIOJSZ,X,O,X,X,O,X,X
TLIOJZS,X,X,O,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,X
TLIOSZJ,X,O,X,X,X,X,X
TLIOZJS,X,X,O,X,X,X,O
TLIOZSJ,X,X,X,X,X,X,O
TLJISZO,X,O,X,X,X,X,X
TLJISOZ,X,O,X,X,O,X,X
TLJIZSO,X,X,O,X,X,X,X
TLJIZOS,X,X,O,X,X,X,X
TLJIOSZ,X,O,X,X,O,X,X
TLJIOZS,X,X,O,X,X,X,X
TLJSIZO,X,O,X,X,X,X,X
TLJSIOZ,X,O,X,X,O,X,X
TLJSZIO,X,O,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X
TLJSOIZ,X,O,X,X,O,X,X
TLJSOZI,X,O,X,X,O,X,X
TLJZISO,X,X,O,X,X,X,O
TLJZIOS,X,X,O,X,X,X,O
TLJZSIO,X,X,O,X,X,X,O
TLJZSOI,X,X,O,X,X,X,O
TLJZOIS,X,X,O,X,X,X,O
TLJZOSI,X,X,O,X,X,X,O
TLJOISZ,X,O,X,X,O,X,X
TLJOIZS,X,X,O,X,X,X,X
TLJOSIZ,X,O,X,X,O,X,X
TLJOSZI,X,O,X,X,O,X,X
TLJOZIS,X,X,O,X,X,X,O
TLJOZSI,X,X,O,X,X,X,O
TLSIJZO,O,O,X,O,X,X,X
TLSIJOZ,X,O,X,X,O,X,X
TLSIZJO,O,O,X,O,X,X,X
TLSIZOJ,O,O,X,O,X,X,X
TLSIOJZ,X,O,X,X,O,X,X
TLSIOZJ,O,O,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X
TLSJIOZ,X,O,X,X,O,X,X
TLSJZIO,O,O,X,O,X,X,X
TLSJZOI,O,O,X,O,X,X,X
TLSJOIZ,X,O,X,X,O,X,X
TLSJOZI,X,O,X,X,O,X,X
TLSZIJO,O,O,X,O,X,X,O
TLSZIOJ,O,O,X,O,X,X,O
TLSZJIO,O,O,X,O,X,X,O
TLSZJOI,O,O,X,X,X,X,O
TLSZOIJ,O,O,X,O,X,X,O
TLSZOJI,O,O,X,X,X,X,O
TLSOIJZ,X,O,X,X,O,X,X
TLSOIZJ,O,O,X,X,X,X,X
TLSOJIZ,X,O,X,X,O,X,X
TLSOJZI,X,O,X,X,O,X,X
TLSOZIJ,O,O,X,X,X,X,O
TLSOZJI,O,O,X,X,X,X,O
TLZIJSO,O,X,O,X,X,X,O
TLZIJOS,X,X,O,X,X,X,O
TLZISJO,O,X,X,O,X,X,O
TLZISOJ,O,X,X,O,X,X,O
TLZIOJS,X,X,O,X,X,X,O
TLZIOSJ,X,X,X,X,X,X,O
TLZJISO,O,X,O,X,X,X,O
TLZJIOS,X,X,O,X,X,X,O
TLZJSIO,O,X,O,X,X,X,O
TLZJSOI,O,X,O,X,X,X,O
TLZJOIS,X,X,O,X,X,X,O
