sequence,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziBOqB8qBFs?B3rB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmhBziBXmBFs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFRhBziB0lBlmB2v?BXsB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhF3gBRiB0mBlnBTq?B2wB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFFhBXiB8nBTlBmr?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFzgBFiB8nB2qBfs?BxvB,v115@GhA8AeA8GeC8FeD8EeC8Jei/IvhFclBmiBxmBTmB1v?BXsB
TILJSZO,X,O,X,X,O,O,X
TILJSOZ,O,O,X,X,X,O,X
TILJZSO,O,O,X,O,O,O,X
TILJZOS,O,O,X,O,O,O,X
TILJOSZ,O,O,X,O,X,O,X
TILJOZS,O,O,X,O,O,O,X
TILSJZO,X,O,X,X,X,O,X
TILSJOZ,X,O,X,X,X,O,X
TILSZJO,X,O,X,X,X,O,X
TILSZOJ,X,O,X,X,X,O,X
TILSOJZ,X,O,X,O,X,X,X
TILSOZJ,X,O,X,O,X,X,X
TILZJSO,X,O,X,X,O,O,X
TILZJOS,O,O,X,X,O,O,X
TILZSJO,X,O,X,X,O,O,X
TILZSOJ,O,O,X,X,O,O,X
TILZOJS,O,O,X,X,O,X,X
TILZOSJ,O,O,X,O,O,X,X
TILOJSZ,O,O,X,O,O,X,X
TILOJZS,O,O,X,O,O,X,X
TILOSJZ,X,O,X,O,X,X,X
TILOSZJ,X,O,X,O,O,X,X
TILOZJS,O,O,X,X,O,X,X
TILOZSJ,O,O,X,O,O,X,X
TIJLSZO,X,O,X,X,O,O,X
TIJLSOZ,O,O,X,X,X,O,X
TIJLZSO,O,O,X,O,O,O,X
TIJLZOS,O,O,X,O,O,O,X
TIJLOSZ,O,O,X,O,X,O,X
TIJLOZS,O,O,X,O,O,O,X
TIJSLZO,X,O,X,X,O,O,O
TIJSLOZ,O,O,X,X,X,O,X
TIJSZLO,X,O,X,X,O,O,O
TIJSZOL,X,O,X,X,O,O,O
TIJSOLZ,O,O,X,O,X,O,X
TIJSOZL,X,O,X,O,X,O,O
TIJZLSO,O,O,X,O,O,O,O
TIJZLOS,O,O,X,O,O,O,X
TIJZSLO,O,O,X,O,O,O,O
TIJZSOL,O,O,X,O,O,O,O
TIJZOLS,O,O,X,O,O,O,X
TIJZOSL,O,O,X,O,O,O,X
TIJOLSZ,O,O,X,O,O,O,X
TIJOLZS,O,O,X,O,O,O,X
TIJOSLZ,O,O,X,O,O,O,X
TIJOSZL,X,O,X,O,O,O,X
TIJOZLS,O,O,X,O,O,O,X
TIJOZSL,O,O,X,O,O,O,X
TISLJZO,X,O,X,X,X,O,O
TISLJOZ,X,O,X,X,X,O,X
TISLZJO,X,O,X,X,X,O,O
TISLZOJ,X,O,X,X,X,O,O
TISLOJZ,X,O,X,O,X,X,X
TISLOZJ,X,O,X,O,X,X,X
TISJLZO,X,O,X,X,X,O,O
TISJLOZ,X,O,X,X,X,O,X
TISJZLO,X,O,X,X,X,O,O
TISJZOL,X,O,X,X,X,O,O
TISJOLZ,X,O,X,O,X,O,X
TISJOZL,X,O,X,O,X,O,O
TISZLJO,X,O,X,X,X,O,O
TISZLOJ,X,O,X,X,X,O,O
TISZJLO,X,O,X,X,X,O,O
TISZJOL,X,O,X,X,X,O,O
TISZOLJ,X,O,X,X,X,O,O
TISZOJL,X,O,X,X,X,O,O
TISOLJZ,X,O,X,O,X,X,X
TISOLZJ,X,O,X,O,X,X,X
TISOJLZ,X,O,X,O,X,X,X
TISOJZL,X,O,X,X,X,X,O
TISOZLJ,X,O,X,O,X,X,O
TISOZJL,X,O,X,X,X,X,O
TIZLJSO,X,O,X,X,O,O,O
TIZLJOS,O,O,X,X,O,O,X
TIZLSJO,X,O,X,X,O,O,O
TIZLSOJ,O,O,X,X,O,O,O
TIZLOJS,O,O,X,X,O,X,X
TIZLOSJ,O,O,X,O,O,X,X
TIZJLSO,O,O,X,X,O,O,O
TIZJLOS,O,O,X,X,O,O,X
TIZJSLO,O,O,X,X,O,O,O
