sequence,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeuEJvhF1lB0hB?xiBqsBToBXqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhFigB3hB?+oBcqBlnBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeFAJvhF0hBxiB?qpB3lBGoBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeCAJvhF0hBxiB?llBWtBzpBXtB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je0BJvhFxiBfqB?llBGoBzsBCqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hBTjB?3lBFtBOqB6sB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je3AJvhF1mBxiB?qpBGoBUlBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hB6nB?llBToBOqBXtB
TILJSZO,O,X,X,X,X,X,O,X
TILJSOZ,O,X,X,X,X,X,O,X
TILJZSO,O,X,X,X,X,X,O,X
TILJZOS,O,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,O,X
TILJOZS,O,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,O,O,X
TILSJOZ,O,X,X,X,X,O,O,X
TILSZJO,O,X,X,X,X,O,X,X
TILSZOJ,O,X,X,X,X,O,X,X
TILSOJZ,O,X,X,X,X,O,O,X
TILSOZJ,O,X,X,X,X,O,X,X
TILZJSO,O,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,O
TILZSJO,O,X,X,X,X,O,X,X
TILZSOJ,O,X,X,X,X,O,X,O
TILZOJS,O,X,X,X,X,X,X,O
TILZOSJ,O,X,X,X,X,O,X,O
TILOJSZ,O,X,X,X,X,X,O,X
TILOJZS,O,X,X,X,X,X,O,X
TILOSJZ,O,X,X,X,X,O,O,X
TILOSZJ,O,X,X,X,X,O,X,X
TILOZJS,O,X,X,X,X,X,X,O
TILOZSJ,O,X,X,X,X,O,X,O
TIJLSZO,O,O,X,X,X,X,O,X
TIJLSOZ,X,X,X,X,X,X,O,X
TIJLZSO,O,O,X,X,X,X,O,X
TIJLZOS,O,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,O,X
TIJLOZS,O,X,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,O,O,X
TIJSLOZ,X,X,X,X,X,O,O,X
TIJSZLO,X,O,X,X,X,O,X,X
TIJSZOL,X,O,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,X,O,X,X
TIJSOZL,X,O,X,X,X,O,X,X
TIJZLSO,O,O,X,X,X,X,O,X
TIJZLOS,O,O,X,X,X,X,X,O
TIJZSLO,O,O,X,X,X,O,X,X
TIJZSOL,X,O,X,X,X,O,X,X
TIJZOLS,O,O,X,X,X,X,X,O
TIJZOSL,X,O,X,X,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,O,X
TIJOLZS,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O,X,X
TIJOSZL,X,O,X,X,X,O,X,X
TIJOZLS,X,O,X,X,X,X,X,O
TIJOZSL,X,O,X,X,X,O,X,X
TISLJZO,O,X,X,X,X,O,X,X
TISLJOZ,O,X,X,X,X,O,X,X
TISLZJO,O,X,X,X,X,O,X,X
TISLZOJ,O,X,X,X,X,O,X,X
TISLOJZ,O,X,X,X,X,O,X,X
TISLOZJ,O,X,X,X,X,O,X,X
TISJLZO,O,O,X,X,X,O,X,X
TISJLOZ,O,X,X,X,X,O,X,X
TISJZLO,O,O,X,X,X,O,X,X
TISJZOL,O,O,X,X,X,O,X,X
TISJOLZ,O,X,X,X,X,O,X,X
TISJOZL,X,O,X,X,X,O,X,X
TISZLJO,O,O,X,X,X,O,X,X
TISZLOJ,O,X,X,X,X,O,X,O
TISZJLO,O,O,X,X,X,O,X,X
TISZJOL,O,O,X,X,X,O,X,X
TISZOLJ,X,X,X,X,X,O,X,O
TISZOJL,O,X,X,X,X,O,X,X
TISOLJZ,O,X,X,X,X,O,X,X
TISOLZJ,O,X,X,X,X,O,X,X
TISOJLZ,O,X,X,X,X,O,X,X
TISOJZL,X,X,X,X,X,O,X,X
TISOZLJ,X,X,X,X,X,O,X,O
TISOZJL,X,X,X,X,X,O,X,X
TIZLJSO,O,O,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,O
TIZLSJO,O,O,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,X,O,X,O
TIZLOJS,O,X,X,X,X,X,X,O
TIZLOSJ,O,X,X,X,X,O,X,O
TIZJLSO,O,O,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,O
TIZJSLO,O,O,X,X,X,O,X,X
TIZJSOL,O,O,X,X,X,O,X,X
TIZJOLS,O,O,X,X,X,X,X,O
TIZJOSL,X,O,X,X,X,O,X,X
TIZSLJO,O,O,X,X,X,O,X,X
TIZSLOJ,O,X,X,X,X,O,X,O
TIZSJLO,O,O,X,X,X,O,X,X
TIZSJOL,O,O,X,X,X,O,X,X
TIZSOLJ,X,X,X,X,X,O,X,O
TIZSOJL,O,X,X,X,X,O,X,X
TIZOLJS,X,X,X,X,X,X,X,O
TIZOLSJ,X,X,X,X,X,O,X,O
TIZOJLS,O,X,X,X,X,X,X,O
TIZOJSL,X,X,X,X,X,O,X,X
TIZOSLJ,X,X,X,X,X,O,X,O
TIZOSJL,O,X,X,X,X,O,X,X
TIOLJSZ,O,X,X,X,X,X,O,X
TIOLJZS,O,X,X,X,X,X,O,X
TIOLSJZ,O,X,X,X,X,O,O,X
TIOLSZJ,O,X,X,X,X,O,X,X
TIOLZJS,O,X,X,X,X,X,X,O
