sequence,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFFhBxiBzmBu?sBctByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFxiBCnBToB3?qB0sBFrB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFRhBziB+oBl?mByvB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeFCJvhFXjBxlBctBz?qBGsBiqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFFjB6sBctBR?rBTqBmqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFzhBFrBxsBu?sBctB3qB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFCnB3qBxsBO?rBctBlsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFTjBCnB3qBx?sBFrB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JefHJvhFxiBllBqsBT?oBUmB2vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFxhBXjBimBc?tB1vBGsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFRiB+oBUnBF?rB3qBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JexAJvhF0iBmlBzmBS?tB1vBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFTjBxlBVsB0?lBXtByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je0BJvhFxiBllBWtBi?rBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFfnBxiBqsBT?oBUmB1vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JemBJvhFCjBllBcrBx?sBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFxlBVsBToB0?lByvBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhF+oBlnBRrB0?qBiqBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFlnBctBRrBT?qBmqBCtB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSJZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOSJZ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJLZSO,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
