sequence,v115@vhHa+IOkBfoBzkBUrBFsBSyBxuB,v115@vhHzBJ6oBcpB3lB+sBKtBlrBRvB,v115@vhHaHJTjB/pBUlBFmBWtBSwBxxB,v115@vhHOEJymBfoBzkBUrBFsBSyBxuB,v115@vhH6EJziBKpBcqB3mB+tBlsBRwB,v115@vhHOEJUjBRlBFnB3pBCrBSxBTtB,v115@vhHyFJfnBTjBKpBUqBFrBGtBRxB,v115@vhHyFJfnBziBKpBUqBFrBGtBRxB,v115@vhHa9IfnBziBKpBUqBFrBGtBRxB,v115@vhHa9IfnBTjBKpBUqBFrBGtBRxB,v115@vhH66IKfBcqB3mB+tBTpBlsBRwB,v115@vhHT1I6kBKpBcqB3mB+tBlsBRwB,v115@vhHT5I6oBcpB3lB+sBKtBlrBRvB,v115@vhH6+IKjBcpB3lB+sBlrBTtBRvB,v115@vhH5+IejBfnBKpBUqBFrBSxBTtB,v115@vhHc+IfnBSoB2pBFrBSxBTtBxuB,v115@vhHa7IqfBcqB3mB+tBTpBlsBRwB,v115@vhHa+IfoBOpB8pBzlBFsBSyBxvB,v115@vhHyCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHqAJzfBfoB2pBUrBFsBSyBxuB,v115@vhHSAJfoBOpB8pBzlBFsBSyBxvB,v115@vhHz/IfmBqmBKpBUoBFqBWyBRwB,v115@vhH5FJzhBfoB0kBKrB2uBFsBSyB,v115@vhHK6IfoBOpB8pBzlBFsBSyBxvB,v115@vhHS8IumBKpBdrBTnB/tBUqBRxB,v115@vhHS+IfmB5oBaqBdtBTpBWwBUsB,v115@vhH26IZkB8mBtpBznB3qBywBSyB,v115@vhHSAJZkBupBFmB0nB6tBTqB3rB,v115@vhHcAJ6kBKpBFmBxnBTqB3rBGtB,v115@vhHcAJTfBFmBxnBipBSvB3rBGtB,v115@vhHK6IfnBziBKpBUqBFrBGtBRxB,v115@vhHK6IOlBfoBTkBUrBFsBSyBxuB,v115@vhHK6IfnBTjBKpBUqBFrBGtBRxB,v115@vhHG5IdoB5oBTkBilB3mBSvB0sB,v115@vhHi1IZkBtkBUmBasBGoBXqBzsB,v115@vhHZ6IufBfoBKqBTpBUrBFsBSyB,v115@vhH26ITfBfoBypBUrBFsBSyBxuB,v115@vhHS+I8kB6oBznB2uBlqB3rBxxB,v115@vhHK7IOkBfoBzkBUrBFsBSyBxuB,v115@vhHm4I9nB/oBxkB0mBTpBiqByxB,v115@vhH01IKfBNqBRmBCoBTpBmrBXtB,v115@vhHT/I8lBynB+tBipBlrB3sBRvB,v115@vhHT/IWmBfoBypBUrBFsBSyBxuB,v115@vhH8EJymB6oBznB2uBlqB3rBxxB,v115@vhHSCJfmBKpBzmBUoBFqBWyBRwB,v115@vhHcCJfmBqmBKpBusBFqBTtBRwB,v115@vhH01IKfBNqBarBWsBxnBTpBXtB,v115@vhHK/I8lBzhB+tBipBlrB3sBRvB,v115@vhHK/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHK/IihBcqB3mB+tBTpBlsBRwB,v115@vhH5+IfiBikBFmBUoBCqBzrBWyB,v115@vhHfCJikBFmBusBctBCqBzrB5oB,v115@vhH88I/nB5oBikBFmBetBCqBzrB,v115@vhH2/I5oBTkBllBUnBatByuBXrB,v115@vhHZ/IukBSoBllBUnByuBXrBTtB,v115@vhHSDJZkBupB3lBFnB6tB0rBzsB,v115@vhHK/I0gBfoB2qBTpBFsBSyBxvB,v115@vhHSGJcnBTjBKpBFqBXrBGtBRxB,v115@vhHfHJGjBKpBUmBznBFqBSyBRwB,v115@vhHfHJCjBKpBUmBToBFqBWyBRwB,v115@vhHi/I8lBaqB3mB+tBTpBlsBRwB,v115@vhHKEJzfB8lB3mB+tByuBlsBRwB,v115@vhHZ6IfiBUlBFmBGoBTpBCsByxB,v115@vhHfCJikBFmBusBctBCqBzrBZkB,v115@vhHX5I+jBikBRmB9sBCqB0rBTtB,v115@vhHcBJ/pBaqBWrBFnB6tBzsBRwB,v115@vhHcBJikBWrBFnBXoBzpBSyBRwB,v115@vhH/BJTkBllByrBusBctByuBRwB,v115@vhH/BJ0kBllByrBqsBToB2uBRwB,v115@vhHWCJ5jB/pBUlBFmB6sBKtBzrB,v115@vhHZ/IygB+pBTlBlmB3nBctByvB,v115@vhHyAJxkBlmB3nBctBmpBzqBKpB,v115@vhH5/IWjBKpB/qBUmBFnB6tBzsB,v115@vhHq/IfjB5oBKpBUmBFnBGqBzsB,v115@vhHy/IZjBTkBllB3mBcsB+tByuB,v115@vhH8/IZkBllB3mBGoBzpBisBKtB,v115@vhHT8IymBfoB2pBUrBFsBSyBxuB,v115@vhHOBJCiBKpBTnB/tBUqBFrBRxB,v115@vhH6BJXgB8lBStBTpB2vBlrBxxB,v115@vhH6BJ8kBzgBStB2uBlqB3rBxxB,v115@vhH6BJKlBzgBcpB+tBlrB3sBRvB,v115@vhHfDJ8kB5oBCnB2uBlqBywBzsB,v115@vhH8/IZkBfoBTlBKrBWvBFsBSyB,v115@vhHy/IfoBOpB8pBzlBFsBSyBxvB,v115@vhHuAJzfBKmBKpB/tBFqB0sBRwB,v115@vhHz8IUjBikBFmBXnBCqBGtBRxB,v115@vhHi1IZkBtkBUmBasBznB+tBXqB,v115@vhHSDJ8mB3kBzlB+tByuBlsBRwB,v115@vhHqCJ0fBfnB2pBFrBSxBTtBxuB,v115@vhHKDJ0fBfnB2pBFrBSxBTtBxuB,v115@vhHfAJqlB8mBTkB+tByuBlsBRwB,v115@vhH8CJfmBZnBKpBToBFqBSwBWyB,v115@vhH8CJfmBenBKpB6tBFqBzsBRwB,v115@vhH+BJ/oBaqBqqB0nBTpBlrBxxB,v115@vhHKBJckBXlBesBznBFrBSyBxuB,v115@vhHKBJWlBKpBTnB/tBUqBFrBRxB,v115@vhH2BJfoBTkBilBUrBFsBSyBxuB,v115@vhHSBJ8kBzmBftB6tB2uBlqBxwB,v115@vhH8/IqiBZkBllB3mBStBzpB2xB,v115@vhH8/I5iBKkBllB3mBToByuB2xB,v115@vhH8/IZkBllB3mBGoBzpBisBqsB,v115@vhHZAJWjBTkBUmBFnBXoBSvBSyB,v115@vhH8/IKkB+nBllB3mBToByuBRxB,v115@vhHWDJKlBTkBUmBFnBXoBSyBRvB,v115@vhHfDJ5oBikBUmBFnBCqBzsB2vB,v115@vhH32I8gBikBlmBGoBRqBywBzsB,v115@vhH+/IzhBfoBypBUrBFsBSyBxuB,v115@vhHq/IzhBfoB2pBUrBFsBSyBxuB,v115@vhHq/IzhB+nBKpB/tBUqBFrBRxB,v115@vhH+/IfnB0iBypBFrBSxBTtBxuB,v115@vhHq/IfnB0iB2pBFrBSxBTtBxuB,v115@vhHKDJigBcpB3lB+sBlrBTtBRvB,v115@vhHKDJXgB8lB+sBipBlrBTtBRvB,v115@vhH2CJqlBKpBzkBlmB3nBctBxwB,v115@vhHSAJenB/pBUlBFmBCoBTtBxvB,v115@vhHeDJfnBKpBRlBUqBFrBSxBTtB,v115@vhHq/I8lBzhB+tBipBlrB3sBRvB,v115@vhHq/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHq/IihBcqB3mB+tBTpBlsBRwB,v115@vhHZDJzgBWnBKpBUqBFrBXsBSyB,v115@vhH8/IqnB/oB2pBllBzmByvBRxB,v115@vhHfDJckB2lBFnBStBzpBCrBxwB,v115@vhHfDJzfB2pBUmBFnBStBSvBxwB,v115@vhHfDJUgBTkByqBFnBStBWxBRvB,v115@vhHfDJikBUmBFnBStBGqBzpBxwB,v115@vhHWDJykBzgBFnBXoB0pBxqBSyB
comments,L-001,L-002,L-003,L-004,L-005,L-006,L-007,L-008,L-009,L-010,L-011,L-011,L-012,L-012,L-013,L-013,L-014,L-015,L-016,L-017,L-017,L-018,L-019,L-020,L-021,L-022,L-023,L-024,L-024,L-024,L-025,L-026,L-027,L-028,L-029,L-030,L-030,L-031,L-032,L-033,L-034,L-035,L-036,L-037,L-038,L-038,L-039,L-040,L-040,L-040,L-041,L-041,L-042,L-043,L-043,L-044,L-045,L-046,L-046,L-046,L-047,L-047,L-048,L-048,L-049,L-050,L-050,L-051,L-051,L-052,L-053,L-053,L-054,L-054,L-055,L-055,L-056,L-056,L-057,L-057,L-057,L-058,L-059,L-059,L-060,L-061,L-062,L-063,L-064,L-065,L-066,L-067,L-067,L-068,L-069,L-069,L-070,L-071,L-072,L-072,L-072,L-073,L-074,L-075,L-075,L-076,L-077,L-077,L-077,L-077,L-077,L-078,L-078,L-079,L-080,L-081,L-082,L-082,L-082,L-083,L-084,L-085,L-085,L-085,L-085,L-086
score,4983.39,4974.09,4974.09,4965.87,4964.52,4964.52,4952.46,4947.38,4931.09,4931.09,4845.34,4845.34,4845.34,4845.34,4809.33,4809.33,4808.63,4808.13,4780.24,4771.69,4771.69,4734.35,4728.91,4661.03,4654.6,4638.89,4638.89,4602.1,4602.1,4602.1,4563.81,4522.16,4520.12,4501.65,4501.65,4491.05,4491.05,4491.05,4469.33,4456.57,4447.34,4438.79,4432.48,4432.48,4423.61,4423.61,4421.51,4380.75,4380.75,4380.75,4369.56,4369.56,4366.35,4361.17,4361.17,4361.17,4348.97,4343.47,4343.47,4343.47,4343.47,4343.47,4337.44,4337.44,4326.83,4292.24,4292.24,4292.24,4292.24,4272.24,4272.24,4272.24,4264.07,4264.07,4264.07,4264.07,4238.31,4238.31,4238.31,4238.31,4238.31,4235.95,4235.95,4235.95,4230.04,4230.04,4229.17,4218.31,4207.46,4204.37,4204.37,4204.37,4204.37,4202.52,4202.52,4202.52,4197.44,4197.44,4194.52,4194.52,4194.52,4194.52,4187.52,4187.52,4187.52,4161.03,4158.79,4158.79,4158.79,4158.79,4158.79,4158.79,4158.79,4154.76,4154.76,4151.59,4150,4150,4150,4150,4140.48,4140.48,4140.48,4140.48,4140.48,4111.19
LTILJSZO,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTILJSOZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTILJZSO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTILJZOS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTILJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTILJOZS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTILSJZO,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
LTILSJOZ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
LTILSZJO,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTILSZOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
