sequence,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhFRhB1nB?6oBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?3lBGoByvBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0iB6oB?RmBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?zlBCoB2vBXtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeaFJvhFfmB0hB?xiBGoB1vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hBOqB?lnBctBzqBCtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhF3hBxnB?zlB2vBCtBFtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hB+oB?lnBiqB0qBzsB
TILJSZO,O,X,O,X,O,X,X,X
TILJSOZ,O,X,X,X,O,X,X,X
TILJZSO,O,X,O,X,O,X,X,X
TILJZOS,O,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X
TILJOZS,O,X,O,X,X,X,X,X
TILSJZO,O,X,X,X,O,X,X,X
TILSJOZ,O,X,X,X,O,X,X,X
TILSZJO,O,X,O,X,O,X,X,X
TILSZOJ,O,X,O,X,O,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X
TILZJSO,O,X,O,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,X,X
TILZSOJ,O,X,O,X,X,X,X,X
TILZOJS,O,X,O,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X
TILOJSZ,X,X,X,X,O,X,X,X
TILOJZS,O,X,O,X,O,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X
TILOSZJ,X,X,O,X,O,X,X,X
TILOZJS,O,X,O,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X
TIJLSZO,O,X,O,X,O,X,X,X
TIJLSOZ,O,X,X,X,O,X,X,X
TIJLZSO,O,O,O,X,O,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X
TIJLOSZ,X,X,O,X,O,X,X,X
TIJLOZS,O,X,O,X,X,X,X,X
TIJSLZO,O,X,O,O,O,X,X,X
TIJSLOZ,O,X,X,O,O,X,X,X
TIJSZLO,O,O,O,O,O,X,O,X
TIJSZOL,O,X,X,O,O,X,O,X
TIJSOLZ,O,X,O,X,O,X,X,X
TIJSOZL,O,X,O,X,O,X,X,X
TIJZLSO,O,O,O,O,O,X,X,X
TIJZLOS,O,O,O,O,X,X,X,X
TIJZSLO,O,O,O,O,O,X,O,X
TIJZSOL,O,X,X,O,O,X,O,X
TIJZOLS,O,O,O,O,X,X,X,X
TIJZOSL,X,X,O,O,X,X,X,X
TIJOLSZ,X,X,O,X,O,X,X,X
TIJOLZS,O,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,O,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X
TIJOZLS,O,O,O,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X
TISLJZO,O,X,X,O,O,X,X,X
TISLJOZ,O,X,X,O,O,X,X,X
TISLZJO,O,X,O,O,O,X,X,X
TISLZOJ,O,X,O,O,O,X,X,X
TISLOJZ,X,X,X,O,O,X,X,X
TISLOZJ,O,X,X,O,O,X,X,X
TISJLZO,O,X,X,O,O,X,X,X
TISJLOZ,O,X,X,O,O,X,X,X
TISJZLO,O,X,X,O,O,X,O,X
TISJZOL,O,X,X,O,O,X,O,X
TISJOLZ,O,X,X,X,O,X,X,X
TISJOZL,O,X,X,X,O,X,X,X
TISZLJO,O,X,O,O,O,X,O,X
TISZLOJ,O,X,O,O,O,X,X,X
TISZJLO,O,X,X,O,O,X,O,X
TISZJOL,X,X,X,O,O,X,O,X
TISZOLJ,O,X,X,O,O,X,X,X
TISZOJL,X,X,X,O,O,X,X,X
TISOLJZ,X,X,X,X,O,X,X,X
TISOLZJ,O,X,O,X,O,X,X,X
TISOJLZ,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,O,X,X,X
TISOZLJ,O,X,O,X,O,X,X,X
TISOZJL,X,X,X,X,O,X,X,X
TIZLJSO,O,O,O,O,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X
TIZLOJS,O,O,O,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X
TIZJLSO,O,O,O,O,X,X,X,X
TIZJLOS,O,O,O,O,X,X,X,X
TIZJSLO,O,O,O,O,X,X,O,X
TIZJSOL,O,X,X,O,X,X,O,X
TIZJOLS,O,O,O,O,X,X,X,X
TIZJOSL,X,O,X,O,X,X,X,X
TIZSLJO,O,O,O,O,X,X,O,X
TIZSLOJ,O,O,O,O,X,X,X,X
TIZSJLO,O,O,X,O,X,X,O,X
TIZSJOL,X,X,X,O,X,X,O,X
TIZSOLJ,O,O,X,O,X,X,X,X
TIZSOJL,X,O,X,O,X,X,X,X
TIZOLJS,O,O,O,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X
TIZOJLS,X,O,O,O,X,X,X,X
TIZOJSL,X,O,X,O,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X
TIZOSJL,X,O,X,O,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X
TIOLJZS,O,X,O,X,O,X,X,X
TIOLSJZ,X,X,X,X,O,X,X,X
TIOLSZJ,X,X,O,X,O,X,X,X
TIOLZJS,O,X,O,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,X,X,X
TIOJLZS,O,O,O,X,O,X,X,X
TIOJSLZ,X,X,O,X,O,X,X,X
TIOJSZL,X,O,O,X,O,X,X,X
TIOJZLS,O,O,O,X,O,X,X,X
TIOJZSL,X,O,O,X,O,X,X,X
TIOSLJZ,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,X
TIOSJLZ,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,O,X,O,X,X,X
TIOSZJL,X,X,X,X,O,X,X,X
TIOZLJS,O,O,O,X,X,X,X,X
TIOZLSJ,O,O,O,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X
TLIJSZO,O,O,O,X,O,X,O,X
TLIJSOZ,O,X,X,X,O,X,X,X
TLIJZSO,O,O,O,X,O,X,O,X
TLIJZOS,O,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,X,X
TLIJOZS,O,O,O,X,X,X,X,X
TLISJZO,O,X,X,X,O,X,O,X
TLISJOZ,O,X,X,X,O,X,X,X
TLISZJO,O,X,O,X,O,X,O,X
TLISZOJ,O,X,O,X,O,X,X,X
TLISOJZ,X,X,X,X,O,X,X,X
TLISOZJ,O,X,X,X,O,X,X,X
TLIZJSO,O,O,O,X,X,X,O,X
TLIZJOS,O,O,O,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,O,X
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,X,X,X
TLIOJZS,O,O,O,X,O,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,O,X,O,X,X,X
TLIOZJS,O,O,O,X,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X,X
TLJISZO,O,O,O,X,O,X,O,O
TLJISOZ,O,O,X,X,O,X,X,X
TLJIZSO,O,O,O,X,O,X,O,O
TLJIZOS,O,O,O,X,X,X,X,O
TLJIOSZ,X,X,O,X,O,X,X,X
TLJIOZS,O,O,O,X,X,X,X,X
TLJSIZO,O,O,O,O,O,X,O,O
TLJSIOZ,O,O,X,O,O,X,X,X
TLJSZIO,O,O,X,O,O,X,O,O
TLJSZOI,O,O,X,O,O,X,X,O
TLJSOIZ,O,O,X,O,O,X,X,X
TLJSOZI,O,O,X,O,O,X,X,O
TLJZISO,O,O,O,O,O,X,O,O
TLJZIOS,O,O,O,O,X,X,X,O
TLJZSIO,O,O,X,O,O,X,O,O
TLJZSOI,O,O,X,O,O,X,X,O
TLJZOIS,O,O,X,X,X,X,X,O
TLJZOSI,O,O,X,X,X,X,X,O
TLJOISZ,X,O,O,X,O,X,X,X
TLJOIZS,O,O,O,X,O,X,X,X
TLJOSIZ,O,O,O,X,O,X,X,X
TLJOSZI,O,O,O,X,O,X,X,O
TLJOZIS,O,O,O,X,O,X,X,O
TLJOZSI,O,O,O,X,O,X,X,O
