sequence,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFOlBXhBxiBcrBSv?BFtB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFChBliBxqBeqBct?BXrB,v115@NhA8CeB8DeE8DeC8AeA8JeGBJvhFliBxqB/pBaqBct?BzqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFxgBSoBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JezAJvhF+mBxiB0qB/pBaq?BFtB,v115@NhA8CeB8DeE8DeC8AeA8JeUAJvhF+mBxiBTqB/pBar?BFtB,v115@NhA8CeB8DeE8DeC8AeA8Jei/IvhFWmBliBxqBctBzp?BXrB,v115@NhA8CeB8DeE8DeC8AeA8Jei/IvhF+mBliBRlBXqBct?BzqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFylB+mBxiBXqBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8Je2EJvhFChBliBxqBctBXr?BzpB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFSoBxqBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFXhBxiBeqBSrBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8Jex/IvhFXhBSoBcrBTqBlp?BmsB,v115@NhA8CeB8DeE8DeC8AeA8Je2EJvhFThBxiBcqBXrBFt?BCqB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFxgBliBeqBCmBXr?BctB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhF6mBxiBmlBXqBFt?B0qB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFSoBxlBcrBXqBlq?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeSIJvhFxkBTmB/qB0pBFr?BmsB,v115@NhA8CeB8DeE8DeC8AeA8JeT/IvhFfmB6mBxiB0qBeq?BFtB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
