sequence,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gB1mBmiB5oBcs?BTrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF1lBmhBziB5oBcr?BXsB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBFiB8nB5oBOr?BzrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBcmBmiB5oBTn?B1wB
TLSOIJZ,X,X,X,X
TLSOIZJ,X,O,X,X
TLSOJIZ,X,X,X,X
TLSOJZI,X,X,X,X
TLSOZIJ,X,O,X,X
TLSOZJI,X,O,X,X
TLZIJSO,X,X,X,O
TLZIJOS,X,O,X,X
TLZISJO,X,X,X,O
TLZISOJ,X,X,X,O
TLZIOJS,X,O,X,O
TLZIOSJ,X,X,X,O
TLZJISO,X,X,X,O
TLZJIOS,X,O,X,X
TLZJSIO,X,X,X,O
TLZJSOI,X,X,X,X
TLZJOIS,X,O,X,X
TLZJOSI,X,X,X,X
TLZSIJO,X,X,X,O
TLZSIOJ,X,X,X,O
TLZSJIO,X,X,X,O
TLZSJOI,X,X,X,X
TLZSOIJ,X,X,X,O
TLZSOJI,X,X,X,O
TLZOIJS,X,O,X,O
TLZOISJ,X,X,X,O
TLZOJIS,X,O,X,O
TLZOJSI,X,X,X,O
TLZOSIJ,X,X,X,O
TLZOSJI,X,X,X,O
TLOIJSZ,X,X,X,X
TLOIJZS,X,X,X,O
TLOISJZ,X,X,X,X
TLOISZJ,X,O,X,X
TLOIZJS,X,O,X,O
TLOIZSJ,X,X,X,O
TLOJISZ,X,X,X,X
TLOJIZS,X,X,X,O
TLOJSIZ,X,X,X,X
TLOJSZI,X,X,X,X
TLOJZIS,X,X,X,O
TLOJZSI,X,X,X,O
TLOSIJZ,X,X,X,X
TLOSIZJ,X,O,X,X
TLOSJIZ,X,X,X,X
TLOSJZI,X,X,X,X
TLOSZIJ,X,O,X,X
TLOSZJI,X,O,X,X
TLOZIJS,X,O,X,O
TLOZISJ,X,X,X,O
TLOZJIS,X,O,X,O
TLOZJSI,X,X,X,O
TLOZSIJ,X,X,X,O
TLOZSJI,X,X,X,O
TJILSZO,X,X,X,X
TJILSOZ,X,X,X,X
TJILZSO,X,X,X,O
TJILZOS,X,X,X,X
TJILOSZ,X,X,X,X
TJILOZS,X,X,X,X
TJISLZO,X,X,X,X
TJISLOZ,X,X,X,X
TJISZLO,X,X,X,X
TJISZOL,X,X,X,X
TJISOLZ,X,X,X,X
TJISOZL,X,X,X,X
TJIZLSO,X,X,X,O
TJIZLOS,X,X,X,X
TJIZSLO,X,X,X,O
TJIZSOL,X,X,X,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,X
TJIOLSZ,X,X,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,X,X,X,X
TJIOSZL,X,X,X,X
TJIOZLS,X,X,X,X
TJIOZSL,X,X,X,X
TJLISZO,X,X,X,X
TJLISOZ,X,X,X,X
TJLIZSO,X,X,X,O
TJLIZOS,X,X,X,X
TJLIOSZ,X,X,X,X
TJLIOZS,X,X,X,X
TJLSIZO,X,X,X,X
TJLSIOZ,X,X,X,X
TJLSZIO,X,X,X,X
TJLSZOI,X,X,X,X
TJLSOIZ,X,X,X,X
TJLSOZI,X,X,X,X
TJLZISO,X,X,X,O
TJLZIOS,X,X,X,X
TJLZSIO,X,X,X,O
TJLZSOI,X,X,X,X
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,X
TJLOISZ,X,X,X,X
TJLOIZS,X,X,X,X
TJLOSIZ,X,X,X,X
TJLOSZI,X,X,X,X
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,X
TJSILZO,X,X,X,X
TJSILOZ,X,X,X,X
TJSIZLO,X,X,X,X
TJSIZOL,X,X,X,X
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,X
TJSLIZO,X,X,X,X
TJSLIOZ,X,X,X,X
TJSLZIO,X,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,X,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,X,X,X,X
TJSZLIO,X,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,X,X,X,X
TJSZOLI,X,X,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,X
TJSOLIZ,X,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,X,X,X
TJSOZLI,X,X,X,X
TJZILSO,X,X,X,O
TJZILOS,X,X,X,X
TJZISLO,X,X,X,O
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,X,X,O
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,O
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,O
TJZSIOL,X,X,X,X
TJZSLIO,X,X,X,O
TJZSLOI,X,X,X,X
TJZSOIL,X,X,X,X
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,X
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,O,X,X
TSILZOJ,X,O,X,X
TSILOJZ,X,X,X,X
TSILOZJ,X,O,X,X
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,O,X,X
TSIZLOJ,X,O,X,X
TSIZJLO,X,O,X,X
TSIZJOL,X,O,X,X
TSIZOLJ,X,O,X,X
TSIZOJL,X,O,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,O,X,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,O,X,X
TSIOZJL,X,O,X,X
TSLIJZO,X,X,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,O,X,X
TSLIZOJ,X,O,X,X
TSLIOJZ,X,X,X,X
TSLIOZJ,X,O,X,X
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,O,X,X
TSLZIOJ,X,O,X,X
TSLZJIO,X,O,X,X
TSLZJOI,X,O,X,X
TSLZOIJ,X,O,X,X
TSLZOJI,X,O,X,X
TSLOIJZ,X,X,X,X
TSLOIZJ,X,O,X,X
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,O,X,X
TSLOZJI,X,O,X,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,O,X,X
TSZILOJ,X,O,X,X
TSZIJLO,X,O,X,X
TSZIJOL,X,O,X,X
TSZIOLJ,X,O,X,X
TSZIOJL,X,O,X,X
TSZLIJO,X,O,X,X
TSZLIOJ,X,O,X,X
TSZLJIO,X,O,X,X
TSZLJOI,X,O,X,X
TSZLOIJ,X,O,X,X
TSZLOJI,X,O,X,X
TSZJILO,X,O,X,X
TSZJIOL,X,O,X,X
TSZJLIO,X,O,X,X
TSZJLOI,X,O,X,X
TSZJOIL,X,O,X,X
TSZJOLI,X,O,X,X
TSZOILJ,X,O,X,X
TSZOIJL,X,O,X,X
TSZOLIJ,X,O,X,X
TSZOLJI,X,O,X,X
TSZOJIL,X,O,X,X
TSZOJLI,X,O,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,O,X,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,O,X,X
TSOIZJL,X,O,X,X
TSOLIJZ,X,X,X,X
TSOLIZJ,X,O,X,X
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,O,X,X
TSOLZJI,X,O,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,O,X,X
TSOZIJL,X,O,X,X
TSOZLIJ,X,O,X,X
TSOZLJI,X,O,X,X
TSOZJIL,X,O,X,X
TSOZJLI,X,O,X,X
TZILJSO,X,X,X,O
TZILJOS,X,O,X,X
TZILSJO,X,X,X,O
TZILSOJ,X,X,X,O
TZILOJS,X,O,X,O
TZILOSJ,X,X,X,O
TZIJLSO,X,X,X,O
TZIJLOS,X,O,X,X
TZIJSLO,X,X,X,O
TZIJSOL,X,X,X,X
TZIJOLS,X,O,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,X,O
TZISLOJ,X,X,X,O
TZISJLO,X,X,X,O
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,O
TZISOJL,X,X,X,O
TZIOLJS,X,O,X,O
TZIOLSJ,X,X,X,O
TZIOJLS,X,O,X,O
TZIOJSL,X,X,X,O
TZIOSLJ,X,X,X,O
TZIOSJL,X,X,X,O
TZLIJSO,X,X,X,O
TZLIJOS,X,O,X,X
