sequence,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBO?qBzqB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBm?qB0sBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MelAJvhFRiBcoBXmBT?nB2vBSyB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFmiB5oBFnBi?qBzsB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeVGJvhFRiBSoB/sB0?lB2vBTtB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnBToBi?qBWyB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBO?qBzqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBUnBFoBm?qBSyBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MexAJvhFTjB3lBFnBy?vBGtB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBm?qBTqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBFnB8sBT?lByvBmsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnB8sB+?tBTlByvB
TILJSZO,O,O,X,X,X,X,X,X,O,O,X,X
TILJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X,O,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,O,X,X,X
TILSJOZ,O,X,X,X,X,O,X,X,O,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,O,X,O,X
TILSZOJ,O,O,X,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,O,X,X,X,X,O,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,X,X,X,O,O,X
TILZJOS,O,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,X,O,O,X
TILZSOJ,O,O,O,X,X,X,O,X,X,X,O,X
TILZOJS,O,O,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,O,X,X,X,O,X,X,X,O,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
TILOZJS,O,X,O,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,O,O,X,X
TIJLSOZ,O,X,X,X,X,O,X,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X,O,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,O,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,O,X,X
TIJSZOL,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,O,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X,X,O,X,X
TIJZLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,X,O,X,X
TIJZSOL,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,O,X,X,X,O,X,X,X,X,X,X
TISLJZO,O,X,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,O,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,O,X,X,X,O,X,X,X,X,X,X
