sequence,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFRhBGjBlmBU?oByvBXsB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFamBUiBGjBf?sBVtBxvB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFamBFiB8nB+?oBfsBxvB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhF1mB0iB6oB2?wBRsB3qB,v115@9gA8IeA8BeA8FeD8FeB8EeC8JeGCJvhFTjB0rBxsBf?qBirBlqB
ITLOZSJ,O,O,X,X,X
ITJLSZO,X,O,X,O,X
ITJLSOZ,X,O,X,O,X
ITJLZSO,X,O,X,O,X
ITJLZOS,X,O,X,O,X
ITJLOSZ,X,O,X,O,X
ITJLOZS,X,O,X,O,X
ITJSLZO,X,O,X,O,X
ITJSLOZ,X,O,X,O,X
ITJSZLO,X,O,X,O,X
ITJSZOL,X,O,X,O,X
ITJSOLZ,X,O,X,O,X
ITJSOZL,X,O,X,O,X
ITJZLSO,X,O,X,O,X
ITJZLOS,X,O,X,O,X
ITJZSLO,X,O,X,O,X
ITJZSOL,X,O,X,O,X
ITJZOLS,X,O,X,O,X
ITJZOSL,X,O,X,O,X
ITJOLSZ,X,O,X,O,X
ITJOLZS,X,O,X,O,X
ITJOSLZ,X,O,X,O,X
ITJOSZL,X,O,X,O,X
ITJOZLS,X,O,X,O,X
ITJOZSL,X,O,X,O,X
ITSLJZO,X,O,X,X,X
ITSLJOZ,X,O,X,X,X
ITSLZJO,X,O,X,X,X
ITSLZOJ,X,O,X,X,X
ITSLOJZ,X,O,X,X,X
ITSLOZJ,X,O,X,X,X
ITSJLZO,X,O,X,X,X
ITSJLOZ,X,O,X,X,X
ITSJZLO,X,O,X,X,X
ITSJZOL,X,O,X,X,X
ITSJOLZ,X,O,X,X,X
ITSJOZL,X,O,X,X,X
ITSZLJO,X,O,X,X,X
ITSZLOJ,X,O,X,X,X
ITSZJLO,X,O,X,X,X
ITSZJOL,O,O,X,X,X
ITSZOLJ,X,O,X,X,X
ITSZOJL,O,O,X,X,X
ITSOLJZ,X,O,X,X,X
ITSOLZJ,X,O,X,X,X
ITSOJLZ,X,O,X,X,X
ITSOJZL,X,O,X,X,X
ITSOZLJ,X,O,X,X,X
ITSOZJL,O,O,X,X,X
ITZLJSO,X,O,X,X,O
ITZLJOS,X,O,X,X,O
ITZLSJO,X,O,X,X,O
ITZLSOJ,X,O,X,X,O
ITZLOJS,X,O,X,X,O
ITZLOSJ,X,O,X,X,O
ITZJLSO,X,O,X,X,O
ITZJLOS,X,O,X,X,O
ITZJSLO,X,O,X,X,O
ITZJSOL,X,O,X,X,O
ITZJOLS,O,O,X,X,O
ITZJOSL,O,O,X,X,O
ITZSLJO,X,O,X,X,O
ITZSLOJ,X,O,X,X,O
ITZSJLO,X,O,X,X,O
ITZSJOL,X,O,X,X,O
ITZSOLJ,X,O,X,X,O
ITZSOJL,X,O,X,X,O
ITZOLJS,X,O,X,X,O
ITZOLSJ,X,O,X,X,O
ITZOJLS,O,O,X,X,O
ITZOJSL,O,O,X,X,O
ITZOSLJ,X,O,X,X,O
ITZOSJL,X,O,X,X,O
ITOLJSZ,X,O,X,O,X
ITOLJZS,O,O,X,O,X
ITOLSJZ,X,O,X,X,X
ITOLSZJ,O,O,X,X,X
ITOLZJS,O,O,X,X,X
ITOLZSJ,O,O,X,X,X
ITOJLSZ,X,O,X,O,X
ITOJLZS,X,O,X,O,X
ITOJSLZ,X,O,X,O,X
ITOJSZL,X,O,X,O,X
ITOJZLS,X,O,X,O,X
ITOJZSL,X,O,X,O,X
ITOSLJZ,X,O,X,X,X
ITOSLZJ,X,O,X,X,X
ITOSJLZ,X,O,X,X,X
ITOSJZL,X,O,X,X,X
ITOSZLJ,X,O,X,X,X
ITOSZJL,O,O,X,X,X
ITOZLJS,X,O,X,X,O
ITOZLSJ,X,O,X,X,O
ITOZJLS,O,O,X,X,O
ITOZJSL,O,O,X,X,O
ITOZSLJ,X,O,X,X,O
ITOZSJL,X,O,X,X,O
ILTJSZO,X,O,X,O,X
ILTJSOZ,X,O,X,O,X
ILTJZSO,O,O,X,O,X
ILTJZOS,O,O,X,O,X
ILTJOSZ,X,O,X,O,X
ILTJOZS,O,O,X,O,X
ILTSJZO,X,O,X,X,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,X,O,X,X,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,O,O,X,X,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,O,O,X,X,X
ILTZOSJ,O,O,X,X,X
ILTOJSZ,X,O,X,O,X
ILTOJZS,O,O,X,O,X
ILTOSJZ,X,O,X,X,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,O,O,X,X,X
ILTOZSJ,O,O,X,X,X
ILJTSZO,X,X,O,O,X
ILJTSOZ,X,X,O,O,X
ILJTZSO,O,X,O,O,X
ILJTZOS,O,X,O,O,X
ILJTOSZ,X,X,O,O,X
ILJTOZS,O,X,O,O,X
ILJSTZO,X,X,O,O,X
ILJSTOZ,X,X,O,O,X
ILJSZTO,O,X,O,X,X
ILJSZOT,O,X,O,X,X
ILJSOTZ,X,X,O,O,X
ILJSOZT,O,X,O,X,X
ILJZTSO,X,X,O,O,X
ILJZTOS,O,X,O,O,X
ILJZSTO,X,X,O,X,X
ILJZSOT,O,X,O,X,X
ILJZOTS,O,X,O,O,X
ILJZOST,O,X,O,X,X
ILJOTSZ,X,X,O,O,X
ILJOTZS,O,X,O,O,X
ILJOSTZ,X,X,O,O,X
ILJOSZT,O,X,O,X,X
ILJOZTS,O,X,O,O,X
ILJOZST,O,X,O,X,X
ILSTJZO,O,O,X,X,X
ILSTJOZ,O,O,X,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,O,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,X,X,X,O,X
ILSJTOZ,X,X,X,O,X
ILSJZTO,O,X,O,X,X
ILSJZOT,O,X,O,X,X
ILSJOTZ,X,X,X,O,X
ILSJOZT,O,X,O,X,X
ILSZTJO,O,O,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,X,X,X,X
ILSZJOT,O,X,X,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,X,X,X,X
ILSOTJZ,O,O,X,X,X
ILSOTZJ,O,O,X,X,X
ILSOJTZ,X,X,X,O,X
ILSOJZT,O,X,O,X,X
ILSOZTJ,O,O,X,X,X
ILSOZJT,O,X,X,X,X
ILZTJSO,O,X,X,X,O
ILZTJOS,O,X,X,X,O
ILZTSJO,O,X,X,X,O
ILZTSOJ,O,X,X,X,O
ILZTOJS,O,X,X,X,O
ILZTOSJ,O,X,X,X,O
ILZJTSO,O,X,X,O,O
ILZJTOS,O,X,X,O,O
ILZJSTO,O,X,X,X,O
ILZJSOT,O,X,X,X,O
ILZJOTS,O,X,X,O,O
ILZJOST,O,X,X,X,O
ILZSTJO,O,X,X,X,O
ILZSTOJ,O,X,X,X,O
ILZSJTO,O,X,X,X,O
ILZSJOT,O,X,X,X,O
ILZSOTJ,O,X,X,X,O
ILZSOJT,O,X,X,X,O
ILZOTJS,O,X,X,X,O
ILZOTSJ,O,X,X,X,O
ILZOJTS,O,X,X,O,O
ILZOJST,O,X,X,X,O
ILZOSTJ,O,X,X,X,O
ILZOSJT,O,X,X,X,O
ILOTJSZ,X,O,X,O,X
ILOTJZS,O,O,X,O,X
ILOTSJZ,X,O,X,X,X
ILOTSZJ,O,O,X,X,X
ILOTZJS,O,O,X,X,X
ILOTZSJ,O,O,X,X,X
ILOJTSZ,X,X,O,O,X
ILOJTZS,O,X,O,O,X
ILOJSTZ,X,X,O,O,X
ILOJSZT,O,X,O,X,X
ILOJZTS,O,X,O,O,X
ILOJZST,O,X,O,X,X
ILOSTJZ,O,O,X,X,X
ILOSTZJ,O,O,X,X,X
ILOSJTZ,X,X,X,O,X
ILOSJZT,O,X,O,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,X,X,X,X
ILOZTJS,O,X,X,X,O
ILOZTSJ,O,X,X,X,O
ILOZJTS,O,X,X,O,O
ILOZJST,O,X,X,X,O
ILOZSTJ,O,X,X,X,O
ILOZSJT,O,X,X,X,O
IJTLSZO,X,X,O,O,X
IJTLSOZ,X,X,O,O,X
IJTLZSO,X,X,O,O,X
IJTLZOS,X,X,O,O,X
IJTLOSZ,X,X,O,O,X
IJTLOZS,X,X,O,O,X
IJTSLZO,X,X,O,O,X
IJTSLOZ,X,X,O,O,X
IJTSZLO,X,X,O,O,X
IJTSZOL,X,X,O,O,X
IJTSOLZ,X,X,O,O,X
IJTSOZL,X,X,O,O,X
IJTZLSO,X,X,O,O,X
IJTZLOS,X,X,O,O,X
IJTZSLO,X,X,O,O,X
IJTZSOL,X,X,O,O,X
IJTZOLS,X,X,O,O,X
IJTZOSL,X,X,O,O,X
IJTOLSZ,X,X,O,O,X
IJTOLZS,X,X,O,O,X
IJTOSLZ,X,X,O,O,X
IJTOSZL,X,X,O,O,X
IJTOZLS,X,X,O,O,X
IJTOZSL,X,X,O,O,X
IJLTSZO,X,X,O,O,X
IJLTSOZ,X,X,O,O,X
IJLTZSO,O,X,O,O,X
IJLTZOS,O,X,O,O,X
IJLTOSZ,X,X,O,O,X
IJLTOZS,O,X,O,O,X
IJLSTZO,X,X,O,O,X
IJLSTOZ,X,X,O,O,X
IJLSZTO,O,X,O,X,X
IJLSZOT,O,X,O,X,X
IJLSOTZ,X,X,O,O,X
IJLSOZT,O,X,O,X,X
IJLZTSO,X,X,O,O,X
IJLZTOS,O,X,O,O,X
IJLZSTO,X,X,O,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,O,X,O,O,X
IJLZOST,O,X,O,X,X
IJLOTSZ,X,X,O,O,X
IJLOTZS,O,X,O,O,X
IJLOSTZ,X,X,O,O,X
IJLOSZT,O,X,O,X,X
IJLOZTS,O,X,O,O,X
IJLOZST,O,X,O,X,X
IJSTLZO,X,X,O,O,X
IJSTLOZ,X,X,O,O,X
IJSTZLO,X,X,O,O,X
IJSTZOL,X,X,O,O,X
IJSTOLZ,X,X,O,O,X
IJSTOZL,X,X,O,O,X
IJSLTZO,X,X,O,O,X
IJSLTOZ,X,X,O,O,X
IJSLZTO,X,X,O,X,X
IJSLZOT,X,X,O,X,X
IJSLOTZ,X,X,O,O,X
IJSLOZT,X,X,O,X,X
IJSZTLO,X,X,O,X,X
IJSZTOL,O,X,O,X,X
IJSZLTO,X,X,O,X,X
IJSZLOT,O,X,O,X,X
IJSZOTL,O,X,O,X,X
IJSZOLT,O,X,O,X,X
IJSOTLZ,X,X,O,O,X
IJSOTZL,X,X,O,O,X
IJSOLTZ,X,X,O,O,X
IJSOLZT,X,X,O,X,X
IJSOZTL,O,X,O,X,X
IJSOZLT,O,X,O,X,X
IJZTLSO,X,X,O,O,O
IJZTLOS,X,X,O,O,O
IJZTSLO,X,X,O,O,O
IJZTSOL,X,X,O,O,O
IJZTOLS,O,X,O,O,O
IJZTOSL,O,X,O,O,O
IJZLTSO,X,X,O,O,O
IJZLTOS,X,X,O,O,O
IJZLSTO,X,X,O,X,O
IJZLSOT,X,X,O,X,O
IJZLOTS,O,X,O,O,O
IJZLOST,O,X,O,X,O
IJZSTLO,X,X,O,X,O
IJZSTOL,X,X,O,X,O
IJZSLTO,X,X,O,X,O
IJZSLOT,X,X,O,X,O
IJZSOTL,O,X,O,X,O
IJZSOLT,O,X,O,X,O
IJZOTLS,O,X,O,O,O
IJZOTSL,O,X,O,O,O
IJZOLTS,O,X,O,O,O
IJZOLST,O,X,O,X,O
IJZOSTL,O,X,O,X,O
IJZOSLT,O,X,O,X,O
IJOTLSZ,X,X,O,O,X
IJOTLZS,X,X,O,O,X
IJOTSLZ,X,X,O,O,X
IJOTSZL,X,X,O,O,X
IJOTZLS,X,X,O,O,X
IJOTZSL,X,X,O,O,X
IJOLTSZ,X,X,O,O,X
IJOLTZS,O,X,O,O,X
IJOLSTZ,X,X,O,O,X
IJOLSZT,O,X,O,X,X
IJOLZTS,O,X,O,O,X
IJOLZST,O,X,O,X,X
IJOSTLZ,X,X,O,O,X
IJOSTZL,X,X,O,O,X
IJOSLTZ,X,X,O,O,X
IJOSLZT,X,X,O,X,X
IJOSZTL,O,X,O,X,X
IJOSZLT,O,X,O,X,X
IJOZTLS,O,X,O,O,O
IJOZTSL,O,X,O,O,O
IJOZLTS,O,X,O,O,O
IJOZLST,O,X,O,X,O
IJOZSTL,O,X,O,X,O
IJOZSLT,O,X,O,X,O
ISTLJZO,X,O,X,X,X
ISTLJOZ,X,O,X,X,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,X,O,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,X,O,X,X,X
ISTJLOZ,X,O,X,X,X
ISTJZLO,O,O,X,X,X
ISTJZOL,O,O,X,X,X
ISTJOLZ,X,O,X,X,X
ISTJOZL,O,O,X,X,X
ISTZLJO,O,O,X,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,X,X,X
ISTZJOL,O,O,X,X,X
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,X,X,X
ISTOLJZ,X,O,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,X,O,X,X,X
ISTOJZL,O,O,X,X,X
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,X,X,X
ISLTJZO,X,O,X,X,X
ISLTJOZ,X,O,X,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,X,O,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,X,X,X,O,X
ISLJTOZ,X,X,X,O,X
ISLJZTO,O,X,O,X,X
ISLJZOT,O,X,O,X,X
ISLJOTZ,X,X,X,O,X
ISLJOZT,O,X,O,X,X
ISLZTJO,O,O,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,X,X,X,X
ISLZJOT,O,X,X,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,X,X,X,X
ISLOTJZ,X,O,X,X,X
ISLOTZJ,O,O,X,X,X
ISLOJTZ,X,X,X,O,X
ISLOJZT,O,X,O,X,X
ISLOZTJ,O,O,X,X,X
ISLOZJT,O,X,X,X,X
ISJTLZO,X,X,X,O,X
ISJTLOZ,X,X,X,O,X
ISJTZLO,X,X,X,O,X
ISJTZOL,X,X,X,O,X
ISJTOLZ,X,X,X,O,X
ISJTOZL,X,X,X,O,X
ISJLTZO,X,X,X,O,X
ISJLTOZ,X,X,X,O,X
ISJLZTO,X,X,O,X,X
ISJLZOT,X,X,O,X,X
ISJLOTZ,X,X,X,O,X
ISJLOZT,X,X,O,X,X
ISJZTLO,X,X,O,X,X
ISJZTOL,O,X,O,X,X
ISJZLTO,X,X,O,X,X
ISJZLOT,O,X,O,X,X
ISJZOTL,O,X,O,X,X
ISJZOLT,O,X,O,X,X
ISJOTLZ,X,X,X,O,X
ISJOTZL,X,X,X,O,X
ISJOLTZ,X,X,X,O,X
ISJOLZT,X,X,O,X,X
ISJOZTL,O,X,O,X,X
ISJOZLT,O,X,O,X,X
ISZTLJO,O,O,X,X,O
ISZTLOJ,O,O,X,X,O
ISZTJLO,O,O,X,X,O
ISZTJOL,O,O,X,X,O
ISZTOLJ,O,O,X,X,O
ISZTOJL,O,O,X,X,O
ISZLTJO,X,O,X,X,O
ISZLTOJ,X,O,X,X,O
ISZLJTO,X,X,X,X,O
ISZLJOT,O,X,X,X,O
ISZLOTJ,X,O,X,X,O
ISZLOJT,O,X,X,X,O
ISZJTLO,O,X,X,X,O
ISZJTOL,O,X,X,X,O
ISZJLTO,X,X,X,X,O
ISZJLOT,O,X,X,X,O
ISZJOTL,O,X,X,X,O
ISZJOLT,O,X,X,X,O
ISZOTLJ,O,O,X,X,O
ISZOTJL,O,O,X,X,O
ISZOLTJ,X,O,X,X,O
ISZOLJT,O,X,X,X,O
ISZOJTL,O,X,X,X,O
ISZOJLT,O,X,X,X,O
ISOTLJZ,X,O,X,X,X
ISOTLZJ,O,O,X,X,X
ISOTJLZ,X,O,X,X,X
ISOTJZL,O,O,X,X,X
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,O,X,X,X
ISOLTJZ,X,O,X,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,X,X,X,O,X
ISOLJZT,O,X,O,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,X,X,X,X
ISOJTLZ,X,X,X,O,X
ISOJTZL,X,X,X,O,X
ISOJLTZ,X,X,X,O,X
ISOJLZT,X,X,O,X,X
ISOJZTL,O,X,O,X,X
ISOJZLT,O,X,O,X,X
ISOZTLJ,O,O,X,X,O
ISOZTJL,O,O,X,X,O
ISOZLTJ,X,O,X,X,O
ISOZLJT,O,X,X,X,O
ISOZJTL,O,X,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,X,X,X,X,O
IZTLJOS,X,X,X,X,O
IZTLSJO,X,X,X,X,O
IZTLSOJ,X,X,X,X,O
IZTLOJS,X,X,X,X,O
IZTLOSJ,X,X,X,X,O
IZTJLSO,X,X,X,X,O
IZTJLOS,X,X,X,X,O
IZTJSLO,X,X,X,X,O
IZTJSOL,X,X,X,X,O
IZTJOLS,O,X,X,X,O
IZTJOSL,O,X,X,X,O
IZTSLJO,X,X,X,X,O
IZTSLOJ,X,X,X,X,O
IZTSJLO,X,X,X,X,O
IZTSJOL,X,X,X,X,O
IZTSOLJ,X,X,X,X,O
IZTSOJL,X,X,X,X,O
IZTOLJS,X,X,X,X,O
IZTOLSJ,X,X,X,X,O
IZTOJLS,O,X,X,X,O
IZTOJSL,O,X,X,X,O
IZTOSLJ,X,X,X,X,O
IZTOSJL,X,X,X,X,O
IZLTJSO,O,X,X,X,O
IZLTJOS,O,X,X,X,O
IZLTSJO,O,X,X,X,O
IZLTSOJ,O,X,X,X,O
IZLTOJS,O,X,X,X,O
IZLTOSJ,O,X,X,X,O
IZLJTSO,O,X,X,O,O
IZLJTOS,O,X,X,O,O
IZLJSTO,O,X,X,X,O
IZLJSOT,O,X,X,X,O
IZLJOTS,O,X,X,O,O
IZLJOST,O,X,X,X,O
IZLSTJO,O,X,X,X,O
IZLSTOJ,O,X,X,X,O
IZLSJTO,O,X,X,X,O
IZLSJOT,O,X,X,X,O
IZLSOTJ,O,X,X,X,O
IZLSOJT,O,X,X,X,O
IZLOTJS,O,X,X,X,O
IZLOTSJ,O,X,X,X,O
IZLOJTS,O,X,X,O,O
IZLOJST,O,X,X,X,O
IZLOSTJ,O,X,X,X,O
IZLOSJT,O,X,X,X,O
IZJTLSO,X,X,X,O,O
IZJTLOS,X,X,X,O,O
IZJTSLO,X,X,X,O,O
IZJTSOL,X,X,X,O,O
IZJTOLS,O,X,X,O,O
IZJTOSL,O,X,X,O,O
IZJLTSO,O,X,X,O,O
IZJLTOS,O,X,X,O,O
IZJLSTO,O,X,X,X,O
IZJLSOT,O,X,X,X,O
IZJLOTS,O,X,X,O,O
IZJLOST,O,X,X,X,O
IZJSTLO,O,X,X,X,O
IZJSTOL,O,X,X,X,O
IZJSLTO,X,X,X,X,O
IZJSLOT,O,X,X,X,O
IZJSOTL,O,X,X,X,O
IZJSOLT,O,X,X,X,O
IZJOTLS,O,X,X,O,O
IZJOTSL,O,X,X,O,O
IZJOLTS,O,X,X,O,O
IZJOLST,O,X,X,X,O
IZJOSTL,O,X,X,X,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,X,X,X,O
IZSTLOJ,O,X,X,X,O
IZSTJLO,O,X,X,X,O
IZSTJOL,O,X,X,X,O
IZSTOLJ,O,X,X,X,O
IZSTOJL,O,X,X,X,O
IZSLTJO,X,X,X,X,O
IZSLTOJ,X,X,X,X,O
IZSLJTO,X,X,X,X,O
IZSLJOT,O,X,X,X,O
IZSLOTJ,X,X,X,X,O
IZSLOJT,O,X,X,X,O
IZSJTLO,O,X,X,X,O
IZSJTOL,O,X,X,X,O
IZSJLTO,X,X,X,X,O
IZSJLOT,O,X,X,X,O
IZSJOTL,O,X,X,X,O
IZSJOLT,O,X,X,X,O
IZSOTLJ,O,X,X,X,O
IZSOTJL,O,X,X,X,O
IZSOLTJ,X,X,X,X,O
IZSOLJT,O,X,X,X,O
IZSOJTL,O,X,X,X,O
IZSOJLT,O,X,X,X,O
IZOTLJS,X,X,X,X,O
IZOTLSJ,X,X,X,X,O
IZOTJLS,O,X,X,X,O
IZOTJSL,O,X,X,X,O
IZOTSLJ,X,X,X,X,O
IZOTSJL,X,X,X,X,O
IZOLTJS,O,X,X,X,O
IZOLTSJ,O,X,X,X,O
IZOLJTS,O,X,X,O,O
IZOLJST,O,X,X,X,O
IZOLSTJ,O,X,X,X,O
IZOLSJT,O,X,X,X,O
IZOJTLS,O,X,X,O,O
IZOJTSL,O,X,X,O,O
IZOJLTS,O,X,X,O,O
IZOJLST,O,X,X,X,O
IZOJSTL,O,X,X,X,O
IZOJSLT,O,X,X,X,O
IZOSTLJ,O,X,X,X,O
IZOSTJL,O,X,X,X,O
IZOSLTJ,X,X,X,X,O
IZOSLJT,O,X,X,X,O
IZOSJTL,O,X,X,X,O
IZOSJLT,O,X,X,X,O
IOTLJSZ,X,O,X,O,X
IOTLJZS,O,O,X,O,X
IOTLSJZ,X,O,X,X,X
IOTLSZJ,O,O,X,X,X
IOTLZJS,O,O,X,X,X
IOTLZSJ,O,O,X,X,X
IOTJLSZ,X,O,X,O,X
IOTJLZS,X,O,X,O,X
IOTJSLZ,X,O,X,O,X
IOTJSZL,X,O,X,O,X
IOTJZLS,X,O,X,O,X
IOTJZSL,X,O,X,O,X
IOTSLJZ,X,O,X,X,X
IOTSLZJ,X,O,X,X,X
IOTSJLZ,X,O,X,X,X
IOTSJZL,X,O,X,X,X
IOTSZLJ,X,O,X,X,X
IOTSZJL,O,O,X,X,X
IOTZLJS,X,O,X,X,O
IOTZLSJ,X,O,X,X,O
IOTZJLS,O,O,X,X,O
IOTZJSL,O,O,X,X,O
IOTZSLJ,X,O,X,X,O
IOTZSJL,X,O,X,X,O
IOLTJSZ,X,O,X,O,X
IOLTJZS,O,O,X,O,X
IOLTSJZ,X,O,X,X,X
IOLTSZJ,O,O,X,X,X
IOLTZJS,O,O,X,X,X
IOLTZSJ,O,O,X,X,X
IOLJTSZ,X,X,O,O,X
IOLJTZS,O,X,O,O,X
IOLJSTZ,X,X,O,O,X
IOLJSZT,O,X,O,X,X
IOLJZTS,O,X,O,O,X
IOLJZST,O,X,O,X,X
IOLSTJZ,O,O,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,X,X,X,O,X
IOLSJZT,O,X,O,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,X,X,X,X
IOLZTJS,O,X,X,X,O
IOLZTSJ,O,X,X,X,O
IOLZJTS,O,X,X,O,O
IOLZJST,O,X,X,X,O
IOLZSTJ,O,X,X,X,O
IOLZSJT,O,X,X,X,O
IOJTLSZ,X,X,O,O,X
IOJTLZS,X,X,O,O,X
IOJTSLZ,X,X,O,O,X
IOJTSZL,X,X,O,O,X
IOJTZLS,X,X,O,O,X
IOJTZSL,X,X,O,O,X
IOJLTSZ,X,X,O,O,X
IOJLTZS,O,X,O,O,X
IOJLSTZ,X,X,O,O,X
IOJLSZT,O,X,O,X,X
IOJLZTS,O,X,O,O,X
IOJLZST,O,X,O,X,X
IOJSTLZ,X,X,O,O,X
IOJSTZL,X,X,O,O,X
IOJSLTZ,X,X,O,O,X
IOJSLZT,X,X,O,X,X
IOJSZTL,O,X,O,X,X
IOJSZLT,O,X,O,X,X
IOJZTLS,O,X,O,O,O
IOJZTSL,O,X,O,O,O
IOJZLTS,O,X,O,O,O
IOJZLST,O,X,O,X,O
IOJZSTL,O,X,O,X,O
IOJZSLT,O,X,O,X,O
IOSTLJZ,X,O,X,X,X
IOSTLZJ,O,O,X,X,X
IOSTJLZ,X,O,X,X,X
IOSTJZL,O,O,X,X,X
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,O,X,X,X
IOSLTJZ,X,O,X,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,X,X,X,O,X
IOSLJZT,O,X,O,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,X,X,X,X
IOSJTLZ,X,X,X,O,X
IOSJTZL,X,X,X,O,X
IOSJLTZ,X,X,X,O,X
IOSJLZT,X,X,O,X,X
IOSJZTL,O,X,O,X,X
IOSJZLT,O,X,O,X,X
IOSZTLJ,O,O,X,X,O
IOSZTJL,O,O,X,X,O
IOSZLTJ,X,O,X,X,O
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,X,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,X,X,X,X,O
IOZTLSJ,X,X,X,X,O
IOZTJLS,O,X,X,X,O
IOZTJSL,O,X,X,X,O
IOZTSLJ,X,X,X,X,O
IOZTSJL,X,X,X,X,O
IOZLTJS,O,X,X,X,O
IOZLTSJ,O,X,X,X,O
IOZLJTS,O,X,X,O,O
IOZLJST,O,X,X,X,O
IOZLSTJ,O,X,X,X,O
IOZLSJT,O,X,X,X,O
IOZJTLS,O,X,X,O,O
IOZJTSL,O,X,X,O,O
IOZJLTS,O,X,X,O,O
IOZJLST,O,X,X,X,O
IOZJSTL,O,X,X,X,O
IOZJSLT,O,X,X,X,O
IOZSTLJ,O,X,X,X,O
IOZSTJL,O,X,X,X,O
IOZSLTJ,X,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,O,X,X,X,O
IOZSJLT,O,X,X,X,O
LTIJSZO,X,O,X,O,X
LTIJSOZ,X,O,X,O,X
LTIJZSO,O,O,X,O,X
LTIJZOS,O,O,X,O,X
LTIJOSZ,X,O,X,O,X
LTIJOZS,O,O,X,O,X
LTISJZO,X,O,X,X,X
LTISJOZ,X,O,X,X,X
LTISZJO,O,O,X,X,X
LTISZOJ,O,O,X,X,X
LTISOJZ,X,O,X,X,X
LTISOZJ,O,O,X,X,X
LTIZJSO,O,O,X,X,X
LTIZJOS,O,O,X,X,X
LTIZSJO,O,O,X,X,X
LTIZSOJ,O,O,X,X,X
LTIZOJS,O,O,X,X,X
LTIZOSJ,O,O,X,X,X
LTIOJSZ,X,O,X,O,X
LTIOJZS,O,O,X,O,X
LTIOSJZ,X,O,X,X,X
LTIOSZJ,O,O,X,X,X
LTIOZJS,O,O,X,X,X
LTIOZSJ,O,O,X,X,X
LTJISZO,X,O,O,O,X
LTJISOZ,X,O,O,O,X
LTJIZSO,O,O,O,O,X
LTJIZOS,O,O,O,O,X
LTJIOSZ,X,O,O,O,X
LTJIOZS,O,O,O,O,X
LTJSIZO,X,O,X,X,X
LTJSIOZ,X,O,X,X,X
LTJSZIO,X,O,O,X,X
LTJSZOI,X,O,O,X,X
LTJSOIZ,X,O,X,X,X
LTJSOZI,X,O,O,X,X
LTJZISO,O,O,O,X,X
LTJZIOS,O,O,O,X,X
LTJZSIO,O,O,O,X,X
LTJZSOI,O,O,O,X,X
LTJZOIS,O,O,O,X,X
LTJZOSI,O,O,O,X,X
LTJOISZ,X,O,O,O,X
LTJOIZS,O,O,O,O,X
LTJOSIZ,X,O,X,X,X
LTJOSZI,X,O,O,X,X
LTJOZIS,O,O,O,X,X
LTJOZSI,O,O,O,X,X
LTSIJZO,O,O,X,X,X
LTSIJOZ,O,O,X,X,X
LTSIZJO,O,O,X,X,X
LTSIZOJ,O,O,X,X,X
LTSIOJZ,O,O,X,X,X
