sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
TZSILOJ,O,O,X,X,X,X,X
TZSIJLO,O,O,X,O,X,X,X
TZSIJOL,O,O,X,O,X,X,X
TZSIOLJ,O,O,X,X,X,X,X
TZSIOJL,O,O,X,O,X,X,X
TZSLIJO,O,O,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X
TZSJILO,O,O,X,O,X,X,X
TZSJIOL,O,O,X,O,X,X,X
TZSJLIO,O,O,X,O,X,X,X
TZSJLOI,O,O,X,O,X,X,X
TZSJOIL,O,O,X,O,X,X,X
TZSJOLI,O,O,X,O,X,X,X
TZSOILJ,O,O,X,X,X,X,X
TZSOIJL,O,O,X,O,X,X,X
TZSOLIJ,O,O,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X
TZSOJIL,O,O,X,O,X,X,X
TZSOJLI,O,O,X,O,X,X,X
TZOILJS,X,O,X,O,O,O,X
TZOILSJ,O,O,X,X,O,X,X
TZOIJLS,X,O,X,O,O,O,X
TZOIJSL,X,O,X,O,O,O,X
TZOISLJ,O,O,X,X,O,X,X
TZOISJL,O,O,X,O,O,X,X
TZOLIJS,X,O,X,O,O,O,X
TZOLISJ,O,O,X,X,O,X,X
TZOLJIS,O,O,X,O,O,O,X
TZOLJSI,O,O,X,O,O,O,X
TZOLSIJ,O,O,X,X,O,X,X
TZOLSJI,O,O,X,X,O,X,X
TZOJILS,O,O,X,O,O,O,X
TZOJISL,O,O,X,O,O,O,X
TZOJLIS,O,O,X,O,O,O,X
TZOJLSI,O,O,X,O,O,O,X
TZOJSIL,O,O,X,O,O,O,X
TZOJSLI,O,O,X,O,O,O,X
TZOSILJ,O,O,X,X,O,X,X
TZOSIJL,O,O,X,O,O,X,X
TZOSLIJ,O,O,X,X,O,X,X
TZOSLJI,O,O,X,X,O,X,X
TZOSJIL,O,O,X,O,O,X,X
TZOSJLI,O,O,X,O,O,X,X
TOILJSZ,X,X,X,X,O,O,O
TOILJZS,X,X,X,X,O,O,O
TOILSJZ,O,O,X,X,O,O,O
TOILSZJ,O,O,X,X,O,X,X
TOILZJS,X,O,X,X,O,O,O
TOILZSJ,X,O,X,X,O,X,X
TOIJLSZ,X,X,X,X,O,O,O
TOIJLZS,X,X,X,X,O,O,O
TOIJSLZ,X,X,X,O,O,O,X
TOIJSZL,X,X,X,O,O,O,X
TOIJZLS,X,X,X,O,O,O,O
TOIJZSL,X,X,X,O,O,O,X
TOISLJZ,O,X,X,X,O,O,X
TOISLZJ,O,X,X,X,O,X,X
TOISJLZ,O,X,X,X,O,O,X
TOISJZL,X,X,X,X,O,O,X
TOISZLJ,O,X,X,X,O,X,X
TOISZJL,X,X,X,X,O,X,X
TOIZLJS,X,O,X,O,O,O,X
TOIZLSJ,X,O,X,X,O,X,X
TOIZJLS,X,O,X,O,O,O,X
TOIZJSL,X,O,X,O,O,O,X
TOIZSLJ,X,O,X,X,O,X,X
TOIZSJL,X,O,X,O,O,X,X
TOLIJSZ,X,X,X,X,O,O,O
TOLIJZS,X,X,X,X,O,O,O
TOLISJZ,O,O,X,X,O,O,O
TOLISZJ,O,O,X,X,O,X,X
TOLIZJS,X,O,X,X,O,O,O
TOLIZSJ,X,O,X,X,O,X,X
TOLJISZ,X,X,X,X,O,O,O
TOLJIZS,X,X,X,X,O,O,O
TOLJSIZ,X,X,X,X,O,O,O
TOLJSZI,X,X,X,X,O,O,O
TOLJZIS,X,X,X,X,O,O,O
TOLJZSI,X,X,X,X,O,O,O
TOLSIJZ,O,O,X,X,O,O,O
TOLSIZJ,O,O,X,X,O,X,X
TOLSJIZ,O,O,X,X,O,O,O
TOLSJZI,O,O,X,X,O,O,O
TOLSZIJ,O,O,X,X,O,X,X
TOLSZJI,O,O,X,X,O,X,X
TOLZIJS,X,O,X,X,O,O,O
TOLZISJ,O,O,X,X,O,X,X
TOLZJIS,O,O,X,X,O,O,O
TOLZJSI,O,O,X,X,O,O,O
TOLZSIJ,O,O,X,X,O,X,X
TOLZSJI,O,O,X,X,O,X,X
TOJILSZ,X,X,X,X,O,O,O
TOJILZS,X,X,X,X,O,O,O
TOJISLZ,X,X,X,O,O,O,X
TOJISZL,X,X,X,O,O,O,X
TOJIZLS,X,X,X,O,O,O,O
TOJIZSL,X,X,X,O,O,O,X
TOJLISZ,X,X,X,X,O,O,O
TOJLIZS,X,X,X,X,O,O,O
TOJLSIZ,X,X,X,X,O,O,O
TOJLSZI,X,X,X,X,O,O,O
TOJLZIS,X,X,X,X,O,O,O
TOJLZSI,X,X,X,X,O,O,O
TOJSILZ,X,X,X,O,O,O,X
TOJSIZL,X,X,X,O,O,O,X
TOJSLIZ,X,X,X,O,O,O,X
TOJSLZI,X,X,X,O,O,O,X
TOJSZIL,X,X,X,O,O,O,X
TOJSZLI,X,X,X,O,O,O,X
TOJZILS,X,X,X,O,O,O,O
TOJZISL,X,X,X,O,O,O,X
TOJZLIS,X,X,X,O,O,O,O
TOJZLSI,X,X,X,O,O,O,O
TOJZSIL,X,X,X,O,O,O,X
TOJZSLI,X,X,X,O,O,O,X
TOSILJZ,O,X,X,X,O,O,X
TOSILZJ,O,X,X,X,O,X,X
TOSIJLZ,O,X,X,X,O,O,X
TOSIJZL,X,X,X,X,O,O,X
TOSIZLJ,O,X,X,X,O,X,X
TOSIZJL,O,X,X,X,O,X,X
TOSLIJZ,O,X,X,X,O,O,X
TOSLIZJ,O,X,X,X,O,X,X
TOSLJIZ,O,X,X,X,O,O,X
TOSLJZI,O,X,X,X,O,O,X
TOSLZIJ,O,X,X,X,O,X,X
TOSLZJI,O,X,X,X,O,X,X
TOSJILZ,O,X,X,X,O,O,X
TOSJIZL,X,X,X,X,O,O,X
TOSJLIZ,O,X,X,X,O,O,X
TOSJLZI,O,X,X,X,O,O,X
TOSJZIL,O,X,X,X,O,O,X
TOSJZLI,O,X,X,X,O,O,X
TOSZILJ,O,X,X,X,O,X,X
TOSZIJL,O,X,X,X,O,X,X
TOSZLIJ,O,X,X,X,O,X,X
TOSZLJI,O,X,X,X,O,X,X
TOSZJIL,O,X,X,X,O,X,X
TOSZJLI,O,X,X,X,O,X,X
TOZILJS,X,O,X,O,O,O,X
TOZILSJ,O,O,X,X,O,X,X
TOZIJLS,X,O,X,O,O,O,X
TOZIJSL,X,O,X,O,O,O,X
TOZISLJ,O,O,X,X,O,X,X
TOZISJL,O,O,X,O,O,X,X
TOZLIJS,X,O,X,O,O,O,X
TOZLISJ,O,O,X,X,O,X,X
TOZLJIS,O,O,X,O,O,O,X
TOZLJSI,O,O,X,O,O,O,X
TOZLSIJ,O,O,X,X,O,X,X
TOZLSJI,O,O,X,X,O,X,X
TOZJILS,O,O,X,O,O,O,X
TOZJISL,O,O,X,O,O,O,X
TOZJLIS,O,O,X,O,O,O,X
TOZJLSI,O,O,X,O,O,O,X
TOZJSIL,O,O,X,O,O,O,X
TOZJSLI,O,O,X,O,O,O,X
TOZSILJ,O,O,X,X,O,X,X
TOZSIJL,O,O,X,O,O,X,X
TOZSLIJ,O,O,X,X,O,X,X
TOZSLJI,O,O,X,X,O,X,X
TOZSJIL,O,O,X,O,O,X,X
TOZSJLI,O,O,X,O,O,X,X
ITLJSZO,X,O,O,O,X,X,O
ITLJSOZ,X,O,O,O,O,X,O
ITLJZSO,X,O,O,O,X,X,O
ITLJZOS,X,O,X,O,X,O,O
ITLJOSZ,X,X,X,X,O,O,O
ITLJOZS,X,X,X,X,O,O,O
ITLSJZO,X,O,O,X,X,X,O
ITLSJOZ,X,O,O,X,X,X,O
ITLSZJO,X,O,O,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X
ITLSOJZ,X,O,O,X,O,O,O
ITLSOZJ,X,O,O,X,O,X,X
ITLZJSO,X,O,O,O,X,X,O
ITLZJOS,X,O,X,O,X,X,O
ITLZSJO,X,O,O,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X
ITLZOJS,X,O,X,O,O,O,O
ITLZOSJ,X,O,X,X,O,X,X
ITLOJSZ,X,X,X,X,O,O,O
ITLOJZS,X,X,X,X,O,O,O
ITLOSJZ,X,O,X,X,O,O,O
ITLOSZJ,X,O,X,X,O,X,X
ITLOZJS,X,O,X,X,O,O,O
ITLOZSJ,X,O,X,X,O,X,X
ITJLSZO,X,O,O,O,X,X,O
ITJLSOZ,X,O,O,O,O,X,O
ITJLZSO,X,O,O,O,X,X,O
ITJLZOS,X,O,X,O,X,O,O
ITJLOSZ,X,X,X,X,O,O,O
ITJLOZS,X,X,X,X,O,O,O
ITJSLZO,X,X,O,O,X,X,O
ITJSLOZ,X,X,O,O,O,X,O
ITJSZLO,X,X,O,O,X,X,O
ITJSZOL,X,X,O,O,O,O,X
ITJSOLZ,X,X,O,O,O,O,X
ITJSOZL,X,X,O,O,O,O,X
ITJZLSO,X,O,O,O,X,X,O
ITJZLOS,X,O,X,O,X,O,O
ITJZSLO,X,O,O,O,X,X,O
ITJZSOL,X,O,O,O,O,O,X
ITJZOLS,X,O,X,O,O,O,O
ITJZOSL,X,O,X,O,O,O,X
ITJOLSZ,X,X,X,X,O,O,O
ITJOLZS,X,X,X,X,O,O,O
ITJOSLZ,X,X,X,O,O,O,X
ITJOSZL,X,X,X,O,O,O,X
ITJOZLS,X,X,X,O,O,O,O
ITJOZSL,X,X,X,O,O,O,X
ITSLJZO,X,O,O,X,X,X,O
ITSLJOZ,X,O,O,X,X,X,O
ITSLZJO,X,O,O,X,X,X,X
ITSLZOJ,X,O,O,X,X,X,X
ITSLOJZ,X,O,O,X,O,O,O
ITSLOZJ,X,O,O,X,O,X,X
ITSJLZO,X,X,O,O,X,X,O
ITSJLOZ,X,X,O,O,O,X,O
ITSJZLO,X,X,O,O,X,X,O
ITSJZOL,X,X,O,O,O,O,X
ITSJOLZ,X,X,O,O,O,O,X
ITSJOZL,X,X,O,O,O,O,X
ITSZLJO,X,O,O,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,X
ITSZJLO,X,O,O,O,X,X,X
ITSZJOL,X,O,O,O,X,X,X
ITSZOLJ,X,O,O,X,X,X,X
ITSZOJL,X,O,O,O,X,X,X
ITSOLJZ,X,X,O,X,O,O,X
ITSOLZJ,X,X,O,X,O,X,X
ITSOJLZ,X,X,O,X,O,O,X
ITSOJZL,X,X,O,X,O,O,X
ITSOZLJ,X,X,O,X,O,X,X
ITSOZJL,X,X,O,X,O,X,X
ITZLJSO,X,O,O,O,X,X,O
ITZLJOS,X,O,X,O,X,X,O
ITZLSJO,X,O,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X
ITZLOJS,X,O,X,O,O,O,O
ITZLOSJ,X,O,X,X,O,X,X
ITZJLSO,X,O,O,O,X,X,O
ITZJLOS,X,O,X,O,X,O,O
ITZJSLO,X,O,O,O,X,X,O
ITZJSOL,X,O,O,O,O,O,X
ITZJOLS,X,O,X,O,O,O,O
ITZJOSL,X,O,X,O,O,O,X
ITZSLJO,X,O,O,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X
ITZSJLO,X,O,O,O,X,X,X
ITZSJOL,X,O,O,O,X,X,X
ITZSOLJ,X,O,O,X,X,X,X
ITZSOJL,X,O,O,O,X,X,X
ITZOLJS,X,O,X,O,O,O,X
ITZOLSJ,X,O,X,X,O,X,X
ITZOJLS,X,O,X,O,O,O,X
ITZOJSL,X,O,X,O,O,O,X
ITZOSLJ,X,O,X,X,O,X,X
ITZOSJL,X,O,X,O,O,X,X
ITOLJSZ,X,X,X,X,O,O,O
ITOLJZS,X,X,X,X,O,O,O
ITOLSJZ,X,O,X,X,O,O,O
ITOLSZJ,X,O,X,X,O,X,X
ITOLZJS,X,O,X,X,O,O,O
ITOLZSJ,X,O,X,X,O,X,X
ITOJLSZ,X,X,X,X,O,O,O
ITOJLZS,X,X,X,X,O,O,O
ITOJSLZ,X,X,X,O,O,O,X
ITOJSZL,X,X,X,O,O,O,X
ITOJZLS,X,X,X,O,O,O,O
ITOJZSL,X,X,X,O,O,O,X
ITOSLJZ,X,X,X,X,O,O,X
ITOSLZJ,X,X,X,X,O,X,X
ITOSJLZ,X,X,X,X,O,O,X
ITOSJZL,X,X,X,X,O,O,X
ITOSZLJ,X,X,X,X,O,X,X
ITOSZJL,X,X,X,X,O,X,X
ITOZLJS,X,O,X,O,O,O,X
ITOZLSJ,X,O,X,X,O,X,X
ITOZJLS,X,O,X,O,O,O,X
ITOZJSL,X,O,X,O,O,O,X
ITOZSLJ,X,O,X,X,O,X,X
ITOZSJL,X,O,X,O,O,X,X
ILTJSZO,X,O,O,X,X,X,O
ILTJSOZ,X,O,O,X,X,X,O
ILTJZSO,X,O,O,X,X,X,O
ILTJZOS,X,O,X,X,X,X,O
ILTJOSZ,X,X,X,X,O,O,O
ILTJOZS,X,X,X,X,O,O,O
ILTSJZO,X,O,O,X,X,X,O
ILTSJOZ,X,O,O,X,X,X,O
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,O,O,X,O,O,O
ILTSOZJ,X,O,O,X,O,X,X
ILTZJSO,X,O,O,X,X,X,O
ILTZJOS,X,O,X,X,X,X,O
ILTZSJO,X,O,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X
ILTZOJS,X,O,X,X,O,O,O
ILTZOSJ,X,O,X,X,O,X,X
ILTOJSZ,X,X,X,X,O,O,O
ILTOJZS,X,X,X,X,O,O,O
ILTOSJZ,X,O,X,X,O,O,O
ILTOSZJ,X,O,X,X,O,X,X
ILTOZJS,X,O,X,X,O,O,O
ILTOZSJ,X,O,X,X,O,X,X
ILJTSZO,X,X,O,X,X,X,O
ILJTSOZ,X,X,O,X,X,X,O
ILJTZSO,X,X,O,X,X,X,O
ILJTZOS,X,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,X,O
ILJTOZS,X,X,X,X,X,X,O
ILJSTZO,X,O,O,O,X,X,X
ILJSTOZ,X,X,O,X,X,X,X
ILJSZTO,X,O,O,O,X,X,X
ILJSZOT,X,O,O,O,X,X,X
ILJSOTZ,X,X,O,X,X,X,X
ILJSOZT,X,O,O,O,X,X,X
ILJZTSO,X,O,O,X,X,X,O
ILJZTOS,X,O,X,X,X,X,O
ILJZSTO,X,O,O,O,X,X,X
ILJZSOT,X,O,O,O,X,X,X
ILJZOTS,X,O,X,X,X,X,O
ILJZOST,X,O,O,O,X,X,X
ILJOTSZ,X,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,X,O
ILJOSTZ,X,X,O,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X
ILJOZTS,X,X,X,X,X,X,O
ILJOZST,X,X,O,X,X,X,X
ILSTJZO,X,O,O,X,X,X,X
ILSTJOZ,X,O,O,X,X,X,X
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,O,O,O,X,X,X,X
ILSTOZJ,O,O,O,X,X,X,X
ILSJTZO,X,O,O,X,X,X,X
ILSJTOZ,X,O,O,X,X,X,X
ILSJZTO,X,O,O,X,X,X,X
ILSJZOT,X,O,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X
ILSJOZT,X,O,O,X,X,X,X
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X
ILSOJZT,X,O,O,X,X,X,X
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X
ILZTJSO,X,O,O,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X
ILZTSJO,X,O,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X
ILZJTSO,O,O,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X
ILZJSTO,O,O,O,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X
ILZJOTS,X,O,X,X,X,X,X
ILZJOST,O,O,O,O,X,X,X
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X
ILZSOJT,O,O,O,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X,X
ILZOJST,O,O,O,O,X,X,X
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,O,X,X,X,X
ILOTJSZ,X,X,X,X,O,O,O
ILOTJZS,X,X,X,X,O,O,O
ILOTSJZ,O,X,X,X,O,O,O
ILOTSZJ,O,X,X,X,O,X,X
ILOTZJS,X,X,X,X,O,O,O
ILOTZSJ,X,X,X,X,O,X,X
ILOJTSZ,X,X,X,X,O,O,O
ILOJTZS,X,X,X,X,O,O,O
ILOJSTZ,O,X,O,X,O,X,X
ILOJSZT,X,X,O,X,X,X,X
ILOJZTS,X,X,X,X,X,O,O
ILOJZST,X,X,O,X,X,X,X
ILOSTJZ,O,X,O,X,O,X,X
ILOSTZJ,O,X,O,X,O,X,X
ILOSJTZ,O,X,O,X,O,X,X
ILOSJZT,X,O,O,X,X,X,X
ILOSZTJ,O,O,O,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X
ILOZTJS,X,O,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X,X
ILOZJST,O,O,O,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X
IJTLSZO,X,X,O,O,X,X,O
IJTLSOZ,X,X,O,O,O,X,O
IJTLZSO,X,X,O,O,X,X,O
IJTLZOS,X,X,X,O,X,O,O
IJTLOSZ,X,X,X,X,O,O,O
IJTLOZS,X,X,X,X,O,O,O
IJTSLZO,X,X,O,O,X,X,O
IJTSLOZ,X,X,O,O,O,X,O
IJTSZLO,X,X,O,O,X,X,O
IJTSZOL,X,X,O,O,O,O,X
IJTSOLZ,X,X,O,O,O,O,X
IJTSOZL,X,X,O,O,O,O,X
IJTZLSO,X,X,O,O,X,X,O
IJTZLOS,X,X,X,O,X,O,O
IJTZSLO,X,X,O,O,X,X,O
IJTZSOL,X,X,O,O,O,O,X
IJTZOLS,X,X,X,O,O,O,O
IJTZOSL,X,X,X,O,O,O,X
IJTOLSZ,X,X,X,X,O,O,O
IJTOLZS,X,X,X,X,O,O,O
IJTOSLZ,X,X,X,O,O,O,X
IJTOSZL,X,X,X,O,O,O,X
IJTOZLS,X,X,X,O,O,O,O
IJTOZSL,X,X,X,O,O,O,X
IJLTSZO,X,X,O,X,X,X,O
IJLTSOZ,X,X,O,X,X,X,O
IJLTZSO,X,X,O,X,X,X,O
IJLTZOS,X,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,X,O
IJLSTZO,X,O,O,O,X,X,X
IJLSTOZ,X,X,O,X,X,X,X
IJLSZTO,X,O,O,O,X,X,X
IJLSZOT,X,O,O,O,X,X,X
IJLSOTZ,X,X,O,X,X,X,X
IJLSOZT,X,O,O,O,X,X,X
IJLZTSO,X,O,O,X,X,X,O
IJLZTOS,X,O,X,X,X,X,O
IJLZSTO,X,O,O,O,X,X,X
IJLZSOT,X,O,O,O,X,X,X
IJLZOTS,X,O,X,X,X,X,O
IJLZOST,X,O,O,O,X,X,X
IJLOTSZ,X,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,X,O
IJLOSTZ,X,X,O,X,X,X,X
IJLOSZT,X,X,O,X,X,X,X
IJLOZTS,X,X,X,X,X,X,O
IJLOZST,X,X,O,X,X,X,X
IJSTLZO,X,X,O,O,X,X,X
IJSTLOZ,X,X,O,O,O,X,X
IJSTZLO,X,X,O,O,X,X,X
IJSTZOL,X,X,O,O,O,X,X
IJSTOLZ,X,X,O,O,O,X,X
IJSTOZL,X,X,O,O,O,X,X
IJSLTZO,X,X,O,O,X,X,X
IJSLTOZ,X,X,O,O,X,X,X
IJSLZTO,X,X,O,O,X,X,X
IJSLZOT,X,X,O,O,X,X,X
IJSLOTZ,X,X,O,X,X,X,X
IJSLOZT,X,X,O,O,X,X,X
IJSZTLO,X,X,O,O,X,X,X
IJSZTOL,X,X,O,O,X,X,X
IJSZLTO,X,X,O,O,X,X,X
IJSZLOT,X,X,O,O,X,X,X
IJSZOTL,X,X,O,O,X,X,X
IJSZOLT,X,X,O,O,X,X,X
IJSOTLZ,X,X,O,X,O,X,X
IJSOTZL,X,X,O,X,O,X,X
IJSOLTZ,X,X,O,X,O,X,X
IJSOLZT,X,X,O,O,X,X,X
IJSOZTL,X,X,O,O,X,X,X
IJSOZLT,X,X,O,O,X,X,X
IJZTLSO,X,O,O,O,X,X,O
IJZTLOS,X,O,X,O,X,O,O
IJZTSLO,X,X,O,O,X,X,O
IJZTSOL,X,X,O,O,X,O,X
IJZTOLS,X,O,X,O,X,O,O
IJZTOSL,X,X,X,O,X,O,X
IJZLTSO,X,O,O,X,X,X,O
IJZLTOS,X,O,X,X,X,X,O
IJZLSTO,X,O,O,O,X,X,X
IJZLSOT,X,O,O,O,X,X,X
IJZLOTS,X,O,X,X,X,X,O
IJZLOST,X,O,O,O,X,X,X
IJZSTLO,X,X,O,O,X,X,X
IJZSTOL,X,X,O,O,X,X,X
IJZSLTO,X,O,O,O,X,X,X
IJZSLOT,X,O,O,O,X,X,X
IJZSOTL,X,X,O,O,X,X,X
IJZSOLT,X,O,O,O,X,X,X
IJZOTLS,X,O,X,O,X,O,X
IJZOTSL,X,X,X,O,X,O,X
IJZOLTS,X,O,X,X,X,O,X
IJZOLST,X,O,O,O,X,X,X
IJZOSTL,X,X,O,O,X,X,X
IJZOSLT,X,O,O,O,X,X,X
IJOTLSZ,X,X,X,X,O,O,X
IJOTLZS,X,X,X,X,O,O,X
IJOTSLZ,X,X,X,X,O,O,X
IJOTSZL,X,X,X,X,O,O,X
IJOTZLS,X,X,X,X,O,O,X
IJOTZSL,X,X,X,X,O,O,X
IJOLTSZ,X,X,X,X,O,O,X
IJOLTZS,X,X,X,X,O,O,X
IJOLSTZ,X,X,O,X,O,X,X
IJOLSZT,X,X,O,X,X,X,X
IJOLZTS,X,X,X,X,X,O,X
IJOLZST,X,X,O,X,X,X,X
IJOSTLZ,X,X,O,X,O,X,X
IJOSTZL,X,X,O,X,O,X,X
IJOSLTZ,X,X,O,X,O,X,X
IJOSLZT,X,X,O,O,X,X,X
IJOSZTL,X,X,O,O,X,X,X
IJOSZLT,X,X,O,O,X,X,X
IJOZTLS,X,X,X,X,X,O,X
IJOZTSL,X,X,X,O,X,O,X
IJOZLTS,X,X,X,X,X,O,X
IJOZLST,X,X,O,O,X,X,X
IJOZSTL,X,X,O,O,X,X,X
IJOZSLT,X,X,O,O,X,X,X
ISTLJZO,X,X,O,X,X,X,X
ISTLJOZ,X,X,O,X,X,X,X
ISTLZJO,O,X,O,X,X,X,X
ISTLZOJ,O,X,O,X,X,X,X
ISTLOJZ,O,X,O,X,X,X,X
ISTLOZJ,O,X,O,X,X,X,X
ISTJLZO,X,X,O,X,X,X,X
ISTJLOZ,X,X,O,X,X,X,X
ISTJZLO,X,X,O,X,X,X,X
ISTJZOL,X,X,O,X,X,X,X
ISTJOLZ,X,X,O,X,X,X,X
ISTJOZL,X,X,O,X,X,X,X
ISTZLJO,O,X,O,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X
ISTZJOL,O,X,O,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X
ISTZOJL,O,X,O,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X
ISTOJZL,X,X,O,X,X,X,X
ISTOZLJ,O,X,O,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X
ISLTJZO,X,O,O,X,X,X,X
ISLTJOZ,X,X,O,X,X,X,X
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X
ISLJTZO,X,O,O,X,X,X,X
ISLJTOZ,X,X,O,X,X,X,X
ISLJZTO,X,O,O,X,X,X,X
ISLJZOT,X,O,O,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,X
ISLJOZT,X,O,O,X,X,X,X
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,O,X,X,X,X
ISJTLZO,X,X,O,O,X,X,X
ISJTLOZ,X,X,O,X,X,X,X
ISJTZLO,X,X,O,O,X,X,X
ISJTZOL,X,X,O,O,X,X,X
ISJTOLZ,X,X,O,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X
ISJLTZO,X,X,O,O,X,X,X
ISJLTOZ,X,X,O,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X
ISJLZOT,X,X,O,O,X,X,X
ISJLOTZ,X,X,O,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X
ISJZTLO,X,X,O,O,X,X,X
ISJZTOL,X,X,O,O,X,X,X
ISJZLTO,X,X,O,O,X,X,X
ISJZLOT,X,X,O,O,X,X,X
ISJZOTL,X,X,O,O,X,X,X
ISJZOLT,X,X,O,O,X,X,X
ISJOTLZ,X,X,O,X,X,X,X
ISJOTZL,X,X,O,X,X,X,X
ISJOLTZ,X,X,O,X,X,X,X
ISJOLZT,X,X,O,O,X,X,X
ISJOZTL,X,X,O,O,X,X,X
ISJOZLT,X,X,O,O,X,X,X
ISZTLJO,O,X,O,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X
ISZTJLO,O,X,O,X,X,X,X
ISZTJOL,O,X,O,X,X,X,X
ISZTOLJ,O,X,O,X,X,X,X
ISZTOJL,O,X,O,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,X,O,O,X,X,X
ISZJTOL,O,X,O,O,X,X,X
