sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TISLZOJ,O,O,O,X,X,X,O,X,O,O
TISLOJZ,O,O,X,X,X,X,O,X,O,O
TISLOZJ,O,X,O,X,X,X,O,X,O,O
TISJLZO,O,O,X,X,O,X,O,X,O,O
TISJLOZ,O,O,X,X,O,X,O,X,O,O
TISJZLO,O,O,X,X,X,X,X,X,O,O
TISJZOL,O,O,X,X,X,X,X,X,O,O
TISJOLZ,O,O,X,X,O,X,O,X,O,X
TISJOZL,O,O,X,X,X,X,X,X,O,X
TISZLJO,O,O,O,X,X,X,O,X,O,O
TISZLOJ,O,O,O,X,X,X,O,X,O,O
TISZJLO,O,O,O,X,X,X,X,X,O,O
TISZJOL,O,O,O,X,X,X,X,X,O,O
TISZOLJ,O,O,O,X,X,X,O,X,O,X
TISZOJL,O,O,O,X,X,X,X,X,O,O
TISOLJZ,O,O,X,X,X,X,O,X,O,X
TISOLZJ,O,X,O,X,X,X,O,X,O,X
TISOJLZ,O,O,X,X,O,X,O,X,O,X
TISOJZL,O,O,X,X,X,X,X,X,O,X
TISOZLJ,O,O,O,X,X,X,O,X,O,X
TISOZJL,O,O,O,X,X,X,X,X,O,X
TIZLJSO,O,X,O,O,X,X,X,O,O,X
TIZLJOS,O,X,O,O,X,X,X,O,X,X
TIZLSJO,O,X,O,O,X,X,X,O,O,X
TIZLSOJ,O,X,O,O,X,X,X,O,O,X
TIZLOJS,O,X,O,X,X,X,X,O,X,X
TIZLOSJ,X,X,O,X,X,X,X,O,X,X
TIZJLSO,O,O,O,O,X,X,X,O,O,X
TIZJLOS,O,O,O,O,X,X,X,O,X,X
TIZJSLO,O,O,O,O,X,X,X,X,O,X
TIZJSOL,O,O,O,O,X,X,X,X,O,X
TIZJOLS,O,O,O,O,X,X,X,O,X,X
TIZJOSL,O,X,O,O,X,X,X,X,X,X
TIZSLJO,O,O,O,O,X,X,O,X,O,X
TIZSLOJ,O,O,O,O,X,X,O,X,O,X
TIZSJLO,O,O,O,O,X,X,X,X,O,X
TIZSJOL,O,O,O,O,X,X,X,X,O,X
TIZSOLJ,O,O,O,O,X,X,O,X,O,X
TIZSOJL,O,O,O,O,X,X,X,X,O,X
TIZOLJS,O,X,O,X,X,X,X,O,X,X
TIZOLSJ,X,X,O,X,X,X,X,O,X,X
TIZOJLS,O,O,O,X,X,X,X,O,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,O,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,O,O,X
TIOLJZS,X,X,O,X,X,X,X,O,X,X
TIOLSJZ,X,X,X,X,X,X,O,O,O,X
TIOLSZJ,X,X,O,X,X,X,O,X,O,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,O,X
TIOJLZS,X,X,O,X,O,X,X,O,X,X
TIOJSLZ,X,X,X,X,X,X,O,X,O,X
TIOJSZL,X,X,X,X,X,X,X,X,O,X
TIOJZLS,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,O,X,O,X
TIOSLZJ,X,X,O,X,X,X,O,X,O,X
TIOSJLZ,X,X,X,X,O,X,O,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,O,X,X,X,O,X,O,X
TIOSZJL,X,X,O,X,X,X,X,X,O,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,O,X,X,X
TIOZSJL,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,O,O,O
TLIJSOZ,O,X,X,X,X,X,X,O,O,O
TLIJZSO,O,X,O,O,X,X,X,O,O,O
TLIJZOS,O,X,O,O,X,X,X,O,X,X
TLIJOSZ,O,X,X,X,X,X,X,O,O,O
TLIJOZS,O,X,O,O,X,X,X,O,X,X
TLISJZO,O,X,X,X,X,X,O,O,O,O
TLISJOZ,O,X,X,X,X,X,O,O,O,O
TLISZJO,O,X,O,X,X,X,O,O,O,O
TLISZOJ,O,X,O,X,X,X,O,O,O,O
TLISOJZ,O,X,X,X,X,X,O,O,O,O
TLISOZJ,O,X,O,X,X,X,O,X,O,O
TLIZJSO,O,X,O,O,X,X,X,O,O,O
TLIZJOS,O,X,O,O,X,X,X,O,X,X
TLIZSJO,O,X,O,O,X,X,X,O,O,O
TLIZSOJ,O,X,O,O,X,X,X,O,O,O
TLIZOJS,O,X,O,X,X,X,X,O,X,X
TLIZOSJ,X,X,O,X,X,X,X,O,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,O,O
TLIOJZS,X,X,O,X,X,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,X,O,O,O,O
TLIOSZJ,X,X,O,X,X,X,O,X,O,O
TLIOZJS,X,X,O,X,X,X,X,O,X,X
TLIOZSJ,X,X,O,X,X,X,X,O,X,X
TLJISZO,O,O,X,X,X,O,X,O,O,O
TLJISOZ,O,O,X,X,X,O,X,O,O,O
TLJIZSO,O,O,X,O,O,O,X,O,O,O
TLJIZOS,O,O,X,O,O,X,X,O,X,X
TLJIOSZ,O,O,X,X,X,O,X,O,O,O
TLJIOZS,O,O,X,O,O,X,X,O,X,X
TLJSIZO,O,O,X,X,X,O,X,O,O,O
TLJSIOZ,O,O,X,X,X,O,X,O,O,O
TLJSZIO,O,O,X,O,O,O,X,O,O,O
TLJSZOI,O,O,X,O,O,O,X,O,X,X
TLJSOIZ,O,O,X,X,X,O,X,O,X,X
TLJSOZI,O,O,X,O,O,X,X,O,X,X
TLJZISO,O,O,X,O,O,O,X,O,X,X
TLJZIOS,O,O,X,O,O,O,X,O,X,X
TLJZSIO,O,O,X,O,O,O,X,O,X,X
TLJZSOI,O,O,X,O,O,O,X,O,X,X
TLJZOIS,O,O,X,O,O,O,X,O,X,X
TLJZOSI,O,O,X,O,O,O,X,O,X,X
TLJOISZ,O,O,X,X,X,O,X,O,X,X
TLJOIZS,O,O,X,O,O,X,X,O,X,X
TLJOSIZ,O,O,X,X,X,O,X,O,X,X
TLJOSZI,O,O,X,O,O,X,X,O,X,X
TLJOZIS,O,O,X,O,O,X,X,O,X,X
TLJOZSI,O,O,X,O,O,X,X,O,X,X
TLSIJZO,O,O,X,X,X,X,O,O,O,O
TLSIJOZ,O,O,X,X,X,X,O,O,O,O
TLSIZJO,O,O,X,X,X,X,O,O,O,O
TLSIZOJ,O,O,X,X,X,X,O,O,O,O
TLSIOJZ,O,O,X,X,X,X,O,O,O,O
TLSIOZJ,O,X,X,X,X,X,O,X,O,O
TLSJIZO,O,O,X,X,O,X,O,O,O,O
TLSJIOZ,O,O,X,X,O,X,O,O,O,O
TLSJZIO,O,O,X,O,O,X,X,O,O,O
TLSJZOI,O,O,X,O,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,O,X,O,O,X,X
TLSJOZI,O,O,X,O,O,X,X,O,X,X
TLSZIJO,O,O,X,O,X,X,O,O,O,O
TLSZIOJ,O,O,X,O,X,X,O,O,O,O
TLSZJIO,O,O,X,O,X,X,X,O,O,O
TLSZJOI,O,O,X,O,X,X,X,O,X,X
TLSZOIJ,O,O,X,O,X,X,O,O,X,O
TLSZOJI,O,O,X,O,X,X,X,O,X,X
TLSOIJZ,O,O,X,X,X,X,O,O,X,O
TLSOIZJ,O,X,X,X,X,X,O,X,X,O
TLSOJIZ,O,O,X,X,O,X,O,O,X,X
TLSOJZI,O,O,X,X,O,X,X,O,X,X
TLSOZIJ,O,X,X,X,X,X,O,X,X,O
TLSOZJI,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,O,X,X,X,O,X,O
TLZIJOS,O,X,O,O,X,O,X,O,X,X
TLZISJO,O,X,O,O,X,X,X,O,X,O
TLZISOJ,O,X,O,O,X,O,X,O,X,O
TLZIOJS,O,X,O,X,X,O,X,O,X,X
TLZIOSJ,X,X,O,X,X,O,X,O,X,X
TLZJISO,O,O,O,O,X,O,X,O,X,X
TLZJIOS,O,O,O,O,X,O,X,O,X,X
TLZJSIO,O,O,X,O,X,O,X,O,X,X
TLZJSOI,O,O,X,O,X,O,X,O,X,X
TLZJOIS,O,O,O,O,X,O,X,O,X,X
TLZJOSI,O,O,X,O,X,O,X,O,X,X
TLZSIJO,O,O,X,O,X,X,X,O,X,O
TLZSIOJ,O,O,X,O,X,O,X,O,X,O
TLZSJIO,O,O,X,O,X,X,X,O,X,O
TLZSJOI,O,O,X,O,X,X,X,O,X,X
TLZSOIJ,O,O,X,O,X,O,X,O,X,O
TLZSOJI,O,O,X,O,X,O,X,O,X,X
TLZOIJS,O,X,O,X,X,O,X,O,X,X
TLZOISJ,X,X,O,X,X,O,X,O,X,X
TLZOJIS,O,O,O,O,X,O,X,O,X,X
TLZOJSI,O,O,X,O,X,O,X,O,X,X
TLZOSIJ,O,X,X,O,X,O,X,O,X,X
TLZOSJI,O,X,X,O,X,O,X,O,X,X
TLOIJSZ,X,X,X,X,X,X,X,O,X,O
TLOIJZS,X,X,O,X,X,X,X,O,X,X
TLOISJZ,X,X,X,X,X,X,O,O,X,O
TLOISZJ,X,X,O,X,X,X,O,X,X,O
TLOIZJS,X,X,O,X,X,X,X,O,X,X
TLOIZSJ,X,X,O,X,X,X,X,O,X,X
TLOJISZ,O,X,X,X,X,O,X,O,X,X
TLOJIZS,O,X,X,O,O,O,X,O,X,X
TLOJSIZ,O,X,X,X,X,O,X,O,X,X
TLOJSZI,O,X,X,O,O,O,X,O,X,X
TLOJZIS,O,X,X,O,O,O,X,O,X,X
TLOJZSI,O,X,X,O,O,O,X,O,X,X
TLOSIJZ,O,X,X,X,X,O,O,O,X,O
TLOSIZJ,O,X,X,X,X,O,O,X,X,O
TLOSJIZ,O,X,X,X,O,O,O,O,X,X
TLOSJZI,X,X,X,X,O,O,X,O,X,X
TLOSZIJ,O,X,X,X,X,O,O,X,X,O
TLOSZJI,O,X,X,X,X,O,X,X,X,X
TLOZIJS,O,X,O,X,X,O,X,O,X,X
TLOZISJ,X,X,O,X,X,O,X,O,X,X
TLOZJIS,O,X,O,O,X,O,X,O,X,X
TLOZJSI,O,X,X,O,X,O,X,O,X,X
TLOZSIJ,O,X,X,O,X,O,X,O,X,X
TLOZSJI,O,X,X,O,X,O,X,O,X,X
TJILSZO,O,O,X,X,X,O,X,O,O,X
TJILSOZ,O,O,X,X,X,O,X,O,O,X
TJILZSO,O,O,O,O,O,O,X,O,O,X
TJILZOS,O,O,O,O,O,X,X,O,X,X
TJILOSZ,O,O,X,X,X,O,X,O,O,X
TJILOZS,O,O,O,O,O,O,X,O,X,X
TJISLZO,O,O,X,X,X,O,O,X,O,X
TJISLOZ,O,O,X,X,X,O,O,X,O,X
TJISZLO,O,O,X,X,X,O,X,X,O,X
TJISZOL,O,O,X,X,X,O,X,X,O,X
TJISOLZ,O,O,X,X,X,O,O,X,O,X
TJISOZL,O,O,X,X,X,O,X,X,O,X
TJIZLSO,O,O,O,O,X,O,X,O,O,X
TJIZLOS,O,O,O,O,X,X,X,O,X,X
TJIZSLO,O,O,O,O,X,O,X,X,O,X
TJIZSOL,O,O,O,O,X,O,X,X,O,X
TJIZOLS,O,O,O,O,X,O,X,O,X,X
TJIZOSL,O,X,O,O,X,O,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,X,O,O,X
TJIOLZS,O,X,O,O,O,O,X,O,X,X
TJIOSLZ,O,X,X,X,X,O,O,X,O,X
TJIOSZL,O,X,X,X,X,O,X,X,O,X
TJIOZLS,O,X,O,O,X,O,X,X,X,X
TJIOZSL,O,X,O,O,X,O,X,X,X,X
TJLISZO,O,O,X,X,X,O,X,O,O,X
TJLISOZ,O,O,X,X,X,O,X,O,O,X
TJLIZSO,O,O,X,O,O,O,X,O,O,X
TJLIZOS,O,O,X,O,O,X,X,O,X,X
TJLIOSZ,O,O,X,X,X,O,X,O,O,X
TJLIOZS,O,O,X,O,O,O,X,O,X,X
TJLSIZO,O,O,X,X,X,O,X,O,O,X
TJLSIOZ,O,O,X,X,X,O,X,O,O,X
TJLSZIO,O,O,X,O,O,O,X,O,O,X
TJLSZOI,O,O,X,O,O,O,X,O,X,X
TJLSOIZ,O,O,X,X,X,O,X,O,X,X
TJLSOZI,O,O,X,O,O,O,X,O,X,X
TJLZISO,O,O,X,O,O,O,X,O,X,X
TJLZIOS,O,O,X,O,O,O,X,O,X,X
TJLZSIO,O,O,X,O,O,O,X,O,X,X
TJLZSOI,O,O,X,O,O,O,X,O,X,X
TJLZOIS,O,O,X,O,O,O,X,O,X,X
TJLZOSI,O,O,X,O,O,O,X,O,X,X
TJLOISZ,O,O,X,X,X,O,X,O,X,X
TJLOIZS,O,O,X,O,O,O,X,O,X,X
TJLOSIZ,O,O,X,X,X,O,X,O,X,X
TJLOSZI,O,O,X,O,O,O,X,O,X,X
TJLOZIS,O,O,X,O,O,O,X,O,X,X
TJLOZSI,O,O,X,O,O,O,X,O,X,X
TJSILZO,O,O,X,X,O,O,O,X,O,X
TJSILOZ,O,O,X,X,O,O,O,X,O,X
TJSIZLO,O,O,X,X,X,O,X,X,O,X
TJSIZOL,O,O,X,X,X,O,X,X,O,X
TJSIOLZ,O,O,X,X,O,O,O,X,O,X
TJSIOZL,O,O,X,X,X,O,X,X,O,X
TJSLIZO,O,O,X,X,O,O,O,O,O,X
TJSLIOZ,O,O,X,X,O,O,O,O,O,X
TJSLZIO,O,O,X,O,O,O,X,O,O,X
TJSLZOI,O,O,X,O,O,O,X,O,X,X
TJSLOIZ,O,O,X,X,O,O,O,O,X,X
TJSLOZI,O,O,X,O,O,O,X,O,X,X
TJSZILO,O,O,X,O,X,O,X,X,O,X
TJSZIOL,O,O,X,O,X,O,X,X,O,X
TJSZLIO,O,O,X,O,O,O,X,O,O,X
TJSZLOI,O,O,X,O,O,O,X,O,X,X
TJSZOIL,O,O,X,O,X,O,X,X,O,X
TJSZOLI,O,O,X,O,O,O,X,O,X,X
TJSOILZ,O,O,X,X,O,O,O,X,O,X
TJSOIZL,O,O,X,X,X,O,X,X,O,X
TJSOLIZ,O,O,X,X,O,O,O,O,X,X
TJSOLZI,O,O,X,O,O,O,X,O,X,X
TJSOZIL,O,O,X,O,X,O,X,X,O,X
TJSOZLI,O,O,X,O,O,O,X,X,X,X
TJZILSO,O,O,O,O,O,O,X,O,O,X
TJZILOS,O,O,O,O,O,O,X,O,X,X
TJZISLO,O,O,O,O,O,O,X,X,O,X
TJZISOL,O,O,O,O,X,O,X,X,O,X
TJZIOLS,O,O,O,O,O,O,X,O,X,X
TJZIOSL,O,X,O,O,O,O,X,X,X,X
TJZLISO,O,O,O,O,O,O,X,O,X,X
TJZLIOS,O,O,O,O,O,O,X,O,X,X
TJZLSIO,O,O,X,O,O,O,X,O,X,X
TJZLSOI,O,O,X,O,O,O,X,O,X,X
TJZLOIS,O,O,O,O,O,O,X,O,X,X
TJZLOSI,O,O,X,O,O,O,X,O,X,X
TJZSILO,O,O,O,O,O,O,X,X,O,X
TJZSIOL,O,O,O,O,X,O,X,X,O,X
TJZSLIO,O,O,X,O,O,O,X,O,O,X
TJZSLOI,O,O,X,O,O,O,X,O,X,X
TJZSOIL,O,O,O,O,O,O,X,X,O,X
TJZSOLI,O,O,X,O,O,O,X,O,X,X
TJZOILS,O,O,O,O,O,O,X,O,X,X
TJZOISL,O,X,O,O,O,O,X,X,X,X
TJZOLIS,O,O,O,O,O,O,X,O,X,X
TJZOLSI,O,O,X,O,O,O,X,O,X,X
TJZOSIL,O,O,O,O,O,O,X,X,X,X
TJZOSLI,O,O,X,O,O,O,X,O,X,X
TJOILSZ,O,X,X,X,X,O,X,O,O,X
TJOILZS,O,X,O,O,O,O,X,O,X,X
TJOISLZ,O,X,X,X,X,O,O,X,O,X
TJOISZL,O,X,X,X,X,O,X,X,O,X
TJOIZLS,O,X,O,O,O,O,X,X,X,X
TJOIZSL,O,X,O,O,O,O,X,X,X,X
TJOLISZ,O,O,X,X,X,O,X,O,X,X
TJOLIZS,O,O,X,O,O,O,X,O,X,X
TJOLSIZ,O,O,X,X,X,O,X,O,X,X
TJOLSZI,O,O,X,O,O,O,X,O,X,X
TJOLZIS,O,O,X,O,O,O,X,O,X,X
TJOLZSI,O,O,X,O,O,O,X,O,X,X
TJOSILZ,O,O,X,X,O,O,O,X,O,X
TJOSIZL,O,O,X,X,X,O,X,X,O,X
TJOSLIZ,O,O,X,X,O,O,O,O,X,X
TJOSLZI,O,O,X,O,O,O,X,O,X,X
TJOSZIL,O,O,X,O,X,O,X,X,O,X
TJOSZLI,O,O,X,O,O,O,X,X,X,X
TJOZILS,O,O,O,O,O,O,X,O,X,X
TJOZISL,O,X,O,O,O,O,X,X,X,X
TJOZLIS,O,O,O,O,O,O,X,O,X,X
TJOZLSI,O,O,X,O,O,O,X,O,X,X
TJOZSIL,O,O,O,O,O,O,X,X,X,X
TJOZSLI,O,O,X,O,O,O,X,O,X,X
TSILJZO,O,O,X,X,X,X,O,X,O,O
TSILJOZ,O,O,X,X,X,X,O,X,O,O
TSILZJO,O,O,O,X,X,X,O,X,O,O
TSILZOJ,O,O,O,X,X,X,O,X,O,O
TSILOJZ,O,O,X,X,X,X,O,X,O,O
TSILOZJ,O,X,O,X,X,X,O,X,O,O
TSIJLZO,O,O,X,X,O,X,O,X,O,O
TSIJLOZ,O,O,X,X,O,X,O,X,O,O
TSIJZLO,O,O,X,X,X,X,X,X,O,O
TSIJZOL,O,O,X,X,X,X,X,X,O,O
TSIJOLZ,O,O,X,X,O,X,O,X,O,X
TSIJOZL,O,O,X,X,X,X,X,X,O,X
TSIZLJO,O,O,O,X,X,X,O,X,O,O
TSIZLOJ,O,O,O,X,X,X,O,X,O,O
TSIZJLO,O,O,O,X,X,X,X,X,O,O
TSIZJOL,O,O,O,X,X,X,X,X,O,O
TSIZOLJ,O,O,O,X,X,X,O,X,O,X
TSIZOJL,O,O,O,X,X,X,X,X,O,O
TSIOLJZ,O,O,X,X,X,X,O,X,O,X
TSIOLZJ,O,X,O,X,X,X,O,X,O,X
TSIOJLZ,O,O,X,X,O,X,O,X,O,X
TSIOJZL,O,O,X,X,X,X,X,X,O,X
TSIOZLJ,O,O,O,X,X,X,O,X,O,X
TSIOZJL,O,O,O,X,X,X,X,X,O,X
TSLIJZO,O,O,X,X,X,X,O,O,O,O
TSLIJOZ,O,O,X,X,X,X,O,O,O,O
TSLIZJO,O,O,X,X,X,X,O,O,O,O
TSLIZOJ,O,O,X,X,X,X,O,O,O,O
TSLIOJZ,O,O,X,X,X,X,O,O,O,O
TSLIOZJ,O,X,X,X,X,X,O,X,O,O
TSLJIZO,O,O,X,X,O,X,O,O,O,O
TSLJIOZ,O,O,X,X,O,X,O,O,O,O
TSLJZIO,O,O,X,O,O,X,X,O,O,O
TSLJZOI,O,O,X,O,O,X,X,O,X,X
TSLJOIZ,O,O,X,X,O,X,O,O,X,X
TSLJOZI,O,O,X,O,O,X,X,O,X,X
TSLZIJO,O,O,X,O,X,X,O,O,O,O
TSLZIOJ,O,O,X,O,X,X,O,O,O,O
TSLZJIO,O,O,X,O,X,X,X,O,O,O
TSLZJOI,O,O,X,O,X,X,X,O,X,X
TSLZOIJ,O,O,X,O,X,X,O,O,X,O
TSLZOJI,O,O,X,O,X,X,X,O,X,X
TSLOIJZ,O,O,X,X,X,X,O,O,X,O
TSLOIZJ,O,X,X,X,X,X,O,X,X,O
TSLOJIZ,O,O,X,X,O,X,O,O,X,X
TSLOJZI,O,O,X,X,O,X,X,O,X,X
TSLOZIJ,O,X,X,X,X,X,O,X,X,O
TSLOZJI,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,X,O,X,O,X,O,X
TSJILOZ,O,O,X,X,O,X,O,X,O,X
TSJIZLO,O,O,X,X,X,X,X,X,O,X
TSJIZOL,O,O,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,X,X,O,X,O,X,O,X
TSJIOZL,O,O,X,X,X,X,X,X,O,X
TSJLIZO,O,O,X,X,O,X,O,O,O,X
TSJLIOZ,O,O,X,X,O,X,O,O,O,X
TSJLZIO,O,O,X,O,O,X,X,O,O,X
TSJLZOI,O,O,X,O,O,X,X,O,X,X
TSJLOIZ,O,O,X,X,O,X,O,O,X,X
TSJLOZI,O,O,X,O,O,X,X,O,X,X
TSJZILO,O,O,X,O,O,X,X,X,O,X
TSJZIOL,O,O,X,O,O,X,X,X,O,X
TSJZLIO,O,O,X,O,O,X,X,O,O,X
TSJZLOI,O,O,X,O,O,X,X,O,X,X
TSJZOIL,O,O,X,O,O,X,X,X,O,X
TSJZOLI,O,O,X,O,O,X,X,O,X,X
TSJOILZ,O,O,X,X,O,X,O,X,O,X
TSJOIZL,O,O,X,X,O,X,X,X,O,X
TSJOLIZ,O,O,X,X,O,X,O,O,X,X
TSJOLZI,O,O,X,O,O,X,X,O,X,X
TSJOZIL,O,O,X,O,O,X,X,X,O,X
TSJOZLI,O,O,X,O,O,X,X,X,X,X
TSZILJO,O,O,O,O,O,X,O,X,O,O
TSZILOJ,O,O,O,O,X,X,O,X,O,O
TSZIJLO,O,O,O,O,O,X,X,X,O,O
TSZIJOL,O,O,O,O,O,X,X,X,O,O
TSZIOLJ,O,O,O,O,O,X,O,X,O,X
TSZIOJL,O,O,O,O,O,X,X,X,O,O
TSZLIJO,O,O,X,O,O,X,O,O,O,O
TSZLIOJ,O,O,X,O,X,X,O,O,O,O
TSZLJIO,O,O,X,O,O,X,X,O,O,O
TSZLJOI,O,O,X,O,O,X,X,O,X,X
TSZLOIJ,O,O,X,O,O,X,O,O,X,O
TSZLOJI,O,O,X,O,O,X,X,O,X,X
TSZJILO,O,O,O,O,O,X,X,X,O,O
TSZJIOL,O,O,O,O,O,X,X,X,O,O
TSZJLIO,O,O,X,O,O,X,X,O,O,X
TSZJLOI,O,O,X,O,O,X,X,O,X,X
TSZJOIL,O,O,O,O,O,X,X,X,O,X
TSZJOLI,O,O,X,O,O,X,X,O,X,X
TSZOILJ,O,O,O,O,O,X,O,X,O,X
TSZOIJL,O,O,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,X,O,O,X,O,O,X,X
TSZOLJI,O,O,X,O,O,X,X,O,X,X
TSZOJIL,O,O,O,O,O,X,X,X,O,X
TSZOJLI,O,O,X,O,O,X,X,O,X,X
TSOILJZ,O,O,X,X,X,X,O,X,O,X
TSOILZJ,O,X,O,X,X,X,O,X,O,X
TSOIJLZ,O,O,X,X,O,X,O,X,O,X
