sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TLOIJSZ,X,X,X
TLOIJZS,O,X,X
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,O,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,O,O,X
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,O,O,X
TLOJZSI,X,X,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,O,X,X
TLOZISJ,X,X,X
TLOZJIS,O,O,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,X,X
TJILZOS,X,O,X
TJILOSZ,X,X,X
TJILOZS,X,O,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,X,X
TJIZLOS,X,O,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,O,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,X
TJIOLZS,O,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,O,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,X,X,X
TJLIZOS,X,O,X
TJLIOSZ,X,X,X
TJLIOZS,X,O,X
TJLSIZO,X,X,X
TJLSIOZ,X,X,X
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,X,X,X
TJLZIOS,X,O,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,O,X
TJLZOSI,X,X,X
TJLOISZ,X,X,X
TJLOIZS,X,O,X
TJLOSIZ,X,X,X
