sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TZISJOL,X,X,X,X,X,X,X,O
TZISOLJ,X,O,X,X,X,X,O,X
TZISOJL,X,X,X,X,X,X,X,O
TZIOLJS,X,O,O,X,X,X,X,O
TZIOLSJ,X,O,X,X,X,X,X,X
TZIOJLS,X,O,O,X,X,X,X,O
TZIOJSL,X,X,O,X,X,X,X,O
TZIOSLJ,X,O,X,X,X,X,O,X
TZIOSJL,X,X,X,X,X,X,X,O
TZLIJSO,X,O,O,X,X,O,X,X
TZLIJOS,X,O,O,X,X,X,X,O
TZLISJO,X,O,X,X,X,O,X,X
TZLISOJ,X,O,X,X,X,X,X,X
TZLIOJS,X,O,O,X,X,X,X,O
TZLIOSJ,X,O,X,X,X,X,X,X
TZLJISO,X,O,O,X,X,O,X,X
TZLJIOS,X,O,O,X,X,X,X,O
TZLJSIO,X,O,O,O,X,O,X,X
TZLJSOI,X,O,O,O,X,X,X,X
TZLJOIS,X,O,O,X,X,X,X,O
TZLJOSI,X,O,O,O,X,X,X,X
TZLSIJO,X,O,X,O,X,O,X,X
TZLSIOJ,X,O,X,O,X,X,X,X
TZLSJIO,X,O,O,O,X,O,X,X
TZLSJOI,X,O,O,O,X,X,X,X
TZLSOIJ,X,O,X,O,X,X,X,X
TZLSOJI,X,O,O,O,X,X,X,X
TZLOIJS,X,O,O,X,X,X,X,O
TZLOISJ,X,O,X,X,X,X,X,X
TZLOJIS,X,O,O,X,X,X,X,O
TZLOJSI,X,O,O,O,X,X,X,X
TZLOSIJ,X,O,X,O,X,X,X,X
TZLOSJI,X,O,O,O,X,X,X,X
TZJILSO,X,O,O,X,X,O,X,X
TZJILOS,X,O,O,X,X,X,X,O
TZJISLO,X,X,O,X,X,O,X,X
TZJISOL,X,X,O,X,X,X,X,O
TZJIOLS,X,O,O,X,X,X,X,O
TZJIOSL,X,X,O,X,X,X,X,O
TZJLISO,X,O,O,X,X,O,X,X
TZJLIOS,X,O,O,X,X,X,X,O
TZJLSIO,X,O,O,O,X,O,X,X
TZJLSOI,X,O,O,O,X,X,X,X
TZJLOIS,X,O,O,X,X,X,X,O
TZJLOSI,X,O,O,O,X,X,X,X
TZJSILO,X,X,O,X,X,O,X,X
TZJSIOL,X,X,O,X,X,X,X,O
TZJSLIO,X,X,O,O,X,O,X,X
TZJSLOI,X,X,O,O,X,X,X,X
TZJSOIL,X,X,O,X,X,X,X,O
TZJSOLI,X,X,O,O,X,X,X,X
TZJOILS,X,O,O,X,X,X,X,O
TZJOISL,X,X,O,X,X,X,X,O
TZJOLIS,X,O,O,X,X,X,X,O
TZJOLSI,X,O,O,O,X,X,X,X
TZJOSIL,X,X,O,X,X,X,X,O
TZJOSLI,X,X,O,O,X,X,X,X
TZSILJO,X,O,X,X,X,O,X,X
TZSILOJ,X,O,X,X,X,X,O,X
TZSIJLO,X,X,X,X,X,O,X,X
TZSIJOL,X,X,X,X,X,X,X,O
TZSIOLJ,X,O,X,X,X,X,O,X
TZSIOJL,X,X,X,X,X,X,X,O
TZSLIJO,X,O,X,O,X,O,X,X
TZSLIOJ,X,O,X,O,X,X,O,X
TZSLJIO,X,O,O,O,X,O,X,X
TZSLJOI,X,O,O,O,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,O,X
TZSLOJI,X,O,O,O,X,X,X,X
TZSJILO,X,X,O,X,X,O,X,X
TZSJIOL,X,X,O,X,X,X,X,O
TZSJLIO,X,X,O,O,X,O,X,X
TZSJLOI,X,X,O,O,X,X,X,X
TZSJOIL,X,X,O,X,X,X,X,O
TZSJOLI,X,X,O,O,X,X,X,X
TZSOILJ,X,O,X,X,X,X,O,X
TZSOIJL,X,X,X,X,X,X,X,O
TZSOLIJ,X,O,X,O,X,X,O,X
TZSOLJI,X,O,O,O,X,X,X,X
TZSOJIL,X,X,O,X,X,X,X,O
TZSOJLI,X,X,O,O,X,X,X,X
TZOILJS,X,O,O,X,X,X,X,O
TZOILSJ,X,O,X,X,X,X,X,X
TZOIJLS,X,O,O,X,X,X,X,O
TZOIJSL,X,X,O,X,X,X,X,O
TZOISLJ,X,O,X,X,X,X,O,X
TZOISJL,X,X,X,X,X,X,X,O
TZOLIJS,X,O,O,X,X,X,X,O
TZOLISJ,X,O,X,X,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X,O
TZOLJSI,X,O,O,O,X,X,X,X
TZOLSIJ,X,O,X,O,X,X,X,X
TZOLSJI,X,O,O,O,X,X,X,X
TZOJILS,X,O,O,X,X,X,X,O
TZOJISL,X,X,O,X,X,X,X,O
TZOJLIS,X,O,O,X,X,X,X,O
TZOJLSI,X,O,O,O,X,X,X,X
TZOJSIL,X,X,O,X,X,X,X,O
TZOJSLI,X,X,O,O,X,X,X,X
TZOSILJ,X,O,X,X,X,X,O,X
TZOSIJL,X,X,X,X,X,X,X,O
TZOSLIJ,X,O,X,O,X,X,O,X
TZOSLJI,X,O,O,O,X,X,X,X
TZOSJIL,X,X,O,X,X,X,X,O
TZOSJLI,X,X,O,O,X,X,X,X
TOILJSZ,X,O,X,O,X,X,X,X
TOILJZS,O,X,O,X,X,X,X,X
TOILSJZ,O,O,X,O,X,X,O,X
TOILSZJ,X,O,X,O,X,X,O,X
TOILZJS,X,O,O,X,X,X,X,O
TOILZSJ,X,O,X,X,X,X,X,X
TOIJLSZ,X,O,X,O,X,X,X,X
TOIJLZS,O,X,O,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,O,X
TOIJSZL,O,X,X,X,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X,O
TOIJZSL,O,X,O,X,X,X,X,O
TOISLJZ,O,O,X,O,X,X,O,X
TOISLZJ,X,O,X,O,X,X,O,X
TOISJLZ,O,X,X,O,X,X,O,X
TOISJZL,O,X,X,X,X,X,X,X
TOISZLJ,X,O,X,X,X,X,O,X
TOISZJL,O,X,X,X,X,X,X,O
TOIZLJS,X,O,O,X,X,X,X,O
TOIZLSJ,X,O,X,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,O
TOIZJSL,O,X,O,X,X,X,X,O
TOIZSLJ,X,O,X,X,X,X,O,X
TOIZSJL,O,X,X,X,X,X,X,O
TOLIJSZ,X,O,X,O,X,X,X,X
TOLIJZS,X,X,O,X,X,X,X,X
TOLISJZ,X,O,X,O,X,X,O,X
TOLISZJ,X,O,X,O,X,X,O,X
TOLIZJS,X,O,O,X,X,X,X,O
TOLIZSJ,X,O,X,X,X,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,X
TOLJSIZ,X,X,X,O,X,X,X,X
TOLJSZI,X,X,O,O,X,X,X,X
TOLJZIS,X,X,O,X,X,X,X,X
TOLJZSI,X,X,O,O,X,X,X,X
TOLSIJZ,X,O,X,O,X,X,O,X
TOLSIZJ,X,O,X,O,X,X,O,X
TOLSJIZ,X,O,X,O,X,X,O,X
TOLSJZI,X,X,O,O,X,X,X,X
TOLSZIJ,X,O,X,O,X,X,O,X
TOLSZJI,X,X,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X,O
TOLZISJ,X,O,X,X,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X,O
TOLZJSI,X,O,O,O,X,X,X,X
TOLZSIJ,X,O,X,O,X,X,X,X
TOLZSJI,X,O,O,O,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X
TOJILZS,O,X,O,X,X,X,X,X
TOJISLZ,O,X,X,O,X,X,O,X
TOJISZL,O,X,X,X,X,X,X,X
TOJIZLS,O,X,O,X,X,X,X,O
TOJIZSL,O,X,O,X,X,X,X,O
TOJLISZ,X,X,X,O,X,X,X,X
TOJLIZS,X,X,O,X,X,X,X,X
TOJLSIZ,X,X,X,O,X,X,X,X
TOJLSZI,X,X,O,O,X,X,X,X
TOJLZIS,X,X,O,X,X,X,X,X
TOJLZSI,X,X,O,O,X,X,X,X
TOJSILZ,O,X,X,O,X,X,O,X
TOJSIZL,O,X,X,X,X,X,X,X
TOJSLIZ,O,X,X,O,X,X,O,X
TOJSLZI,O,X,O,O,X,X,X,X
TOJSZIL,O,X,O,X,X,X,X,X
TOJSZLI,O,X,O,O,X,X,X,X
TOJZILS,O,X,O,X,X,X,X,O
TOJZISL,O,X,O,X,X,X,X,O
TOJZLIS,O,X,O,X,X,X,X,O
TOJZLSI,X,X,O,O,X,X,X,X
TOJZSIL,O,X,O,X,X,X,X,O
TOJZSLI,X,X,O,O,X,X,X,X
TOSILJZ,O,X,X,O,X,X,O,X
TOSILZJ,X,X,X,O,X,X,O,X
TOSIJLZ,O,X,X,O,X,X,O,X
TOSIJZL,O,X,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,O,X
TOSIZJL,O,X,X,X,X,X,X,O
TOSLIJZ,O,X,X,O,X,X,O,X
TOSLIZJ,X,X,X,O,X,X,O,X
TOSLJIZ,O,X,X,O,X,X,O,X
TOSLJZI,O,X,O,O,X,X,X,X
TOSLZIJ,X,X,X,O,X,X,O,X
TOSLZJI,X,X,O,O,X,X,X,X
TOSJILZ,O,X,X,O,X,X,O,X
TOSJIZL,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,X,O,X,X,O,X
TOSJLZI,O,X,O,O,X,X,X,X
TOSJZIL,O,X,O,X,X,X,X,X
TOSJZLI,O,X,O,O,X,X,X,X
TOSZILJ,X,X,X,X,X,X,O,X
TOSZIJL,O,X,X,X,X,X,X,O
TOSZLIJ,X,X,X,O,X,X,O,X
TOSZLJI,X,X,O,O,X,X,X,X
TOSZJIL,O,X,O,X,X,X,X,O
TOSZJLI,O,X,O,O,X,X,X,X
TOZILJS,X,O,O,X,X,X,X,O
TOZILSJ,X,O,X,X,X,X,X,X
TOZIJLS,X,O,O,X,X,X,X,O
TOZIJSL,X,X,O,X,X,X,X,O
TOZISLJ,X,O,X,X,X,X,O,X
TOZISJL,X,X,X,X,X,X,X,O
TOZLIJS,X,O,O,X,X,X,X,O
TOZLISJ,X,O,X,X,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X,O
TOZLJSI,X,O,O,O,X,X,X,X
TOZLSIJ,X,O,X,O,X,X,X,X
TOZLSJI,X,O,O,O,X,X,X,X
TOZJILS,X,O,O,X,X,X,X,O
TOZJISL,X,X,O,X,X,X,X,O
TOZJLIS,X,O,O,X,X,X,X,O
TOZJLSI,X,O,O,O,X,X,X,X
TOZJSIL,X,X,O,X,X,X,X,O
TOZJSLI,X,X,O,O,X,X,X,X
TOZSILJ,X,O,X,X,X,X,O,X
TOZSIJL,X,X,X,X,X,X,X,O
TOZSLIJ,X,O,X,O,X,X,O,X
TOZSLJI,X,O,O,O,X,X,X,X
TOZSJIL,X,X,O,X,X,X,X,O
TOZSJLI,X,X,O,O,X,X,X,X
ITLJSZO,X,X,X,O,O,X,X,X
ITLJSOZ,X,O,X,O,X,X,X,X
ITLJZSO,X,X,O,X,X,O,X,X
ITLJZOS,O,X,O,X,X,X,X,X
ITLJOSZ,X,O,X,O,X,X,X,X
ITLJOZS,O,X,O,X,X,X,X,X
ITLSJZO,O,X,X,O,O,X,X,X
ITLSJOZ,O,O,X,O,X,X,O,X
ITLSZJO,X,X,X,O,O,X,X,X
ITLSZOJ,X,O,X,O,X,X,O,X
ITLSOJZ,O,O,X,O,X,X,O,X
ITLSOZJ,X,O,X,O,X,X,O,X
ITLZJSO,X,O,O,X,X,O,X,X
ITLZJOS,X,O,O,X,X,X,X,O
ITLZSJO,X,O,X,X,X,O,X,X
ITLZSOJ,X,O,X,X,X,X,X,X
ITLZOJS,X,O,O,X,X,X,X,O
ITLZOSJ,X,O,X,X,X,X,X,X
ITLOJSZ,X,O,X,O,X,X,X,X
ITLOJZS,O,X,O,X,X,X,X,X
ITLOSJZ,O,O,X,O,X,X,O,X
ITLOSZJ,X,O,X,O,X,X,O,X
ITLOZJS,X,O,O,X,X,X,X,O
ITLOZSJ,X,O,X,X,X,X,X,X
ITJLSZO,X,X,X,O,O,X,X,X
ITJLSOZ,X,O,X,O,X,X,X,X
ITJLZSO,X,X,O,X,X,O,X,X
ITJLZOS,O,X,O,X,X,X,X,X
ITJLOSZ,X,O,X,O,X,X,X,X
ITJLOZS,O,X,O,X,X,X,X,X
ITJSLZO,O,X,X,O,O,X,X,X
ITJSLOZ,O,X,X,O,X,X,O,X
ITJSZLO,O,X,X,X,O,X,X,X
ITJSZOL,O,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,O,X,X,O,X
ITJSOZL,O,X,X,X,X,X,X,X
ITJZLSO,X,O,O,X,X,O,X,X
ITJZLOS,O,O,O,X,X,X,X,O
ITJZSLO,X,X,O,X,X,O,X,X
ITJZSOL,O,X,O,X,X,X,X,O
ITJZOLS,O,O,O,X,X,X,X,O
ITJZOSL,O,X,O,X,X,X,X,O
ITJOLSZ,X,O,X,O,X,X,X,X
ITJOLZS,O,X,O,X,X,X,X,X
ITJOSLZ,O,X,X,O,X,X,O,X
ITJOSZL,O,X,X,X,X,X,X,X
ITJOZLS,O,O,O,X,X,X,X,O
ITJOZSL,O,X,O,X,X,X,X,O
ITSLJZO,O,X,X,O,O,X,X,X
ITSLJOZ,O,O,X,O,X,X,O,X
ITSLZJO,X,X,X,O,O,X,X,X
ITSLZOJ,X,O,X,O,X,X,O,X
ITSLOJZ,O,O,X,O,X,X,O,X
ITSLOZJ,X,O,X,O,X,X,O,X
ITSJLZO,O,X,X,O,O,X,X,X
ITSJLOZ,O,X,X,O,X,X,O,X
ITSJZLO,O,X,X,X,O,X,X,X
ITSJZOL,O,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,X,X,O,X
ITSJOZL,O,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,O,X,X,X
ITSZLOJ,X,O,X,X,X,X,O,X
ITSZJLO,O,X,X,X,O,X,X,X
ITSZJOL,O,X,X,X,X,X,X,O
ITSZOLJ,X,O,X,X,X,X,O,X
ITSZOJL,O,X,X,X,X,X,X,O
ITSOLJZ,O,O,X,O,X,X,O,X
ITSOLZJ,X,O,X,O,X,X,O,X
ITSOJLZ,O,X,X,O,X,X,O,X
ITSOJZL,O,X,X,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,X,O,X
ITSOZJL,O,X,X,X,X,X,X,O
ITZLJSO,X,O,O,X,X,O,X,X
ITZLJOS,X,O,O,X,X,X,X,O
ITZLSJO,X,O,X,X,X,O,X,X
ITZLSOJ,X,O,X,X,X,X,X,X
ITZLOJS,X,O,O,X,X,X,X,O
ITZLOSJ,X,O,X,X,X,X,X,X
ITZJLSO,X,O,O,X,X,O,X,X
ITZJLOS,O,O,O,X,X,X,X,O
ITZJSLO,X,X,O,X,X,O,X,X
ITZJSOL,O,X,O,X,X,X,X,O
ITZJOLS,O,O,O,X,X,X,X,O
ITZJOSL,O,X,O,X,X,X,X,O
ITZSLJO,X,O,X,X,X,O,X,X
ITZSLOJ,X,O,X,X,X,X,O,X
ITZSJLO,O,X,X,X,X,O,X,X
ITZSJOL,O,X,X,X,X,X,X,O
ITZSOLJ,X,O,X,X,X,X,O,X
ITZSOJL,O,X,X,X,X,X,X,O
ITZOLJS,X,O,O,X,X,X,X,O
ITZOLSJ,X,O,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,O
ITZOJSL,O,X,O,X,X,X,X,O
ITZOSLJ,X,O,X,X,X,X,O,X
ITZOSJL,O,X,X,X,X,X,X,O
ITOLJSZ,X,O,X,O,X,X,X,X
ITOLJZS,O,X,O,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,O,X
ITOLSZJ,X,O,X,O,X,X,O,X
ITOLZJS,X,O,O,X,X,X,X,O
ITOLZSJ,X,O,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,X,X,X,X
ITOJLZS,O,X,O,X,X,X,X,X
ITOJSLZ,O,X,X,O,X,X,O,X
ITOJSZL,O,X,X,X,X,X,X,X
ITOJZLS,O,O,O,X,X,X,X,O
ITOJZSL,O,X,O,X,X,X,X,O
ITOSLJZ,O,O,X,O,X,X,O,X
ITOSLZJ,X,O,X,O,X,X,O,X
ITOSJLZ,O,X,X,O,X,X,O,X
ITOSJZL,O,X,X,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,X,O,X
ITOSZJL,O,X,X,X,X,X,X,O
ITOZLJS,X,O,O,X,X,X,X,O
ITOZLSJ,X,O,X,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,O
ITOZJSL,O,X,O,X,X,X,X,O
ITOZSLJ,X,O,X,X,X,X,O,X
ITOZSJL,O,X,X,X,X,X,X,O
ILTJSZO,X,X,X,O,O,X,X,X
ILTJSOZ,X,O,X,O,X,X,X,X
ILTJZSO,X,X,O,X,X,O,X,X
ILTJZOS,O,X,O,X,X,X,X,X
ILTJOSZ,X,O,X,O,X,X,X,X
ILTJOZS,O,X,O,X,X,X,X,X
ILTSJZO,O,X,X,O,O,X,X,X
ILTSJOZ,O,O,X,O,X,X,O,X
ILTSZJO,X,X,X,O,O,X,X,X
ILTSZOJ,X,O,X,O,X,X,O,X
ILTSOJZ,O,O,X,O,X,X,O,X
ILTSOZJ,X,O,X,O,X,X,O,X
ILTZJSO,X,O,O,X,X,O,X,X
ILTZJOS,X,O,O,X,X,X,X,O
ILTZSJO,X,O,X,X,X,O,X,X
ILTZSOJ,X,O,X,X,X,X,X,X
ILTZOJS,X,O,O,X,X,X,X,O
ILTZOSJ,X,O,X,X,X,X,X,X
ILTOJSZ,X,O,X,O,X,X,X,X
ILTOJZS,O,X,O,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,O,X
ILTOSZJ,X,O,X,O,X,X,O,X
ILTOZJS,X,O,O,X,X,X,X,O
ILTOZSJ,X,O,X,X,X,X,X,X
ILJTSZO,X,X,X,O,O,X,X,X
ILJTSOZ,X,O,X,O,X,X,X,X
ILJTZSO,X,X,O,X,X,O,X,X
ILJTZOS,O,X,O,X,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,X
ILJTOZS,O,X,O,X,X,X,X,X
ILJSTZO,O,X,X,X,O,X,X,X
ILJSTOZ,O,O,X,X,X,X,X,X
ILJSZTO,O,X,X,X,O,O,X,X
ILJSZOT,O,X,X,X,O,O,X,X
ILJSOTZ,O,O,X,X,X,X,X,X
ILJSOZT,O,X,X,X,O,X,X,X
ILJZTSO,X,O,X,X,X,O,X,X
ILJZTOS,O,O,X,X,X,X,X,X
ILJZSTO,X,O,X,X,O,O,X,X
ILJZSOT,X,O,X,X,O,O,X,X
ILJZOTS,O,O,X,X,X,X,X,X
ILJZOST,X,O,X,X,X,O,X,X
ILJOTSZ,X,O,X,O,X,X,X,X
ILJOTZS,O,X,O,X,X,X,X,X
ILJOSTZ,O,O,X,X,X,X,X,X
ILJOSZT,O,X,X,X,O,X,X,X
ILJOZTS,O,O,X,X,X,X,X,X
ILJOZST,X,O,X,X,X,O,X,X
ILSTJZO,O,X,X,X,O,X,X,X
ILSTJOZ,O,O,X,X,X,X,O,X
ILSTZJO,X,X,X,X,O,X,X,X
ILSTZOJ,X,O,X,X,X,X,O,X
ILSTOJZ,O,O,X,X,X,X,O,X
ILSTOZJ,X,O,X,X,X,X,O,X
ILSJTZO,O,X,X,X,O,X,X,X
ILSJTOZ,O,O,X,X,X,X,X,X
ILSJZTO,O,X,X,X,O,O,X,X
ILSJZOT,O,X,X,X,O,O,X,X
ILSJOTZ,O,O,X,X,X,X,X,X
ILSJOZT,O,X,X,X,O,X,X,X
ILSZTJO,X,O,X,X,O,O,X,X
ILSZTOJ,X,O,X,X,X,X,X,X
ILSZJTO,X,O,X,X,O,O,X,X
ILSZJOT,X,O,X,X,O,O,X,X
ILSZOTJ,X,O,X,X,X,X,X,X
ILSZOJT,X,O,X,X,O,O,X,X
ILSOTJZ,O,O,X,X,X,X,O,X
ILSOTZJ,X,O,X,X,X,X,O,X
ILSOJTZ,O,O,X,X,X,X,X,X
ILSOJZT,O,X,X,X,O,X,X,X
ILSOZTJ,X,O,X,X,X,X,X,X
ILSOZJT,X,O,X,X,O,X,X,X
ILZTJSO,X,O,O,X,X,O,X,X
ILZTJOS,X,O,O,X,X,X,X,X
ILZTSJO,X,O,X,X,X,O,X,X
ILZTSOJ,X,O,X,X,X,X,X,X
ILZTOJS,X,O,O,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X
ILZJTSO,X,O,X,X,X,O,X,X
ILZJTOS,X,O,X,X,X,X,X,X
ILZJSTO,X,O,X,X,O,O,X,X
ILZJSOT,X,O,X,X,O,O,X,X
ILZJOTS,X,O,X,X,X,X,X,X
ILZJOST,X,O,X,X,X,O,X,X
ILZSTJO,X,O,X,X,O,O,X,X
ILZSTOJ,X,O,X,X,X,X,X,X
ILZSJTO,X,O,X,X,O,O,X,X
ILZSJOT,X,O,X,X,O,O,X,X
ILZSOTJ,X,O,X,X,X,X,X,X
ILZSOJT,X,O,X,X,O,O,X,X
ILZOTJS,X,O,O,X,X,X,X,X
ILZOTSJ,X,O,X,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,X,X
ILZOJST,X,O,X,X,X,O,X,X
ILZOSTJ,X,O,X,X,X,X,X,X
ILZOSJT,X,O,X,X,X,O,X,X
ILOTJSZ,X,O,X,O,X,X,X,X
ILOTJZS,O,X,O,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,O,X
ILOTSZJ,X,O,X,O,X,X,O,X
ILOTZJS,X,O,O,X,X,X,X,O
ILOTZSJ,X,O,X,X,X,X,X,X
ILOJTSZ,X,O,X,O,X,X,X,X
ILOJTZS,O,X,O,X,X,X,X,X
ILOJSTZ,O,O,X,X,X,X,X,X
ILOJSZT,O,X,X,X,O,X,X,X
ILOJZTS,O,O,X,X,X,X,X,X
ILOJZST,X,O,X,X,X,O,X,X
ILOSTJZ,O,O,X,X,X,X,O,X
ILOSTZJ,X,O,X,X,X,X,O,X
ILOSJTZ,O,O,X,X,X,X,X,X
ILOSJZT,O,X,X,X,O,X,X,X
ILOSZTJ,X,O,X,X,X,X,X,X
ILOSZJT,X,O,X,X,O,X,X,X
ILOZTJS,X,O,O,X,X,X,X,X
ILOZTSJ,X,O,X,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,X,X
ILOZJST,X,O,X,X,X,O,X,X
ILOZSTJ,X,O,X,X,X,X,X,X
ILOZSJT,X,O,X,X,X,O,X,X
IJTLSZO,X,X,X,O,O,X,X,X
IJTLSOZ,X,O,X,O,X,X,X,X
IJTLZSO,X,X,O,X,X,O,X,X
IJTLZOS,O,X,O,X,X,X,X,X
IJTLOSZ,X,O,X,O,X,X,X,X
IJTLOZS,O,X,O,X,X,X,X,X
IJTSLZO,O,X,X,O,O,X,X,X
IJTSLOZ,O,X,X,O,X,X,O,X
IJTSZLO,O,X,X,X,O,X,X,X
IJTSZOL,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,X,O,X
IJTSOZL,O,X,X,X,X,X,X,X
IJTZLSO,X,O,O,X,X,O,X,X
IJTZLOS,O,O,O,X,X,X,X,O
IJTZSLO,X,X,O,X,X,O,X,X
IJTZSOL,O,X,O,X,X,X,X,O
IJTZOLS,O,O,O,X,X,X,X,O
IJTZOSL,O,X,O,X,X,X,X,O
IJTOLSZ,X,O,X,O,X,X,X,X
IJTOLZS,O,X,O,X,X,X,X,X
IJTOSLZ,O,X,X,O,X,X,O,X
IJTOSZL,O,X,X,X,X,X,X,X
IJTOZLS,O,O,O,X,X,X,X,O
IJTOZSL,O,X,O,X,X,X,X,O
IJLTSZO,X,X,X,O,O,X,X,X
IJLTSOZ,X,O,X,O,X,X,X,X
IJLTZSO,X,X,O,X,X,O,X,X
IJLTZOS,O,X,O,X,X,X,X,X
IJLTOSZ,X,O,X,O,X,X,X,X
IJLTOZS,O,X,O,X,X,X,X,X
IJLSTZO,O,X,X,X,O,X,X,X
IJLSTOZ,O,O,X,X,X,X,X,X
IJLSZTO,O,X,X,X,O,O,X,X
IJLSZOT,O,X,X,X,O,O,X,X
IJLSOTZ,O,O,X,X,X,X,X,X
IJLSOZT,O,X,X,X,O,X,X,X
IJLZTSO,X,O,X,X,X,O,X,X
IJLZTOS,O,O,X,X,X,X,X,X
IJLZSTO,X,O,X,X,O,O,X,X
IJLZSOT,X,O,X,X,O,O,X,X
IJLZOTS,O,O,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,O,X,X
IJLOTSZ,X,O,X,O,X,X,X,X
IJLOTZS,O,X,O,X,X,X,X,X
IJLOSTZ,O,O,X,X,X,X,X,X
IJLOSZT,O,X,X,X,O,X,X,X
IJLOZTS,O,O,X,X,X,X,X,X
IJLOZST,X,O,X,X,X,O,X,X
IJSTLZO,O,X,X,O,O,X,X,X
IJSTLOZ,O,X,X,O,X,X,X,X
IJSTZLO,O,X,X,X,O,X,X,X
IJSTZOL,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,O,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X
IJSLTZO,O,X,X,X,O,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X
IJSLZTO,O,X,X,X,O,O,X,X
IJSLZOT,O,X,X,X,O,O,X,X
IJSLOTZ,O,X,X,X,X,X,X,X
IJSLOZT,O,X,X,X,O,X,X,X
IJSZTLO,O,X,X,X,O,O,X,X
IJSZTOL,O,X,X,X,X,X,X,X
IJSZLTO,O,X,X,X,O,O,X,X
IJSZLOT,O,X,X,X,O,O,X,X
IJSZOTL,O,X,X,X,X,X,X,X
IJSZOLT,O,X,X,X,O,O,X,X
IJSOTLZ,O,X,X,O,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,X,X,X,X,X,X
IJSOLZT,O,X,X,X,O,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,X,X
IJZTLSO,X,O,X,X,X,O,X,X
IJZTLOS,O,O,X,X,X,X,X,O
IJZTSLO,X,X,X,X,X,O,X,X
IJZTSOL,O,X,X,X,X,X,X,O
IJZTOLS,O,O,X,X,X,X,X,O
IJZTOSL,O,X,X,X,X,X,X,O
IJZLTSO,X,O,X,X,X,O,X,X
IJZLTOS,O,O,X,X,X,X,X,X
IJZLSTO,X,O,X,X,O,O,X,X
IJZLSOT,X,O,X,X,O,O,X,X
IJZLOTS,O,O,X,X,X,X,X,X
IJZLOST,X,O,X,X,X,O,X,X
IJZSTLO,O,X,X,X,O,O,X,X
IJZSTOL,O,X,X,X,X,X,X,X
IJZSLTO,O,X,X,X,O,O,X,X
IJZSLOT,O,X,X,X,O,O,X,X
IJZSOTL,O,X,X,X,X,X,X,X
IJZSOLT,O,X,X,X,O,O,X,X
IJZOTLS,O,O,X,X,X,X,X,O
IJZOTSL,O,X,X,X,X,X,X,O
IJZOLTS,O,O,X,X,X,X,X,X
IJZOLST,X,O,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,O,X,X
IJOTLSZ,X,O,X,O,X,X,X,X
IJOTLZS,O,X,O,X,X,X,X,X
IJOTSLZ,O,X,X,O,X,X,O,X
