sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TLIZJSO,X,O,O,X,X,O,X,X
TLIZJOS,X,O,O,X,X,X,X,O
TLIZSJO,X,O,X,X,X,O,X,X
TLIZSOJ,X,O,X,X,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X,O
TLIZOSJ,X,O,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,X,O,X
TLIOSZJ,X,O,X,O,X,X,O,X
TLIOZJS,X,O,O,X,X,X,X,O
TLIOZSJ,X,O,X,X,X,X,X,X
TLJISZO,X,X,X,O,O,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X
TLJIZSO,X,X,O,X,X,O,X,X
TLJIZOS,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X
TLJSIZO,X,X,X,O,O,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X
TLJSZIO,X,X,O,O,O,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X
TLJSOZI,X,X,O,O,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X
TLJZIOS,X,X,O,X,X,X,X,X
TLJZSIO,X,X,O,O,X,O,X,X
TLJZSOI,X,X,O,O,X,X,X,X
TLJZOIS,X,X,O,X,X,X,X,X
TLJZOSI,X,X,O,O,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,X,X
TLJOSZI,X,X,O,O,X,X,X,X
TLJOZIS,X,X,O,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X
TLSIJZO,X,X,X,O,O,X,X,X
TLSIJOZ,X,O,X,O,X,X,O,X
TLSIZJO,X,X,X,O,O,X,X,X
TLSIZOJ,X,O,X,O,X,X,O,X
TLSIOJZ,X,O,X,O,X,X,O,X
TLSIOZJ,X,O,X,O,X,X,O,X
TLSJIZO,X,X,X,O,O,X,X,X
TLSJIOZ,X,O,X,O,X,X,O,X
TLSJZIO,X,X,O,O,O,X,X,X
TLSJZOI,X,X,O,O,X,X,X,X
TLSJOIZ,X,O,X,O,X,X,O,X
TLSJOZI,X,X,O,O,X,X,X,X
TLSZIJO,X,X,X,O,O,X,X,X
TLSZIOJ,X,O,X,O,X,X,O,X
TLSZJIO,X,X,O,O,O,X,X,X
TLSZJOI,X,X,O,O,X,X,X,X
TLSZOIJ,X,O,X,O,X,X,O,X
TLSZOJI,X,X,O,O,X,X,X,X
TLSOIJZ,X,O,X,O,X,X,O,X
TLSOIZJ,X,O,X,O,X,X,O,X
TLSOJIZ,X,O,X,O,X,X,O,X
TLSOJZI,X,X,O,O,X,X,X,X
TLSOZIJ,X,O,X,O,X,X,O,X
TLSOZJI,X,X,O,O,X,X,X,X
TLZIJSO,X,O,O,X,X,O,X,X
TLZIJOS,X,O,O,X,X,X,X,O
TLZISJO,X,O,X,X,X,O,X,X
TLZISOJ,X,O,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X,O
TLZIOSJ,X,O,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,O,X,X
TLZJIOS,X,O,O,X,X,X,X,O
TLZJSIO,X,O,O,O,X,O,X,X
TLZJSOI,X,O,O,O,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,O
TLZJOSI,X,O,O,O,X,X,X,X
TLZSIJO,X,O,X,O,X,O,X,X
TLZSIOJ,X,O,X,O,X,X,X,X
TLZSJIO,X,O,O,O,X,O,X,X
TLZSJOI,X,O,O,O,X,X,X,X
TLZSOIJ,X,O,X,O,X,X,X,X
TLZSOJI,X,O,O,O,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X,O
TLZOISJ,X,O,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X,O
TLZOJSI,X,O,O,O,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,X
TLZOSJI,X,O,O,O,X,X,X,X
TLOIJSZ,X,O,X,O,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X
TLOISJZ,X,O,X,O,X,X,O,X
TLOISZJ,X,O,X,O,X,X,O,X
TLOIZJS,X,O,O,X,X,X,X,O
TLOIZSJ,X,O,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X
TLOJSIZ,X,X,X,O,X,X,X,X
TLOJSZI,X,X,O,O,X,X,X,X
TLOJZIS,X,X,O,X,X,X,X,X
TLOJZSI,X,X,O,O,X,X,X,X
TLOSIJZ,X,O,X,O,X,X,O,X
TLOSIZJ,X,O,X,O,X,X,O,X
TLOSJIZ,X,O,X,O,X,X,O,X
TLOSJZI,X,X,O,O,X,X,X,X
TLOSZIJ,X,O,X,O,X,X,O,X
TLOSZJI,X,X,O,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O
TLOZISJ,X,O,X,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X,O
TLOZJSI,X,O,O,O,X,X,X,X
TLOZSIJ,X,O,X,O,X,X,X,X
TLOZSJI,X,O,O,O,X,X,X,X
TJILSZO,X,X,X,O,O,X,X,X
TJILSOZ,X,X,X,O,X,X,X,X
TJILZSO,X,X,O,X,X,O,X,X
TJILZOS,O,X,O,X,X,X,X,X
TJILOSZ,X,X,X,O,X,X,X,X
TJILOZS,O,X,O,X,X,X,X,X
TJISLZO,O,X,X,O,O,X,X,X
TJISLOZ,O,X,X,O,X,X,O,X
TJISZLO,O,X,X,X,O,X,X,X
TJISZOL,O,X,X,X,X,X,X,X
TJISOLZ,O,X,X,O,X,X,O,X
TJISOZL,O,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,X,O,X,X
TJIZLOS,O,X,O,X,X,X,X,O
TJIZSLO,X,X,O,X,X,O,X,X
TJIZSOL,O,X,O,X,X,X,X,O
TJIZOLS,O,X,O,X,X,X,X,O
TJIZOSL,O,X,O,X,X,X,X,O
TJIOLSZ,X,X,X,O,X,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X
TJIOSLZ,O,X,X,O,X,X,O,X
TJIOSZL,O,X,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,X,O
TJIOZSL,O,X,O,X,X,X,X,O
TJLISZO,X,X,X,O,O,X,X,X
TJLISOZ,X,X,X,O,X,X,X,X
TJLIZSO,X,X,O,X,X,O,X,X
TJLIZOS,X,X,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X
