sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TOIZJSL,X,O,X,X,X,X
TOIZSLJ,O,O,X,X,X,X
TOIZSJL,X,O,X,X,X,X
TOLIJSZ,O,O,X,X,X,X
TOLIJZS,O,X,X,X,X,X
TOLISJZ,O,O,X,X,X,X
TOLISZJ,O,O,X,X,X,X
TOLIZJS,O,X,X,X,O,X
TOLIZSJ,O,X,X,X,X,X
TOLJISZ,O,O,X,X,X,X
TOLJIZS,O,X,X,X,X,X
TOLJSIZ,O,O,X,X,X,X
TOLJSZI,O,X,X,O,X,X
TOLJZIS,O,X,X,X,X,X
TOLJZSI,O,X,O,X,X,X
TOLSIJZ,O,O,X,X,X,X
TOLSIZJ,O,O,X,X,X,X
TOLSJIZ,O,O,X,X,X,X
TOLSJZI,O,X,X,O,X,X
TOLSZIJ,O,X,X,O,X,X
TOLSZJI,O,X,X,O,X,X
TOLZIJS,O,X,X,X,O,O
TOLZISJ,O,X,X,X,X,O
TOLZJIS,O,X,X,X,O,X
TOLZJSI,O,X,O,X,X,X
TOLZSIJ,O,X,X,X,X,X
TOLZSJI,O,X,O,X,X,X
TOJILSZ,X,O,X,X,X,X
TOJILZS,X,X,X,X,X,X
TOJISLZ,X,O,X,X,X,X
TOJISZL,X,O,X,X,X,X
TOJIZLS,X,X,X,X,X,X
TOJIZSL,X,O,X,X,X,X
TOJLISZ,O,O,X,X,X,X
TOJLIZS,O,X,X,X,X,X
TOJLSIZ,O,O,X,X,X,X
TOJLSZI,O,X,X,O,X,X
TOJLZIS,O,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X
TOJSILZ,X,O,X,X,X,X
TOJSIZL,X,O,X,X,X,X
TOJSLIZ,O,O,X,X,X,X
TOJSLZI,O,X,X,O,X,X
TOJSZIL,X,O,X,O,X,X
TOJSZLI,O,X,X,O,X,X
TOJZILS,X,X,X,X,X,X
TOJZISL,X,O,X,X,X,X
TOJZLIS,O,X,X,X,X,X
TOJZLSI,O,X,O,X,X,X
TOJZSIL,X,O,O,X,X,X
TOJZSLI,O,X,O,X,X,X
TOSILJZ,O,O,X,X,X,X
TOSILZJ,O,O,X,X,X,X
TOSIJLZ,X,O,X,X,X,X
TOSIJZL,X,O,X,X,X,X
TOSIZLJ,O,O,X,X,X,X
TOSIZJL,X,O,X,X,X,X
TOSLIJZ,O,O,X,X,X,X
TOSLIZJ,O,O,X,X,X,X
TOSLJIZ,O,O,X,X,X,X
TOSLJZI,O,X,X,O,X,X
TOSLZIJ,O,X,X,O,X,X
TOSLZJI,O,X,X,O,X,X
TOSJILZ,X,O,X,X,X,X
TOSJIZL,X,O,X,X,X,X
TOSJLIZ,O,O,X,X,X,X
TOSJLZI,O,X,X,O,X,X
TOSJZIL,X,O,X,O,X,X
TOSJZLI,O,X,X,O,X,X
TOSZILJ,O,O,X,O,X,X
TOSZIJL,X,O,X,O,X,X
TOSZLIJ,O,X,X,O,X,X
TOSZLJI,O,X,X,O,X,X
TOSZJIL,X,O,X,O,X,X
TOSZJLI,O,X,X,O,X,X
TOZILJS,O,X,X,X,O,O
TOZILSJ,O,X,X,X,X,O
TOZIJLS,X,X,X,X,O,X
TOZIJSL,X,O,X,X,X,X
TOZISLJ,O,O,X,X,X,X
TOZISJL,X,O,X,X,X,X
TOZLIJS,O,X,X,X,O,O
TOZLISJ,O,X,X,X,X,O
TOZLJIS,O,X,X,X,O,X
TOZLJSI,O,X,O,X,X,X
TOZLSIJ,O,X,X,X,X,X
TOZLSJI,O,X,O,X,X,X
TOZJILS,X,X,X,X,O,X
TOZJISL,X,O,X,X,X,X
TOZJLIS,O,X,X,X,O,X
TOZJLSI,O,X,O,X,X,X
TOZJSIL,X,O,O,X,X,X
TOZJSLI,O,X,O,X,X,X
TOZSILJ,O,O,X,X,X,X
TOZSIJL,X,O,X,X,X,X
TOZSLIJ,O,X,X,X,X,X
TOZSLJI,O,X,O,X,X,X
TOZSJIL,X,O,O,X,X,X
TOZSJLI,O,X,O,X,X,X
ITLJSZO,O,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,X
ITLJZSO,O,X,X,X,X,X
ITLJZOS,O,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,X
ITLJOZS,O,X,X,X,X,X
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,O,O,X,X,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X
ITLZJSO,O,X,X,X,X,X
ITLZJOS,O,X,X,X,O,X
ITLZSJO,O,X,X,X,X,X
ITLZSOJ,O,X,X,X,X,X
ITLZOJS,O,X,X,X,O,X
ITLZOSJ,O,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X
ITLOJZS,O,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,X
ITLOSZJ,O,O,X,X,X,X
ITLOZJS,O,X,X,X,O,X
ITLOZSJ,O,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X
ITJLZSO,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,X
ITJLOZS,X,X,X,X,X,X
ITJSLZO,X,O,X,X,X,X
ITJSLOZ,X,O,X,X,X,X
ITJSZLO,X,O,X,X,X,X
ITJSZOL,X,O,X,X,X,X
ITJSOLZ,X,O,X,X,X,X
ITJSOZL,X,O,X,X,X,X
ITJZLSO,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,X
ITJZSLO,X,O,X,X,X,X
ITJZSOL,X,O,X,X,X,X
ITJZOLS,X,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X
ITJOLSZ,X,O,X,X,X,X
ITJOLZS,X,X,X,X,X,X
ITJOSLZ,X,O,X,X,X,X
ITJOSZL,X,O,X,X,X,X
ITJOZLS,X,X,X,X,X,X
ITJOZSL,X,O,X,X,X,X
ITSLJZO,O,O,X,X,X,X
ITSLJOZ,O,O,X,X,X,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,O,O,X,X,X,X
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X
ITSJLZO,X,O,X,X,X,X
ITSJLOZ,X,O,X,X,X,X
ITSJZLO,X,O,X,X,X,X
ITSJZOL,X,O,X,X,X,X
ITSJOLZ,X,O,X,X,X,X
ITSJOZL,X,O,X,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,X,O,X,X,X,X
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,X,O,X,X,X,X
ITSOLJZ,O,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,X
ITSOJLZ,X,O,X,X,X,X
ITSOJZL,X,O,X,X,X,X
ITSOZLJ,O,O,X,X,X,X
ITSOZJL,X,O,X,X,X,X
ITZLJSO,O,X,X,X,X,X
ITZLJOS,O,X,X,X,O,X
ITZLSJO,O,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X
ITZLOJS,O,X,X,X,O,X
ITZLOSJ,O,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X
ITZJLOS,O,X,X,X,O,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,X,O,X,X,X,X
ITZJOLS,X,X,X,X,O,X
ITZJOSL,X,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,X,O,X,X,X,X
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,X,O,X,X,X,X
ITZOLJS,O,X,X,X,O,X
ITZOLSJ,O,X,X,X,X,X
ITZOJLS,X,X,X,X,O,X
ITZOJSL,X,O,X,X,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,X,O,X,X,X,X
ITOLJSZ,O,O,X,X,X,X
ITOLJZS,O,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,X
ITOLSZJ,O,O,X,X,X,X
ITOLZJS,O,X,X,X,O,X
ITOLZSJ,O,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X
ITOJLZS,X,X,X,X,X,X
ITOJSLZ,X,O,X,X,X,X
ITOJSZL,X,O,X,X,X,X
ITOJZLS,X,X,X,X,X,X
ITOJZSL,X,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,X
ITOSLZJ,O,O,X,X,X,X
ITOSJLZ,X,O,X,X,X,X
ITOSJZL,X,O,X,X,X,X
ITOSZLJ,O,O,X,X,X,X
ITOSZJL,X,O,X,X,X,X
ITOZLJS,O,X,X,X,O,X
ITOZLSJ,O,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X
ITOZJSL,X,O,X,X,X,X
ITOZSLJ,O,O,X,X,X,X
ITOZSJL,X,O,X,X,X,X
ILTJSZO,O,O,X,X,X,X
ILTJSOZ,O,O,X,X,X,X
ILTJZSO,O,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X
ILTJOSZ,O,O,X,X,X,X
ILTJOZS,O,X,X,X,X,X
ILTSJZO,O,O,X,X,X,X
ILTSJOZ,O,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,O,O,X,X,X,X
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,O,X,X,X,X
ILTZJSO,O,X,X,X,X,X
ILTZJOS,O,X,X,X,O,X
ILTZSJO,O,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X
ILTZOJS,O,X,X,X,O,X
ILTZOSJ,O,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X
ILTOJZS,O,X,X,X,X,X
ILTOSJZ,O,O,X,X,X,X
ILTOSZJ,O,O,X,X,X,X
ILTOZJS,O,X,X,X,O,X
ILTOZSJ,O,X,X,X,X,X
ILJTSZO,O,O,X,X,X,X
ILJTSOZ,O,O,X,X,X,X
ILJTZSO,O,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X
ILJTOSZ,O,O,X,X,X,X
ILJTOZS,O,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,X,X,X,O,X,X
ILJSZOT,X,X,X,O,X,X
ILJSOTZ,X,O,X,X,X,X
ILJSOZT,X,X,X,O,X,X
ILJZTSO,X,X,X,X,X,X
ILJZTOS,X,X,X,X,O,X
ILJZSTO,X,X,O,X,X,X
ILJZSOT,X,X,O,X,O,X
ILJZOTS,X,X,X,X,O,X
ILJZOST,X,X,O,X,O,X
ILJOTSZ,O,O,X,X,X,X
ILJOTZS,O,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X
ILJOSZT,X,X,X,O,X,X
ILJOZTS,X,X,X,X,O,X
ILJOZST,X,X,O,X,O,X
ILSTJZO,O,O,X,X,X,X
ILSTJOZ,O,O,X,X,X,X
ILSTZJO,O,O,X,X,X,X
ILSTZOJ,O,O,X,X,X,X
ILSTOJZ,O,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,X,X,X,O,X,X
ILSJZOT,X,X,X,O,X,X
ILSJOTZ,X,O,X,X,X,X
ILSJOZT,X,X,X,O,X,X
ILSZTJO,X,X,X,O,X,X
ILSZTOJ,X,X,X,O,X,X
ILSZJTO,X,X,X,O,X,X
ILSZJOT,X,X,X,O,O,X
ILSZOTJ,X,X,X,O,X,X
ILSZOJT,X,X,X,O,O,X
ILSOTJZ,O,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X
ILSOJTZ,X,O,X,X,X,X
ILSOJZT,X,X,X,O,X,X
ILSOZTJ,X,X,X,O,X,X
ILSOZJT,X,X,X,O,O,X
ILZTJSO,O,X,X,X,X,X
ILZTJOS,O,X,X,X,O,X
ILZTSJO,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X
ILZTOJS,O,X,X,X,O,O
ILZTOSJ,O,X,X,X,X,O
ILZJTSO,X,X,X,X,X,X
ILZJTOS,X,X,X,X,O,X
ILZJSTO,X,X,O,X,X,X
ILZJSOT,X,X,O,X,O,X
ILZJOTS,X,X,X,X,O,O
ILZJOST,X,X,O,X,O,O
ILZSTJO,X,X,X,X,X,X
ILZSTOJ,X,X,X,X,X,X
ILZSJTO,X,X,O,X,X,X
ILZSJOT,X,X,O,X,O,X
ILZSOTJ,X,X,X,X,X,O
ILZSOJT,X,X,O,X,O,O
ILZOTJS,O,X,X,X,O,O
ILZOTSJ,O,X,X,X,X,O
ILZOJTS,X,X,X,X,O,O
ILZOJST,X,X,O,X,O,O
ILZOSTJ,X,X,X,X,X,O
ILZOSJT,X,X,O,X,O,O
ILOTJSZ,O,O,X,X,X,X
ILOTJZS,O,X,X,X,X,X
ILOTSJZ,O,O,X,X,X,X
ILOTSZJ,O,O,X,X,X,X
ILOTZJS,O,X,X,X,O,X
ILOTZSJ,O,X,X,X,X,X
ILOJTSZ,O,O,X,X,X,X
ILOJTZS,O,X,X,X,X,X
ILOJSTZ,X,O,X,X,X,X
ILOJSZT,X,X,X,O,X,X
ILOJZTS,X,X,X,X,O,X
ILOJZST,X,X,O,X,O,X
ILOSTJZ,O,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X
ILOSJTZ,X,O,X,X,X,X
ILOSJZT,X,X,X,O,X,X
ILOSZTJ,X,X,X,O,X,X
ILOSZJT,X,X,X,O,O,X
ILOZTJS,O,X,X,X,O,O
ILOZTSJ,O,X,X,X,X,O
ILOZJTS,X,X,X,X,O,O
ILOZJST,X,X,O,X,O,O
ILOZSTJ,X,X,X,X,X,O
ILOZSJT,X,X,O,X,O,O
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,X,X
IJTLZSO,X,X,X,X,X,X
IJTLZOS,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,X
IJTLOZS,X,X,X,X,X,X
IJTSLZO,X,O,X,X,X,X
IJTSLOZ,X,O,X,X,X,X
IJTSZLO,X,O,X,X,X,X
IJTSZOL,X,O,X,X,X,X
IJTSOLZ,X,O,X,X,X,X
IJTSOZL,X,O,X,X,X,X
IJTZLSO,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X
IJTZSLO,X,O,X,X,X,X
IJTZSOL,X,O,X,X,X,X
IJTZOLS,X,X,X,X,X,X
IJTZOSL,X,O,X,X,X,X
IJTOLSZ,X,O,X,X,X,X
IJTOLZS,X,X,X,X,X,X
IJTOSLZ,X,O,X,X,X,X
IJTOSZL,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,X
IJTOZSL,X,O,X,X,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X
IJLTZSO,X,X,X,X,X,X
IJLTZOS,X,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,X,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,X,X,X,O,X,X
IJLSZOT,X,X,X,O,X,X
IJLSOTZ,X,O,X,X,X,X
IJLSOZT,X,X,X,O,X,X
IJLZTSO,X,X,X,X,X,X
IJLZTOS,X,X,X,X,O,X
IJLZSTO,X,X,O,X,X,X
IJLZSOT,X,X,O,X,O,X
IJLZOTS,X,X,X,X,O,X
IJLZOST,X,X,O,X,O,X
IJLOTSZ,X,O,X,X,X,X
IJLOTZS,X,X,X,X,X,X
IJLOSTZ,X,O,X,X,X,X
IJLOSZT,X,X,X,O,X,X
IJLOZTS,X,X,X,X,O,X
IJLOZST,X,X,O,X,O,X
IJSTLZO,X,O,X,X,X,X
IJSTLOZ,X,O,X,X,X,X
IJSTZLO,X,O,X,X,X,X
IJSTZOL,X,O,X,X,X,X
IJSTOLZ,X,O,X,X,X,X
IJSTOZL,X,O,X,X,X,X
IJSLTZO,X,O,X,X,X,X
IJSLTOZ,X,O,X,X,X,X
IJSLZTO,X,X,X,O,X,X
IJSLZOT,X,X,X,O,X,X
IJSLOTZ,X,O,X,X,X,X
IJSLOZT,X,X,X,O,X,X
IJSZTLO,X,O,X,O,X,X
IJSZTOL,X,O,X,O,X,X
IJSZLTO,X,X,X,O,X,X
IJSZLOT,X,X,X,O,X,X
IJSZOTL,X,O,X,O,X,X
IJSZOLT,X,X,X,O,X,X
IJSOTLZ,X,O,X,X,X,X
IJSOTZL,X,O,X,X,X,X
IJSOLTZ,X,O,X,X,X,X
IJSOLZT,X,X,X,O,X,X
IJSOZTL,X,O,X,O,X,X
IJSOZLT,X,X,X,O,X,X
IJZTLSO,X,X,X,X,X,X
IJZTLOS,X,X,X,X,O,X
IJZTSLO,X,O,X,X,X,X
IJZTSOL,X,O,X,X,X,X
IJZTOLS,X,X,X,X,O,X
IJZTOSL,X,O,X,X,X,X
IJZLTSO,X,X,X,X,X,X
IJZLTOS,X,X,X,X,O,X
IJZLSTO,X,X,O,X,X,X
IJZLSOT,X,X,O,X,O,X
IJZLOTS,X,X,X,X,O,X
IJZLOST,X,X,O,X,O,X
IJZSTLO,X,O,O,X,X,X
IJZSTOL,X,O,O,X,X,X
IJZSLTO,X,X,O,X,X,X
IJZSLOT,X,X,O,X,O,X
IJZSOTL,X,O,O,X,X,X
IJZSOLT,X,X,O,X,O,X
IJZOTLS,X,X,X,X,O,X
IJZOTSL,X,O,X,X,X,X
IJZOLTS,X,X,X,X,O,X
IJZOLST,X,X,O,X,O,X
IJZOSTL,X,O,O,X,X,X
IJZOSLT,X,X,O,X,O,X
IJOTLSZ,X,O,X,X,X,X
IJOTLZS,X,X,X,X,X,X
IJOTSLZ,X,O,X,X,X,X
IJOTSZL,X,O,X,X,X,X
IJOTZLS,X,X,X,X,X,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,X,O,X,X,X,X
IJOLTZS,X,X,X,X,X,X
IJOLSTZ,X,O,X,X,X,X
IJOLSZT,X,X,X,O,X,X
IJOLZTS,X,X,X,X,O,X
IJOLZST,X,X,O,X,O,X
IJOSTLZ,X,O,X,X,X,X
IJOSTZL,X,O,X,X,X,X
IJOSLTZ,X,O,X,X,X,X
IJOSLZT,X,X,X,O,X,X
IJOSZTL,X,O,X,O,X,X
IJOSZLT,X,X,X,O,X,X
IJOZTLS,X,X,X,X,O,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,X,X,X,X,O,X
IJOZLST,X,X,O,X,O,X
IJOZSTL,X,O,O,X,X,X
IJOZSLT,X,X,O,X,O,X
ISTLJZO,O,O,X,X,X,X
ISTLJOZ,O,O,X,X,X,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,O,O,X,X,X,X
ISTLOJZ,O,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,X
ISTJLZO,X,O,X,X,X,X
ISTJLOZ,X,O,X,X,X,X
ISTJZLO,X,O,X,X,X,X
ISTJZOL,X,O,X,X,X,X
ISTJOLZ,X,O,X,X,X,X
ISTJOZL,X,O,X,X,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,X,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X
ISTOJZL,X,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,X
ISTOZJL,X,O,X,X,X,X
ISLTJZO,O,O,X,X,X,X
ISLTJOZ,O,O,X,X,X,X
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,O,O,X,X,X,X
ISLTOJZ,O,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X
ISLJTZO,X,O,X,X,X,X
ISLJTOZ,X,O,X,X,X,X
ISLJZTO,X,X,X,O,X,X
ISLJZOT,X,X,X,O,X,X
ISLJOTZ,X,O,X,X,X,X
ISLJOZT,X,X,X,O,X,X
ISLZTJO,X,X,X,O,X,X
ISLZTOJ,X,X,X,O,X,X
ISLZJTO,X,X,X,O,X,X
ISLZJOT,X,X,X,O,O,X
ISLZOTJ,X,X,X,O,X,X
ISLZOJT,X,X,X,O,O,X
ISLOTJZ,O,O,X,X,X,X
ISLOTZJ,O,O,X,X,X,X
ISLOJTZ,X,O,X,X,X,X
ISLOJZT,X,X,X,O,X,X
ISLOZTJ,X,X,X,O,X,X
ISLOZJT,X,X,X,O,O,X
ISJTLZO,X,O,X,X,X,X
ISJTLOZ,X,O,X,X,X,X
ISJTZLO,X,O,X,X,X,X
ISJTZOL,X,O,X,X,X,X
ISJTOLZ,X,O,X,X,X,X
ISJTOZL,X,O,X,X,X,X
ISJLTZO,X,O,X,X,X,X
ISJLTOZ,X,O,X,X,X,X
ISJLZTO,X,X,X,O,X,X
ISJLZOT,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,X,X
ISJLOZT,X,X,X,O,X,X
ISJZTLO,X,O,X,O,X,X
ISJZTOL,X,O,X,O,X,X
ISJZLTO,X,X,X,O,X,X
ISJZLOT,X,X,X,O,X,X
ISJZOTL,X,O,X,O,X,X
ISJZOLT,X,X,X,O,X,X
ISJOTLZ,X,O,X,X,X,X
ISJOTZL,X,O,X,X,X,X
ISJOLTZ,X,O,X,X,X,X
ISJOLZT,X,X,X,O,X,X
ISJOZTL,X,O,X,O,X,X
ISJOZLT,X,X,X,O,X,X
ISZTLJO,X,O,X,O,X,X
ISZTLOJ,X,O,X,O,X,X
ISZTJLO,X,O,X,O,X,X
ISZTJOL,X,O,X,O,X,X
ISZTOLJ,X,O,X,O,X,X
ISZTOJL,X,O,X,O,X,X
ISZLTJO,X,X,X,O,X,X
ISZLTOJ,X,X,X,O,X,X
ISZLJTO,X,X,X,O,X,X
ISZLJOT,X,X,X,O,O,X
ISZLOTJ,X,X,X,O,X,X
ISZLOJT,X,X,X,O,O,X
ISZJTLO,X,O,X,O,X,X
ISZJTOL,X,O,X,O,X,X
ISZJLTO,X,X,X,O,X,X
ISZJLOT,X,X,X,O,O,X
ISZJOTL,X,O,X,O,X,X
ISZJOLT,X,X,X,O,O,X
ISZOTLJ,X,O,X,O,X,X
ISZOTJL,X,O,X,O,X,X
ISZOLTJ,X,X,X,O,X,X
ISZOLJT,X,X,X,O,O,X
ISZOJTL,X,O,X,O,X,X
ISZOJLT,X,X,X,O,O,X
ISOTLJZ,O,O,X,X,X,X
ISOTLZJ,O,O,X,X,X,X
ISOTJLZ,X,O,X,X,X,X
ISOTJZL,X,O,X,X,X,X
ISOTZLJ,O,O,X,X,X,X
ISOTZJL,X,O,X,X,X,X
ISOLTJZ,O,O,X,X,X,X
ISOLTZJ,O,O,X,X,X,X
ISOLJTZ,X,O,X,X,X,X
ISOLJZT,X,X,X,O,X,X
ISOLZTJ,X,X,X,O,X,X
ISOLZJT,X,X,X,O,O,X
ISOJTLZ,X,O,X,X,X,X
ISOJTZL,X,O,X,X,X,X
ISOJLTZ,X,O,X,X,X,X
ISOJLZT,X,X,X,O,X,X
ISOJZTL,X,O,X,O,X,X
ISOJZLT,X,X,X,O,X,X
ISOZTLJ,X,O,X,O,X,X
ISOZTJL,X,O,X,O,X,X
ISOZLTJ,X,X,X,O,X,X
ISOZLJT,X,X,X,O,O,X
ISOZJTL,X,O,X,O,X,X
ISOZJLT,X,X,X,O,O,X
IZTLJSO,X,X,X,X,X,X
IZTLJOS,X,X,X,X,O,X
IZTLSJO,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,X
IZTLOJS,X,X,X,X,O,O
IZTLOSJ,X,X,X,X,X,O
IZTJLSO,X,X,X,X,X,X
IZTJLOS,X,X,X,X,O,X
IZTJSLO,X,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X
IZTJOLS,X,X,X,X,O,X
IZTJOSL,X,O,X,X,X,X
IZTSLJO,X,O,X,X,X,X
IZTSLOJ,X,O,X,X,X,X
IZTSJLO,X,O,X,X,X,X
IZTSJOL,X,O,X,X,X,X
IZTSOLJ,X,O,X,X,X,X
IZTSOJL,X,O,X,X,X,X
IZTOLJS,X,X,X,X,O,O
IZTOLSJ,X,X,X,X,X,O
IZTOJLS,X,X,X,X,O,X
IZTOJSL,X,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X
IZTOSJL,X,O,X,X,X,X
IZLTJSO,X,X,X,X,X,X
IZLTJOS,X,X,X,X,O,X
IZLTSJO,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,X
IZLTOJS,X,X,X,X,O,O
IZLTOSJ,X,X,X,X,X,O
IZLJTSO,X,X,X,X,X,X
IZLJTOS,X,X,X,X,O,X
IZLJSTO,X,X,O,X,X,X
IZLJSOT,X,X,O,X,O,X
IZLJOTS,X,X,X,X,O,O
IZLJOST,X,X,O,X,O,O
IZLSTJO,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,X,X
IZLSJTO,X,X,O,X,X,X
IZLSJOT,X,X,O,X,O,X
IZLSOTJ,X,X,X,X,X,O
IZLSOJT,X,X,O,X,O,O
IZLOTJS,X,X,X,X,O,O
IZLOTSJ,X,X,X,X,X,O
IZLOJTS,X,X,X,X,O,O
IZLOJST,X,X,O,X,O,O
IZLOSTJ,X,X,X,X,X,O
IZLOSJT,X,X,O,X,O,O
IZJTLSO,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X
IZJTSLO,X,O,X,X,X,X
IZJTSOL,X,O,X,X,X,X
IZJTOLS,X,X,X,X,O,X
IZJTOSL,X,O,X,X,X,X
IZJLTSO,X,X,X,X,X,X
IZJLTOS,X,X,X,X,O,X
IZJLSTO,X,X,O,X,X,X
IZJLSOT,X,X,O,X,O,X
IZJLOTS,X,X,X,X,O,O
IZJLOST,X,X,O,X,O,O
IZJSTLO,X,O,O,X,X,X
IZJSTOL,X,O,O,X,X,X
IZJSLTO,X,X,O,X,X,X
IZJSLOT,X,X,O,X,O,X
IZJSOTL,X,O,O,X,X,X
IZJSOLT,X,X,O,X,O,X
IZJOTLS,X,X,X,X,O,X
IZJOTSL,X,O,X,X,X,X
IZJOLTS,X,X,X,X,O,O
IZJOLST,X,X,O,X,O,O
IZJOSTL,X,O,O,X,X,X
IZJOSLT,X,X,O,X,O,X
IZSTLJO,X,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,X
IZSTJLO,X,O,X,X,X,X
IZSTJOL,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X
IZSTOJL,X,O,X,X,X,X
IZSLTJO,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X
IZSLJOT,X,X,O,X,O,X
IZSLOTJ,X,X,X,X,X,O
IZSLOJT,X,X,O,X,O,O
IZSJTLO,X,O,O,X,X,X
IZSJTOL,X,O,O,X,X,X
IZSJLTO,X,X,O,X,X,X
IZSJLOT,X,X,O,X,O,X
IZSJOTL,X,O,O,X,X,X
IZSJOLT,X,X,O,X,O,X
IZSOTLJ,X,O,X,X,X,X
IZSOTJL,X,O,X,X,X,X
IZSOLTJ,X,X,X,X,X,O
IZSOLJT,X,X,O,X,O,O
IZSOJTL,X,O,O,X,X,X
IZSOJLT,X,X,O,X,O,X
IZOTLJS,X,X,X,X,O,O
IZOTLSJ,X,X,X,X,X,O
IZOTJLS,X,X,X,X,O,X
