sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TLJIZSO,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,X
TLJIOZS,O,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,X,X
TLJSZIO,O,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,X,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X
TLJZSIO,O,X,O,X,X,X
TLJZSOI,O,X,O,X,X,X
TLJZOIS,O,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X
TLJOISZ,O,O,X,X,X,X
TLJOIZS,O,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,X
TLJOSZI,O,X,X,O,X,X
TLJOZIS,O,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,X,X
TLSJZIO,O,X,X,O,X,X
TLSJZOI,O,X,X,O,X,X
TLSJOIZ,O,O,X,X,X,X
TLSJOZI,O,X,X,O,X,X
TLSZIJO,O,X,X,O,X,X
TLSZIOJ,O,X,X,O,X,X
TLSZJIO,O,X,X,O,X,X
TLSZJOI,O,X,X,O,X,X
TLSZOIJ,O,X,X,O,X,X
TLSZOJI,O,X,X,O,X,X
TLSOIJZ,O,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,X
TLSOJIZ,O,O,X,X,X,X
TLSOJZI,O,X,X,O,X,X
TLSOZIJ,O,X,X,O,X,X
TLSOZJI,O,X,X,O,X,X
TLZIJSO,O,X,X,X,X,X
TLZIJOS,O,X,X,X,O,X
TLZISJO,O,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X
TLZIOJS,O,X,X,X,O,O
TLZIOSJ,O,X,X,X,X,O
TLZJISO,O,X,X,X,X,X
TLZJIOS,O,X,X,X,O,X
TLZJSIO,O,X,O,X,X,X
TLZJSOI,O,X,O,X,X,X
TLZJOIS,O,X,X,X,O,X
TLZJOSI,O,X,O,X,X,X
TLZSIJO,O,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X
TLZSJIO,O,X,O,X,X,X
TLZSJOI,O,X,O,X,X,X
TLZSOIJ,O,X,X,X,X,X
TLZSOJI,O,X,O,X,X,X
TLZOIJS,O,X,X,X,O,O
TLZOISJ,O,X,X,X,X,O
TLZOJIS,O,X,X,X,O,X
TLZOJSI,O,X,O,X,X,X
TLZOSIJ,O,X,X,X,X,X
TLZOSJI,O,X,O,X,X,X
TLOIJSZ,O,O,X,X,X,X
TLOIJZS,O,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X
TLOISZJ,O,O,X,X,X,X
TLOIZJS,O,X,X,X,O,X
TLOIZSJ,O,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X
TLOJIZS,O,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,X
TLOJSZI,O,X,X,O,X,X
TLOJZIS,O,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X
TLOSIJZ,O,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X
TLOSJIZ,O,O,X,X,X,X
TLOSJZI,O,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,X
TLOSZJI,O,X,X,O,X,X
TLOZIJS,O,X,X,X,O,O
TLOZISJ,O,X,X,X,X,O
TLOZJIS,O,X,X,X,O,X
TLOZJSI,O,X,O,X,X,X
