sequence,v115@FhB8HeB8HeE8DeC8JeOEJvhF6lBxhBzkBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFlgB2pBxmBCnBzqBXsB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfB+lBxhBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFxgBTiB2pBFrBXsBCrB,v115@FhB8HeB8HeE8DeC8Jei/IvhFFhBTiBcrBxpBXsBGqB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfBUhB1qBXnBGnBRwB,v115@FhB8HeB8HeE8DeC8JeT/IvhF1mB6nBxpBmrB/qBUrB,v115@FhB8HeB8HeE8DeC8Jex/IvhFXiBTkBSsBlqBmqB0rB,v115@FhB8HeB8HeE8DeC8JeOEJvhF8kBFmBTnB3lBCnBRwB,v115@FhB8HeB8HeE8DeC8Je3/IvhFTiBxlB2pBUrBFsBCrB,v115@FhB8HeB8HeE8DeC8Jex/IvhF0hBTkBSsBmqBlqBXsB
TIJSZLO,X,X,X,O,X,O,X,X,X,X,X
TIJSZOL,X,X,X,O,X,X,X,X,O,X,X
TIJSOLZ,X,X,X,O,X,X,O,X,X,O,X
TIJSOZL,X,X,X,O,X,X,X,X,O,O,X
TIJZLSO,X,X,X,O,X,O,O,X,X,X,X
TIJZLOS,X,X,X,X,X,O,O,X,O,X,X
TIJZSLO,X,X,X,O,X,O,X,X,X,X,X
TIJZSOL,X,X,X,O,X,X,X,X,O,X,X
TIJZOLS,X,X,X,X,X,X,O,X,O,X,X
TIJZOSL,X,X,X,O,X,X,X,X,O,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,X,X,O,X,O,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,O,X
TIJOSZL,X,X,X,X,X,X,X,X,O,O,X
TIJOZLS,X,X,X,X,X,X,O,X,O,X,X
TIJOZSL,X,X,X,X,X,X,X,X,O,X,X
TISLJZO,X,X,X,X,X,O,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X,X
TISLZJO,X,X,X,X,O,O,X,X,X,X,X
TISLZOJ,X,X,X,X,O,O,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,X,X,X,O,X
TISLOZJ,X,X,X,X,O,O,X,X,X,O,X
TISJLZO,X,X,X,O,X,O,X,X,X,X,X
TISJLOZ,X,X,X,O,X,O,X,X,X,X,X
TISJZLO,X,X,X,O,X,O,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,X,X,O,X,X
TISJOLZ,X,X,X,O,X,X,X,X,X,O,X
TISJOZL,X,X,X,O,X,X,X,X,O,O,X
TISZLJO,X,X,X,X,O,O,X,X,X,X,X
TISZLOJ,X,X,X,X,O,O,X,X,X,X,X
TISZJLO,X,X,X,X,O,O,X,X,X,X,X
TISZJOL,X,X,X,X,O,X,X,X,O,X,X
TISZOLJ,X,X,X,X,O,O,X,X,X,O,X
TISZOJL,X,X,X,X,O,X,X,X,O,O,X
TISOLJZ,X,X,X,X,X,O,X,X,X,O,X
TISOLZJ,X,X,X,X,O,O,X,X,X,O,X
TISOJLZ,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,X,X,X,O,X,X,X,X,O,O,X
TISOZLJ,X,X,X,X,O,O,X,X,X,O,X
TISOZJL,X,X,X,X,O,X,X,X,O,O,X
TIZLJSO,X,X,X,X,O,O,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,X,X,O,X,X
TIZLSJO,X,X,X,X,O,O,X,X,X,X,X
TIZLSOJ,X,X,X,X,O,O,X,X,X,O,X
TIZLOJS,X,X,X,X,X,O,X,X,O,X,X
TIZLOSJ,X,X,X,X,O,O,X,X,X,O,X
TIZJLSO,X,X,X,X,O,O,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,O,X,X
TIZJSLO,X,X,X,X,O,O,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,X,O,O,X
TIZJOLS,X,X,X,X,X,X,X,X,O,X,X
TIZJOSL,X,X,X,X,X,X,X,X,O,O,X
TIZSLJO,X,X,X,X,O,O,X,X,X,X,X
TIZSLOJ,X,X,X,X,O,O,X,X,X,O,X
TIZSJLO,X,X,X,X,O,O,X,X,X,X,X
TIZSJOL,X,X,X,X,O,X,X,X,O,O,X
TIZSOLJ,X,X,X,X,O,O,X,X,X,O,X
TIZSOJL,X,X,X,X,O,X,X,X,O,O,X
TIZOLJS,X,X,X,X,X,O,X,X,O,X,X
TIZOLSJ,X,X,X,X,O,O,X,X,X,O,X
TIZOJLS,X,X,X,X,X,X,X,X,O,X,X
TIZOJSL,X,X,X,X,X,X,X,X,O,O,X
TIZOSLJ,X,X,X,X,O,O,X,X,X,O,X
TIZOSJL,X,X,X,X,O,X,X,X,O,O,X
TIOLJSZ,X,X,X,X,X,O,O,O,X,X,X
TIOLJZS,X,X,X,X,X,O,O,O,O,X,X
TIOLSJZ,X,X,X,X,X,O,X,O,X,O,X
TIOLSZJ,X,X,X,X,X,O,X,O,X,O,X
TIOLZJS,X,X,X,X,X,O,X,O,O,X,X
TIOLZSJ,X,X,X,X,X,O,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,O,X,X,X
TIOJLZS,X,X,X,X,X,X,O,O,O,X,X
TIOJSLZ,X,X,X,X,X,X,O,X,X,O,X
TIOJSZL,X,X,X,X,X,X,X,X,O,O,X
TIOJZLS,X,X,X,X,X,X,O,X,O,X,X
TIOJZSL,X,X,X,X,X,X,X,X,O,X,X
TIOSLJZ,X,X,X,X,X,O,X,O,X,O,X
TIOSLZJ,X,X,X,X,X,O,X,O,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,X,X,O,O,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,X,O,O,X
TIOZLJS,X,X,X,X,X,O,X,O,O,X,X
TIOZLSJ,X,X,X,X,X,O,X,O,X,O,X
TIOZJLS,X,X,X,X,X,X,X,X,O,X,X
TIOZJSL,X,X,X,X,X,X,X,X,O,O,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,O,X
