sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
TZLJOIS,O,X,O,O,X,O,X,X
TZLJOSI,O,O,O,O,X,O,X,X
TZLSIJO,O,O,O,O,O,O,X,X
TZLSIOJ,O,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,O,O,X,X
TZLSJOI,O,O,O,O,X,O,X,X
TZLSOIJ,O,O,O,O,O,X,X,X
TZLSOJI,O,O,O,O,O,O,X,X
TZLOIJS,O,X,O,O,O,O,X,X
TZLOISJ,O,X,O,O,X,O,X,X
TZLOJIS,O,X,O,O,O,O,X,X
TZLOJSI,O,O,O,O,O,O,X,X
TZLOSIJ,O,O,O,O,O,X,X,X
TZLOSJI,O,O,O,O,O,O,X,X
TZJILSO,O,O,O,O,X,O,X,X
TZJILOS,O,O,O,O,X,O,X,O
TZJISLO,O,O,O,X,X,O,X,X
TZJISOL,O,O,O,X,X,X,X,X
TZJIOLS,O,O,O,O,X,O,X,O
TZJIOSL,O,O,O,X,X,X,X,X
TZJLISO,O,O,O,O,X,O,X,X
TZJLIOS,O,O,O,O,X,O,X,X
TZJLSIO,O,O,O,O,X,O,X,X
TZJLSOI,O,O,O,O,X,O,X,X
TZJLOIS,O,X,O,O,X,O,X,X
TZJLOSI,O,O,O,O,X,O,X,X
TZJSILO,O,O,O,X,X,O,X,X
TZJSIOL,O,O,O,X,X,X,X,X
TZJSLIO,O,O,O,O,X,O,X,X
TZJSLOI,O,O,O,O,X,O,X,X
TZJSOIL,O,O,O,X,X,X,X,X
TZJSOLI,O,O,O,X,X,X,X,X
TZJOILS,O,O,O,O,X,O,X,O
TZJOISL,O,O,O,X,X,X,X,X
TZJOLIS,O,X,O,O,X,O,X,X
TZJOLSI,O,O,O,O,X,O,X,X
TZJOSIL,O,O,O,X,X,X,X,X
TZJOSLI,O,O,O,O,X,X,X,X
TZSILJO,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,O,X
TZSIJLO,O,O,O,X,X,O,O,X
TZSIJOL,O,O,O,X,X,X,O,X
TZSIOLJ,O,O,O,X,O,X,O,X
TZSIOJL,O,O,O,X,O,X,O,X
TZSLIJO,O,O,O,O,O,O,X,X
TZSLIOJ,O,O,O,O,O,O,X,X
TZSLJIO,O,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,X,O,X,X
TZSLOIJ,O,O,O,O,O,X,X,X
TZSLOJI,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,X,X,O,X,X
TZSJIOL,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,O,X,O,X,X
TZSJLOI,O,O,O,O,X,O,X,X
TZSJOIL,O,O,O,X,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X,X
TZSOILJ,O,O,O,X,O,X,O,X
TZSOIJL,O,O,O,X,O,X,O,X
TZSOLIJ,O,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,O,X,X,X
TZSOJIL,O,O,O,X,O,X,X,X
TZSOJLI,O,O,O,O,O,X,X,X
TZOILJS,O,O,O,O,O,O,X,X
TZOILSJ,O,O,O,O,X,O,X,X
TZOIJLS,O,O,O,O,O,O,X,X
TZOIJSL,O,O,O,X,O,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X
TZOLIJS,O,X,O,O,O,O,X,X
TZOLISJ,O,X,O,O,X,O,X,X
TZOLJIS,O,X,O,O,O,O,X,X
TZOLJSI,O,O,O,O,O,O,X,X
TZOLSIJ,O,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,O,O,X,X
TZOJILS,O,O,O,O,O,O,X,X
TZOJISL,O,O,O,X,O,X,X,X
TZOJLIS,O,X,O,O,O,O,X,X
TZOJLSI,O,O,O,O,O,O,X,X
TZOJSIL,O,O,O,X,O,X,X,X
TZOJSLI,O,O,O,O,O,X,X,X
TZOSILJ,O,O,O,X,O,X,O,X
TZOSIJL,O,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,O,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,O,O,X,X,X
TOILJSZ,O,O,X,X,O,X,X,X
TOILJZS,O,X,X,X,O,O,X,X
TOILSJZ,O,O,X,X,O,X,X,X
TOILSZJ,O,O,X,O,O,O,X,X
TOILZJS,X,X,O,O,O,O,X,X
TOILZSJ,O,X,O,O,X,O,X,X
TOIJLSZ,O,O,X,X,O,X,X,O
TOIJLZS,O,X,X,X,O,X,X,O
TOIJSLZ,O,O,X,X,O,X,X,O
TOIJSZL,O,O,X,X,O,X,X,X
TOIJZLS,O,X,X,X,O,O,X,O
TOIJZSL,O,X,X,X,O,X,X,X
TOISLJZ,O,O,X,X,O,X,O,X
TOISLZJ,O,O,O,O,O,X,O,X
TOISJLZ,O,O,X,X,O,X,O,X
TOISJZL,O,O,X,X,O,X,O,X
TOISZLJ,O,O,O,X,O,X,O,X
TOISZJL,O,O,O,X,O,X,O,X
TOIZLJS,O,X,O,O,O,O,X,X
TOIZLSJ,O,X,O,O,X,O,X,X
TOIZJLS,O,X,O,O,O,O,X,X
TOIZJSL,O,X,O,X,O,X,X,X
TOIZSLJ,O,X,O,X,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X,X
TOLIJSZ,O,X,X,X,O,X,X,X
TOLIJZS,O,X,X,X,O,O,X,X
TOLISJZ,O,X,X,X,O,X,X,X
TOLISZJ,O,X,X,O,O,O,X,X
TOLIZJS,X,X,O,O,O,O,X,X
TOLIZSJ,O,X,O,O,X,O,X,X
TOLJISZ,O,X,X,X,O,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X
TOLJSIZ,O,X,X,X,O,X,X,X
TOLJSZI,O,X,X,O,O,X,X,X
TOLJZIS,O,X,O,O,O,O,X,X
TOLJZSI,O,X,O,O,O,O,X,X
TOLSIJZ,O,X,X,X,O,X,O,X
TOLSIZJ,O,X,O,O,O,X,O,X
TOLSJIZ,O,X,X,X,O,X,X,X
TOLSJZI,O,X,O,O,O,X,X,X
TOLSZIJ,O,X,O,O,O,X,X,X
TOLSZJI,O,X,O,O,O,O,X,X
TOLZIJS,X,X,O,O,O,O,X,X
TOLZISJ,O,X,O,O,X,O,X,X
TOLZJIS,O,X,O,O,O,O,X,X
TOLZJSI,O,X,O,O,O,O,X,X
TOLZSIJ,O,X,O,O,O,X,X,X
TOLZSJI,O,X,O,O,O,O,X,X
TOJILSZ,O,O,X,X,O,X,X,O
TOJILZS,O,X,X,X,O,X,X,O
TOJISLZ,O,O,X,X,O,X,X,O
TOJISZL,O,O,X,X,O,X,X,X
TOJIZLS,O,X,X,X,O,O,X,O
TOJIZSL,O,X,X,X,O,X,X,X
TOJLISZ,O,X,X,X,O,X,X,O
TOJLIZS,O,X,X,X,O,X,X,O
TOJLSIZ,O,X,X,X,O,X,X,X
TOJLSZI,O,X,X,O,O,X,X,X
TOJLZIS,O,X,O,O,O,X,X,X
TOJLZSI,O,X,O,O,O,X,X,X
TOJSILZ,O,O,X,X,O,X,O,O
TOJSIZL,O,O,X,X,O,X,O,X
TOJSLIZ,O,O,X,X,O,X,X,X
TOJSLZI,O,O,O,O,O,X,X,X
TOJSZIL,O,O,O,X,O,X,X,X
TOJSZLI,O,O,O,X,O,X,X,X
TOJZILS,O,O,O,O,O,O,X,O
TOJZISL,O,O,O,X,O,X,X,X
TOJZLIS,O,X,O,O,O,O,X,X
TOJZLSI,O,O,O,O,O,O,X,X
TOJZSIL,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,O,O,X,X,X
TOSILJZ,O,O,X,X,O,X,O,X
TOSILZJ,O,O,O,O,O,X,O,X
TOSIJLZ,O,O,X,X,O,X,O,X
TOSIJZL,O,O,X,X,O,X,O,X
TOSIZLJ,O,O,O,X,O,X,O,X
TOSIZJL,O,O,O,X,O,X,O,X
TOSLIJZ,O,O,X,X,O,X,O,X
TOSLIZJ,O,O,O,O,O,X,O,X
TOSLJIZ,O,O,X,X,O,X,X,X
TOSLJZI,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,O,X,X,X
TOSJILZ,O,O,X,X,O,X,O,X
TOSJIZL,O,O,X,X,O,X,O,X
TOSJLIZ,O,O,X,X,O,X,X,X
TOSJLZI,O,O,O,O,O,X,X,X
TOSJZIL,O,O,O,X,O,X,X,X
TOSJZLI,O,O,O,X,O,X,X,X
TOSZILJ,O,O,O,X,O,X,O,X
TOSZIJL,O,O,O,X,O,X,O,X
TOSZLIJ,O,O,O,O,O,X,X,X
TOSZLJI,O,O,O,O,O,X,X,X
TOSZJIL,O,O,O,X,O,X,X,X
TOSZJLI,O,O,O,O,O,X,X,X
TOZILJS,O,O,O,O,O,O,X,X
TOZILSJ,O,O,O,O,X,O,X,X
TOZIJLS,O,O,O,O,O,O,X,X
TOZIJSL,O,O,O,X,O,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X
TOZLIJS,O,X,O,O,O,O,X,X
TOZLISJ,O,X,O,O,X,O,X,X
TOZLJIS,O,X,O,O,O,O,X,X
TOZLJSI,O,O,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,O,X,X,X
TOZLSJI,O,O,O,O,O,O,X,X
TOZJILS,O,O,O,O,O,O,X,X
TOZJISL,O,O,O,X,O,X,X,X
TOZJLIS,O,X,O,O,O,O,X,X
TOZJLSI,O,O,O,O,O,O,X,X
TOZJSIL,O,O,O,X,O,X,X,X
TOZJSLI,O,O,O,O,O,X,X,X
TOZSILJ,O,O,O,X,O,X,O,X
TOZSIJL,O,O,O,X,O,X,O,X
TOZSLIJ,O,O,O,O,O,X,X,X
TOZSLJI,O,O,O,O,O,X,X,X
TOZSJIL,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,O,O,X,X,X
ITLJSZO,X,O,X,X,O,X,X,X
ITLJSOZ,X,O,X,X,O,X,X,O
ITLJZSO,X,O,O,X,O,O,X,X
ITLJZOS,X,X,O,X,O,O,X,O
ITLJOSZ,X,O,X,X,O,X,X,O
ITLJOZS,X,X,X,X,O,O,X,O
ITLSJZO,X,O,X,O,O,X,X,X
ITLSJOZ,X,O,X,X,O,X,X,X
ITLSZJO,X,O,O,O,O,O,X,X
ITLSZOJ,X,O,O,O,O,O,X,X
ITLSOJZ,X,O,X,X,O,X,X,X
ITLSOZJ,X,O,X,O,O,O,X,X
ITLZJSO,X,O,O,O,O,O,X,X
ITLZJOS,X,X,O,X,O,O,X,X
ITLZSJO,X,O,O,O,X,O,X,X
ITLZSOJ,X,O,O,O,X,O,X,X
ITLZOJS,X,X,O,O,O,O,X,X
ITLZOSJ,X,X,O,O,X,O,X,X
ITLOJSZ,X,O,X,X,O,X,X,X
ITLOJZS,X,X,X,X,O,O,X,X
ITLOSJZ,X,O,X,X,O,X,X,X
ITLOSZJ,X,O,X,O,O,O,X,X
ITLOZJS,X,X,O,O,O,O,X,X
ITLOZSJ,X,X,O,O,X,O,X,X
ITJLSZO,O,O,X,X,O,X,X,X
ITJLSOZ,O,O,X,X,O,X,X,O
ITJLZSO,O,O,X,X,O,O,X,X
ITJLZOS,X,X,X,X,O,O,X,O
ITJLOSZ,X,O,X,X,O,X,X,O
ITJLOZS,X,X,X,X,O,O,X,O
ITJSLZO,O,O,X,O,O,X,X,X
ITJSLOZ,O,O,X,X,O,X,X,O
ITJSZLO,O,O,X,X,X,O,X,X
ITJSZOL,O,O,X,X,X,X,X,X
ITJSOLZ,O,O,X,X,O,X,X,O
ITJSOZL,O,O,X,X,O,X,X,X
ITJZLSO,O,O,X,X,X,O,X,X
ITJZLOS,X,O,X,X,X,O,X,O
ITJZSLO,O,O,X,X,X,O,X,X
ITJZSOL,O,O,X,X,X,X,X,X
ITJZOLS,O,O,X,X,X,O,X,O
ITJZOSL,O,O,X,X,X,X,X,X
ITJOLSZ,O,O,X,X,O,X,X,O
ITJOLZS,O,X,X,X,O,X,X,O
ITJOSLZ,O,O,X,X,O,X,X,O
ITJOSZL,O,O,X,X,O,X,X,X
ITJOZLS,O,X,X,X,O,O,X,O
ITJOZSL,O,X,X,X,O,X,X,X
ITSLJZO,O,O,O,O,O,X,O,X
ITSLJOZ,O,O,X,X,O,X,O,X
ITSLZJO,X,O,O,O,O,O,O,X
ITSLZOJ,X,O,O,O,O,O,O,X
ITSLOJZ,O,O,X,X,O,X,O,X
ITSLOZJ,O,O,O,O,O,O,O,X
ITSJLZO,O,O,X,O,O,X,O,X
ITSJLOZ,O,O,X,X,O,X,O,O
ITSJZLO,O,O,X,X,X,O,O,X
ITSJZOL,X,O,X,X,X,X,O,X
ITSJOLZ,O,O,X,X,O,X,O,O
ITSJOZL,O,O,X,X,O,X,O,X
ITSZLJO,X,O,O,O,O,O,O,X
ITSZLOJ,X,O,O,O,O,O,O,X
ITSZJLO,X,O,O,X,X,O,O,X
ITSZJOL,X,O,O,X,X,X,O,X
ITSZOLJ,X,O,O,X,O,X,O,X
ITSZOJL,X,O,O,X,O,X,O,X
ITSOLJZ,O,O,X,X,O,X,O,X
ITSOLZJ,O,O,O,O,O,X,O,X
ITSOJLZ,O,O,X,X,O,X,O,X
ITSOJZL,O,O,X,X,O,X,O,X
ITSOZLJ,O,O,O,X,O,X,O,X
ITSOZJL,O,O,O,X,O,X,O,X
ITZLJSO,X,O,O,O,O,O,X,X
ITZLJOS,X,O,O,X,O,O,X,X
ITZLSJO,X,O,O,O,X,O,X,X
ITZLSOJ,X,O,O,O,X,O,X,X
ITZLOJS,X,O,O,O,O,O,X,X
ITZLOSJ,X,O,O,O,X,O,X,X
ITZJLSO,O,O,O,O,X,O,X,X
ITZJLOS,X,O,O,X,X,O,X,O
ITZJSLO,O,O,O,X,X,O,X,X
ITZJSOL,O,O,O,X,X,X,X,X
ITZJOLS,O,O,O,X,X,O,X,O
ITZJOSL,O,O,O,X,X,X,X,X
ITZSLJO,O,O,O,O,O,O,X,X
ITZSLOJ,O,O,O,O,O,O,X,X
ITZSJLO,O,O,O,X,X,O,X,X
ITZSJOL,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,O,X,O,X,X,X
ITZSOJL,O,O,O,X,O,X,X,X
ITZOLJS,X,O,O,O,O,O,X,X
ITZOLSJ,O,O,O,O,X,O,X,X
ITZOJLS,O,O,O,O,O,O,X,X
ITZOJSL,O,O,O,X,O,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X
ITOLJSZ,O,O,X,X,O,X,X,X
ITOLJZS,O,X,X,X,O,O,X,X
ITOLSJZ,O,O,X,X,O,X,X,X
ITOLSZJ,O,O,X,O,O,O,X,X
ITOLZJS,X,X,O,O,O,O,X,X
ITOLZSJ,O,X,O,O,X,O,X,X
ITOJLSZ,O,O,X,X,O,X,X,O
ITOJLZS,O,X,X,X,O,X,X,O
ITOJSLZ,O,O,X,X,O,X,X,O
ITOJSZL,O,O,X,X,O,X,X,X
ITOJZLS,O,X,X,X,O,O,X,O
ITOJZSL,O,X,X,X,O,X,X,X
ITOSLJZ,O,O,X,X,O,X,O,X
ITOSLZJ,O,O,O,O,O,X,O,X
ITOSJLZ,O,O,X,X,O,X,O,X
ITOSJZL,O,O,X,X,O,X,O,X
ITOSZLJ,O,O,O,X,O,X,O,X
ITOSZJL,O,O,O,X,O,X,O,X
ITOZLJS,X,X,O,O,O,O,X,X
ITOZLSJ,O,X,O,O,X,O,X,X
ITOZJLS,O,X,O,O,O,O,X,X
ITOZJSL,O,X,O,X,O,X,X,X
ITOZSLJ,O,X,O,X,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X,X
ILTJSZO,X,O,X,X,O,X,X,X
ILTJSOZ,X,O,X,X,O,X,X,O
ILTJZSO,X,O,X,X,O,O,X,X
ILTJZOS,X,X,X,X,O,O,X,O
ILTJOSZ,X,O,X,X,O,X,X,O
ILTJOZS,X,X,X,X,O,O,X,O
ILTSJZO,X,O,X,O,O,X,X,X
ILTSJOZ,X,O,X,X,O,X,X,X
ILTSZJO,X,O,X,O,O,O,X,X
ILTSZOJ,X,O,X,O,O,O,X,X
ILTSOJZ,X,O,X,X,O,X,X,X
ILTSOZJ,X,O,X,O,O,O,X,X
ILTZJSO,X,O,X,O,O,O,X,X
ILTZJOS,X,X,X,O,O,O,X,X
ILTZSJO,X,O,X,O,X,O,X,X
ILTZSOJ,X,O,X,O,X,O,X,X
ILTZOJS,X,X,X,O,O,O,X,X
ILTZOSJ,X,X,X,O,X,O,X,X
ILTOJSZ,X,O,X,X,O,X,X,X
ILTOJZS,X,X,X,X,O,O,X,X
ILTOSJZ,X,O,X,X,O,X,X,X
ILTOSZJ,X,O,X,O,O,O,X,X
ILTOZJS,X,X,X,O,O,O,X,X
ILTOZSJ,X,X,X,O,X,O,X,X
ILJTSZO,X,O,X,X,O,X,X,X
ILJTSOZ,X,O,X,X,O,X,X,O
ILJTZSO,X,O,X,X,O,O,X,X
ILJTZOS,X,X,X,X,O,O,X,O
ILJTOSZ,X,O,X,X,O,X,X,O
ILJTOZS,X,X,X,X,O,X,X,O
ILJSTZO,X,O,X,X,O,X,X,X
ILJSTOZ,X,O,X,X,O,X,X,X
ILJSZTO,X,O,X,X,O,X,X,X
ILJSZOT,X,O,X,X,O,X,X,X
ILJSOTZ,X,O,X,X,O,X,X,O
ILJSOZT,X,O,X,X,O,X,X,O
ILJZTSO,X,O,X,O,X,O,X,X
ILJZTOS,X,X,X,O,X,O,X,X
ILJZSTO,X,O,X,O,X,X,X,X
ILJZSOT,X,O,X,O,X,O,X,X
ILJZOTS,X,X,X,O,X,O,X,O
ILJZOST,X,O,X,O,X,O,X,O
ILJOTSZ,X,X,X,X,X,X,X,O
ILJOTZS,X,X,X,X,X,X,X,O
ILJOSTZ,X,O,X,X,X,X,X,O
ILJOSZT,X,O,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,O,X,O
ILJOZST,X,X,X,X,X,O,X,O
ILSTJZO,X,O,X,X,O,X,O,X
ILSTJOZ,X,O,X,X,O,X,O,X
ILSTZJO,X,O,X,O,X,X,O,X
ILSTZOJ,X,O,X,O,X,X,O,X
ILSTOJZ,X,O,X,X,O,X,O,X
ILSTOZJ,X,O,X,X,X,X,O,X
ILSJTZO,X,O,X,X,O,X,X,X
ILSJTOZ,X,O,X,X,O,X,X,X
ILSJZTO,X,O,X,O,O,X,X,X
ILSJZOT,X,O,X,O,O,X,X,X
ILSJOTZ,X,O,X,X,O,X,O,X
ILSJOZT,X,O,X,X,O,X,X,X
ILSZTJO,X,O,X,O,X,X,X,X
ILSZTOJ,X,O,X,O,X,X,X,X
ILSZJTO,X,O,X,O,O,X,X,X
ILSZJOT,X,O,X,O,O,O,X,X
ILSZOTJ,X,O,X,O,X,X,O,X
ILSZOJT,X,O,X,O,O,O,X,X
ILSOTJZ,X,O,X,X,O,X,O,X
ILSOTZJ,X,X,X,X,X,X,O,X
ILSOJTZ,X,O,X,X,O,X,O,X
ILSOJZT,X,O,X,X,O,X,X,X
ILSOZTJ,X,X,X,O,X,X,O,X
ILSOZJT,X,O,X,O,O,O,X,X
ILZTJSO,X,O,X,O,X,O,X,X
ILZTJOS,X,X,X,O,X,O,X,X
ILZTSJO,X,O,X,O,X,O,X,X
ILZTSOJ,X,O,X,O,X,O,X,X
ILZTOJS,X,X,X,O,X,O,X,X
ILZTOSJ,X,X,X,O,X,O,X,X
ILZJTSO,X,O,X,O,X,O,X,X
ILZJTOS,X,X,X,O,X,O,X,X
ILZJSTO,X,O,X,O,X,X,X,X
ILZJSOT,X,O,X,O,X,O,X,X
ILZJOTS,X,X,X,O,X,O,X,X
ILZJOST,X,O,X,O,X,O,X,X
ILZSTJO,X,O,X,O,X,X,X,X
ILZSTOJ,X,O,X,O,X,X,X,X
ILZSJTO,X,O,X,O,X,X,X,X
ILZSJOT,X,O,X,O,X,O,X,X
ILZSOTJ,X,O,X,O,X,X,X,X
ILZSOJT,X,O,X,O,X,O,X,X
ILZOTJS,X,X,X,O,X,O,X,X
ILZOTSJ,X,X,X,O,X,X,X,X
ILZOJTS,X,X,X,O,X,O,X,X
ILZOJST,X,O,X,O,X,O,X,X
ILZOSTJ,X,O,X,O,X,X,X,X
ILZOSJT,X,O,X,O,X,O,X,X
ILOTJSZ,X,X,X,X,O,X,X,X
ILOTJZS,X,X,X,X,O,X,X,X
ILOTSJZ,X,X,X,X,O,X,X,X
ILOTSZJ,X,X,X,O,O,X,X,X
ILOTZJS,X,X,X,O,O,O,X,X
ILOTZSJ,X,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,O,X,X,X
ILOJTZS,X,X,X,X,O,X,X,X
ILOJSTZ,X,O,X,X,O,X,X,X
ILOJSZT,X,O,X,X,O,X,X,X
ILOJZTS,X,X,X,X,X,O,X,X
ILOJZST,X,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,X,O,X,O,X
ILOSTZJ,X,X,X,X,X,X,O,X
ILOSJTZ,X,O,X,X,O,X,O,X
ILOSJZT,X,O,X,X,O,X,X,X
ILOSZTJ,X,X,X,O,X,X,O,X
ILOSZJT,X,O,X,O,O,O,X,X
ILOZTJS,X,X,X,O,X,O,X,X
ILOZTSJ,X,X,X,O,X,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X
ILOZJST,X,X,X,O,X,O,X,X
ILOZSTJ,X,X,X,O,X,X,X,X
ILOZSJT,X,X,X,O,X,O,X,X
IJTLSZO,O,O,X,X,X,X,X,X
IJTLSOZ,O,O,X,X,X,X,X,O
IJTLZSO,O,O,X,X,X,O,X,X
IJTLZOS,X,X,X,X,X,O,X,O
IJTLOSZ,X,O,X,X,X,X,X,O
IJTLOZS,X,X,X,X,X,O,X,O
IJTSLZO,O,O,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X,O
IJTSZLO,O,O,X,X,X,O,X,X
IJTSZOL,O,O,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,X,O
IJTSOZL,O,O,X,X,X,X,X,X
IJTZLSO,O,O,X,X,X,O,X,X
IJTZLOS,O,O,X,X,X,O,X,O
IJTZSLO,O,O,X,X,X,O,X,X
IJTZSOL,O,O,X,X,X,X,X,X
IJTZOLS,O,O,X,X,X,O,X,O
IJTZOSL,O,O,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,X,X,O
IJTOLZS,O,X,X,X,X,X,X,O
IJTOSLZ,O,O,X,X,X,X,X,O
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,O,X,O
IJTOZSL,O,X,X,X,X,X,X,X
IJLTSZO,O,O,X,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,X,O
IJLTZSO,O,O,X,X,X,O,X,X
IJLTZOS,X,X,X,X,X,O,X,O
IJLTOSZ,X,O,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,X,X,O
IJLSTZO,O,O,X,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,X,X,O
IJLSOZT,O,O,X,X,X,X,X,O
IJLZTSO,O,O,X,X,X,O,X,X
IJLZTOS,O,X,X,X,X,O,X,X
IJLZSTO,O,O,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,O,X,X
IJLZOTS,O,X,X,X,X,O,X,O
IJLZOST,O,O,X,X,X,O,X,O
IJLOTSZ,X,X,X,X,X,X,X,O
IJLOTZS,X,X,X,X,X,X,X,O
IJLOSTZ,X,O,X,X,X,X,X,O
IJLOSZT,X,O,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,O,X,O
IJLOZST,X,X,X,X,X,O,X,O
IJSTLZO,O,O,X,X,X,X,O,X
IJSTLOZ,O,O,X,X,X,X,O,O
IJSTZLO,O,O,X,X,X,O,O,X
IJSTZOL,O,O,X,X,X,X,O,X
IJSTOLZ,O,O,X,X,X,X,O,O
IJSTOZL,X,O,X,X,X,X,O,X
IJSLTZO,O,O,X,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,X,X
IJSLOTZ,O,O,X,X,X,X,O,O
IJSLOZT,O,O,X,X,X,X,X,O
IJSZTLO,O,O,X,X,X,O,X,X
IJSZTOL,O,O,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,O,X,X
IJSZOTL,X,O,X,X,X,X,X,X
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,O,X,X,X,X,O,O
IJSOTZL,X,O,X,X,X,X,O,X
IJSOLTZ,O,O,X,X,X,X,O,O
IJSOLZT,O,O,X,X,X,X,X,O
IJSOZTL,X,O,X,X,X,X,X,X
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,O,X,X
IJZTLOS,O,O,X,X,X,O,X,O
IJZTSLO,O,O,X,X,X,O,X,X
IJZTSOL,O,O,X,X,X,X,X,X
IJZTOLS,O,O,X,X,X,O,X,O
IJZTOSL,O,O,X,X,X,X,X,X
IJZLTSO,O,O,X,X,X,O,X,X
IJZLTOS,O,X,X,X,X,O,X,X
IJZLSTO,O,O,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,O,X,X
IJZLOTS,O,X,X,X,X,O,X,O
IJZLOST,O,O,X,X,X,O,X,O
IJZSTLO,O,O,X,X,X,O,X,X
IJZSTOL,O,O,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,O,X,X
IJZSOTL,O,O,X,X,X,X,X,X
IJZSOLT,O,O,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,O,X,O
IJZOTSL,O,X,X,X,X,X,X,X
IJZOLTS,O,X,X,X,X,O,X,O
IJZOLST,O,O,X,X,X,O,X,O
IJZOSTL,O,O,X,X,X,X,X,X
IJZOSLT,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,X,X,O
IJOTLZS,O,X,X,X,X,X,X,O
IJOTSLZ,O,O,X,X,X,X,X,O
IJOTSZL,O,O,X,X,X,X,X,X
IJOTZLS,O,X,X,X,X,O,X,O
IJOTZSL,O,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,O
IJOLTZS,O,X,X,X,X,X,X,O
IJOLSTZ,O,O,X,X,X,X,X,O
IJOLSZT,O,O,X,X,X,X,X,O
IJOLZTS,O,X,X,X,X,X,X,O
IJOLZST,O,X,X,X,X,X,X,O
IJOSTLZ,O,O,X,X,X,X,O,O
IJOSTZL,O,O,X,X,X,X,O,X
IJOSLTZ,O,O,X,X,X,X,O,O
IJOSLZT,O,O,X,X,X,X,X,O
IJOSZTL,O,O,X,X,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,O,X,O
