sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
TIOZJLS,O,X,O,O,O,O,X,X
TIOZJSL,O,X,O,X,O,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X
TLIJSZO,X,O,X,X,O,X,X,X
TLIJSOZ,X,O,X,X,O,X,X,O
TLIJZSO,X,O,O,X,O,O,X,X
TLIJZOS,X,X,O,X,O,O,X,O
TLIJOSZ,X,O,X,X,O,X,X,O
TLIJOZS,X,X,X,X,O,O,X,O
TLISJZO,X,O,X,O,O,X,X,X
TLISJOZ,X,O,X,X,O,X,X,X
TLISZJO,X,O,O,O,O,O,X,X
TLISZOJ,X,O,O,O,O,O,X,X
TLISOJZ,X,O,X,X,O,X,X,X
TLISOZJ,X,O,X,O,O,O,X,X
TLIZJSO,X,O,O,O,O,O,X,X
TLIZJOS,X,X,O,O,O,O,X,X
TLIZSJO,X,O,O,O,X,O,X,X
TLIZSOJ,X,O,O,O,X,O,X,X
TLIZOJS,X,X,O,O,O,O,X,X
TLIZOSJ,X,X,O,O,X,O,X,X
TLIOJSZ,X,O,X,X,O,X,X,X
TLIOJZS,X,X,X,X,O,O,X,X
TLIOSJZ,X,O,X,X,O,X,X,X
TLIOSZJ,X,O,X,O,O,O,X,X
TLIOZJS,X,X,O,O,O,O,X,X
TLIOZSJ,X,X,O,O,X,O,X,X
TLJISZO,O,O,X,X,O,X,X,X
TLJISOZ,O,O,X,X,O,X,X,O
TLJIZSO,O,O,O,X,O,O,X,X
TLJIZOS,X,X,O,X,O,O,X,O
TLJIOSZ,X,O,X,X,O,X,X,O
TLJIOZS,X,X,X,X,O,O,X,O
TLJSIZO,O,O,X,O,O,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,X
TLJSZIO,O,O,X,O,O,X,X,X
TLJSZOI,O,O,X,O,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X
TLJZISO,O,O,O,O,O,O,X,X
TLJZIOS,X,O,O,X,O,O,X,X
TLJZSIO,O,O,O,O,O,O,X,X
TLJZSOI,O,O,X,O,X,O,X,X
TLJZOIS,O,X,O,O,X,O,X,X
TLJZOSI,O,O,O,O,X,O,X,X
TLJOISZ,O,X,X,X,O,X,X,O
TLJOIZS,O,X,X,X,O,X,X,O
TLJOSIZ,O,X,X,X,O,X,X,X
TLJOSZI,O,X,X,O,O,X,X,X
TLJOZIS,O,X,O,O,O,O,X,X
TLJOZSI,O,X,O,O,O,O,X,X
TLSIJZO,O,O,O,O,O,X,O,X
TLSIJOZ,O,O,X,X,O,X,O,X
TLSIZJO,X,O,O,O,O,O,O,X
TLSIZOJ,X,O,O,O,O,O,O,X
TLSIOJZ,O,O,X,X,O,X,O,X
TLSIOZJ,O,O,O,O,O,O,O,X
TLSJIZO,O,O,O,O,O,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X
TLSJZOI,O,O,O,O,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,O,O,X,X,X
TLSZIJO,X,O,O,O,O,O,X,X
TLSZIOJ,X,O,O,O,O,O,X,X
TLSZJIO,O,O,O,O,O,O,X,X
TLSZJOI,O,O,O,O,X,O,X,X
TLSZOIJ,O,O,O,O,O,X,X,X
TLSZOJI,O,O,O,O,O,O,X,X
TLSOIJZ,O,O,X,X,O,X,O,X
TLSOIZJ,O,O,O,O,O,X,O,X
TLSOJIZ,O,O,X,X,O,X,X,X
TLSOJZI,O,O,O,O,O,X,X,X
TLSOZIJ,O,O,O,O,O,X,X,X
TLSOZJI,O,O,O,O,O,O,X,X
TLZIJSO,X,O,O,O,O,O,X,X
TLZIJOS,X,O,O,O,O,O,X,X
TLZISJO,X,O,O,O,X,O,X,X
TLZISOJ,X,O,O,O,X,O,X,X
TLZIOJS,X,O,O,O,O,O,X,X
TLZIOSJ,X,O,O,O,X,O,X,X
TLZJISO,O,O,O,O,O,O,X,X
TLZJIOS,X,O,O,O,O,O,X,X
TLZJSIO,O,O,O,O,O,O,X,X
TLZJSOI,O,O,O,O,X,O,X,X
TLZJOIS,O,X,O,O,X,O,X,X
TLZJOSI,O,O,O,O,X,O,X,X
TLZSIJO,O,O,O,O,O,O,X,X
TLZSIOJ,O,O,O,O,O,O,X,X
TLZSJIO,O,O,O,O,O,O,X,X
TLZSJOI,O,O,O,O,X,O,X,X
TLZSOIJ,O,O,O,O,O,X,X,X
TLZSOJI,O,O,O,O,O,O,X,X
TLZOIJS,X,X,O,O,O,O,X,X
TLZOISJ,O,X,O,O,X,O,X,X
TLZOJIS,O,X,O,O,O,O,X,X
TLZOJSI,O,O,O,O,O,O,X,X
TLZOSIJ,O,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X
TLOIJSZ,O,X,X,X,O,X,X,X
TLOIJZS,O,X,X,X,O,O,X,X
TLOISJZ,O,X,X,X,O,X,X,X
TLOISZJ,O,X,X,O,O,O,X,X
TLOIZJS,X,X,O,O,O,O,X,X
TLOIZSJ,O,X,O,O,X,O,X,X
TLOJISZ,O,X,X,X,O,X,X,X
TLOJIZS,O,X,X,X,O,X,X,X
TLOJSIZ,O,X,X,X,O,X,X,X
TLOJSZI,O,X,X,O,O,X,X,X
TLOJZIS,O,X,O,O,O,O,X,X
TLOJZSI,O,X,O,O,O,O,X,X
TLOSIJZ,O,X,X,X,O,X,O,X
TLOSIZJ,O,X,O,O,O,X,O,X
TLOSJIZ,O,X,X,X,O,X,X,X
TLOSJZI,O,X,O,O,O,X,X,X
TLOSZIJ,O,X,O,O,O,X,X,X
TLOSZJI,O,X,O,O,O,O,X,X
TLOZIJS,X,X,O,O,O,O,X,X
TLOZISJ,O,X,O,O,X,O,X,X
TLOZJIS,O,X,O,O,O,O,X,X
TLOZJSI,O,X,O,O,O,O,X,X
TLOZSIJ,O,X,O,O,O,X,X,X
TLOZSJI,O,X,O,O,O,O,X,X
TJILSZO,O,O,X,X,O,X,X,X
TJILSOZ,O,O,X,X,O,X,X,O
TJILZSO,O,O,X,X,O,O,X,X
TJILZOS,X,X,X,X,O,O,X,O
TJILOSZ,X,O,X,X,O,X,X,O
TJILOZS,X,X,X,X,O,O,X,O
TJISLZO,O,O,X,O,O,X,X,X
TJISLOZ,O,O,X,X,O,X,X,O
TJISZLO,O,O,X,X,X,O,X,X
TJISZOL,O,O,X,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,X,O
TJISOZL,O,O,X,X,O,X,X,X
TJIZLSO,O,O,X,X,X,O,X,X
TJIZLOS,O,O,X,X,X,O,X,O
TJIZSLO,O,O,X,X,X,O,X,X
TJIZSOL,O,O,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,O,X,O
TJIZOSL,O,O,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,O,X,X,O
TJIOLZS,O,X,X,X,O,X,X,O
TJIOSLZ,O,O,X,X,O,X,X,O
TJIOSZL,O,O,X,X,O,X,X,X
TJIOZLS,O,X,X,X,O,O,X,O
TJIOZSL,O,X,X,X,O,X,X,X
TJLISZO,O,O,X,X,O,X,X,X
TJLISOZ,O,O,X,X,O,X,X,O
TJLIZSO,O,O,O,X,O,O,X,X
TJLIZOS,X,X,O,X,O,O,X,O
TJLIOSZ,X,O,X,X,O,X,X,O
TJLIOZS,X,X,X,X,O,O,X,O
TJLSIZO,O,O,X,O,O,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,X
TJLSZIO,O,O,X,O,O,X,X,X
TJLSZOI,O,O,X,O,X,X,X,X
TJLSOIZ,O,O,X,X,O,X,X,X
TJLSOZI,O,O,X,O,O,X,X,X
TJLZISO,O,O,O,O,O,O,X,X
TJLZIOS,X,O,O,X,O,O,X,X
TJLZSIO,O,O,O,O,O,O,X,X
TJLZSOI,O,O,X,O,X,O,X,X
TJLZOIS,O,X,O,O,X,O,X,X
TJLZOSI,O,O,O,O,X,O,X,X
TJLOISZ,O,X,X,X,O,X,X,O
TJLOIZS,O,X,X,X,O,X,X,O
TJLOSIZ,O,X,X,X,O,X,X,X
TJLOSZI,O,X,X,O,O,X,X,X
TJLOZIS,O,X,O,O,O,O,X,X
TJLOZSI,O,X,O,O,O,O,X,X
TJSILZO,O,O,X,O,O,X,O,X
TJSILOZ,O,O,X,X,O,X,O,O
TJSIZLO,O,O,X,X,X,O,O,X
TJSIZOL,O,O,X,X,X,X,O,X
TJSIOLZ,O,O,X,X,O,X,O,O
TJSIOZL,O,O,X,X,O,X,O,X
TJSLIZO,O,O,O,O,O,X,X,X
TJSLIOZ,O,O,X,X,O,X,X,X
TJSLZIO,O,O,O,O,O,X,X,X
TJSLZOI,O,O,O,O,X,X,X,X
TJSLOIZ,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,O,O,X,X,X
TJSZILO,O,O,O,X,X,O,X,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,O,X,X
TJSZLOI,O,O,O,X,X,O,X,X
TJSZOIL,O,O,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X
TJSOILZ,O,O,X,X,O,X,O,O
TJSOIZL,O,O,X,X,O,X,O,X
TJSOLIZ,O,O,X,X,O,X,X,X
TJSOLZI,O,O,O,O,O,X,X,X
TJSOZIL,O,O,O,X,O,X,X,X
TJSOZLI,O,O,O,X,O,X,X,X
TJZILSO,O,O,O,O,X,O,X,X
TJZILOS,O,O,O,X,X,O,X,O
TJZISLO,O,O,O,X,X,O,X,X
TJZISOL,O,O,O,X,X,X,X,X
TJZIOLS,O,O,O,X,X,O,X,O
TJZIOSL,O,O,O,X,X,X,X,X
TJZLISO,O,O,O,O,X,O,X,X
TJZLIOS,O,O,O,X,X,O,X,X
TJZLSIO,O,O,O,O,X,O,X,X
TJZLSOI,O,O,O,O,X,O,X,X
TJZLOIS,O,X,O,O,X,O,X,X
TJZLOSI,O,O,O,O,X,O,X,X
TJZSILO,O,O,O,X,X,O,X,X
TJZSIOL,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,O,X,X
TJZSLOI,O,O,O,O,X,O,X,X
TJZSOIL,O,O,O,X,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X,X
TJZOILS,O,O,O,O,X,O,X,O
TJZOISL,O,O,O,X,X,X,X,X
TJZOLIS,O,X,O,O,X,O,X,X
TJZOLSI,O,O,O,O,X,O,X,X
TJZOSIL,O,O,O,X,X,X,X,X
TJZOSLI,O,O,O,O,X,X,X,X
TJOILSZ,O,O,X,X,O,X,X,O
TJOILZS,O,X,X,X,O,X,X,O
TJOISLZ,O,O,X,X,O,X,X,O
TJOISZL,O,O,X,X,O,X,X,X
TJOIZLS,O,X,X,X,O,O,X,O
TJOIZSL,O,X,X,X,O,X,X,X
TJOLISZ,O,X,X,X,O,X,X,O
TJOLIZS,O,X,X,X,O,X,X,O
TJOLSIZ,O,X,X,X,O,X,X,X
TJOLSZI,O,X,X,O,O,X,X,X
TJOLZIS,O,X,O,O,O,X,X,X
TJOLZSI,O,X,O,O,O,X,X,X
TJOSILZ,O,O,X,X,O,X,O,O
TJOSIZL,O,O,X,X,O,X,O,X
TJOSLIZ,O,O,X,X,O,X,X,X
TJOSLZI,O,O,O,O,O,X,X,X
TJOSZIL,O,O,O,X,O,X,X,X
TJOSZLI,O,O,O,X,O,X,X,X
TJOZILS,O,O,O,O,O,O,X,O
TJOZISL,O,O,O,X,O,X,X,X
TJOZLIS,O,X,O,O,O,O,X,X
TJOZLSI,O,O,O,O,O,O,X,X
TJOZSIL,O,O,O,X,O,X,X,X
TJOZSLI,O,O,O,O,O,X,X,X
TSILJZO,O,O,O,O,O,X,O,X
TSILJOZ,O,O,X,X,O,X,O,X
TSILZJO,X,O,O,O,O,O,O,X
TSILZOJ,X,O,O,O,O,O,O,X
TSILOJZ,O,O,X,X,O,X,O,X
TSILOZJ,O,O,O,O,O,O,O,X
TSIJLZO,O,O,X,O,O,X,O,X
TSIJLOZ,O,O,X,X,O,X,O,O
TSIJZLO,O,O,X,X,X,O,O,X
TSIJZOL,X,O,X,X,X,X,O,X
TSIJOLZ,O,O,X,X,O,X,O,O
TSIJOZL,O,O,X,X,O,X,O,X
TSIZLJO,X,O,O,O,O,O,O,X
TSIZLOJ,X,O,O,O,O,O,O,X
TSIZJLO,X,O,O,X,X,O,O,X
TSIZJOL,X,O,O,X,X,X,O,X
TSIZOLJ,X,O,O,X,O,X,O,X
TSIZOJL,X,O,O,X,O,X,O,X
TSIOLJZ,O,O,X,X,O,X,O,X
TSIOLZJ,O,O,O,O,O,X,O,X
TSIOJLZ,O,O,X,X,O,X,O,X
TSIOJZL,O,O,X,X,O,X,O,X
TSIOZLJ,O,O,O,X,O,X,O,X
TSIOZJL,O,O,O,X,O,X,O,X
TSLIJZO,O,O,O,O,O,X,O,X
TSLIJOZ,O,O,X,X,O,X,O,X
TSLIZJO,X,O,O,O,O,O,O,X
TSLIZOJ,X,O,O,O,O,O,O,X
TSLIOJZ,O,O,X,X,O,X,O,X
TSLIOZJ,O,O,O,O,O,O,O,X
TSLJIZO,O,O,O,O,O,X,X,X
TSLJIOZ,O,O,X,X,O,X,X,X
TSLJZIO,O,O,O,O,O,X,X,X
TSLJZOI,O,O,O,O,X,X,X,X
TSLJOIZ,O,O,X,X,O,X,X,X
TSLJOZI,O,O,O,O,O,X,X,X
TSLZIJO,X,O,O,O,O,O,X,X
TSLZIOJ,X,O,O,O,O,O,X,X
TSLZJIO,O,O,O,O,O,O,X,X
TSLZJOI,O,O,O,O,X,O,X,X
TSLZOIJ,O,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,O,O,X,X
TSLOIJZ,O,O,X,X,O,X,O,X
TSLOIZJ,O,O,O,O,O,X,O,X
TSLOJIZ,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,O,O,X,X,X
