sequence,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8KeCAJvhFlhB3iB?5oBTlBerB8sB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhFRhBGjB?FmB6sB/tB0qB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8KefFJvhF6lB0hB?5oBerBznBlsB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhFWmB3iB?5oB8sBlqBirB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhF0hBeoB?5oBlqBfrB6sB
ITLOSZJ,X,O,X,X,X
ITLOZJS,X,X,X,O,X
ITLOZSJ,O,O,X,O,X
ITJLSZO,O,X,X,X,O
ITJLSOZ,X,X,X,X,O
ITJLZSO,O,X,X,O,O
ITJLZOS,O,X,X,O,O
ITJLOSZ,O,X,X,X,O
ITJLOZS,O,X,X,O,O
ITJSLZO,O,X,O,X,O
ITJSLOZ,X,O,O,X,O
ITJSZLO,O,X,O,O,O
ITJSZOL,O,O,O,O,O
ITJSOLZ,O,O,O,X,O
ITJSOZL,O,O,O,O,O
ITJZLSO,O,X,X,O,O
ITJZLOS,O,X,X,O,O
ITJZSLO,O,X,O,O,O
ITJZSOL,O,X,O,O,O
ITJZOLS,O,X,X,O,O
ITJZOSL,O,X,O,O,O
ITJOLSZ,O,X,X,X,O
ITJOLZS,O,X,X,O,O
ITJOSLZ,O,O,O,X,O
ITJOSZL,O,O,O,O,O
ITJOZLS,O,X,X,O,O
ITJOZSL,O,X,O,O,O
ITSLJZO,X,O,O,X,X
ITSLJOZ,X,O,O,X,X
ITSLZJO,O,O,X,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,X,O,O,X,X
ITSLOZJ,X,O,X,X,X
ITSJLZO,O,X,O,X,O
ITSJLOZ,X,O,O,X,O
ITSJZLO,O,X,O,O,O
ITSJZOL,O,O,O,O,O
ITSJOLZ,O,O,O,X,O
ITSJOZL,O,O,O,O,O
ITSZLJO,O,X,X,O,X
ITSZLOJ,O,X,X,O,X
ITSZJLO,O,X,X,O,X
ITSZJOL,O,O,X,O,X
ITSZOLJ,O,X,X,O,X
ITSZOJL,O,O,X,O,X
ITSOLJZ,X,O,O,X,X
ITSOLZJ,X,O,X,X,X
ITSOJLZ,X,O,O,X,O
ITSOJZL,X,O,O,O,O
ITSOZLJ,X,X,X,O,X
ITSOZJL,X,O,X,O,X
ITZLJSO,O,X,X,O,X
ITZLJOS,O,X,X,O,X
ITZLSJO,O,X,X,O,X
ITZLSOJ,O,X,X,O,X
ITZLOJS,X,X,X,O,X
ITZLOSJ,O,X,X,O,X
ITZJLSO,O,X,X,O,O
ITZJLOS,O,X,X,O,O
ITZJSLO,O,X,O,O,O
ITZJSOL,O,X,O,O,O
ITZJOLS,O,X,X,O,O
ITZJOSL,O,X,O,O,O
ITZSLJO,O,X,X,O,X
ITZSLOJ,O,X,X,O,X
ITZSJLO,O,X,X,O,X
ITZSJOL,O,O,X,O,X
ITZSOLJ,O,X,X,O,X
ITZSOJL,O,O,X,O,X
ITZOLJS,O,X,X,O,X
ITZOLSJ,O,X,X,O,X
ITZOJLS,O,X,X,O,O
ITZOJSL,O,X,O,O,O
ITZOSLJ,O,X,X,O,X
ITZOSJL,O,O,X,O,X
ITOLJSZ,O,O,X,X,O
ITOLJZS,O,X,X,O,O
ITOLSJZ,X,O,X,X,X
ITOLSZJ,X,O,X,X,X
ITOLZJS,O,X,X,O,X
ITOLZSJ,O,O,X,O,X
ITOJLSZ,O,X,X,X,O
ITOJLZS,O,X,X,O,O
ITOJSLZ,O,O,O,X,O
ITOJSZL,O,O,O,O,O
ITOJZLS,O,X,X,O,O
ITOJZSL,O,X,O,O,O
ITOSLJZ,X,O,O,X,X
ITOSLZJ,X,O,X,X,X
ITOSJLZ,X,O,O,X,O
ITOSJZL,X,O,O,O,O
ITOSZLJ,X,X,X,O,X
ITOSZJL,X,O,X,O,X
ITOZLJS,O,X,X,O,X
ITOZLSJ,O,X,X,O,X
ITOZJLS,O,X,X,O,O
ITOZJSL,O,X,O,O,O
ITOZSLJ,O,X,X,O,X
ITOZSJL,O,O,X,O,X
ILTJSZO,O,O,X,X,O
ILTJSOZ,X,O,X,X,O
ILTJZSO,O,X,X,O,O
ILTJZOS,O,X,X,O,O
ILTJOSZ,O,O,X,X,O
ILTJOZS,O,X,X,O,O
ILTSJZO,X,O,X,X,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,O,O,X,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,X,O,X,X,X
ILTSOZJ,X,O,X,X,X
ILTZJSO,O,X,X,O,X
ILTZJOS,O,X,X,O,X
ILTZSJO,O,O,X,O,X
ILTZSOJ,O,O,X,O,X
ILTZOJS,X,X,X,O,X
ILTZOSJ,O,O,X,O,X
ILTOJSZ,X,O,X,X,O
ILTOJZS,X,X,X,O,O
ILTOSJZ,X,O,X,X,X
ILTOSZJ,X,O,X,X,X
ILTOZJS,X,X,X,O,X
ILTOZSJ,O,O,X,O,X
ILJTSZO,O,O,X,X,O
ILJTSOZ,X,O,X,X,O
ILJTZSO,O,X,X,X,O
ILJTZOS,O,X,X,X,O
ILJTOSZ,O,O,X,X,O
ILJTOZS,O,X,X,X,O
ILJSTZO,O,O,O,X,X
ILJSTOZ,X,O,O,X,X
ILJSZTO,O,O,O,X,X
ILJSZOT,O,O,O,X,X
ILJSOTZ,X,O,O,X,X
ILJSOZT,X,O,O,X,X
ILJZTSO,O,X,X,X,X
ILJZTOS,O,X,X,X,X
ILJZSTO,O,O,O,X,X
ILJZSOT,O,O,O,X,X
ILJZOTS,O,X,X,X,X
ILJZOST,O,O,O,X,X
ILJOTSZ,O,X,X,X,O
ILJOTZS,O,X,X,X,O
ILJOSTZ,O,O,O,X,X
ILJOSZT,O,O,O,X,X
ILJOZTS,O,X,X,X,X
ILJOZST,O,X,O,X,X
ILSTJZO,X,O,O,X,X
ILSTJOZ,X,O,O,X,X
ILSTZJO,O,O,X,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,X,O,O,X,X
ILSTOZJ,X,O,X,X,X
ILSJTZO,O,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,O,O,O,X,X
ILSJZOT,O,O,O,X,X
ILSJOTZ,X,O,O,X,X
ILSJOZT,X,O,O,X,X
ILSZTJO,O,O,X,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,O,O,X,X
ILSZJOT,O,O,O,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,O,O,X,X
ILSOTJZ,X,O,O,X,X
ILSOTZJ,X,O,X,X,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,X,O,O,X,X
ILSOZTJ,X,O,X,X,X
ILSOZJT,X,O,O,X,X
ILZTJSO,O,O,X,O,X
ILZTJOS,O,O,X,O,X
ILZTSJO,O,O,X,O,X
ILZTSOJ,O,O,X,O,X
ILZTOJS,X,O,X,O,X
ILZTOSJ,O,O,X,O,X
ILZJTSO,O,X,X,X,X
ILZJTOS,O,X,X,X,X
ILZJSTO,O,O,O,X,X
ILZJSOT,O,O,O,X,X
ILZJOTS,O,X,X,X,X
ILZJOST,O,O,O,X,X
ILZSTJO,O,O,X,O,X
ILZSTOJ,O,O,X,O,X
ILZSJTO,O,O,X,X,X
ILZSJOT,O,O,X,X,X
ILZSOTJ,O,O,X,O,X
ILZSOJT,O,O,X,X,X
ILZOTJS,O,O,X,O,X
ILZOTSJ,O,O,X,O,X
ILZOJTS,O,X,X,X,X
ILZOJST,O,O,O,X,X
ILZOSTJ,O,O,X,O,X
ILZOSJT,O,O,X,X,X
ILOTJSZ,O,O,X,X,O
ILOTJZS,O,X,X,O,O
ILOTSJZ,X,O,X,X,X
ILOTSZJ,X,O,X,X,X
ILOTZJS,O,X,X,O,X
ILOTZSJ,O,O,X,O,X
ILOJTSZ,O,X,X,X,O
ILOJTZS,O,X,X,X,O
ILOJSTZ,O,O,O,X,X
ILOJSZT,O,O,O,X,X
ILOJZTS,O,X,X,X,X
ILOJZST,O,X,O,X,X
ILOSTJZ,X,O,O,X,X
ILOSTZJ,X,O,X,X,X
ILOSJTZ,O,O,O,X,X
ILOSJZT,O,O,O,X,X
ILOSZTJ,O,O,X,X,X
ILOSZJT,O,O,O,X,X
ILOZTJS,O,O,X,O,X
ILOZTSJ,O,O,X,O,X
ILOZJTS,O,X,X,X,X
ILOZJST,O,O,O,X,X
ILOZSTJ,O,O,X,O,X
ILOZSJT,O,O,X,X,X
IJTLSZO,O,X,X,X,O
IJTLSOZ,X,X,X,X,O
IJTLZSO,O,X,X,O,O
IJTLZOS,O,X,X,O,O
IJTLOSZ,O,X,X,X,O
IJTLOZS,O,X,X,O,O
IJTSLZO,O,X,O,X,O
IJTSLOZ,X,X,O,X,O
IJTSZLO,O,X,O,O,O
IJTSZOL,O,X,O,O,O
IJTSOLZ,O,X,O,X,O
IJTSOZL,O,X,O,O,O
IJTZLSO,O,X,X,O,O
IJTZLOS,O,X,X,O,O
IJTZSLO,O,X,O,O,O
IJTZSOL,O,X,O,O,O
IJTZOLS,O,X,X,O,O
IJTZOSL,O,X,O,O,O
IJTOLSZ,O,X,X,X,O
IJTOLZS,O,X,X,O,O
IJTOSLZ,O,X,O,X,O
IJTOSZL,O,X,O,O,O
IJTOZLS,O,X,X,O,O
IJTOZSL,O,X,O,O,O
IJLTSZO,O,X,X,X,O
IJLTSOZ,X,X,X,X,O
IJLTZSO,O,X,X,X,O
IJLTZOS,O,X,X,X,O
IJLTOSZ,O,X,X,X,O
IJLTOZS,O,X,X,X,O
IJLSTZO,O,X,O,X,X
IJLSTOZ,X,X,O,X,X
IJLSZTO,O,X,O,X,X
IJLSZOT,O,X,O,X,X
IJLSOTZ,X,X,O,X,X
IJLSOZT,X,X,O,X,X
IJLZTSO,O,X,X,X,X
IJLZTOS,O,X,X,X,X
IJLZSTO,O,X,O,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,O,X,X,X,X
IJLZOST,O,X,O,X,X
IJLOTSZ,O,X,X,X,O
IJLOTZS,O,X,X,X,O
IJLOSTZ,O,X,O,X,X
IJLOSZT,O,X,O,X,X
IJLOZTS,O,X,X,X,X
IJLOZST,O,X,O,X,X
IJSTLZO,O,X,O,X,O
IJSTLOZ,X,X,O,X,O
IJSTZLO,O,X,O,X,O
IJSTZOL,O,X,O,X,O
IJSTOLZ,O,X,O,X,O
IJSTOZL,O,X,O,X,O
IJSLTZO,O,X,O,X,X
IJSLTOZ,X,X,O,X,X
IJSLZTO,O,X,O,X,X
IJSLZOT,O,X,O,X,X
IJSLOTZ,X,X,O,X,X
IJSLOZT,X,X,O,X,X
IJSZTLO,O,X,O,X,X
IJSZTOL,O,X,O,X,X
IJSZLTO,O,X,O,X,X
IJSZLOT,O,X,O,X,X
IJSZOTL,O,X,O,X,X
IJSZOLT,O,X,O,X,X
IJSOTLZ,O,X,O,X,O
IJSOTZL,O,X,O,X,O
IJSOLTZ,O,X,O,X,X
IJSOLZT,O,X,O,X,X
IJSOZTL,O,X,O,X,X
IJSOZLT,O,X,O,X,X
IJZTLSO,O,X,X,O,O
IJZTLOS,O,X,X,O,O
IJZTSLO,O,X,O,O,O
IJZTSOL,O,X,O,O,O
IJZTOLS,O,X,X,O,O
IJZTOSL,O,X,O,O,O
IJZLTSO,O,X,X,X,X
IJZLTOS,O,X,X,X,X
IJZLSTO,O,X,O,X,X
IJZLSOT,O,X,O,X,X
IJZLOTS,O,X,X,X,X
IJZLOST,O,X,O,X,X
IJZSTLO,O,X,O,O,X
IJZSTOL,O,X,O,O,X
IJZSLTO,O,X,O,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,O,X,O,O,X
IJZSOLT,O,X,O,X,X
IJZOTLS,O,X,X,O,O
IJZOTSL,O,X,O,O,O
IJZOLTS,O,X,X,X,X
IJZOLST,O,X,O,X,X
IJZOSTL,O,X,O,O,X
IJZOSLT,O,X,O,X,X
IJOTLSZ,O,X,X,X,O
IJOTLZS,O,X,X,O,O
IJOTSLZ,O,X,O,X,O
IJOTSZL,O,X,O,O,O
IJOTZLS,O,X,X,O,O
IJOTZSL,O,X,O,O,O
IJOLTSZ,O,X,X,X,O
IJOLTZS,O,X,X,X,O
IJOLSTZ,O,X,O,X,X
IJOLSZT,O,X,O,X,X
IJOLZTS,O,X,X,X,X
IJOLZST,O,X,O,X,X
IJOSTLZ,O,X,O,X,O
IJOSTZL,O,X,O,X,O
IJOSLTZ,O,X,O,X,X
IJOSLZT,O,X,O,X,X
IJOSZTL,O,X,O,X,X
IJOSZLT,O,X,O,X,X
IJOZTLS,O,X,X,O,O
IJOZTSL,O,X,O,O,O
IJOZLTS,O,X,X,X,X
IJOZLST,O,X,O,X,X
IJOZSTL,O,X,O,O,X
IJOZSLT,O,X,O,X,X
ISTLJZO,X,O,O,X,X
ISTLJOZ,X,O,O,X,X
ISTLZJO,O,O,X,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,X,O,O,X,X
ISTLOZJ,X,O,X,X,X
ISTJLZO,O,X,O,X,O
ISTJLOZ,X,O,O,X,O
ISTJZLO,O,X,O,O,O
ISTJZOL,O,O,O,O,O
ISTJOLZ,O,O,O,X,O
ISTJOZL,O,O,O,O,O
ISTZLJO,O,X,X,O,X
ISTZLOJ,O,X,X,O,X
ISTZJLO,O,X,X,O,X
ISTZJOL,O,O,X,O,X
ISTZOLJ,O,X,X,O,X
ISTZOJL,O,O,X,O,X
ISTOLJZ,X,O,O,X,X
ISTOLZJ,X,O,X,X,X
ISTOJLZ,X,O,O,X,O
ISTOJZL,X,O,O,O,O
ISTOZLJ,X,X,X,O,X
ISTOZJL,X,O,X,O,X
ISLTJZO,X,O,O,X,X
ISLTJOZ,X,O,O,X,X
ISLTZJO,O,O,X,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,X,O,O,X,X
ISLTOZJ,X,O,X,X,X
ISLJTZO,O,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,O,X,X
ISLJOTZ,X,O,O,X,X
ISLJOZT,X,O,O,X,X
ISLZTJO,O,O,X,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,O,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,O,O,X,X
ISLOTJZ,X,O,O,X,X
ISLOTZJ,X,O,X,X,X
ISLOJTZ,X,O,O,X,X
ISLOJZT,X,O,O,X,X
ISLOZTJ,X,O,X,X,X
ISLOZJT,X,O,O,X,X
ISJTLZO,O,X,O,X,O
ISJTLOZ,X,O,O,X,O
ISJTZLO,O,X,O,X,O
ISJTZOL,O,O,O,X,O
ISJTOLZ,O,O,O,X,O
ISJTOZL,O,O,O,X,O
ISJLTZO,O,X,O,X,X
ISJLTOZ,X,X,O,X,X
ISJLZTO,O,X,O,X,X
ISJLZOT,O,X,O,X,X
ISJLOTZ,X,X,O,X,X
ISJLOZT,X,X,O,X,X
ISJZTLO,O,O,O,X,X
ISJZTOL,O,O,O,X,X
ISJZLTO,O,X,O,X,X
ISJZLOT,O,X,O,X,X
ISJZOTL,O,O,O,X,X
ISJZOLT,O,X,O,X,X
ISJOTLZ,O,O,O,X,O
ISJOTZL,O,O,O,X,O
ISJOLTZ,O,X,O,X,X
ISJOLZT,O,X,O,X,X
ISJOZTL,O,O,O,X,X
ISJOZLT,O,X,O,X,X
ISZTLJO,O,O,X,O,X
ISZTLOJ,O,O,X,O,X
ISZTJLO,O,O,X,O,X
ISZTJOL,O,O,X,O,X
ISZTOLJ,O,O,X,O,X
ISZTOJL,O,O,X,O,X
ISZLTJO,O,O,X,O,X
ISZLTOJ,O,O,X,O,X
ISZLJTO,O,O,O,X,X
ISZLJOT,O,O,O,X,X
ISZLOTJ,O,O,X,O,X
ISZLOJT,O,O,O,X,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,X,O,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,O,O,O,O,X
ISZJOLT,O,X,O,X,X
ISZOTLJ,O,O,X,O,X
ISZOTJL,O,O,X,O,X
ISZOLTJ,O,O,X,O,X
ISZOLJT,O,O,O,X,X
ISZOJTL,O,O,O,O,X
ISZOJLT,O,X,O,X,X
ISOTLJZ,X,O,O,X,X
ISOTLZJ,X,O,X,X,X
ISOTJLZ,X,O,O,X,O
ISOTJZL,X,O,O,O,O
ISOTZLJ,X,X,X,O,X
ISOTZJL,X,O,X,O,X
ISOLTJZ,X,O,O,X,X
ISOLTZJ,X,O,X,X,X
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,O,O,X,X
ISOJTLZ,O,O,O,X,O
ISOJTZL,O,O,O,X,O
ISOJLTZ,O,X,O,X,X
ISOJLZT,O,X,O,X,X
ISOJZTL,O,O,O,X,X
ISOJZLT,O,X,O,X,X
ISOZTLJ,O,O,X,O,X
ISOZTJL,O,O,X,O,X
ISOZLTJ,O,O,X,O,X
ISOZLJT,O,O,O,X,X
ISOZJTL,O,O,O,O,X
ISOZJLT,O,X,O,X,X
IZTLJSO,O,O,X,O,X
IZTLJOS,O,O,X,O,X
IZTLSJO,O,O,X,O,X
IZTLSOJ,O,O,X,O,X
IZTLOJS,X,O,X,O,X
IZTLOSJ,O,O,X,O,X
IZTJLSO,O,X,X,O,O
IZTJLOS,O,X,X,O,O
IZTJSLO,O,O,O,O,O
IZTJSOL,O,O,O,O,O
IZTJOLS,O,X,X,O,O
IZTJOSL,O,O,O,O,O
IZTSLJO,O,O,X,O,X
IZTSLOJ,O,O,X,O,X
IZTSJLO,O,O,X,O,X
IZTSJOL,O,O,X,O,X
IZTSOLJ,O,O,X,O,X
IZTSOJL,O,O,X,O,X
IZTOLJS,O,O,X,O,X
IZTOLSJ,O,O,X,O,X
IZTOJLS,O,X,X,O,O
IZTOJSL,O,O,O,O,O
IZTOSLJ,O,O,X,O,X
IZTOSJL,O,O,X,O,X
IZLTJSO,O,O,X,O,X
IZLTJOS,O,O,X,O,X
IZLTSJO,O,O,X,O,X
IZLTSOJ,O,O,X,O,X
IZLTOJS,X,O,X,O,X
IZLTOSJ,O,O,X,O,X
IZLJTSO,O,X,X,X,X
IZLJTOS,O,X,X,X,X
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,O,X,X
IZLJOTS,O,X,X,X,X
IZLJOST,O,O,O,X,X
IZLSTJO,O,O,X,O,X
IZLSTOJ,O,O,X,O,X
IZLSJTO,O,O,X,X,X
IZLSJOT,O,O,X,X,X
IZLSOTJ,O,O,X,O,X
IZLSOJT,O,O,X,X,X
IZLOTJS,O,O,X,O,X
IZLOTSJ,O,O,X,O,X
IZLOJTS,O,X,X,X,X
IZLOJST,O,O,O,X,X
IZLOSTJ,O,O,X,O,X
IZLOSJT,O,O,X,X,X
IZJTLSO,O,X,X,O,O
IZJTLOS,O,X,X,O,O
IZJTSLO,O,X,O,O,O
IZJTSOL,O,X,O,O,O
IZJTOLS,O,X,X,O,O
IZJTOSL,O,X,O,O,O
IZJLTSO,O,X,X,X,X
IZJLTOS,O,X,X,X,X
IZJLSTO,O,X,O,X,X
IZJLSOT,O,X,O,X,X
IZJLOTS,O,X,X,X,X
IZJLOST,O,X,O,X,X
IZJSTLO,O,X,O,O,X
IZJSTOL,O,X,O,O,X
IZJSLTO,O,X,O,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,O,X,O,O,X
IZJSOLT,O,X,O,X,X
IZJOTLS,O,X,X,O,O
IZJOTSL,O,X,O,O,O
IZJOLTS,O,X,X,X,X
IZJOLST,O,X,O,X,X
IZJOSTL,O,X,O,O,X
IZJOSLT,O,X,O,X,X
IZSTLJO,O,O,X,O,X
IZSTLOJ,O,O,X,O,X
IZSTJLO,O,O,X,O,X
IZSTJOL,O,O,X,O,X
IZSTOLJ,O,O,X,O,X
IZSTOJL,O,O,X,O,X
IZSLTJO,O,O,X,O,X
IZSLTOJ,O,O,X,O,X
IZSLJTO,O,O,O,X,X
IZSLJOT,O,O,O,X,X
IZSLOTJ,O,O,X,O,X
IZSLOJT,O,O,O,X,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,X,O,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,O,O,O,O,X
IZSJOLT,O,X,O,X,X
IZSOTLJ,O,O,X,O,X
IZSOTJL,O,O,X,O,X
IZSOLTJ,O,O,X,O,X
IZSOLJT,O,O,O,X,X
IZSOJTL,O,O,O,O,X
IZSOJLT,O,X,O,X,X
IZOTLJS,O,O,X,O,X
IZOTLSJ,O,O,X,O,X
IZOTJLS,O,X,X,O,O
IZOTJSL,O,O,O,O,O
IZOTSLJ,O,O,X,O,X
IZOTSJL,O,O,X,O,X
IZOLTJS,O,O,X,O,X
IZOLTSJ,O,O,X,O,X
IZOLJTS,O,X,X,X,X
IZOLJST,O,O,O,X,X
IZOLSTJ,O,O,X,O,X
IZOLSJT,O,O,X,X,X
IZOJTLS,O,X,X,O,O
IZOJTSL,O,X,O,O,O
IZOJLTS,O,X,X,X,X
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,O,O,X
IZOJSLT,O,X,O,X,X
IZOSTLJ,O,O,X,O,X
IZOSTJL,O,O,X,O,X
IZOSLTJ,O,O,X,O,X
IZOSLJT,O,O,O,X,X
IZOSJTL,O,O,O,O,X
IZOSJLT,O,X,O,X,X
IOTLJSZ,O,O,X,X,O
IOTLJZS,O,X,X,O,O
IOTLSJZ,X,O,X,X,X
IOTLSZJ,X,O,X,X,X
IOTLZJS,O,X,X,O,X
IOTLZSJ,O,O,X,O,X
IOTJLSZ,O,X,X,X,O
IOTJLZS,O,X,X,O,O
IOTJSLZ,O,O,O,X,O
IOTJSZL,O,O,O,O,O
IOTJZLS,O,X,X,O,O
IOTJZSL,O,X,O,O,O
IOTSLJZ,X,O,O,X,X
IOTSLZJ,X,O,X,X,X
IOTSJLZ,X,O,O,X,O
IOTSJZL,X,O,O,O,O
IOTSZLJ,X,X,X,O,X
IOTSZJL,X,O,X,O,X
IOTZLJS,O,X,X,O,X
IOTZLSJ,O,X,X,O,X
IOTZJLS,O,X,X,O,O
IOTZJSL,O,X,O,O,O
IOTZSLJ,O,X,X,O,X
IOTZSJL,O,O,X,O,X
IOLTJSZ,O,O,X,X,O
IOLTJZS,O,X,X,O,O
IOLTSJZ,X,O,X,X,X
IOLTSZJ,X,O,X,X,X
IOLTZJS,O,X,X,O,X
IOLTZSJ,O,O,X,O,X
IOLJTSZ,O,X,X,X,O
IOLJTZS,O,X,X,X,O
IOLJSTZ,O,O,O,X,X
IOLJSZT,O,O,O,X,X
IOLJZTS,O,X,X,X,X
IOLJZST,O,X,O,X,X
IOLSTJZ,X,O,O,X,X
IOLSTZJ,X,O,X,X,X
IOLSJTZ,O,O,O,X,X
IOLSJZT,O,O,O,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,O,X,X
IOLZTJS,O,O,X,O,X
IOLZTSJ,O,O,X,O,X
IOLZJTS,O,X,X,X,X
IOLZJST,O,O,O,X,X
IOLZSTJ,O,O,X,O,X
IOLZSJT,O,O,X,X,X
IOJTLSZ,O,X,X,X,O
IOJTLZS,O,X,X,O,O
IOJTSLZ,O,X,O,X,O
IOJTSZL,O,X,O,O,O
IOJTZLS,O,X,X,O,O
IOJTZSL,O,X,O,O,O
IOJLTSZ,O,X,X,X,O
IOJLTZS,O,X,X,X,O
IOJLSTZ,O,X,O,X,X
IOJLSZT,O,X,O,X,X
IOJLZTS,O,X,X,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,O,X,O
IOJSTZL,O,X,O,X,O
IOJSLTZ,O,X,O,X,X
IOJSLZT,O,X,O,X,X
IOJSZTL,O,X,O,X,X
IOJSZLT,O,X,O,X,X
IOJZTLS,O,X,X,O,O
IOJZTSL,O,X,O,O,O
IOJZLTS,O,X,X,X,X
IOJZLST,O,X,O,X,X
IOJZSTL,O,X,O,O,X
IOJZSLT,O,X,O,X,X
IOSTLJZ,X,O,O,X,X
IOSTLZJ,X,O,X,X,X
IOSTJLZ,X,O,O,X,O
IOSTJZL,X,O,O,O,O
IOSTZLJ,X,X,X,O,X
IOSTZJL,X,O,X,O,X
IOSLTJZ,X,O,O,X,X
IOSLTZJ,X,O,X,X,X
IOSLJTZ,O,O,O,X,X
IOSLJZT,O,O,O,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,O,O,X,X
IOSJTLZ,O,O,O,X,O
IOSJTZL,O,O,O,X,O
IOSJLTZ,O,X,O,X,X
IOSJLZT,O,X,O,X,X
IOSJZTL,O,O,O,X,X
IOSJZLT,O,X,O,X,X
IOSZTLJ,O,O,X,O,X
IOSZTJL,O,O,X,O,X
IOSZLTJ,O,O,X,O,X
IOSZLJT,O,O,O,X,X
IOSZJTL,O,O,O,O,X
IOSZJLT,O,X,O,X,X
IOZTLJS,O,O,X,O,X
IOZTLSJ,O,O,X,O,X
IOZTJLS,O,X,X,O,O
IOZTJSL,O,O,O,O,O
IOZTSLJ,O,O,X,O,X
IOZTSJL,O,O,X,O,X
IOZLTJS,O,O,X,O,X
IOZLTSJ,O,O,X,O,X
IOZLJTS,O,X,X,X,X
IOZLJST,O,O,O,X,X
IOZLSTJ,O,O,X,O,X
IOZLSJT,O,O,X,X,X
IOZJTLS,O,X,X,O,O
IOZJTSL,O,X,O,O,O
IOZJLTS,O,X,X,X,X
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,O,O,X
IOZJSLT,O,X,O,X,X
IOZSTLJ,O,O,X,O,X
IOZSTJL,O,O,X,O,X
IOZSLTJ,O,O,X,O,X
IOZSLJT,O,O,O,X,X
IOZSJTL,O,O,O,O,X
IOZSJLT,O,X,O,X,X
LTIJSZO,O,O,X,X,O
LTIJSOZ,X,O,X,X,O
LTIJZSO,O,X,X,O,O
LTIJZOS,O,X,X,O,O
LTIJOSZ,O,O,X,X,O
LTIJOZS,O,X,X,O,O
LTISJZO,X,O,X,X,X
LTISJOZ,X,O,X,X,X
LTISZJO,O,O,X,X,X
LTISZOJ,O,O,X,X,X
LTISOJZ,X,O,X,X,X
LTISOZJ,X,O,X,X,X
LTIZJSO,O,X,X,O,X
LTIZJOS,O,X,X,O,X
LTIZSJO,O,O,X,O,X
LTIZSOJ,O,O,X,O,X
LTIZOJS,X,X,X,O,X
LTIZOSJ,O,O,X,O,X
LTIOJSZ,X,O,X,X,O
LTIOJZS,X,X,X,O,O
LTIOSJZ,X,O,X,X,X
LTIOSZJ,X,O,X,X,X
LTIOZJS,X,X,X,O,X
LTIOZSJ,O,O,X,O,X
LTJISZO,O,O,X,X,O
LTJISOZ,X,O,X,X,O
LTJIZSO,O,X,X,O,O
LTJIZOS,O,X,X,O,O
LTJIOSZ,O,O,X,X,O
LTJIOZS,O,X,X,O,O
LTJSIZO,O,O,X,X,X
LTJSIOZ,X,O,X,X,X
LTJSZIO,O,O,X,X,X
LTJSZOI,O,O,X,X,X
LTJSOIZ,X,O,X,X,X
LTJSOZI,X,O,X,X,X
LTJZISO,O,X,X,O,X
LTJZIOS,O,X,X,O,X
LTJZSIO,O,X,X,O,X
LTJZSOI,O,X,X,O,X
LTJZOIS,O,X,X,O,X
LTJZOSI,O,X,X,O,X
LTJOISZ,O,O,X,X,O
LTJOIZS,O,X,X,O,O
LTJOSIZ,O,O,X,X,X
LTJOSZI,O,O,X,X,X
LTJOZIS,O,X,X,O,X
LTJOZSI,O,X,X,O,X
LTSIJZO,X,O,X,X,X
LTSIJOZ,X,O,X,X,X
