sequence,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBfmB6mB0?iBesBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFukB3gB1mB0?iBiqBzrB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBGhBUmBi?nBFqBXsB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFFgB6mB0iBf?qBzlBesB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFXhB0iBzkBa?sBGrBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8Jei/IvhFRhB1nBcpBO?qBXmBzrB
TILJSZO,O,O,X,X,O,X
TILJSOZ,O,O,X,X,O,X
TILJZSO,O,O,O,X,O,O
TILJZOS,O,O,O,X,O,O
TILJOSZ,O,O,X,X,O,X
TILJOZS,O,O,O,X,O,X
TILSJZO,O,O,X,X,O,X
TILSJOZ,O,O,X,X,O,X
TILSZJO,O,O,O,X,O,O
TILSZOJ,O,O,O,X,O,O
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,O,O,X,O,X
TILZJSO,O,O,O,X,O,O
TILZJOS,O,O,O,X,O,O
TILZSJO,X,O,O,X,O,O
TILZSOJ,X,O,O,X,O,O
TILZOJS,O,O,O,X,O,O
TILZOSJ,X,O,O,X,O,O
TILOJSZ,O,O,X,X,O,X
TILOJZS,O,O,O,X,O,X
TILOSJZ,O,O,X,X,X,X
TILOSZJ,O,O,O,X,O,X
TILOZJS,O,O,O,X,O,X
TILOZSJ,X,O,O,X,O,X
TIJLSZO,O,O,X,O,O,X
TIJLSOZ,O,O,X,O,O,X
TIJLZSO,O,O,O,O,O,O
TIJLZOS,O,O,O,O,O,O
TIJLOSZ,O,O,X,O,O,X
TIJLOZS,O,O,O,O,O,X
TIJSLZO,O,X,X,O,X,O
TIJSLOZ,O,X,X,O,X,X
TIJSZLO,O,X,X,O,X,O
TIJSZOL,O,X,X,O,X,O
TIJSOLZ,O,X,X,O,X,X
TIJSOZL,O,X,X,O,X,O
TIJZLSO,O,O,O,O,X,O
TIJZLOS,O,O,O,O,X,O
TIJZSLO,O,X,O,O,X,O
TIJZSOL,O,X,O,O,X,O
TIJZOLS,O,O,O,O,X,O
TIJZOSL,O,O,O,O,X,X
TIJOLSZ,O,O,X,O,O,X
TIJOLZS,O,O,O,O,O,X
TIJOSLZ,O,O,X,O,X,X
TIJOSZL,O,O,X,O,X,X
TIJOZLS,O,O,O,O,X,O
