sequence,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB3iBqrBd?tBmmBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gBmiBdsBf?tB6rBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8Jex/IvhFXhBziBSwBm?sBdsB0pB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB6mB2sBd?tBXsBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRsB8qB+rBN?sBatBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFumB9nBZoBy?wB8qBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRsB/pB+rBN?sBatBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRiB0mBdtBS?vBXsBmqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeCBJvhFRsB/pBOsBd?tBTrBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRiB+rBNsBa?tB/pBUqB
TILJSZO,O,X,O,X,O,O,O,X,X,X
TILJSOZ,O,X,O,X,O,O,O,X,O,X
TILJZSO,O,X,O,X,O,O,O,X,X,X
TILJZOS,O,X,O,X,O,O,O,X,X,X
TILJOSZ,O,X,O,X,O,O,O,X,O,X
TILJOZS,O,X,O,X,O,O,O,X,O,X
TILSJZO,O,X,O,X,O,O,O,X,X,X
TILSJOZ,O,X,O,X,O,O,O,X,O,X
TILSZJO,O,X,X,X,X,X,O,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,O,O,X,O,X
TILSOZJ,O,X,X,X,X,X,X,X,O,X
TILZJSO,O,X,X,X,O,O,O,X,X,X
TILZJOS,O,X,X,X,O,O,O,X,X,X
TILZSJO,O,X,X,X,X,X,O,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,O,O,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,O,O,X,O,X
TILOJZS,O,X,X,X,O,O,O,X,O,X
TILOSJZ,O,X,X,X,O,O,O,X,O,X
TILOSZJ,O,X,X,X,X,X,X,X,O,X
TILOZJS,O,X,X,X,O,O,X,X,O,X
TILOZSJ,O,X,X,X,X,X,X,X,O,X
TIJLSZO,O,X,O,X,O,O,O,X,X,X
TIJLSOZ,O,X,O,X,O,O,O,X,O,X
TIJLZSO,O,X,O,X,O,O,O,X,X,X
TIJLZOS,O,X,O,X,O,O,O,X,X,X
TIJLOSZ,O,X,O,X,O,O,O,X,O,X
TIJLOZS,O,X,O,X,O,O,O,X,O,X
TIJSLZO,O,X,X,X,O,X,O,X,X,X
TIJSLOZ,O,X,X,X,O,X,O,X,O,X
TIJSZLO,O,X,X,X,O,X,O,X,X,X
TIJSZOL,O,X,X,X,O,X,O,X,O,X
TIJSOLZ,O,X,X,X,O,X,O,X,O,X
TIJSOZL,O,X,X,X,O,X,O,X,O,X
TIJZLSO,O,X,X,X,O,X,O,X,X,X
TIJZLOS,O,X,X,X,O,X,O,X,X,X
TIJZSLO,O,X,X,X,O,X,O,X,X,X
TIJZSOL,O,X,X,X,O,X,O,X,O,X
TIJZOLS,O,X,X,X,O,X,O,X,O,X
TIJZOSL,O,X,X,X,O,X,O,X,O,X
TIJOLSZ,O,X,O,X,O,O,O,X,O,X
TIJOLZS,O,X,O,X,O,O,O,X,O,X
TIJOSLZ,O,X,X,X,O,X,O,X,O,X
TIJOSZL,O,X,X,X,O,X,O,X,O,X
TIJOZLS,O,X,X,X,O,X,O,X,O,X
TIJOZSL,O,X,X,X,O,X,O,X,O,X
TISLJZO,O,O,X,X,O,O,O,X,X,X
TISLJOZ,O,O,X,X,O,O,O,X,O,X
TISLZJO,O,O,X,X,X,X,O,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,O,O,O,X,O,X
TISLOZJ,O,O,X,X,X,X,X,X,O,X
TISJLZO,O,O,X,X,O,X,O,X,X,X
TISJLOZ,O,O,X,X,O,X,O,X,O,X
TISJZLO,O,O,X,X,O,X,O,X,X,X
TISJZOL,O,O,X,X,O,X,O,X,O,X
TISJOLZ,O,O,X,X,O,X,O,X,O,X
TISJOZL,O,O,X,X,O,X,O,X,O,X
TISZLJO,O,O,X,X,X,X,O,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,O,X,X,X
TISZJOL,O,O,X,X,X,X,O,X,O,X
TISZOLJ,O,O,X,X,X,X,X,X,O,X
TISZOJL,O,O,X,X,X,X,X,X,O,X
TISOLJZ,O,O,X,X,O,O,O,X,O,X
TISOLZJ,O,O,X,X,X,X,X,X,O,X
TISOJLZ,O,O,X,X,O,X,O,X,O,X
TISOJZL,O,O,X,X,O,X,O,X,O,X
TISOZLJ,O,O,X,X,X,X,X,X,O,X
TISOZJL,O,O,X,X,X,X,X,X,O,X
TIZLJSO,O,X,X,X,O,O,O,X,X,X
TIZLJOS,O,X,X,X,O,O,O,X,X,X
TIZLSJO,O,X,X,X,X,X,O,O,X,X
TIZLSOJ,O,X,X,X,X,X,X,O,X,X
TIZLOJS,O,X,X,X,O,O,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,O,X,X
TIZJLSO,O,X,X,X,O,X,O,X,X,X
TIZJLOS,O,X,X,X,O,X,O,X,X,X
TIZJSLO,O,X,X,X,O,X,O,X,X,X
TIZJSOL,O,X,X,X,O,X,O,X,O,X
TIZJOLS,O,X,X,X,O,X,O,X,O,X
TIZJOSL,O,X,X,X,O,X,O,X,O,X
TIZSLJO,O,O,X,X,X,X,O,O,X,X
TIZSLOJ,O,O,X,X,X,X,X,O,X,X
TIZSJLO,O,O,X,X,X,X,O,O,X,X
TIZSJOL,O,O,X,X,X,X,O,O,O,X
TIZSOLJ,O,O,X,X,X,X,X,O,O,X
TIZSOJL,O,O,X,X,X,X,X,O,O,X
TIZOLJS,O,X,X,X,O,O,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,O,O,X
TIZOJLS,O,X,X,X,O,X,X,X,O,X
TIZOJSL,O,X,X,X,O,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X,O,O,X
TIZOSJL,O,O,X,X,X,X,X,O,O,X
TIOLJSZ,O,X,X,X,O,O,O,X,O,X
TIOLJZS,O,X,X,X,O,O,O,X,O,X
TIOLSJZ,O,X,X,X,O,O,O,X,O,X
TIOLSZJ,O,X,X,X,X,X,X,X,O,X
TIOLZJS,O,X,X,X,O,O,X,X,O,X
TIOLZSJ,O,X,X,X,X,X,X,X,O,X
TIOJLSZ,O,X,X,X,O,O,O,X,O,X
TIOJLZS,O,X,X,X,O,O,O,X,O,X
TIOJSLZ,O,X,X,X,O,X,O,X,O,X
TIOJSZL,O,X,X,X,O,X,O,X,O,X
TIOJZLS,O,X,X,X,O,X,O,X,O,X
TIOJZSL,O,X,X,X,O,X,O,X,O,X
TIOSLJZ,O,O,X,X,O,O,O,X,O,X
TIOSLZJ,O,O,X,X,X,X,X,X,O,X
TIOSJLZ,O,O,X,X,O,X,O,X,O,X
TIOSJZL,O,O,X,X,O,X,O,X,O,X
TIOSZLJ,O,O,X,X,X,X,X,X,O,X
TIOSZJL,O,O,X,X,X,X,X,X,O,X
TIOZLJS,O,X,X,X,O,O,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,O,O,X
TIOZJLS,O,X,X,X,O,X,X,X,O,X
TIOZJSL,O,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,O,X,X,X,X,X,O,O,X
TIOZSJL,O,O,X,X,X,X,X,O,O,X
TLIJSZO,O,X,O,X,X,O,X,X,X,X
TLIJSOZ,O,X,O,X,X,O,X,X,X,X
TLIJZSO,O,X,O,X,X,O,X,X,X,X
TLIJZOS,O,X,O,X,X,O,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X,X,X
TLIJOZS,O,X,O,X,X,O,X,X,X,X
TLISJZO,O,X,O,X,X,O,X,X,X,X
TLISJOZ,O,X,O,X,X,O,X,X,X,X
TLISZJO,O,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,O,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,X,X,O,X,X,X,X
TLIZJOS,O,X,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,O,X,X,X,X
TLIOJZS,O,X,X,X,X,O,X,X,X,X
TLIOSJZ,O,X,X,X,X,O,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,X,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,X
TLJIZSO,X,X,O,X,X,O,X,X,X,X
TLJIZOS,X,X,O,X,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,O,X,X,X,X
TLJIOZS,X,X,O,X,X,O,X,X,X,X
TLJSIZO,X,X,O,X,X,O,X,X,X,X
TLJSIOZ,X,X,O,X,X,O,X,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X,X
TLJSZOI,O,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,O,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,O,X,X,X,X
TLJZIOS,X,X,O,X,X,O,X,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X,X,X
TLJZSOI,O,X,O,X,X,X,X,X,X,X
TLJZOIS,X,X,O,X,X,O,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,O,X,X,X,X
TLJOIZS,X,X,O,X,X,O,X,X,X,X
TLJOSIZ,X,X,O,X,X,O,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,X,O,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,O,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,O,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,X,O,X,X,X,X
TLSJIOZ,X,O,O,X,X,O,X,X,X,X
TLSJZIO,X,O,O,X,X,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,O,X,X,O,X,X,X,X
TLSJOZI,O,O,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,X,X
TLSZJIO,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,X,X,O,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,O,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,O,X,X
TLZISOJ,O,X,X,X,X,X,X,O,X,X
TLZIOJS,O,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O,X,X
TLZJISO,X,X,X,X,X,O,X,X,X,X
TLZJIOS,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,X,X,X,X,O,X,X
TLZJSOI,O,X,X,X,X,X,X,O,X,X
TLZJOIS,X,X,X,X,X,O,X,X,X,X
TLZJOSI,O,X,X,X,X,X,X,O,X,X
TLZSIJO,O,O,X,X,X,X,X,O,X,X
TLZSIOJ,O,O,X,X,X,X,X,O,X,X
TLZSJIO,X,O,X,X,X,X,X,O,X,X
TLZSJOI,O,O,X,X,X,X,X,O,X,X
TLZSOIJ,O,O,X,X,X,X,X,O,X,X
TLZSOJI,O,O,X,X,X,X,X,O,X,X
TLZOIJS,O,X,X,X,X,O,X,X,X,X
TLZOISJ,O,X,X,X,X,X,X,O,X,X
TLZOJIS,X,X,X,X,X,O,X,X,X,X
TLZOJSI,O,X,X,X,X,X,X,O,X,X
TLZOSIJ,O,O,X,X,X,X,X,O,X,X
