sequence,v115@BhA8GeC8FeB8EeB8AeA8EeC8JeZEJvhFCgBFiBTjB+?rBcsB3qB,v115@BhA8GeC8FeB8EeB8AeA8EeC8JeZEJvhFCgBzhBGjB3?nB1vB0rB,v115@BhA8GeC8FeB8EeB8AeA8EeC8JeZEJvhFCgBGiBTjBU?nB3qB1wB
TILJSZO,X,O,X
TILJSOZ,X,O,X
TILJZSO,X,O,X
TILJZOS,X,O,X
TILJOSZ,X,X,X
TILJOZS,X,X,X
TILSJZO,X,O,X
TILSJOZ,X,O,X
TILSZJO,X,O,X
TILSZOJ,X,O,X
TILSOJZ,X,O,X
TILSOZJ,X,X,X
TILZJSO,X,O,X
TILZJOS,X,O,O
TILZSJO,X,O,X
TILZSOJ,X,O,X
TILZOJS,X,O,O
TILZOSJ,X,X,X
TILOJSZ,X,X,X
TILOJZS,X,X,X
TILOSJZ,X,X,X
TILOSZJ,X,X,X
TILOZJS,X,X,O
TILOZSJ,X,X,X
TIJLSZO,X,O,X
TIJLSOZ,X,O,X
TIJLZSO,X,O,X
TIJLZOS,X,O,X
TIJLOSZ,X,X,X
TIJLOZS,X,X,X
TIJSLZO,X,O,X
TIJSLOZ,X,O,X
TIJSZLO,X,O,X
TIJSZOL,X,O,X
TIJSOLZ,X,O,X
TIJSOZL,X,X,X
TIJZLSO,X,O,X
TIJZLOS,X,O,X
TIJZSLO,X,O,X
TIJZSOL,X,O,X
TIJZOLS,X,O,X
TIJZOSL,X,X,X
TIJOLSZ,X,X,X
TIJOLZS,X,X,X
TIJOSLZ,X,X,X
TIJOSZL,X,X,X
TIJOZLS,X,X,X
TIJOZSL,X,X,X
TISLJZO,X,O,X
TISLJOZ,X,O,X
TISLZJO,X,O,X
TISLZOJ,X,O,X
TISLOJZ,X,O,X
TISLOZJ,X,X,X
TISJLZO,X,O,X
TISJLOZ,X,O,X
TISJZLO,X,O,X
TISJZOL,X,O,X
TISJOLZ,X,O,X
TISJOZL,X,X,X
TISZLJO,X,O,X
TISZLOJ,X,O,X
TISZJLO,X,O,X
TISZJOL,X,O,X
TISZOLJ,X,O,X
TISZOJL,X,O,X
TISOLJZ,X,O,X
TISOLZJ,X,X,X
TISOJLZ,X,O,X
TISOJZL,X,X,X
TISOZLJ,X,X,X
TISOZJL,X,X,X
TIZLJSO,X,O,X
TIZLJOS,X,O,O
TIZLSJO,X,O,X
TIZLSOJ,X,O,X
TIZLOJS,X,O,O
