sequence,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFzfBfmBenBF?jB0qB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBFjBz?mBimBWwB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBenBF?jBzqB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFWlBzhBFjB8?qBilB3rB
TILJSZO,X,O,X,X
TILJSOZ,X,O,O,X
TILJZSO,O,X,X,O
TILJZOS,O,X,X,X
TILJOSZ,X,O,O,X
TILJOZS,O,X,X,X
TILSJZO,X,O,X,X
TILSJOZ,X,O,O,X
TILSZJO,X,O,X,O
TILSZOJ,X,O,X,O
TILSOJZ,X,O,O,X
TILSOZJ,X,O,O,O
TILZJSO,O,X,X,O
TILZJOS,O,X,X,X
TILZSJO,O,X,X,O
TILZSOJ,O,X,X,O
TILZOJS,O,X,X,X
TILZOSJ,O,X,X,X
TILOJSZ,X,X,O,X
TILOJZS,O,X,X,X
TILOSJZ,X,O,O,X
TILOSZJ,X,O,O,X
TILOZJS,O,X,X,X
TILOZSJ,O,X,X,X
TIJLSZO,X,O,X,X
TIJLSOZ,X,O,O,X
TIJLZSO,O,X,X,O
TIJLZOS,O,X,X,X
TIJLOSZ,X,O,O,X
TIJLOZS,O,X,X,X
TIJSLZO,X,O,X,X
TIJSLOZ,X,O,O,X
TIJSZLO,O,O,X,O
TIJSZOL,O,O,O,O
TIJSOLZ,X,O,O,X
TIJSOZL,O,O,O,O
TIJZLSO,O,X,X,O
TIJZLOS,O,X,X,X
TIJZSLO,O,O,X,O
TIJZSOL,O,O,O,O
TIJZOLS,O,X,X,X
TIJZOSL,O,O,O,O
TIJOLSZ,X,O,O,X
TIJOLZS,O,X,X,X
TIJOSLZ,X,O,O,X
TIJOSZL,O,O,O,X
TIJOZLS,O,X,X,X
TIJOZSL,O,O,O,O
TISLJZO,X,O,X,X
TISLJOZ,X,O,O,X
TISLZJO,X,O,X,O
TISLZOJ,X,O,X,O
TISLOJZ,X,O,O,X
TISLOZJ,X,O,O,O
TISJLZO,X,O,X,X
TISJLOZ,X,O,O,X
TISJZLO,O,O,X,O
TISJZOL,O,O,O,O
TISJOLZ,X,O,O,X
TISJOZL,O,O,O,O
TISZLJO,O,O,X,O
TISZLOJ,O,O,X,O
TISZJLO,O,O,X,O
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,X,O,O,X
TISOLZJ,X,O,O,O
TISOJLZ,X,O,O,X
TISOJZL,O,O,O,O
TISOZLJ,O,O,O,O
TISOZJL,O,O,O,O
TIZLJSO,O,X,X,O
TIZLJOS,O,X,X,X
TIZLSJO,O,X,X,O
TIZLSOJ,O,X,X,O
TIZLOJS,O,X,X,X
TIZLOSJ,O,X,X,X
TIZJLSO,O,X,X,O
TIZJLOS,O,X,X,X
TIZJSLO,O,O,X,O
TIZJSOL,O,O,O,O
TIZJOLS,O,X,X,X
TIZJOSL,O,O,O,O
TIZSLJO,O,O,X,O
TIZSLOJ,O,O,X,O
TIZSJLO,O,O,X,O
TIZSJOL,O,O,O,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,O,X,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,O,X,X,X
TIZOJSL,O,X,O,O
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,X,X,O,X
TIOLJZS,O,X,X,X
TIOLSJZ,X,O,O,X
TIOLSZJ,X,O,O,X
TIOLZJS,O,X,X,X
TIOLZSJ,O,X,X,X
TIOJLSZ,X,O,O,X
TIOJLZS,O,X,X,X
TIOJSLZ,X,O,O,X
TIOJSZL,O,O,O,X
TIOJZLS,O,X,X,X
TIOJZSL,O,O,O,O
TIOSLJZ,X,O,O,X
TIOSLZJ,X,O,O,O
TIOSJLZ,X,O,O,X
TIOSJZL,O,O,O,O
TIOSZLJ,O,O,O,O
TIOSZJL,O,O,O,O
TIOZLJS,O,X,X,X
TIOZLSJ,O,X,X,X
TIOZJLS,O,X,X,X
TIOZJSL,O,X,O,O
TIOZSLJ,O,O,O,O
TIOZSJL,O,O,O,O
TLIJSZO,X,O,X,X
TLIJSOZ,X,O,O,X
TLIJZSO,O,X,X,O
