sequence,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBcmBZoB6?sBXnBWwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhF6lB/mBRiBm?nBVwB0sB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFxgBqqB/rBF?nB8sBmsB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFVmBGiBZoB/?sB0lBSwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBWnBZoB8?qB6sB3rB
ITLOZSJ,X,O,O,O,X
ITJLSZO,O,X,X,X,X
ITJLSOZ,O,X,X,X,X
ITJLZSO,O,X,X,X,X
ITJLZOS,O,X,X,X,X
ITJLOSZ,O,X,X,X,X
ITJLOZS,O,X,X,X,X
ITJSLZO,O,X,X,X,X
ITJSLOZ,O,X,X,X,X
ITJSZLO,O,X,X,X,X
ITJSZOL,O,X,X,X,X
ITJSOLZ,O,X,X,X,X
ITJSOZL,O,X,X,X,X
ITJZLSO,O,X,X,X,X
ITJZLOS,O,X,X,X,X
ITJZSLO,O,X,X,X,X
ITJZSOL,O,X,X,X,X
ITJZOLS,O,X,X,X,X
ITJZOSL,O,X,X,X,X
ITJOLSZ,O,X,X,X,X
ITJOLZS,O,X,X,X,X
ITJOSLZ,O,X,X,X,X
ITJOSZL,O,X,X,X,X
ITJOZLS,O,X,X,X,X
ITJOZSL,O,X,X,X,X
ITSLJZO,O,X,X,O,X
ITSLJOZ,O,O,X,O,X
ITSLZJO,X,O,X,O,X
ITSLZOJ,X,O,X,O,X
ITSLOJZ,O,O,X,O,X
ITSLOZJ,X,O,X,O,X
ITSJLZO,O,X,X,O,X
ITSJLOZ,O,O,X,O,X
ITSJZLO,O,X,X,X,O
ITSJZOL,O,X,X,X,O
ITSJOLZ,O,O,X,O,X
ITSJOZL,O,X,X,X,O
ITSZLJO,X,O,X,X,O
ITSZLOJ,X,O,X,X,O
ITSZJLO,X,O,X,X,O
ITSZJOL,X,O,X,X,O
ITSZOLJ,X,O,X,X,O
ITSZOJL,X,O,X,X,O
ITSOLJZ,O,O,X,O,X
ITSOLZJ,X,O,X,O,X
ITSOJLZ,O,O,X,O,X
ITSOJZL,O,X,X,X,O
ITSOZLJ,X,O,X,X,O
ITSOZJL,X,O,X,X,O
ITZLJSO,O,O,X,X,X
ITZLJOS,O,O,X,X,X
ITZLSJO,X,O,O,X,X
ITZLSOJ,X,O,O,X,X
ITZLOJS,O,O,X,X,X
ITZLOSJ,X,O,O,X,X
ITZJLSO,O,O,X,X,X
ITZJLOS,O,O,X,X,X
ITZJSLO,O,O,X,X,X
ITZJSOL,O,O,X,X,X
ITZJOLS,O,O,X,X,X
ITZJOSL,O,O,X,X,X
ITZSLJO,X,O,X,X,X
ITZSLOJ,X,O,X,X,X
ITZSJLO,X,O,X,X,X
ITZSJOL,X,O,X,X,X
ITZSOLJ,X,O,X,X,X
ITZSOJL,X,O,X,X,X
ITZOLJS,O,O,X,X,X
ITZOLSJ,X,O,O,X,X
ITZOJLS,O,O,X,X,X
ITZOJSL,O,O,X,X,X
ITZOSLJ,X,O,X,X,X
ITZOSJL,X,O,X,X,X
ITOLJSZ,O,X,X,O,X
ITOLJZS,O,X,X,X,X
ITOLSJZ,O,O,X,O,X
ITOLSZJ,X,O,O,O,X
ITOLZJS,O,O,X,X,X
ITOLZSJ,X,O,O,O,X
ITOJLSZ,O,X,X,X,X
ITOJLZS,O,X,X,X,X
ITOJSLZ,O,X,X,X,X
ITOJSZL,O,X,X,X,X
ITOJZLS,O,X,X,X,X
ITOJZSL,O,X,X,X,X
ITOSLJZ,O,O,X,O,X
ITOSLZJ,X,O,X,O,X
ITOSJLZ,O,O,X,O,X
ITOSJZL,O,X,X,X,O
ITOSZLJ,X,O,X,X,O
ITOSZJL,X,O,X,X,O
ITOZLJS,O,O,X,X,X
ITOZLSJ,X,O,O,X,X
ITOZJLS,O,O,X,X,X
ITOZJSL,O,O,X,X,X
ITOZSLJ,X,O,X,X,X
ITOZSJL,X,O,X,X,X
ILTJSZO,O,X,X,O,X
ILTJSOZ,O,X,X,O,X
ILTJZSO,O,X,X,X,X
ILTJZOS,O,X,X,X,X
ILTJOSZ,O,X,X,O,X
ILTJOZS,O,X,X,X,X
ILTSJZO,O,X,X,O,X
ILTSJOZ,O,X,X,O,X
ILTSZJO,X,X,O,O,X
ILTSZOJ,X,X,O,O,X
ILTSOJZ,O,X,X,O,X
ILTSOZJ,X,X,O,O,X
ILTZJSO,O,X,X,X,X
ILTZJOS,O,X,X,X,X
ILTZSJO,X,X,O,O,X
ILTZSOJ,X,X,O,O,X
ILTZOJS,O,X,X,X,X
ILTZOSJ,X,X,O,O,X
ILTOJSZ,O,X,X,O,X
ILTOJZS,O,X,X,X,X
ILTOSJZ,O,X,X,O,X
ILTOSZJ,X,X,O,O,X
ILTOZJS,O,X,X,X,X
ILTOZSJ,X,X,O,O,X
ILJTSZO,O,X,X,O,X
ILJTSOZ,O,X,X,O,X
ILJTZSO,O,X,X,X,X
ILJTZOS,O,X,X,X,X
ILJTOSZ,O,X,X,O,X
ILJTOZS,O,X,X,X,X
ILJSTZO,O,X,X,O,X
ILJSTOZ,O,X,X,O,X
ILJSZTO,O,X,O,O,X
ILJSZOT,O,X,O,O,X
ILJSOTZ,O,X,X,O,X
ILJSOZT,O,X,O,O,X
ILJZTSO,O,X,X,X,X
ILJZTOS,O,X,X,X,X
ILJZSTO,O,X,O,X,X
ILJZSOT,O,X,O,X,X
ILJZOTS,O,X,X,X,X
ILJZOST,O,X,O,X,X
ILJOTSZ,O,X,X,O,X
ILJOTZS,O,X,X,X,X
ILJOSTZ,O,X,X,O,X
ILJOSZT,O,X,O,O,X
ILJOZTS,O,X,X,X,X
ILJOZST,O,X,O,X,X
ILSTJZO,O,X,X,O,X
ILSTJOZ,O,X,X,O,X
ILSTZJO,X,X,O,O,X
ILSTZOJ,X,X,O,O,X
ILSTOJZ,O,X,X,O,X
ILSTOZJ,X,X,O,O,X
ILSJTZO,O,X,X,O,X
ILSJTOZ,O,X,X,O,X
ILSJZTO,O,X,O,O,O
ILSJZOT,O,X,O,O,O
ILSJOTZ,O,X,X,O,X
ILSJOZT,O,X,O,O,O
ILSZTJO,X,X,O,O,O
ILSZTOJ,X,X,O,O,O
ILSZJTO,X,X,O,O,O
ILSZJOT,X,X,O,O,O
ILSZOTJ,X,X,O,O,O
ILSZOJT,X,X,O,O,O
ILSOTJZ,O,X,X,O,X
ILSOTZJ,X,X,O,O,X
ILSOJTZ,O,X,X,O,X
ILSOJZT,O,X,O,O,O
ILSOZTJ,X,X,O,O,O
ILSOZJT,X,X,O,O,O
ILZTJSO,O,O,X,X,X
ILZTJOS,O,O,X,X,X
ILZTSJO,X,O,O,O,X
ILZTSOJ,X,O,O,O,X
ILZTOJS,O,O,X,X,X
ILZTOSJ,X,O,O,O,X
ILZJTSO,O,O,X,X,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,X,O,X,X
ILZJSOT,O,X,O,X,X
ILZJOTS,O,O,X,X,X
ILZJOST,O,X,O,X,X
ILZSTJO,X,X,O,O,X
ILZSTOJ,X,X,O,O,X
ILZSJTO,X,X,O,O,X
ILZSJOT,X,X,O,O,X
ILZSOTJ,X,X,O,O,X
ILZSOJT,X,X,O,O,X
ILZOTJS,O,O,X,X,X
ILZOTSJ,X,O,O,O,X
ILZOJTS,O,O,X,X,X
ILZOJST,O,X,O,X,X
ILZOSTJ,X,X,O,O,X
ILZOSJT,X,X,O,O,X
ILOTJSZ,O,X,X,O,X
ILOTJZS,O,X,X,X,X
ILOTSJZ,O,X,X,O,X
ILOTSZJ,X,X,O,O,X
ILOTZJS,O,X,X,X,X
ILOTZSJ,X,X,O,O,X
ILOJTSZ,O,X,X,O,X
ILOJTZS,O,X,X,X,X
ILOJSTZ,O,X,X,O,X
ILOJSZT,O,X,O,O,X
ILOJZTS,O,X,X,X,X
ILOJZST,O,X,O,X,X
ILOSTJZ,O,X,X,O,X
ILOSTZJ,X,X,O,O,X
ILOSJTZ,O,X,X,O,X
ILOSJZT,O,X,O,O,O
ILOSZTJ,X,X,O,O,O
ILOSZJT,X,X,O,O,O
ILOZTJS,O,O,X,X,X
ILOZTSJ,X,O,O,O,X
ILOZJTS,O,O,X,X,X
ILOZJST,O,X,O,X,X
ILOZSTJ,X,X,O,O,X
ILOZSJT,X,X,O,O,X
IJTLSZO,O,X,X,X,X
IJTLSOZ,O,X,X,X,X
IJTLZSO,O,X,X,X,X
IJTLZOS,O,X,X,X,X
IJTLOSZ,O,X,X,X,X
IJTLOZS,O,X,X,X,X
IJTSLZO,O,X,X,X,X
IJTSLOZ,O,X,X,X,X
IJTSZLO,O,X,X,X,X
IJTSZOL,O,X,X,X,X
IJTSOLZ,O,X,X,X,X
IJTSOZL,O,X,X,X,X
IJTZLSO,O,X,X,X,X
IJTZLOS,O,X,X,X,X
IJTZSLO,O,X,X,X,X
IJTZSOL,O,X,X,X,X
IJTZOLS,O,X,X,X,X
IJTZOSL,O,X,X,X,X
IJTOLSZ,O,X,X,X,X
IJTOLZS,O,X,X,X,X
IJTOSLZ,O,X,X,X,X
IJTOSZL,O,X,X,X,X
IJTOZLS,O,X,X,X,X
IJTOZSL,O,X,X,X,X
IJLTSZO,O,X,X,O,X
IJLTSOZ,O,X,X,O,X
IJLTZSO,O,X,X,X,X
IJLTZOS,O,X,X,X,X
IJLTOSZ,O,X,X,O,X
IJLTOZS,O,X,X,X,X
IJLSTZO,O,X,X,O,X
IJLSTOZ,O,X,X,O,X
IJLSZTO,O,X,O,O,X
IJLSZOT,O,X,O,O,X
IJLSOTZ,O,X,X,O,X
IJLSOZT,O,X,O,O,X
IJLZTSO,O,X,X,X,X
IJLZTOS,O,X,X,X,X
IJLZSTO,O,X,O,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,O,X,X,X,X
IJLZOST,O,X,O,X,X
IJLOTSZ,O,X,X,O,X
IJLOTZS,O,X,X,X,X
IJLOSTZ,O,X,X,O,X
IJLOSZT,O,X,O,O,X
IJLOZTS,O,X,X,X,X
IJLOZST,O,X,O,X,X
IJSTLZO,O,X,X,O,X
IJSTLOZ,O,X,X,O,X
IJSTZLO,O,X,X,X,O
IJSTZOL,O,X,X,X,O
IJSTOLZ,O,X,X,O,X
IJSTOZL,O,X,X,X,O
IJSLTZO,O,X,X,O,X
IJSLTOZ,O,X,X,O,X
IJSLZTO,O,X,X,O,O
IJSLZOT,O,X,X,O,O
IJSLOTZ,O,X,X,O,X
IJSLOZT,O,X,X,O,O
IJSZTLO,O,X,X,X,O
IJSZTOL,O,X,X,X,O
IJSZLTO,O,X,X,O,O
IJSZLOT,O,X,X,O,O
IJSZOTL,O,X,X,X,O
IJSZOLT,O,X,X,O,O
IJSOTLZ,O,X,X,O,X
IJSOTZL,O,X,X,X,O
IJSOLTZ,O,X,X,O,X
IJSOLZT,O,X,X,O,O
IJSOZTL,O,X,X,X,O
IJSOZLT,O,X,X,O,O
IJZTLSO,O,X,X,X,X
IJZTLOS,O,X,X,X,X
IJZTSLO,O,X,X,X,X
IJZTSOL,O,X,X,X,X
IJZTOLS,O,X,X,X,X
IJZTOSL,O,X,X,X,X
IJZLTSO,O,X,X,X,X
IJZLTOS,O,X,X,X,X
IJZLSTO,O,X,O,X,X
IJZLSOT,O,X,O,X,X
IJZLOTS,O,X,X,X,X
IJZLOST,O,X,O,X,X
IJZSTLO,O,X,X,X,X
IJZSTOL,O,X,X,X,X
IJZSLTO,O,X,X,X,X
IJZSLOT,O,X,X,X,X
IJZSOTL,O,X,X,X,X
IJZSOLT,O,X,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,O,X,X,X,X
IJZOLTS,O,X,X,X,X
IJZOLST,O,X,O,X,X
IJZOSTL,O,X,X,X,X
IJZOSLT,O,X,X,X,X
IJOTLSZ,O,X,X,X,X
IJOTLZS,O,X,X,X,X
IJOTSLZ,O,X,X,X,X
IJOTSZL,O,X,X,X,X
IJOTZLS,O,X,X,X,X
IJOTZSL,O,X,X,X,X
IJOLTSZ,O,X,X,O,X
IJOLTZS,O,X,X,X,X
IJOLSTZ,O,X,X,O,X
IJOLSZT,O,X,O,O,X
IJOLZTS,O,X,X,X,X
IJOLZST,O,X,O,X,X
IJOSTLZ,O,X,X,O,X
IJOSTZL,O,X,X,X,O
IJOSLTZ,O,X,X,O,X
IJOSLZT,O,X,X,O,O
IJOSZTL,O,X,X,X,O
IJOSZLT,O,X,X,O,O
IJOZTLS,O,X,X,X,X
IJOZTSL,O,X,X,X,X
IJOZLTS,O,X,X,X,X
IJOZLST,O,X,O,X,X
IJOZSTL,O,X,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,O,X,X,O,X
ISTLJOZ,O,X,X,O,X
ISTLZJO,X,X,X,O,X
ISTLZOJ,X,X,X,O,X
ISTLOJZ,O,X,X,O,X
ISTLOZJ,X,X,X,O,X
ISTJLZO,O,X,X,O,X
ISTJLOZ,O,X,X,O,X
ISTJZLO,O,X,X,X,O
ISTJZOL,O,X,X,X,O
ISTJOLZ,O,X,X,O,X
ISTJOZL,O,X,X,X,O
ISTZLJO,X,X,X,X,O
ISTZLOJ,X,X,X,X,O
ISTZJLO,X,X,X,X,O
ISTZJOL,X,X,X,X,O
ISTZOLJ,X,X,X,X,O
ISTZOJL,X,X,X,X,O
ISTOLJZ,O,X,X,O,X
ISTOLZJ,X,X,X,O,X
ISTOJLZ,O,X,X,O,X
ISTOJZL,O,X,X,X,O
ISTOZLJ,X,X,X,X,O
ISTOZJL,X,X,X,X,O
ISLTJZO,O,X,X,O,X
ISLTJOZ,O,X,X,O,X
ISLTZJO,X,X,O,O,X
ISLTZOJ,X,X,O,O,X
ISLTOJZ,O,X,X,O,X
ISLTOZJ,X,X,O,O,X
ISLJTZO,O,X,X,O,X
ISLJTOZ,O,X,X,O,X
ISLJZTO,O,X,O,O,O
ISLJZOT,O,X,O,O,O
ISLJOTZ,O,X,X,O,X
ISLJOZT,O,X,O,O,O
ISLZTJO,X,X,O,O,O
ISLZTOJ,X,X,O,O,O
ISLZJTO,X,X,O,O,O
ISLZJOT,X,X,O,O,O
ISLZOTJ,X,X,O,O,O
ISLZOJT,X,X,O,O,O
ISLOTJZ,O,X,X,O,X
ISLOTZJ,X,X,O,O,X
ISLOJTZ,O,X,X,O,X
ISLOJZT,O,X,O,O,O
ISLOZTJ,X,X,O,O,O
ISLOZJT,X,X,O,O,O
ISJTLZO,O,X,X,O,X
ISJTLOZ,O,X,X,O,X
ISJTZLO,O,X,X,X,O
ISJTZOL,O,X,X,X,O
ISJTOLZ,O,X,X,O,X
ISJTOZL,O,X,X,X,O
ISJLTZO,O,X,X,O,X
ISJLTOZ,O,X,X,O,X
ISJLZTO,O,X,X,O,O
ISJLZOT,O,X,X,O,O
ISJLOTZ,O,X,X,O,X
ISJLOZT,O,X,X,O,O
ISJZTLO,O,X,X,X,O
ISJZTOL,O,X,X,X,O
ISJZLTO,O,X,X,O,O
ISJZLOT,O,X,X,O,O
ISJZOTL,O,X,X,X,O
ISJZOLT,O,X,X,O,O
ISJOTLZ,O,X,X,O,X
ISJOTZL,O,X,X,X,O
ISJOLTZ,O,X,X,O,X
ISJOLZT,O,X,X,O,O
ISJOZTL,O,X,X,X,O
ISJOZLT,O,X,X,O,O
ISZTLJO,X,X,X,X,O
ISZTLOJ,X,X,X,X,O
ISZTJLO,X,X,X,X,O
ISZTJOL,X,X,X,X,O
ISZTOLJ,X,X,X,X,O
ISZTOJL,X,X,X,X,O
ISZLTJO,X,X,O,O,O
ISZLTOJ,X,X,O,O,O
ISZLJTO,X,X,O,O,O
ISZLJOT,X,X,O,O,O
ISZLOTJ,X,X,O,O,O
ISZLOJT,X,X,O,O,O
ISZJTLO,X,X,X,X,O
ISZJTOL,X,X,X,X,O
ISZJLTO,X,X,X,O,O
ISZJLOT,X,X,X,O,O
ISZJOTL,X,X,X,X,O
ISZJOLT,X,X,X,O,O
ISZOTLJ,X,X,X,X,O
ISZOTJL,X,X,X,X,O
ISZOLTJ,X,X,O,O,O
ISZOLJT,X,X,O,O,O
ISZOJTL,X,X,X,X,O
ISZOJLT,X,X,X,O,O
ISOTLJZ,O,X,X,O,X
ISOTLZJ,X,X,X,O,X
ISOTJLZ,O,X,X,O,X
ISOTJZL,O,X,X,X,O
ISOTZLJ,X,X,X,X,O
ISOTZJL,X,X,X,X,O
ISOLTJZ,O,X,X,O,X
ISOLTZJ,X,X,O,O,X
ISOLJTZ,O,X,X,O,X
ISOLJZT,O,X,O,O,O
ISOLZTJ,X,X,O,O,O
ISOLZJT,X,X,O,O,O
ISOJTLZ,O,X,X,O,X
ISOJTZL,O,X,X,X,O
ISOJLTZ,O,X,X,O,X
ISOJLZT,O,X,X,O,O
ISOJZTL,O,X,X,X,O
ISOJZLT,O,X,X,O,O
ISOZTLJ,X,X,X,X,O
ISOZTJL,X,X,X,X,O
ISOZLTJ,X,X,O,O,O
ISOZLJT,X,X,O,O,O
ISOZJTL,X,X,X,X,O
ISOZJLT,X,X,X,O,O
IZTLJSO,O,O,X,X,X
IZTLJOS,O,O,X,X,X
IZTLSJO,X,O,O,X,X
IZTLSOJ,X,O,O,X,X
IZTLOJS,O,O,X,X,X
IZTLOSJ,X,O,O,X,X
IZTJLSO,O,O,X,X,X
IZTJLOS,O,O,X,X,X
IZTJSLO,O,O,X,X,X
IZTJSOL,O,O,X,X,X
IZTJOLS,O,O,X,X,X
IZTJOSL,O,O,X,X,X
IZTSLJO,X,O,X,X,X
IZTSLOJ,X,O,X,X,X
IZTSJLO,X,O,X,X,X
IZTSJOL,X,O,X,X,X
IZTSOLJ,X,O,X,X,X
IZTSOJL,X,O,X,X,X
IZTOLJS,O,O,X,X,X
IZTOLSJ,X,O,O,X,X
IZTOJLS,O,O,X,X,X
IZTOJSL,O,O,X,X,X
IZTOSLJ,X,O,X,X,X
IZTOSJL,X,O,X,X,X
IZLTJSO,O,O,X,X,X
IZLTJOS,O,O,X,X,X
IZLTSJO,X,O,O,O,X
IZLTSOJ,X,O,O,O,X
IZLTOJS,O,O,X,X,X
IZLTOSJ,X,O,O,O,X
IZLJTSO,O,O,X,X,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,X,O,X,X
IZLJSOT,O,X,O,X,X
IZLJOTS,O,O,X,X,X
IZLJOST,O,X,O,X,X
IZLSTJO,X,X,O,O,X
IZLSTOJ,X,X,O,O,X
IZLSJTO,X,X,O,O,X
IZLSJOT,X,X,O,O,X
IZLSOTJ,X,X,O,O,X
IZLSOJT,X,X,O,O,X
IZLOTJS,O,O,X,X,X
IZLOTSJ,X,O,O,O,X
IZLOJTS,O,O,X,X,X
IZLOJST,O,X,O,X,X
IZLOSTJ,X,X,O,O,X
IZLOSJT,X,X,O,O,X
IZJTLSO,O,O,X,X,X
IZJTLOS,O,O,X,X,X
IZJTSLO,O,O,X,X,X
IZJTSOL,O,O,X,X,X
IZJTOLS,O,O,X,X,X
IZJTOSL,O,O,X,X,X
IZJLTSO,O,O,X,X,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,X,O,X,X
IZJLSOT,O,X,O,X,X
IZJLOTS,O,O,X,X,X
IZJLOST,O,X,O,X,X
IZJSTLO,O,X,X,X,X
IZJSTOL,O,X,X,X,X
IZJSLTO,O,X,X,X,X
IZJSLOT,O,X,X,X,X
IZJSOTL,O,X,X,X,X
IZJSOLT,O,X,X,X,X
IZJOTLS,O,O,X,X,X
IZJOTSL,O,O,X,X,X
IZJOLTS,O,O,X,X,X
IZJOLST,O,X,O,X,X
IZJOSTL,O,X,X,X,X
IZJOSLT,O,X,X,X,X
IZSTLJO,X,X,X,X,O
IZSTLOJ,X,X,X,X,O
IZSTJLO,X,X,X,X,O
IZSTJOL,X,X,X,X,O
IZSTOLJ,X,X,X,X,O
IZSTOJL,X,X,X,X,O
IZSLTJO,X,X,O,O,O
IZSLTOJ,X,X,O,O,O
IZSLJTO,X,X,O,O,O
IZSLJOT,X,X,O,O,O
IZSLOTJ,X,X,O,O,O
IZSLOJT,X,X,O,O,O
IZSJTLO,X,X,X,X,O
IZSJTOL,X,X,X,X,O
IZSJLTO,X,X,X,O,O
IZSJLOT,X,X,X,O,O
IZSJOTL,X,X,X,X,O
IZSJOLT,X,X,X,O,O
IZSOTLJ,X,X,X,X,O
IZSOTJL,X,X,X,X,O
IZSOLTJ,X,X,O,O,O
IZSOLJT,X,X,O,O,O
IZSOJTL,X,X,X,X,O
IZSOJLT,X,X,X,O,O
IZOTLJS,O,O,X,X,X
IZOTLSJ,X,O,O,X,X
IZOTJLS,O,O,X,X,X
IZOTJSL,O,O,X,X,X
IZOTSLJ,X,O,X,X,X
IZOTSJL,X,O,X,X,X
IZOLTJS,O,O,X,X,X
IZOLTSJ,X,O,O,O,X
IZOLJTS,O,O,X,X,X
IZOLJST,O,X,O,X,X
IZOLSTJ,X,X,O,O,X
IZOLSJT,X,X,O,O,X
IZOJTLS,O,O,X,X,X
IZOJTSL,O,O,X,X,X
IZOJLTS,O,O,X,X,X
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,X,X,X
IZOJSLT,O,X,X,X,X
IZOSTLJ,X,X,X,X,O
IZOSTJL,X,X,X,X,O
IZOSLTJ,X,X,O,O,O
IZOSLJT,X,X,O,O,O
IZOSJTL,X,X,X,X,O
IZOSJLT,X,X,X,O,O
IOTLJSZ,O,X,X,O,X
IOTLJZS,O,X,X,X,X
IOTLSJZ,O,O,X,O,X
IOTLSZJ,X,O,O,O,X
IOTLZJS,O,O,X,X,X
IOTLZSJ,X,O,O,O,X
IOTJLSZ,O,X,X,X,X
IOTJLZS,O,X,X,X,X
IOTJSLZ,O,X,X,X,X
IOTJSZL,O,X,X,X,X
IOTJZLS,O,X,X,X,X
IOTJZSL,O,X,X,X,X
IOTSLJZ,O,O,X,O,X
IOTSLZJ,X,O,X,O,X
IOTSJLZ,O,O,X,O,X
IOTSJZL,O,X,X,X,O
IOTSZLJ,X,O,X,X,O
IOTSZJL,X,O,X,X,O
IOTZLJS,O,O,X,X,X
IOTZLSJ,X,O,O,X,X
IOTZJLS,O,O,X,X,X
IOTZJSL,O,O,X,X,X
IOTZSLJ,X,O,X,X,X
IOTZSJL,X,O,X,X,X
IOLTJSZ,O,X,X,O,X
IOLTJZS,O,X,X,X,X
IOLTSJZ,O,X,X,O,X
IOLTSZJ,X,X,O,O,X
IOLTZJS,O,X,X,X,X
IOLTZSJ,X,X,O,O,X
IOLJTSZ,O,X,X,O,X
IOLJTZS,O,X,X,X,X
IOLJSTZ,O,X,X,O,X
IOLJSZT,O,X,O,O,X
IOLJZTS,O,X,X,X,X
IOLJZST,O,X,O,X,X
IOLSTJZ,O,X,X,O,X
IOLSTZJ,X,X,O,O,X
IOLSJTZ,O,X,X,O,X
IOLSJZT,O,X,O,O,O
IOLSZTJ,X,X,O,O,O
IOLSZJT,X,X,O,O,O
IOLZTJS,O,O,X,X,X
IOLZTSJ,X,O,O,O,X
IOLZJTS,O,O,X,X,X
IOLZJST,O,X,O,X,X
IOLZSTJ,X,X,O,O,X
IOLZSJT,X,X,O,O,X
IOJTLSZ,O,X,X,X,X
IOJTLZS,O,X,X,X,X
IOJTSLZ,O,X,X,X,X
IOJTSZL,O,X,X,X,X
IOJTZLS,O,X,X,X,X
IOJTZSL,O,X,X,X,X
IOJLTSZ,O,X,X,O,X
IOJLTZS,O,X,X,X,X
IOJLSTZ,O,X,X,O,X
IOJLSZT,O,X,O,O,X
IOJLZTS,O,X,X,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,X,O,X
IOJSTZL,O,X,X,X,O
IOJSLTZ,O,X,X,O,X
IOJSLZT,O,X,X,O,O
IOJSZTL,O,X,X,X,O
IOJSZLT,O,X,X,O,O
IOJZTLS,O,X,X,X,X
IOJZTSL,O,X,X,X,X
IOJZLTS,O,X,X,X,X
IOJZLST,O,X,O,X,X
IOJZSTL,O,X,X,X,X
IOJZSLT,O,X,X,X,X
IOSTLJZ,O,X,X,O,X
IOSTLZJ,X,X,X,O,X
IOSTJLZ,O,X,X,O,X
IOSTJZL,O,X,X,X,O
IOSTZLJ,X,X,X,X,O
IOSTZJL,X,X,X,X,O
IOSLTJZ,O,X,X,O,X
IOSLTZJ,X,X,O,O,X
IOSLJTZ,O,X,X,O,X
IOSLJZT,O,X,O,O,O
IOSLZTJ,X,X,O,O,O
IOSLZJT,X,X,O,O,O
IOSJTLZ,O,X,X,O,X
IOSJTZL,O,X,X,X,O
IOSJLTZ,O,X,X,O,X
IOSJLZT,O,X,X,O,O
IOSJZTL,O,X,X,X,O
IOSJZLT,O,X,X,O,O
IOSZTLJ,X,X,X,X,O
IOSZTJL,X,X,X,X,O
IOSZLTJ,X,X,O,O,O
IOSZLJT,X,X,O,O,O
IOSZJTL,X,X,X,X,O
IOSZJLT,X,X,X,O,O
IOZTLJS,O,O,X,X,X
IOZTLSJ,X,O,O,X,X
IOZTJLS,O,O,X,X,X
IOZTJSL,O,O,X,X,X
IOZTSLJ,X,O,X,X,X
IOZTSJL,X,O,X,X,X
IOZLTJS,O,O,X,X,X
IOZLTSJ,X,O,O,O,X
IOZLJTS,O,O,X,X,X
IOZLJST,O,X,O,X,X
IOZLSTJ,X,X,O,O,X
IOZLSJT,X,X,O,O,X
IOZJTLS,O,O,X,X,X
IOZJTSL,O,O,X,X,X
IOZJLTS,O,O,X,X,X
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,X,X,X
IOZJSLT,O,X,X,X,X
IOZSTLJ,X,X,X,X,O
IOZSTJL,X,X,X,X,O
IOZSLTJ,X,X,O,O,O
IOZSLJT,X,X,O,O,O
IOZSJTL,X,X,X,X,O
IOZSJLT,X,X,X,O,O
LTIJSZO,O,X,X,O,X
LTIJSOZ,O,X,X,O,X
LTIJZSO,O,X,X,X,X
LTIJZOS,O,X,X,X,X
LTIJOSZ,O,X,X,O,X
LTIJOZS,O,X,X,X,X
LTISJZO,O,X,X,O,X
LTISJOZ,O,O,X,O,X
LTISZJO,X,O,O,O,X
LTISZOJ,X,O,O,O,X
LTISOJZ,O,O,X,O,X
LTISOZJ,X,O,O,O,X
LTIZJSO,O,O,X,X,X
LTIZJOS,O,O,X,X,X
LTIZSJO,X,O,O,O,X
LTIZSOJ,X,O,O,O,X
LTIZOJS,O,O,X,X,X
LTIZOSJ,X,O,O,O,X
LTIOJSZ,O,X,X,O,X
LTIOJZS,O,X,X,X,X
LTIOSJZ,O,O,X,O,X
LTIOSZJ,X,O,O,O,X
LTIOZJS,O,O,X,X,X
LTIOZSJ,X,O,O,O,X
LTJISZO,O,X,X,O,X
LTJISOZ,O,X,X,O,X
LTJIZSO,O,X,X,X,X
LTJIZOS,O,X,X,X,X
LTJIOSZ,O,X,X,O,X
LTJIOZS,O,X,X,X,X
LTJSIZO,O,X,X,O,X
LTJSIOZ,O,O,X,O,X
LTJSZIO,O,O,X,O,X
LTJSZOI,O,O,X,O,X
LTJSOIZ,O,O,X,O,X
LTJSOZI,O,O,X,O,X
LTJZISO,O,O,X,X,X
LTJZIOS,O,O,X,X,X
LTJZSIO,O,O,X,X,X
LTJZSOI,O,O,X,X,X
LTJZOIS,O,O,X,X,X
LTJZOSI,O,O,X,X,X
LTJOISZ,O,X,X,O,X
LTJOIZS,O,X,X,X,X
LTJOSIZ,O,O,X,O,X
LTJOSZI,O,O,X,O,X
LTJOZIS,O,O,X,X,X
LTJOZSI,O,O,X,X,X
LTSIJZO,O,X,X,O,X
LTSIJOZ,O,O,X,O,X
LTSIZJO,X,O,O,O,X
LTSIZOJ,X,O,O,O,X
LTSIOJZ,O,O,X,O,X
