sequence,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgBxhB6oBFnB8s?BzpB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBCjBmkB/sBTo?B0pB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBGjBikB/sBUo?BzpB,v115@KhB8HeC8DeA8BeD8AeB8JeXAJvhFxhBTjB2pBFnBCt?B0pB,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgB0hBSoBzpBxs?BlsB,v115@KhB8HeC8DeA8BeD8AeB8JeT/IvhF0hBxiBypBGoBls?BXqB,v115@KhB8HeC8DeA8BeD8AeB8JeFAJvhF0hBTjBmpBxsB/p?B6sB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBSoBTkBeqB/s?BUtB
TZJISLO,O,O,X,O,X,O,O,X
TZJISOL,O,O,X,X,X,X,O,X
TZJIOLS,O,X,X,X,X,O,O,X
TZJIOSL,O,O,X,X,X,X,O,X
TZJLISO,O,O,X,O,X,O,X,X
TZJLIOS,O,X,X,O,X,O,X,X
TZJLSIO,O,O,X,O,X,O,X,X
TZJLSOI,O,O,X,O,X,O,X,X
TZJLOIS,O,X,X,O,X,O,X,X
TZJLOSI,O,X,X,O,X,O,X,X
TZJSILO,O,O,X,O,X,O,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,O,X,O,X,X
TZJSLOI,O,O,X,O,X,O,X,O
TZJSOIL,O,O,X,X,X,X,X,O
TZJSOLI,O,O,X,X,X,X,X,O
TZJOILS,O,X,X,X,X,O,X,X
TZJOISL,O,O,X,X,X,X,X,O
TZJOLIS,O,X,X,X,X,O,X,X
TZJOLSI,O,X,X,X,X,O,X,X
TZJOSIL,O,O,X,X,X,X,X,O
TZJOSLI,O,O,X,X,X,X,X,O
TZSILJO,O,O,O,O,X,X,X,X
TZSILOJ,O,O,O,O,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,O,X,X,X,X
TZSLJIO,O,O,O,O,X,O,X,X
TZSLJOI,O,O,O,O,X,O,X,O
TZSLOIJ,O,O,O,O,X,X,X,X
TZSLOJI,O,O,O,O,X,O,X,X
TZSJILO,O,O,O,O,X,O,X,X
TZSJIOL,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,O,X,O,X,X
TZSJLOI,O,O,O,O,X,O,X,O
TZSJOIL,O,O,O,X,X,X,X,O
TZSJOLI,O,O,O,X,X,X,X,O
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,X,X
TZOILSJ,O,X,X,X,O,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X
TZOIJSL,O,X,X,X,O,X,X,X
TZOISLJ,O,O,O,X,O,X,X,X
TZOISJL,O,O,O,X,O,X,X,X
TZOLIJS,O,X,X,X,X,O,X,X
TZOLISJ,O,X,O,X,X,X,X,X
TZOLJIS,O,X,X,X,X,O,X,X
TZOLJSI,O,X,X,X,X,O,X,X
TZOLSIJ,O,X,O,X,X,X,X,X
TZOLSJI,O,X,O,X,X,O,X,X
TZOJILS,O,X,X,X,O,O,X,X
TZOJISL,O,O,X,X,O,X,X,X
TZOJLIS,O,X,X,X,X,O,X,X
TZOJLSI,O,X,X,X,X,O,X,X
TZOJSIL,O,O,X,X,O,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,O,O,O,X,O,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,X,O,O,O,X,X,X
TOILJZS,X,X,X,O,O,X,X,X
TOILSJZ,O,X,O,O,O,X,X,X
TOILSZJ,X,X,O,O,O,X,X,X
TOILZJS,X,X,X,O,O,X,X,X
TOILZSJ,X,X,O,O,O,X,X,X
TOIJLSZ,O,X,X,O,O,X,X,X
TOIJLZS,X,X,X,O,O,X,X,X
TOIJSLZ,O,X,X,O,O,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X
TOIJZLS,O,X,X,X,O,X,X,X
TOIJZSL,O,X,X,X,O,X,X,X
TOISLJZ,O,O,O,O,O,X,X,X
TOISLZJ,X,O,O,O,O,X,X,X
TOISJLZ,O,O,X,O,O,X,X,X
TOISJZL,O,X,O,X,O,X,X,X
TOISZLJ,O,O,O,X,O,X,X,X
TOISZJL,O,X,O,X,O,X,X,X
TOIZLJS,O,X,X,X,O,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X
TOIZJLS,O,X,X,X,O,X,X,X
TOIZJSL,O,X,X,X,O,X,X,X
TOIZSLJ,O,X,O,X,O,X,X,X
TOIZSJL,O,X,O,X,O,X,X,X
TOLIJSZ,O,X,O,O,X,O,X,X
TOLIJZS,X,X,X,O,X,O,X,X
TOLISJZ,O,X,O,O,X,X,X,X
TOLISZJ,X,X,O,O,X,X,X,X
TOLIZJS,X,X,X,O,X,O,X,X
TOLIZSJ,X,X,O,O,X,X,X,X
TOLJISZ,O,X,O,O,X,O,X,X
TOLJIZS,X,X,X,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X
TOLJSZI,O,X,O,O,X,O,X,X
TOLJZIS,O,X,X,O,X,O,X,X
TOLJZSI,O,X,X,O,X,O,X,X
TOLSIJZ,O,X,O,O,X,X,X,X
TOLSIZJ,X,X,O,O,X,X,X,X
TOLSJIZ,O,X,O,O,X,O,X,X
TOLSJZI,O,X,O,O,X,O,X,X
TOLSZIJ,O,X,O,O,X,X,X,X
TOLSZJI,O,X,O,O,X,O,X,X
TOLZIJS,O,X,X,O,X,O,X,X
TOLZISJ,O,X,O,O,X,X,X,X
TOLZJIS,O,X,X,O,X,O,X,X
TOLZJSI,O,X,X,O,X,O,X,X
TOLZSIJ,O,X,O,O,X,X,X,X
TOLZSJI,O,X,O,O,X,O,X,X
TOJILSZ,O,X,X,O,O,O,X,O
TOJILZS,X,X,X,O,O,O,X,X
TOJISLZ,O,X,X,O,O,X,X,O
TOJISZL,O,X,O,X,O,X,X,O
TOJIZLS,O,X,X,X,O,O,X,X
TOJIZSL,O,X,X,X,O,X,X,O
TOJLISZ,O,X,O,O,X,O,X,O
TOJLIZS,X,X,X,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,O,X,O
TOJLSZI,O,X,O,O,X,O,X,O
TOJLZIS,O,X,X,O,X,O,X,X
TOJLZSI,O,X,X,O,X,O,X,X
TOJSILZ,O,X,X,O,O,X,X,O
TOJSIZL,O,X,O,X,O,X,X,O
TOJSLIZ,O,X,O,O,X,X,X,O
TOJSLZI,O,X,O,O,X,X,X,O
TOJSZIL,O,X,O,X,O,X,X,O
TOJSZLI,O,X,O,X,X,X,X,O
TOJZILS,O,X,X,X,O,O,X,X
TOJZISL,O,X,X,X,O,X,X,O
TOJZLIS,O,X,X,X,X,O,X,X
TOJZLSI,O,X,X,X,X,O,X,X
TOJZSIL,O,X,X,X,O,X,X,O
TOJZSLI,O,X,X,X,X,X,X,O
TOSILJZ,O,O,O,O,O,X,X,X
TOSILZJ,X,O,O,O,O,X,X,X
TOSIJLZ,O,O,X,O,O,X,X,X
TOSIJZL,O,X,O,X,O,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X
TOSLIJZ,O,O,O,O,X,X,X,X
TOSLIZJ,X,O,O,O,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,O
TOSLJZI,O,O,O,O,X,X,X,O
TOSLZIJ,O,O,O,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,X
TOSJILZ,O,O,X,O,O,X,X,O
TOSJIZL,O,X,O,X,O,X,X,O
TOSJLIZ,O,O,O,O,X,X,X,O
TOSJLZI,O,O,O,O,X,X,X,O
TOSJZIL,O,O,O,X,O,X,X,O
TOSJZLI,O,O,O,X,X,X,X,O
TOSZILJ,O,O,O,X,O,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,X,X,X,X
TOSZLJI,O,O,O,X,X,X,X,X
TOSZJIL,O,O,O,X,O,X,X,X
TOSZJLI,O,O,O,X,X,X,X,X
TOZILJS,O,X,X,X,O,X,X,X
TOZILSJ,O,X,X,X,O,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X
TOZIJSL,O,X,X,X,O,X,X,X
TOZISLJ,O,O,O,X,O,X,X,X
TOZISJL,O,O,O,X,O,X,X,X
TOZLIJS,O,X,X,X,X,O,X,X
TOZLISJ,O,X,O,X,X,X,X,X
TOZLJIS,O,X,X,X,X,O,X,X
TOZLJSI,O,X,X,X,X,O,X,X
TOZLSIJ,O,X,O,X,X,X,X,X
TOZLSJI,O,X,O,X,X,O,X,X
TOZJILS,O,X,X,X,O,O,X,X
TOZJISL,O,O,X,X,O,X,X,X
TOZJLIS,O,X,X,X,X,O,X,X
TOZJLSI,O,X,X,X,X,O,X,X
TOZJSIL,O,O,X,X,O,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,O,O,O,X,O,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,X,X,X,X,X
ITLJSZO,O,X,O,O,X,O,X,X
ITLJSOZ,X,X,X,O,X,O,X,X
ITLJZSO,X,X,X,O,X,O,X,X
ITLJZOS,X,X,X,O,X,O,X,X
ITLJOSZ,X,X,X,O,X,O,X,X
ITLJOZS,X,X,X,O,X,O,X,X
ITLSJZO,O,O,O,O,X,X,X,X
ITLSJOZ,X,O,X,O,X,X,X,X
ITLSZJO,X,O,O,O,X,X,X,X
ITLSZOJ,X,O,O,O,X,X,X,X
ITLSOJZ,X,O,X,O,X,X,X,X
ITLSOZJ,X,O,O,O,X,X,X,X
ITLZJSO,X,X,X,O,X,O,X,X
ITLZJOS,X,X,X,O,X,O,X,X
ITLZSJO,X,X,O,O,X,X,X,X
ITLZSOJ,X,X,O,O,X,X,X,X
ITLZOJS,X,X,X,O,O,O,X,X
ITLZOSJ,X,X,X,O,O,X,X,X
ITLOJSZ,O,X,X,O,O,O,X,X
ITLOJZS,X,X,X,O,O,O,X,X
ITLOSJZ,O,X,X,O,O,X,X,X
ITLOSZJ,X,X,O,O,O,X,X,X
ITLOZJS,X,X,X,O,O,O,X,X
ITLOZSJ,X,X,X,O,O,X,X,X
ITJLSZO,O,X,X,O,X,O,O,X
ITJLSOZ,X,X,X,O,X,O,O,X
ITJLZSO,X,X,X,O,X,O,O,X
ITJLZOS,X,X,X,O,X,O,O,X
ITJLOSZ,X,X,X,O,X,O,O,X
ITJLOZS,X,X,X,O,X,O,O,X
ITJSLZO,O,O,X,O,X,O,O,X
ITJSLOZ,X,O,X,O,X,O,O,O
ITJSZLO,O,X,O,O,X,O,O,X
ITJSZOL,X,X,O,X,X,X,O,X
ITJSOLZ,X,O,X,O,X,X,O,O
ITJSOZL,X,X,X,X,X,X,O,O
ITJZLSO,O,X,X,O,X,O,O,X
ITJZLOS,X,X,X,O,X,O,O,X
ITJZSLO,O,X,X,O,X,O,O,X
ITJZSOL,X,X,X,X,X,X,O,X
ITJZOLS,X,X,X,X,X,O,O,X
ITJZOSL,X,X,X,X,X,X,O,X
ITJOLSZ,X,X,X,O,X,O,O,O
ITJOLZS,X,X,X,O,X,O,O,X
ITJOSLZ,X,X,X,O,X,X,O,O
ITJOSZL,X,X,X,X,X,X,O,O
ITJOZLS,X,X,X,X,X,O,O,X
ITJOZSL,X,X,X,X,X,X,O,O
ITSLJZO,O,O,O,O,X,X,X,X
ITSLJOZ,X,O,X,O,X,X,X,O
ITSLZJO,X,O,O,O,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,X,X
ITSLOJZ,X,O,X,O,X,X,X,X
ITSLOZJ,X,O,O,O,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X
ITSJLOZ,X,O,X,O,X,X,X,O
ITSJZLO,O,X,O,O,X,X,X,X
ITSJZOL,X,X,O,X,X,X,X,X
ITSJOLZ,X,O,X,O,X,X,X,O
ITSJOZL,X,X,X,X,X,X,X,O
ITSZLJO,O,O,O,O,X,X,X,X
ITSZLOJ,X,O,O,O,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X
ITSZJOL,X,O,O,X,X,X,X,X
ITSZOLJ,X,O,O,X,X,X,X,X
ITSZOJL,X,O,O,X,X,X,X,X
ITSOLJZ,X,O,O,O,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X,X
ITSOJZL,X,X,O,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,X,X
ITSOZJL,X,O,O,X,X,X,X,X
ITZLJSO,O,X,X,O,X,O,X,X
ITZLJOS,X,X,X,O,X,O,X,X
ITZLSJO,O,O,X,O,X,X,X,X
ITZLSOJ,X,O,X,O,X,X,X,X
ITZLOJS,O,X,X,O,O,O,X,X
ITZLOSJ,O,X,X,O,O,X,X,X
ITZJLSO,O,O,X,O,X,O,O,X
ITZJLOS,X,X,X,O,X,O,O,X
ITZJSLO,O,O,X,O,X,O,O,X
ITZJSOL,X,O,X,X,X,X,O,X
ITZJOLS,X,X,X,X,X,O,O,X
ITZJOSL,X,O,X,X,X,X,O,X
ITZSLJO,O,O,O,O,X,X,X,X
ITZSLOJ,X,O,X,O,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X
ITZSJOL,X,O,O,X,X,X,X,X
ITZSOLJ,X,O,X,X,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X,X
ITZOLJS,O,X,X,X,O,X,X,X
ITZOLSJ,O,X,X,X,O,X,X,X
ITZOJLS,O,X,X,X,O,X,O,X
ITZOJSL,O,X,X,X,O,X,O,X
ITZOSLJ,O,O,X,X,O,X,X,X
ITZOSJL,O,O,X,X,O,X,X,X
ITOLJSZ,O,X,O,O,O,X,X,X
ITOLJZS,X,X,X,O,O,X,X,X
ITOLSJZ,O,X,O,O,O,X,X,X
ITOLSZJ,X,X,O,O,O,X,X,X
ITOLZJS,X,X,X,O,O,X,X,X
ITOLZSJ,X,X,O,O,O,X,X,X
ITOJLSZ,O,X,X,O,O,X,O,X
ITOJLZS,X,X,X,O,O,X,O,X
ITOJSLZ,O,X,X,O,O,X,O,X
ITOJSZL,O,X,O,X,O,X,O,X
ITOJZLS,O,X,X,X,O,X,O,X
ITOJZSL,O,X,X,X,O,X,O,X
ITOSLJZ,O,O,O,O,O,X,X,X
ITOSLZJ,X,O,O,O,O,X,X,X
ITOSJLZ,O,O,X,O,O,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X
ITOSZLJ,O,O,O,X,O,X,X,X
ITOSZJL,O,X,O,X,O,X,X,X
ITOZLJS,O,X,X,X,O,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,X
ITOZJLS,O,X,X,X,O,X,O,X
ITOZJSL,O,X,X,X,O,X,O,X
ITOZSLJ,O,X,O,X,O,X,X,X
ITOZSJL,O,X,O,X,O,X,X,X
ILTJSZO,O,X,O,O,X,O,X,X
ILTJSOZ,X,X,X,O,X,O,X,X
ILTJZSO,X,X,X,O,X,O,X,X
ILTJZOS,X,X,X,O,X,O,X,X
ILTJOSZ,X,X,X,O,X,O,X,X
ILTJOZS,X,X,X,O,X,O,X,X
ILTSJZO,O,O,O,O,X,X,X,X
ILTSJOZ,X,O,X,O,X,X,X,X
ILTSZJO,X,O,O,O,X,X,X,X
ILTSZOJ,X,O,O,O,X,X,X,X
ILTSOJZ,X,O,X,O,X,X,X,X
ILTSOZJ,X,O,O,O,X,X,X,X
ILTZJSO,X,X,X,O,X,O,X,X
ILTZJOS,X,X,X,O,X,O,X,X
ILTZSJO,X,X,O,O,X,X,X,X
ILTZSOJ,X,X,O,O,X,X,X,X
ILTZOJS,X,X,X,O,O,O,X,X
ILTZOSJ,X,X,X,O,O,X,X,X
ILTOJSZ,O,X,X,O,O,O,X,X
ILTOJZS,X,X,X,O,O,O,X,X
ILTOSJZ,O,X,X,O,O,X,X,X
ILTOSZJ,X,X,O,O,O,X,X,X
ILTOZJS,X,X,X,O,O,O,X,X
ILTOZSJ,X,X,X,O,O,X,X,X
ILJTSZO,O,X,O,O,X,X,O,X
ILJTSOZ,X,X,X,O,X,X,O,X
ILJTZSO,X,X,X,O,X,X,O,X
ILJTZOS,X,X,X,O,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,O,X
ILJTOZS,X,X,X,O,X,X,O,X
ILJSTZO,O,X,O,O,X,X,O,X
ILJSTOZ,X,X,X,O,X,X,O,X
ILJSZTO,O,X,O,X,X,X,O,X
ILJSZOT,O,X,O,X,X,X,O,X
ILJSOTZ,X,X,X,O,X,X,O,X
ILJSOZT,O,X,X,X,X,X,O,X
ILJZTSO,O,X,X,X,X,X,O,X
ILJZTOS,O,X,X,X,X,X,O,X
ILJZSTO,O,X,X,X,X,X,O,X
ILJZSOT,O,X,X,X,X,X,O,X
ILJZOTS,X,X,X,X,O,O,O,X
ILJZOST,O,X,X,X,O,X,O,X
ILJOTSZ,O,X,X,O,O,X,O,X
ILJOTZS,X,X,X,O,O,X,O,X
ILJOSTZ,O,X,X,O,O,X,O,X
ILJOSZT,O,X,X,X,O,X,O,X
ILJOZTS,X,X,X,X,O,O,O,X
ILJOZST,O,X,X,X,O,X,O,X
ILSTJZO,O,O,O,O,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X,X
ILSTZJO,X,O,O,O,X,X,X,X
ILSTZOJ,X,O,O,O,X,X,X,X
ILSTOJZ,X,O,X,O,X,X,X,X
ILSTOZJ,X,O,O,O,X,X,X,X
ILSJTZO,O,O,O,O,X,X,X,X
ILSJTOZ,X,O,X,O,X,X,X,X
ILSJZTO,O,X,O,X,X,X,X,X
ILSJZOT,O,X,O,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,X,X,X,X
ILSZTJO,O,O,O,X,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X,X
ILSZJTO,O,X,O,X,X,X,X,X
ILSZJOT,O,X,O,X,X,X,X,X
ILSZOTJ,X,X,O,X,O,X,X,X
ILSZOJT,O,X,O,X,O,X,X,X
ILSOTJZ,O,O,X,O,O,X,X,X
ILSOTZJ,X,O,O,O,O,X,X,X
ILSOJTZ,O,O,X,O,O,X,X,X
ILSOJZT,O,X,X,X,O,X,X,X
ILSOZTJ,X,O,O,X,O,X,X,X
ILSOZJT,O,X,O,X,O,X,X,X
ILZTJSO,O,X,X,X,X,O,X,X
ILZTJOS,O,X,X,X,X,O,X,X
ILZTSJO,O,X,O,X,X,X,X,X
ILZTSOJ,O,X,O,X,X,X,X,X
ILZTOJS,O,X,X,X,O,O,X,X
ILZTOSJ,O,X,X,X,O,X,X,X
ILZJTSO,O,X,X,X,X,X,O,X
ILZJTOS,O,X,X,X,X,X,O,X
ILZJSTO,O,X,X,X,X,X,O,X
ILZJSOT,O,X,X,X,X,X,O,X
ILZJOTS,O,X,X,X,O,O,O,X
ILZJOST,O,X,X,X,O,X,O,X
ILZSTJO,O,X,O,X,X,X,X,X
ILZSTOJ,O,X,O,X,X,X,X,X
ILZSJTO,O,X,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,X,X,X
ILZSOTJ,O,X,O,X,O,X,X,X
ILZSOJT,O,X,O,X,O,X,X,X
ILZOTJS,O,X,X,X,O,O,X,X
ILZOTSJ,O,X,X,X,O,X,X,X
ILZOJTS,O,X,X,X,O,O,O,X
ILZOJST,O,X,X,X,O,X,O,X
ILZOSTJ,O,X,X,X,O,X,X,X
ILZOSJT,O,X,X,X,O,X,X,X
ILOTJSZ,O,X,X,O,O,O,X,X
ILOTJZS,X,X,X,O,O,O,X,X
ILOTSJZ,O,X,X,O,O,X,X,X
ILOTSZJ,X,X,O,O,O,X,X,X
ILOTZJS,X,X,X,O,O,O,X,X
ILOTZSJ,X,X,X,O,O,X,X,X
ILOJTSZ,O,X,X,O,O,X,O,X
ILOJTZS,X,X,X,O,O,X,O,X
ILOJSTZ,O,X,X,O,O,X,O,X
ILOJSZT,O,X,X,X,O,X,O,X
ILOJZTS,O,X,X,X,O,O,O,X
ILOJZST,O,X,X,X,O,X,O,X
ILOSTJZ,O,O,X,O,O,X,X,X
ILOSTZJ,X,O,O,O,O,X,X,X
ILOSJTZ,O,O,X,O,O,X,X,X
ILOSJZT,O,X,X,X,O,X,X,X
ILOSZTJ,O,O,O,X,O,X,X,X
ILOSZJT,O,X,O,X,O,X,X,X
ILOZTJS,O,X,X,X,O,O,X,X
ILOZTSJ,O,X,X,X,O,X,X,X
ILOZJTS,O,X,X,X,O,O,O,X
ILOZJST,O,X,X,X,O,X,O,X
ILOZSTJ,O,X,X,X,O,X,X,X
ILOZSJT,O,X,X,X,O,X,X,X
IJTLSZO,O,X,X,O,X,X,O,X
IJTLSOZ,X,X,X,O,X,X,O,X
IJTLZSO,X,X,X,O,X,X,O,X
IJTLZOS,X,X,X,O,X,X,O,X
IJTLOSZ,X,X,X,O,X,X,O,X
IJTLOZS,X,X,X,O,X,X,O,X
IJTSLZO,O,O,X,O,X,X,O,X
IJTSLOZ,X,O,X,O,X,X,O,O
IJTSZLO,O,X,O,O,X,X,O,X
IJTSZOL,X,X,O,X,X,X,O,X
IJTSOLZ,X,O,X,O,X,X,O,O
IJTSOZL,X,X,X,X,X,X,O,O
IJTZLSO,O,X,X,O,X,X,O,X
IJTZLOS,X,X,X,O,X,X,O,X
IJTZSLO,O,X,X,O,X,X,O,X
IJTZSOL,X,X,X,X,X,X,O,X
IJTZOLS,X,X,X,X,X,X,O,X
IJTZOSL,X,X,X,X,X,X,O,X
IJTOLSZ,X,X,X,O,X,X,O,O
IJTOLZS,X,X,X,O,X,X,O,X
IJTOSLZ,X,X,X,O,X,X,O,O
IJTOSZL,X,X,X,X,X,X,O,O
IJTOZLS,X,X,X,X,X,X,O,X
IJTOZSL,X,X,X,X,X,X,O,O
IJLTSZO,O,X,X,O,X,X,O,X
IJLTSOZ,X,X,X,O,X,X,O,X
IJLTZSO,X,X,X,O,X,X,O,X
IJLTZOS,X,X,X,O,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,O,X
IJLTOZS,X,X,X,O,X,X,O,X
IJLSTZO,O,X,X,O,X,X,O,X
IJLSTOZ,X,X,X,O,X,X,O,X
IJLSZTO,O,X,X,X,X,X,O,X
IJLSZOT,O,X,X,X,X,X,O,X
IJLSOTZ,X,X,X,O,X,X,O,X
IJLSOZT,O,X,X,X,X,X,O,X
IJLZTSO,O,X,X,X,X,X,O,X
IJLZTOS,O,X,X,X,X,X,O,X
IJLZSTO,O,X,X,X,X,X,O,X
IJLZSOT,O,X,X,X,X,X,O,X
IJLZOTS,X,X,X,X,O,O,O,X
IJLZOST,O,X,X,X,O,X,O,X
IJLOTSZ,O,X,X,O,O,X,O,X
IJLOTZS,X,X,X,O,O,X,O,X
IJLOSTZ,O,X,X,O,O,X,O,X
IJLOSZT,O,X,X,X,O,X,O,X
IJLOZTS,X,X,X,X,O,O,O,X
IJLOZST,O,X,X,X,O,X,O,X
IJSTLZO,O,O,X,O,X,X,O,X
IJSTLOZ,X,O,X,O,X,X,O,O
IJSTZLO,O,X,O,O,X,X,O,X
IJSTZOL,X,X,O,X,X,X,O,X
IJSTOLZ,X,O,X,O,X,X,O,O
IJSTOZL,X,X,X,X,X,X,O,O
IJSLTZO,O,O,X,O,X,X,O,X
IJSLTOZ,X,O,X,O,X,X,O,O
IJSLZTO,O,X,X,X,X,X,O,X
IJSLZOT,O,X,X,X,X,X,O,X
IJSLOTZ,X,X,X,O,X,X,O,O
IJSLOZT,O,X,X,X,X,X,O,O
IJSZTLO,O,X,O,O,X,X,O,X
IJSZTOL,O,X,O,X,X,X,O,X
IJSZLTO,O,X,O,X,X,X,O,X
IJSZLOT,O,X,X,X,X,X,O,X
IJSZOTL,X,X,O,X,X,X,O,X
IJSZOLT,O,X,X,X,X,X,O,X
IJSOTLZ,X,O,X,O,X,X,O,O
IJSOTZL,X,X,X,X,X,X,O,O
IJSOLTZ,X,O,X,X,X,X,O,O
IJSOLZT,O,X,X,X,X,X,O,O
IJSOZTL,X,X,X,X,X,X,O,O
IJSOZLT,O,X,X,X,X,X,O,O
IJZTLSO,O,X,X,O,X,X,O,X
IJZTLOS,O,X,X,O,X,X,O,X
IJZTSLO,O,X,X,O,X,X,O,X
IJZTSOL,O,X,X,X,X,X,O,X
IJZTOLS,O,X,X,X,X,X,O,X
IJZTOSL,O,X,X,X,X,X,O,X
IJZLTSO,O,X,X,X,X,X,O,X
IJZLTOS,O,X,X,X,X,X,O,X
IJZLSTO,O,X,X,X,X,X,O,X
IJZLSOT,O,X,X,X,X,X,O,X
IJZLOTS,O,X,X,X,O,O,O,X
IJZLOST,O,X,X,X,O,X,O,X
IJZSTLO,O,X,X,O,X,X,O,X
IJZSTOL,O,X,X,X,X,X,O,X
IJZSLTO,O,X,X,X,X,X,O,X
IJZSLOT,O,X,X,X,X,X,O,X
IJZSOTL,X,X,X,X,X,X,O,X
IJZSOLT,O,X,X,X,X,X,O,X
IJZOTLS,O,X,X,X,O,X,O,X
IJZOTSL,O,X,X,X,O,X,O,X
IJZOLTS,O,X,X,X,O,X,O,X
IJZOLST,O,X,X,X,O,X,O,X
IJZOSTL,O,X,X,X,O,X,O,X
IJZOSLT,O,X,X,X,O,X,O,X
IJOTLSZ,O,X,X,O,O,X,O,O
IJOTLZS,X,X,X,O,O,X,O,X
IJOTSLZ,O,X,X,O,O,X,O,O
IJOTSZL,O,X,X,X,O,X,O,O
IJOTZLS,O,X,X,X,O,X,O,X
IJOTZSL,O,X,X,X,O,X,O,O
IJOLTSZ,O,X,X,X,O,X,O,O
IJOLTZS,X,X,X,X,O,X,O,X
IJOLSTZ,O,X,X,X,O,X,O,O
IJOLSZT,O,X,X,X,O,X,O,O
IJOLZTS,O,X,X,X,O,X,O,X
IJOLZST,O,X,X,X,O,X,O,X
IJOSTLZ,O,O,X,O,O,X,O,O
IJOSTZL,O,X,X,X,O,X,O,O
IJOSLTZ,O,O,X,X,O,X,O,O
IJOSLZT,O,X,X,X,O,X,O,O
IJOSZTL,O,X,X,X,O,X,O,O
IJOSZLT,O,X,X,X,O,X,O,O
IJOZTLS,O,X,X,X,O,X,O,X
IJOZTSL,O,X,X,X,O,X,O,O
IJOZLTS,O,X,X,X,O,X,O,X
IJOZLST,O,X,X,X,O,X,O,X
IJOZSTL,O,X,X,X,O,X,O,O
IJOZSLT,O,X,X,X,O,X,O,O
ISTLJZO,O,O,O,O,X,X,X,X
ISTLJOZ,X,O,X,O,X,X,X,O
ISTLZJO,X,O,O,O,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,X,X
ISTLOJZ,X,O,X,O,X,X,X,X
ISTLOZJ,X,O,O,O,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X
ISTJLOZ,X,O,X,O,X,X,X,O
ISTJZLO,O,X,O,O,X,X,X,X
ISTJZOL,X,X,O,X,X,X,X,X
ISTJOLZ,X,O,X,O,X,X,X,O
