sequence,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgBxhB6oBFnB8s?BzpB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBCjBmkB/sBTo?B0pB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBGjBikB/sBUo?BzpB,v115@KhB8HeC8DeA8BeD8AeB8JeXAJvhFxhBTjB2pBFnBCt?B0pB,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgB0hBSoBzpBxs?BlsB,v115@KhB8HeC8DeA8BeD8AeB8JeT/IvhF0hBxiBypBGoBls?BXqB,v115@KhB8HeC8DeA8BeD8AeB8JeFAJvhF0hBTjBmpBxsB/p?B6sB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBSoBTkBeqB/s?BUtB
TIOZJLS,O,X,X,X,O,X,O,X
TIOZJSL,O,X,X,X,O,X,O,X
TIOZSLJ,O,X,O,X,O,X,X,X
TIOZSJL,O,X,O,X,O,X,X,X
TLIJSZO,O,X,O,O,X,O,X,X
TLIJSOZ,X,X,X,O,X,O,X,X
TLIJZSO,X,X,X,O,X,O,X,X
TLIJZOS,X,X,X,O,X,O,X,X
TLIJOSZ,X,X,X,O,X,O,X,X
TLIJOZS,X,X,X,O,X,O,X,X
TLISJZO,O,O,O,O,X,X,X,X
TLISJOZ,X,O,X,O,X,X,X,X
TLISZJO,X,O,O,O,X,X,X,X
TLISZOJ,X,O,O,O,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X
TLISOZJ,X,O,O,O,X,X,X,X
TLIZJSO,X,X,X,O,X,O,X,X
TLIZJOS,X,X,X,O,X,O,X,X
TLIZSJO,X,X,O,O,X,X,X,X
TLIZSOJ,X,X,O,O,X,X,X,X
TLIZOJS,X,X,X,O,X,O,X,X
TLIZOSJ,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,O,X,O,X,X
TLIOJZS,X,X,X,O,X,O,X,X
TLIOSJZ,O,X,X,O,X,X,X,X
TLIOSZJ,X,X,O,O,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,X
TLIOZSJ,X,X,X,O,X,X,X,X
TLJISZO,O,X,O,O,X,O,X,X
TLJISOZ,X,X,X,O,X,O,X,X
TLJIZSO,X,X,X,O,X,O,X,X
TLJIZOS,X,X,X,O,X,O,X,X
TLJIOSZ,X,X,X,O,X,O,X,X
TLJIOZS,X,X,X,O,X,O,X,X
TLJSIZO,O,X,O,O,X,O,X,X
TLJSIOZ,X,X,X,O,X,O,X,O
TLJSZIO,O,X,O,O,X,O,X,X
TLJSZOI,O,X,O,O,X,O,X,O
TLJSOIZ,X,X,X,O,X,O,X,O
TLJSOZI,X,X,X,O,X,O,X,O
TLJZISO,O,X,X,O,X,O,X,X
TLJZIOS,O,X,X,O,X,O,X,X
TLJZSIO,O,X,X,O,X,O,X,X
TLJZSOI,O,X,X,O,X,O,X,X
TLJZOIS,O,X,X,O,X,O,X,X
TLJZOSI,O,X,X,O,X,O,X,X
TLJOISZ,X,X,X,O,X,O,X,O
TLJOIZS,X,X,X,O,X,O,X,X
TLJOSIZ,X,X,X,O,X,O,X,O
TLJOSZI,X,X,X,O,X,O,X,O
TLJOZIS,X,X,X,O,X,O,X,X
TLJOZSI,X,X,X,O,X,O,X,X
TLSIJZO,O,O,O,O,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,X,O
TLSIZJO,X,O,O,O,X,X,X,X
TLSIZOJ,X,O,O,O,X,X,X,X
TLSIOJZ,X,O,X,O,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,X
TLSJIZO,O,O,O,O,X,O,X,X
TLSJIOZ,X,O,X,O,X,O,X,O
TLSJZIO,O,O,O,O,X,O,X,X
TLSJZOI,O,O,O,O,X,O,X,O
TLSJOIZ,X,X,X,O,X,O,X,O
TLSJOZI,X,X,X,O,X,O,X,O
TLSZIJO,O,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X
TLSZJIO,O,O,O,O,X,O,X,X
TLSZJOI,O,O,O,O,X,O,X,O
TLSZOIJ,O,O,O,O,X,X,X,X
TLSZOJI,O,O,O,O,X,O,X,X
TLSOIJZ,X,O,O,O,X,X,X,X
TLSOIZJ,X,O,O,O,X,X,X,X
TLSOJIZ,X,O,O,O,X,O,X,O
TLSOJZI,X,O,O,O,X,O,X,O
TLSOZIJ,X,O,O,O,X,X,X,X
TLSOZJI,X,O,O,O,X,O,X,X
TLZIJSO,O,X,X,O,X,O,X,X
TLZIJOS,O,X,X,O,X,O,X,X
TLZISJO,O,O,O,O,X,X,X,X
TLZISOJ,O,O,O,O,X,X,X,X
TLZIOJS,O,X,X,O,X,O,X,X
TLZIOSJ,O,X,X,O,X,X,X,X
TLZJISO,O,O,X,O,X,O,X,X
TLZJIOS,O,X,X,O,X,O,X,X
TLZJSIO,O,O,X,O,X,O,X,X
TLZJSOI,O,O,X,O,X,O,X,X
TLZJOIS,O,X,X,O,X,O,X,X
TLZJOSI,O,X,X,O,X,O,X,X
TLZSIJO,O,O,O,O,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,X
TLZSJOI,O,O,O,O,X,O,X,X
TLZSOIJ,O,O,O,O,X,X,X,X
TLZSOJI,O,O,O,O,X,O,X,X
TLZOIJS,O,X,X,O,X,O,X,X
TLZOISJ,O,X,X,O,X,X,X,X
TLZOJIS,O,X,X,O,X,O,X,X
TLZOJSI,O,X,X,O,X,O,X,X
TLZOSIJ,O,X,X,O,X,X,X,X
TLZOSJI,O,X,X,O,X,O,X,X
TLOIJSZ,O,X,O,O,X,O,X,X
TLOIJZS,X,X,X,O,X,O,X,X
TLOISJZ,O,X,O,O,X,X,X,X
TLOISZJ,X,X,O,O,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,X
TLOIZSJ,X,X,O,O,X,X,X,X
TLOJISZ,O,X,O,O,X,O,X,X
TLOJIZS,X,X,X,O,X,O,X,X
TLOJSIZ,O,X,O,O,X,O,X,X
TLOJSZI,O,X,O,O,X,O,X,X
TLOJZIS,O,X,X,O,X,O,X,X
TLOJZSI,O,X,X,O,X,O,X,X
TLOSIJZ,O,X,O,O,X,X,X,X
TLOSIZJ,X,X,O,O,X,X,X,X
TLOSJIZ,O,X,O,O,X,O,X,X
TLOSJZI,O,X,O,O,X,O,X,X
TLOSZIJ,O,X,O,O,X,X,X,X
TLOSZJI,O,X,O,O,X,O,X,X
TLOZIJS,O,X,X,O,X,O,X,X
TLOZISJ,O,X,O,O,X,X,X,X
TLOZJIS,O,X,X,O,X,O,X,X
TLOZJSI,O,X,X,O,X,O,X,X
TLOZSIJ,O,X,O,O,X,X,X,X
TLOZSJI,O,X,O,O,X,O,X,X
TJILSZO,O,X,X,O,X,O,O,X
TJILSOZ,X,X,X,O,X,O,O,X
TJILZSO,X,X,X,O,X,O,O,X
TJILZOS,X,X,X,O,X,O,O,X
TJILOSZ,X,X,X,O,X,O,O,X
TJILOZS,X,X,X,O,X,O,O,X
TJISLZO,O,O,X,O,X,O,O,X
TJISLOZ,X,O,X,O,X,O,O,O
TJISZLO,O,X,O,O,X,O,O,X
TJISZOL,X,X,O,X,X,X,O,X
TJISOLZ,X,O,X,O,X,X,O,O
TJISOZL,X,X,X,X,X,X,O,O
TJIZLSO,O,X,X,O,X,O,O,X
TJIZLOS,X,X,X,O,X,O,O,X
TJIZSLO,O,X,X,O,X,O,O,X
TJIZSOL,X,X,X,X,X,X,O,X
TJIZOLS,X,X,X,X,X,O,O,X
TJIZOSL,X,X,X,X,X,X,O,X
TJIOLSZ,X,X,X,O,X,O,O,O
TJIOLZS,X,X,X,O,X,O,O,X
TJIOSLZ,X,X,X,O,X,X,O,O
TJIOSZL,X,X,X,X,X,X,O,O
TJIOZLS,X,X,X,X,X,O,O,X
TJIOZSL,X,X,X,X,X,X,O,O
TJLISZO,O,X,O,O,X,O,X,X
TJLISOZ,X,X,X,O,X,O,X,X
TJLIZSO,X,X,X,O,X,O,X,X
TJLIZOS,X,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,O,X,O,X,X
TJLSIZO,O,X,O,O,X,O,X,X
TJLSIOZ,X,X,X,O,X,O,X,O
TJLSZIO,O,X,O,O,X,O,X,X
TJLSZOI,O,X,O,O,X,O,X,O
TJLSOIZ,X,X,X,O,X,O,X,O
TJLSOZI,X,X,X,O,X,O,X,O
TJLZISO,O,X,X,O,X,O,X,X
TJLZIOS,O,X,X,O,X,O,X,X
TJLZSIO,O,X,X,O,X,O,X,X
TJLZSOI,O,X,X,O,X,O,X,X
TJLZOIS,O,X,X,O,X,O,X,X
TJLZOSI,O,X,X,O,X,O,X,X
TJLOISZ,X,X,X,O,X,O,X,O
TJLOIZS,X,X,X,O,X,O,X,X
TJLOSIZ,X,X,X,O,X,O,X,O
TJLOSZI,X,X,X,O,X,O,X,O
TJLOZIS,X,X,X,O,X,O,X,X
TJLOZSI,X,X,X,O,X,O,X,X
TJSILZO,O,O,X,O,X,O,X,X
TJSILOZ,X,O,X,O,X,O,X,O
TJSIZLO,O,X,O,O,X,O,X,X
TJSIZOL,X,X,O,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,O
TJSIOZL,X,X,X,X,X,X,X,O
TJSLIZO,O,O,O,O,X,O,X,X
TJSLIOZ,X,O,X,O,X,O,X,O
TJSLZIO,O,O,O,O,X,O,X,X
TJSLZOI,O,O,O,O,X,O,X,O
TJSLOIZ,X,X,X,O,X,O,X,O
TJSLOZI,X,X,X,O,X,O,X,O
TJSZILO,O,O,O,O,X,O,X,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,O,X,O,X,X
TJSZLOI,O,O,O,O,X,O,X,O
TJSZOIL,O,O,O,X,X,X,X,O
TJSZOLI,O,O,O,X,X,X,X,O
TJSOILZ,X,O,X,O,X,X,X,O
TJSOIZL,X,X,O,X,X,X,X,O
TJSOLIZ,X,O,O,O,X,X,X,O
TJSOLZI,X,O,O,O,X,X,X,O
TJSOZIL,X,O,O,X,X,X,X,O
TJSOZLI,X,O,O,X,X,X,X,O
TJZILSO,O,O,X,O,X,O,O,X
TJZILOS,O,X,X,O,X,O,O,X
TJZISLO,O,O,X,O,X,O,O,X
TJZISOL,O,O,X,X,X,X,O,X
TJZIOLS,O,X,X,X,X,O,O,X
TJZIOSL,O,O,X,X,X,X,O,X
TJZLISO,O,O,X,O,X,O,X,X
TJZLIOS,O,X,X,O,X,O,X,X
TJZLSIO,O,O,X,O,X,O,X,X
TJZLSOI,O,O,X,O,X,O,X,X
TJZLOIS,O,X,X,O,X,O,X,X
TJZLOSI,O,X,X,O,X,O,X,X
TJZSILO,O,O,X,O,X,O,X,X
TJZSIOL,O,O,X,X,X,X,X,X
TJZSLIO,O,O,X,O,X,O,X,X
TJZSLOI,O,O,X,O,X,O,X,O
TJZSOIL,O,O,X,X,X,X,X,O
TJZSOLI,O,O,X,X,X,X,X,O
TJZOILS,O,X,X,X,X,O,X,X
TJZOISL,O,O,X,X,X,X,X,O
TJZOLIS,O,X,X,X,X,O,X,X
TJZOLSI,O,X,X,X,X,O,X,X
TJZOSIL,O,O,X,X,X,X,X,O
TJZOSLI,O,O,X,X,X,X,X,O
TJOILSZ,X,X,X,O,X,O,X,O
TJOILZS,X,X,X,O,X,O,X,X
TJOISLZ,X,X,X,O,X,X,X,O
TJOISZL,X,X,O,X,X,X,X,O
TJOIZLS,X,X,X,X,X,O,X,X
TJOIZSL,X,X,X,X,X,X,X,O
TJOLISZ,X,X,O,O,X,O,X,O
TJOLIZS,X,X,X,O,X,O,X,X
TJOLSIZ,X,X,O,O,X,O,X,O
TJOLSZI,X,X,O,O,X,O,X,O
TJOLZIS,X,X,X,O,X,O,X,X
TJOLZSI,X,X,X,O,X,O,X,X
TJOSILZ,X,X,X,O,X,X,X,O
TJOSIZL,X,X,O,X,X,X,X,O
TJOSLIZ,X,X,O,O,X,X,X,O
TJOSLZI,X,X,O,O,X,X,X,O
TJOSZIL,X,X,O,X,X,X,X,O
TJOSZLI,X,X,O,X,X,X,X,O
TJOZILS,X,X,X,X,X,O,X,X
TJOZISL,X,X,X,X,X,X,X,O
TJOZLIS,X,X,X,X,X,O,X,X
TJOZLSI,X,X,X,X,X,O,X,X
TJOZSIL,X,X,X,X,X,X,X,O
TJOZSLI,X,X,X,X,X,X,X,O
TSILJZO,O,O,O,O,X,X,X,X
TSILJOZ,X,O,X,O,X,X,X,O
TSILZJO,X,O,O,O,X,X,X,X
TSILZOJ,X,O,O,O,X,X,X,X
TSILOJZ,X,O,X,O,X,X,X,X
TSILOZJ,X,O,O,O,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X
TSIJLOZ,X,O,X,O,X,X,X,O
TSIJZLO,O,X,O,O,X,X,X,X
TSIJZOL,X,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,O
TSIJOZL,X,X,X,X,X,X,X,O
TSIZLJO,O,O,O,O,X,X,X,X
TSIZLOJ,X,O,O,O,X,X,X,X
TSIZJLO,O,O,O,O,X,X,X,X
TSIZJOL,X,O,O,X,X,X,X,X
TSIZOLJ,X,O,O,X,X,X,X,X
TSIZOJL,X,O,O,X,X,X,X,X
TSIOLJZ,X,O,O,O,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,X
TSIOJLZ,X,O,X,O,X,X,X,X
TSIOJZL,X,X,O,X,X,X,X,X
TSIOZLJ,X,O,O,X,X,X,X,X
TSIOZJL,X,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,X,X,X,X
TSLIJOZ,X,O,X,O,X,X,X,O
TSLIZJO,X,O,O,O,X,X,X,X
TSLIZOJ,X,O,O,O,X,X,X,X
TSLIOJZ,X,O,X,O,X,X,X,X
TSLIOZJ,X,O,O,O,X,X,X,X
TSLJIZO,O,O,O,O,X,O,X,X
TSLJIOZ,X,O,X,O,X,O,X,O
TSLJZIO,O,O,O,O,X,O,X,X
TSLJZOI,O,O,O,O,X,O,X,O
TSLJOIZ,X,X,X,O,X,O,X,O
TSLJOZI,X,X,X,O,X,O,X,O
TSLZIJO,O,O,O,O,X,X,X,X
TSLZIOJ,O,O,O,O,X,X,X,X
TSLZJIO,O,O,O,O,X,O,X,X
TSLZJOI,O,O,O,O,X,O,X,O
TSLZOIJ,O,O,O,O,X,X,X,X
TSLZOJI,O,O,O,O,X,O,X,X
TSLOIJZ,X,O,O,O,X,X,X,X
TSLOIZJ,X,O,O,O,X,X,X,X
TSLOJIZ,X,O,O,O,X,O,X,O
TSLOJZI,X,O,O,O,X,O,X,O
TSLOZIJ,X,O,O,O,X,X,X,X
TSLOZJI,X,O,O,O,X,O,X,X
TSJILZO,O,O,X,O,X,O,X,X
TSJILOZ,X,O,X,O,X,O,X,O
TSJIZLO,O,X,O,O,X,O,X,X
TSJIZOL,X,X,O,X,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,O
TSJIOZL,X,X,X,X,X,X,X,O
TSJLIZO,O,O,O,O,X,O,X,X
TSJLIOZ,X,O,X,O,X,O,X,O
TSJLZIO,O,O,O,O,X,O,X,X
TSJLZOI,O,O,O,O,X,O,X,O
TSJLOIZ,X,X,X,O,X,O,X,O
TSJLOZI,X,X,X,O,X,O,X,O
TSJZILO,O,O,O,O,X,O,X,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,X,O,X,X
TSJZLOI,O,O,O,O,X,O,X,O
TSJZOIL,O,O,O,X,X,X,X,O
TSJZOLI,O,O,O,X,X,X,X,O
TSJOILZ,X,O,X,O,X,X,X,O
TSJOIZL,X,X,O,X,X,X,X,O
TSJOLIZ,X,O,O,O,X,X,X,O
TSJOLZI,X,O,O,O,X,X,X,O
TSJOZIL,X,O,O,X,X,X,X,O
TSJOZLI,X,O,O,X,X,X,X,O
TSZILJO,O,O,O,O,X,X,X,X
TSZILOJ,O,O,O,O,X,X,X,X
TSZIJLO,O,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,X,O,X,X
TSZLJOI,O,O,O,O,X,O,X,O
TSZLOIJ,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,X,O,X,X
TSZJILO,O,O,O,O,X,O,X,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,O,X,O,X,X
TSZJLOI,O,O,O,O,X,O,X,O
TSZJOIL,O,O,O,X,X,X,X,O
TSZJOLI,O,O,O,X,X,X,X,O
TSZOILJ,O,O,O,X,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,X,X
TSZOLJI,O,O,O,X,X,X,X,X
TSZOJIL,O,O,O,X,X,X,X,X
TSZOJLI,O,O,O,X,X,X,X,X
TSOILJZ,X,O,O,O,X,X,X,X
TSOILZJ,X,O,O,O,X,X,X,X
TSOIJLZ,X,O,X,O,X,X,X,X
