sequence,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhF3g?BGiB5oBimBTqBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFGh?BTiB5oBilB3qBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFTi?B5oBOqBXmBUsBCrB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhFXh?B5oBFnBOqBCrBTsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhF/m?BGiB5oB1qBKsBTqB
TLOSIJZ,X,X,X,X,X
TLOSIZJ,X,X,X,X,X
TLOSJIZ,X,X,X,X,X
TLOSJZI,X,X,X,X,X
TLOSZIJ,X,X,X,X,X
TLOSZJI,X,X,X,X,X
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,X,X,X,X,X
TLOZSIJ,X,X,X,X,X
TLOZSJI,X,X,X,X,X
TJILSZO,O,X,X,X,X
TJILSOZ,O,X,X,X,X
TJILZSO,X,X,X,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,X,X,X,X,X
TJILOZS,X,X,X,X,X
TJISLZO,X,X,X,X,X
TJISLOZ,X,X,X,X,X
TJISZLO,X,X,X,X,X
TJISZOL,X,X,O,X,X
TJISOLZ,X,X,X,X,X
TJISOZL,X,X,X,X,X
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,X,X,X,X,X
TJIZSOL,X,X,O,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,O,X,X
TJIOLSZ,O,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,O,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,O,X,X,X,X
TJLISOZ,O,X,X,X,X
TJLIZSO,X,X,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,O,X,X,X,X
TJLSIOZ,O,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,X,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,O,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,O,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,O,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,X,X
TJZILOS,X,X,X,X,X
TJZISLO,X,X,X,X,X
TJZISOL,X,X,O,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,O,X,X
TJZLISO,X,X,X,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,X,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,X,X,X,X
TJZSIOL,X,X,O,X,X
TJZSLIO,X,X,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,X,O,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,X,O,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,O,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,O,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,O,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,O,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,X,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,X,O,X,X,X
TSILJOZ,X,O,X,X,X
TSILZJO,X,O,X,O,X
TSILZOJ,X,O,X,X,X
TSILOJZ,X,O,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,O,X,O,X
TSIZLOJ,X,O,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,O,X,X,X
TSIZOLJ,X,O,X,X,X
TSIZOJL,X,O,X,X,X
TSIOLJZ,X,O,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,O,X,X,X
TSLIJOZ,X,O,X,X,X
TSLIZJO,X,O,X,O,X
TSLIZOJ,X,O,X,X,X
TSLIOJZ,X,O,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,O,X,X,X
TSLJIOZ,X,O,X,X,X
TSLJZIO,X,O,X,X,X
TSLJZOI,X,O,X,X,X
TSLJOIZ,X,O,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,O,X,O,X
TSLZIOJ,X,O,X,X,X
TSLZJIO,X,O,X,X,X
TSLZJOI,X,O,X,X,X
TSLZOIJ,X,O,X,X,X
TSLZOJI,X,O,X,X,X
TSLOIJZ,X,O,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,O,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,O,X,O,X
TSZILOJ,X,O,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,O,X,X,X
TSZIOLJ,X,O,X,X,X
TSZIOJL,X,O,X,X,X
TSZLIJO,X,O,X,X,X
TSZLIOJ,X,O,X,X,X
TSZLJIO,X,O,X,X,X
TSZLJOI,X,O,X,X,X
TSZLOIJ,X,O,X,X,X
TSZLOJI,X,O,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,O,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,O,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,O,X,X,X
TSZOIJL,X,O,X,X,X
TSZOLIJ,X,O,X,X,X
TSZOLJI,X,O,X,X,X
TSZOJIL,X,O,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,O,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,O,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,X,O,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,O,X,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,O,X,X,O,O
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,O,X,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,O,X,X
TZIJOLS,O,X,X,X,X
TZIJOSL,O,O,O,X,X
TZISLJO,X,O,X,O,X
TZISLOJ,X,O,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,O,X,X,X
TZISOLJ,X,O,X,X,X
TZISOJL,X,O,X,X,X
TZIOLJS,O,X,X,X,X
TZIOLSJ,O,X,X,X,X
TZIOJLS,O,X,X,X,X
TZIOJSL,O,O,O,X,X
TZIOSLJ,O,O,X,X,X
TZIOSJL,O,O,X,X,X
TZLIJSO,O,X,X,X,X
TZLIJOS,X,X,X,X,X
TZLISJO,O,X,X,O,O
TZLISOJ,X,X,X,X,X
TZLIOJS,X,X,X,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,O,X,X,X,X
TZLJIOS,X,X,X,X,X
TZLJSIO,O,X,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,X,X,X
TZLJOSI,X,X,X,X,X
TZLSIJO,O,X,X,O,O
TZLSIOJ,X,X,X,X,X
TZLSJIO,O,X,X,X,O
TZLSJOI,X,X,X,X,X
TZLSOIJ,X,X,X,X,X
TZLSOJI,X,X,X,X,X
TZLOIJS,X,X,X,X,X
TZLOISJ,X,X,X,X,X
