sequence,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeOEJvhFlgBUiB5oBz?kBKrBfsB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kei/IvhF3gBUiB5oB1?pBOrBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeT/IvhF0gBlhB5oBy?pBXnB2wB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kel/IvhF3gBUiB5oB2?pBTmBywB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflBUiB5oBF?mBzrBmqB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gB5oBF?nBTrBmrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB5oBUmBF?nBmqBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gBlhB5?oBOsBTrB
TILJSZO,O,O,O,O,X,O,O,O
TILJSOZ,O,O,O,O,X,X,X,O
TILJZSO,O,O,O,O,X,X,O,O
TILJZOS,X,O,O,O,X,X,X,X
TILJOSZ,O,O,O,O,X,X,X,O
TILJOZS,O,O,O,O,X,X,X,O
TILSJZO,O,O,O,O,X,O,O,O
TILSJOZ,O,O,O,O,X,X,X,O
TILSZJO,O,O,O,O,X,O,O,O
TILSZOJ,O,O,O,O,X,O,O,O
TILSOJZ,O,O,O,X,O,O,X,O
TILSOZJ,O,O,O,O,O,O,O,O
TILZJSO,O,O,O,O,X,X,O,X
TILZJOS,X,O,O,O,X,X,X,X
TILZSJO,O,O,O,O,X,O,O,X
TILZSOJ,O,O,O,O,X,O,O,X
TILZOJS,O,O,O,X,X,X,X,X
TILZOSJ,O,O,O,X,X,X,O,X
TILOJSZ,O,O,O,O,O,O,X,O
TILOJZS,O,O,O,O,O,X,X,X
TILOSJZ,O,O,O,O,O,O,X,O
TILOSZJ,O,O,O,O,O,O,O,O
TILOZJS,O,O,O,O,O,X,X,X
TILOZSJ,O,O,O,O,O,O,O,O
TIJLSZO,O,O,O,O,X,O,O,O
TIJLSOZ,O,O,O,O,X,X,X,O
TIJLZSO,O,O,O,O,X,X,O,O
TIJLZOS,X,O,O,O,X,X,X,X
TIJLOSZ,O,O,O,O,X,X,X,O
TIJLOZS,O,O,O,O,X,X,X,O
TIJSLZO,O,O,O,O,X,X,X,O
TIJSLOZ,O,O,O,O,X,X,X,O
TIJSZLO,O,O,O,O,X,X,X,X
TIJSZOL,X,O,O,O,X,X,X,X
TIJSOLZ,X,O,O,O,X,X,X,X
TIJSOZL,X,O,O,O,X,X,X,X
TIJZLSO,O,O,O,O,X,X,O,O
TIJZLOS,X,O,O,O,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,X
TIJZSOL,X,O,O,O,X,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X
TIJZOSL,X,O,X,O,X,X,X,X
TIJOLSZ,O,O,X,O,X,X,X,O
TIJOLZS,O,O,X,O,X,X,X,O
TIJOSLZ,O,O,X,O,X,X,X,O
TIJOSZL,X,O,X,O,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,O
TIJOZSL,X,O,X,O,X,X,X,X
TISLJZO,O,O,O,O,X,O,O,X
TISLJOZ,O,O,O,O,X,X,X,X
TISLZJO,O,O,O,O,X,O,O,X
TISLZOJ,O,O,O,O,X,O,O,X
TISLOJZ,O,O,O,X,X,X,X,X
TISLOZJ,O,O,O,O,X,O,O,X
TISJLZO,O,O,O,O,X,X,X,X
TISJLOZ,O,O,O,O,X,X,X,X
TISJZLO,O,O,O,O,X,X,X,X
TISJZOL,X,O,O,O,X,X,X,X
TISJOLZ,X,O,O,O,X,X,X,X
TISJOZL,X,O,O,O,X,X,X,X
TISZLJO,O,O,O,O,X,X,O,X
TISZLOJ,O,O,O,O,X,X,O,X
TISZJLO,O,O,O,O,X,X,X,X
TISZJOL,X,O,X,O,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X
TISZOJL,O,O,X,O,X,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X
TISOLZJ,O,O,O,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X
TISOJZL,O,O,X,X,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X
TIZLJSO,O,O,O,O,X,X,O,X
TIZLJOS,X,O,O,O,X,X,X,X
TIZLSJO,O,O,O,O,X,O,O,X
TIZLSOJ,O,O,O,O,X,O,O,X
TIZLOJS,O,O,O,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,O,X
TIZJLSO,O,O,O,O,X,X,O,X
TIZJLOS,X,O,O,O,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X
TIZJOLS,X,O,O,O,X,X,X,X
TIZJOSL,X,O,X,O,X,X,X,X
TIZSLJO,O,O,O,O,X,X,O,X
TIZSLOJ,O,O,O,O,X,X,O,X
TIZSJLO,O,O,O,O,X,X,X,X
TIZSJOL,X,O,X,O,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X
TIZSOJL,O,O,X,O,X,X,X,X
