sequence,v115@IhA8EeA8CeB8DeC8AeB8DeC8JeZEJvhFUgBamBFiBT?jBfsBWwB,v115@IhA8EeA8CeB8DeC8AeB8DeC8JeZEJvhFUgBOnBTjBX?mB1wBCrB,v115@IhA8EeA8CeB8DeC8AeB8DeC8JeZEJvhF0hBTjBllBi?rBGqBXsB,v115@IhA8EeA8CeB8DeC8AeB8DeC8JeZEJvhFFgB8lBCiBT?jBesBXrB
TILJSZO,X,O,X,O
TILJSOZ,X,O,X,O
TILJZSO,X,O,X,X
TILJZOS,X,O,O,X
TILJOSZ,X,O,X,O
TILJOZS,X,O,O,X
TILSJZO,O,O,X,X
TILSJOZ,O,O,X,X
TILSZJO,O,O,X,X
TILSZOJ,O,O,O,X
TILSOJZ,O,O,X,X
TILSOZJ,O,O,O,X
TILZJSO,X,O,X,X
TILZJOS,X,O,O,X
TILZSJO,O,O,X,X
TILZSOJ,O,O,O,X
TILZOJS,X,O,O,X
TILZOSJ,O,O,O,X
TILOJSZ,X,O,X,O
TILOJZS,X,O,O,X
TILOSJZ,O,O,X,X
TILOSZJ,O,O,O,X
TILOZJS,X,O,O,X
TILOZSJ,O,O,O,X
TIJLSZO,O,O,X,O
TIJLSOZ,O,O,X,O
TIJLZSO,O,O,X,X
TIJLZOS,O,O,O,X
TIJLOSZ,O,O,X,O
TIJLOZS,O,O,O,X
TIJSLZO,O,O,X,O
TIJSLOZ,O,O,X,O
TIJSZLO,O,O,X,O
TIJSZOL,O,O,X,O
TIJSOLZ,O,O,X,O
TIJSOZL,O,O,X,O
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,O,X
TIJZOSL,O,O,X,X
TIJOLSZ,O,O,X,O
TIJOLZS,O,O,O,X
TIJOSLZ,O,O,X,O
TIJOSZL,O,O,X,O
TIJOZLS,O,O,O,X
TIJOZSL,O,O,X,X
TISLJZO,O,O,X,X
TISLJOZ,O,O,X,X
TISLZJO,O,O,X,X
TISLZOJ,O,O,O,X
TISLOJZ,O,O,X,X
TISLOZJ,O,O,O,X
TISJLZO,O,O,X,X
TISJLOZ,O,O,X,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,X,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,O,X
TISZOJL,O,O,X,X
TISOLJZ,O,O,X,X
TISOLZJ,O,O,O,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,O,O,X
TISOZJL,O,O,X,X
TIZLJSO,O,O,X,X
TIZLJOS,O,O,O,X
TIZLSJO,O,O,X,X
TIZLSOJ,O,O,O,X
TIZLOJS,O,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,O,O,X,X
TIZJLOS,O,O,X,X
TIZJSLO,O,O,X,X
TIZJSOL,O,O,X,X
TIZJOLS,O,O,O,X
TIZJOSL,O,O,X,X
TIZSLJO,O,O,X,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,O,X
TIZSOJL,O,O,X,X
TIZOLJS,O,O,O,X
TIZOLSJ,O,O,O,X
TIZOJLS,O,O,O,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,O,O,X
TIZOSJL,O,O,X,X
TIOLJSZ,X,O,X,O
TIOLJZS,X,O,O,X
TIOLSJZ,O,O,X,X
TIOLSZJ,O,O,O,X
TIOLZJS,X,O,O,X
TIOLZSJ,O,O,O,X
TIOJLSZ,O,O,X,O
TIOJLZS,O,O,O,X
TIOJSLZ,O,O,X,O
TIOJSZL,O,O,X,O
TIOJZLS,O,O,O,X
TIOJZSL,O,O,X,X
TIOSLJZ,O,O,X,X
TIOSLZJ,O,O,O,X
TIOSJLZ,O,O,X,X
TIOSJZL,O,O,X,X
TIOSZLJ,O,O,O,X
TIOSZJL,O,O,X,X
TIOZLJS,O,O,O,X
TIOZLSJ,O,O,O,X
TIOZJLS,O,O,O,X
TIOZJSL,O,O,X,X
TIOZSLJ,O,O,O,X
TIOZSJL,O,O,X,X
TLIJSZO,X,O,X,O
TLIJSOZ,X,O,X,O
TLIJZSO,X,O,X,X
TLIJZOS,X,O,O,X
TLIJOSZ,X,O,X,O
TLIJOZS,X,O,O,X
TLISJZO,O,O,X,X
TLISJOZ,O,O,X,X
TLISZJO,O,O,X,X
TLISZOJ,O,O,O,X
TLISOJZ,O,O,X,X
TLISOZJ,O,O,O,X
TLIZJSO,X,O,X,X
TLIZJOS,X,O,O,X
TLIZSJO,O,O,X,X
TLIZSOJ,O,O,O,X
TLIZOJS,X,O,O,X
TLIZOSJ,O,O,O,X
TLIOJSZ,X,O,X,O
TLIOJZS,X,O,O,X
TLIOSJZ,O,O,X,X
TLIOSZJ,O,O,O,X
TLIOZJS,X,O,O,X
TLIOZSJ,O,O,O,X
TLJISZO,X,O,X,O
TLJISOZ,X,O,X,O
TLJIZSO,X,O,X,X
TLJIZOS,X,O,O,X
TLJIOSZ,X,O,X,O
TLJIOZS,X,O,O,X
TLJSIZO,X,O,X,O
TLJSIOZ,X,O,X,O
TLJSZIO,X,O,X,O
TLJSZOI,X,O,X,O
TLJSOIZ,X,O,X,O
TLJSOZI,X,O,X,O
TLJZISO,X,O,X,X
TLJZIOS,X,O,O,X
TLJZSIO,X,O,X,X
TLJZSOI,X,O,X,X
TLJZOIS,X,O,O,X
TLJZOSI,X,O,X,X
TLJOISZ,X,O,X,O
TLJOIZS,X,O,O,X
TLJOSIZ,X,O,X,O
TLJOSZI,X,O,X,O
TLJOZIS,X,O,O,X
TLJOZSI,X,O,X,X
TLSIJZO,O,O,X,X
TLSIJOZ,O,O,X,X
TLSIZJO,O,O,X,X
TLSIZOJ,O,O,O,X
TLSIOJZ,O,O,X,X
TLSIOZJ,O,O,O,X
TLSJIZO,O,O,X,X
TLSJIOZ,O,O,X,X
TLSJZIO,O,O,X,X
TLSJZOI,O,O,X,X
TLSJOIZ,O,O,X,X
TLSJOZI,O,O,X,X
TLSZIJO,O,O,X,X
TLSZIOJ,O,O,O,X
TLSZJIO,O,O,X,X
TLSZJOI,O,O,X,X
TLSZOIJ,O,O,O,X
TLSZOJI,O,O,X,X
TLSOIJZ,O,O,X,X
TLSOIZJ,O,O,O,X
TLSOJIZ,O,O,X,X
TLSOJZI,O,O,X,X
TLSOZIJ,O,O,O,X
TLSOZJI,O,O,X,X
TLZIJSO,X,O,X,X
TLZIJOS,X,O,O,X
TLZISJO,O,O,X,X
TLZISOJ,O,O,O,X
TLZIOJS,X,O,O,X
TLZIOSJ,O,O,O,X
TLZJISO,X,O,X,X
TLZJIOS,X,O,O,X
TLZJSIO,X,O,X,X
TLZJSOI,X,O,X,X
TLZJOIS,X,O,O,X
TLZJOSI,X,O,X,X
TLZSIJO,O,O,X,X
TLZSIOJ,O,O,O,X
TLZSJIO,O,O,X,X
TLZSJOI,O,O,X,X
TLZSOIJ,O,O,O,X
TLZSOJI,O,O,X,X
TLZOIJS,X,O,O,X
TLZOISJ,O,O,O,X
TLZOJIS,X,O,O,X
TLZOJSI,X,O,X,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,X,X
