sequence,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhF0hBliB5oBy?sB3pBWxB,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhFlhBaoB5oB8?rB+sB3pB,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhF6mBliB5oBe?sB8sB3pB,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhF6mBmiB5oB0?nB3pBVxB,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhFmiB5oBCnB3?pBlsB0rB,v115@/gB8HeC8EeA8BeB8GeC8CeA8KeT/IvhFVnBaoB5oB3?pBGsB0rB
IOTZLJS,O,O,O,O,X,X
IOTZLSJ,O,X,X,O,X,X
IOTZJLS,O,O,O,O,X,X
IOTZJSL,O,O,O,O,X,X
IOTZSLJ,O,O,X,O,X,X
IOTZSJL,X,O,X,O,X,X
IOLTJSZ,O,X,X,X,X,X
IOLTJZS,O,O,O,O,X,X
IOLTSJZ,O,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X
IOLTZJS,O,O,O,O,X,X
IOLTZSJ,O,X,X,O,X,X
IOLJTSZ,O,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X
IOLJSTZ,O,O,O,X,X,O
IOLJSZT,O,O,O,X,X,O
IOLJZTS,O,O,O,X,X,X
IOLJZST,O,O,O,X,X,X
IOLSTJZ,O,O,O,X,X,O
IOLSTZJ,O,X,O,X,X,X
IOLSJTZ,O,O,O,X,X,O
IOLSJZT,O,O,O,X,X,O
IOLSZTJ,O,X,O,X,X,X
IOLSZJT,O,O,O,X,X,O
IOLZTJS,O,O,O,X,X,X
IOLZTSJ,O,X,X,X,X,X
IOLZJTS,O,O,O,X,X,X
IOLZJST,O,O,O,X,X,X
IOLZSTJ,O,X,O,X,X,X
IOLZSJT,O,X,O,X,X,X
IOJTLSZ,O,X,X,X,X,O
IOJTLZS,O,O,O,O,X,X
IOJTSLZ,X,X,X,X,X,O
IOJTSZL,X,X,X,X,X,O
IOJTZLS,O,O,O,O,X,X
IOJTZSL,O,O,O,O,X,X
IOJLTSZ,O,X,X,X,X,X
IOJLTZS,O,O,O,X,X,X
IOJLSTZ,O,O,O,X,X,O
IOJLSZT,O,O,O,X,X,O
IOJLZTS,O,O,O,X,X,X
IOJLZST,O,O,O,X,X,X
IOJSTLZ,O,O,O,X,X,O
IOJSTZL,O,O,O,X,X,O
IOJSLTZ,O,O,O,X,X,O
IOJSLZT,O,O,O,X,X,O
IOJSZTL,O,O,O,X,X,O
IOJSZLT,O,O,O,X,X,O
IOJZTLS,O,O,O,X,X,X
IOJZTSL,O,O,O,X,X,X
IOJZLTS,O,O,O,X,X,X
IOJZLST,O,O,O,X,X,X
IOJZSTL,O,O,O,X,X,X
IOJZSLT,O,O,O,X,X,X
IOSTLJZ,O,O,O,O,O,O
IOSTLZJ,O,O,O,O,O,X
IOSTJLZ,O,O,O,O,O,O
IOSTJZL,O,O,O,O,O,O
IOSTZLJ,O,O,O,O,O,X
IOSTZJL,O,O,O,O,O,X
IOSLTJZ,O,O,O,O,O,O
IOSLTZJ,O,O,O,O,O,X
IOSLJTZ,O,O,O,X,X,O
IOSLJZT,O,O,O,X,X,O
IOSLZTJ,O,O,O,X,X,X
IOSLZJT,O,O,O,X,X,O
IOSJTLZ,O,O,O,O,O,O
IOSJTZL,O,O,O,O,O,O
IOSJLTZ,O,O,O,X,X,O
IOSJLZT,O,O,O,X,X,O
IOSJZTL,O,O,O,X,X,O
IOSJZLT,O,O,O,X,X,O
IOSZTLJ,O,O,O,O,O,X
IOSZTJL,O,O,O,O,O,X
IOSZLTJ,O,O,O,X,X,X
IOSZLJT,O,O,O,X,X,O
IOSZJTL,O,O,O,X,X,O
IOSZJLT,O,O,O,X,X,O
IOZTLJS,O,O,O,O,X,X
IOZTLSJ,O,X,X,O,X,X
IOZTJLS,O,O,O,O,X,X
IOZTJSL,O,O,O,O,X,X
IOZTSLJ,O,O,X,O,X,X
IOZTSJL,O,O,X,O,X,X
IOZLTJS,O,O,O,X,X,X
IOZLTSJ,O,X,X,X,X,X
IOZLJTS,O,O,O,X,X,X
IOZLJST,O,O,O,X,X,X
IOZLSTJ,O,X,O,X,X,X
IOZLSJT,O,X,O,X,X,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,O,O,O,X,X,X
IOZJLTS,O,O,O,X,X,X
IOZJLST,O,O,O,X,X,X
IOZJSTL,O,O,O,X,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,O,O,X,X,X
IOZSTJL,O,O,O,X,X,X
IOZSLTJ,O,O,O,X,X,X
IOZSLJT,O,O,O,X,X,X
IOZSJTL,O,O,O,X,X,X
IOZSJLT,O,O,O,X,X,X
LTIJSZO,O,O,O,O,O,O
LTIJSOZ,O,O,O,O,O,O
LTIJZSO,O,O,O,O,O,X
LTIJZOS,O,O,O,O,X,X
LTIJOSZ,O,X,X,X,O,X
LTIJOZS,O,O,O,O,X,X
LTISJZO,O,O,O,O,O,O
LTISJOZ,O,O,O,O,O,O
LTISZJO,O,O,O,O,O,X
LTISZOJ,O,O,O,O,O,X
LTISOJZ,O,O,O,O,O,O
LTISOZJ,O,O,O,O,O,X
LTIZJSO,O,O,O,O,O,X
LTIZJOS,O,O,O,O,X,X
LTIZSJO,O,O,O,O,O,X
LTIZSOJ,O,O,O,O,O,X
LTIZOJS,O,O,O,O,X,X
LTIZOSJ,O,X,X,O,X,X
LTIOJSZ,O,X,X,X,O,X
LTIOJZS,O,O,O,O,X,X
LTIOSJZ,O,X,X,O,O,X
LTIOSZJ,O,X,X,O,O,X
LTIOZJS,O,O,O,O,X,X
LTIOZSJ,O,X,X,O,X,X
LTJISZO,O,O,O,O,O,O
LTJISOZ,O,O,O,O,O,O
LTJIZSO,O,O,O,O,O,X
LTJIZOS,O,O,O,O,X,X
LTJIOSZ,O,X,X,X,O,X
LTJIOZS,O,O,O,O,X,X
LTJSIZO,O,O,O,O,O,O
LTJSIOZ,O,O,O,O,O,O
LTJSZIO,O,O,O,O,O,X
LTJSZOI,O,O,O,O,O,X
LTJSOIZ,O,O,O,O,O,O
LTJSOZI,O,O,O,O,O,X
LTJZISO,O,O,O,O,O,X
LTJZIOS,O,O,O,O,X,X
LTJZSIO,O,O,O,O,O,X
LTJZSOI,O,O,O,O,O,X
LTJZOIS,O,O,O,O,X,X
LTJZOSI,O,O,O,O,X,X
LTJOISZ,O,X,X,X,O,X
LTJOIZS,O,O,O,O,X,X
LTJOSIZ,O,X,X,X,O,X
LTJOSZI,O,X,X,X,O,X
LTJOZIS,O,O,O,O,X,X
LTJOZSI,O,O,O,O,X,X
LTSIJZO,O,O,O,O,O,O
LTSIJOZ,O,O,O,O,O,O
LTSIZJO,O,O,O,O,O,X
LTSIZOJ,O,O,O,O,O,X
LTSIOJZ,O,O,O,O,O,O
LTSIOZJ,O,O,O,O,O,X
LTSJIZO,O,O,O,O,O,O
LTSJIOZ,O,O,O,O,O,O
LTSJZIO,O,O,O,O,O,X
LTSJZOI,O,O,O,O,O,X
LTSJOIZ,O,O,O,O,O,O
LTSJOZI,O,O,O,O,O,X
LTSZIJO,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,O,X
LTSZJIO,O,O,O,O,O,X
LTSZJOI,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,O,X
LTSZOJI,O,O,O,O,O,X
LTSOIJZ,O,O,O,O,O,O
LTSOIZJ,O,O,O,O,O,X
LTSOJIZ,O,O,O,O,O,O
LTSOJZI,O,O,O,O,O,X
LTSOZIJ,O,O,O,O,O,X
LTSOZJI,O,O,O,O,O,X
LTZIJSO,O,O,O,O,O,X
LTZIJOS,O,O,O,O,X,X
LTZISJO,O,O,O,O,O,X
LTZISOJ,O,O,O,O,O,X
LTZIOJS,O,O,O,O,X,X
LTZIOSJ,O,X,X,O,X,X
LTZJISO,O,O,O,O,O,X
LTZJIOS,O,O,O,O,X,X
LTZJSIO,O,O,O,O,O,X
LTZJSOI,O,O,O,O,O,X
LTZJOIS,O,O,O,O,X,X
LTZJOSI,X,O,O,O,X,X
LTZSIJO,O,O,O,O,O,X
LTZSIOJ,O,O,O,O,O,X
LTZSJIO,O,O,O,O,O,X
LTZSJOI,O,O,O,O,O,X
LTZSOIJ,O,O,O,O,O,X
LTZSOJI,O,O,O,O,O,X
LTZOIJS,O,O,O,O,X,X
LTZOISJ,O,X,X,O,X,X
LTZOJIS,O,O,O,O,X,X
LTZOJSI,X,O,O,O,X,X
LTZOSIJ,O,X,X,O,X,X
LTZOSJI,O,X,X,O,X,X
LTOIJSZ,O,X,X,X,O,X
LTOIJZS,O,O,O,O,X,X
LTOISJZ,O,X,X,O,O,X
LTOISZJ,O,X,X,O,O,X
LTOIZJS,O,O,O,O,X,X
LTOIZSJ,O,X,X,O,X,X
LTOJISZ,O,X,X,X,O,X
LTOJIZS,O,O,O,O,X,X
LTOJSIZ,O,X,X,X,O,X
LTOJSZI,O,X,X,X,O,X
LTOJZIS,O,O,O,O,X,X
LTOJZSI,O,O,O,O,X,X
LTOSIJZ,O,X,X,O,O,X
LTOSIZJ,O,X,X,O,O,X
LTOSJIZ,O,X,X,O,O,X
LTOSJZI,O,X,X,O,O,X
LTOSZIJ,O,X,X,O,O,X
LTOSZJI,O,X,X,O,O,X
LTOZIJS,O,O,O,O,X,X
LTOZISJ,O,X,X,O,X,X
LTOZJIS,O,O,O,O,X,X
LTOZJSI,X,O,O,O,X,X
LTOZSIJ,O,X,X,O,X,X
LTOZSJI,O,X,X,O,X,X
LITJSZO,O,O,O,O,O,O
LITJSOZ,O,O,O,O,O,O
LITJZSO,O,O,O,O,O,X
LITJZOS,O,O,O,O,X,X
LITJOSZ,O,X,X,X,O,X
LITJOZS,O,O,O,O,X,X
LITSJZO,O,O,O,O,O,O
LITSJOZ,O,O,O,O,O,O
LITSZJO,O,O,O,O,O,X
LITSZOJ,O,O,O,O,O,X
LITSOJZ,O,O,O,O,O,O
LITSOZJ,O,O,O,O,O,X
LITZJSO,O,O,O,O,O,X
LITZJOS,O,O,O,O,X,X
LITZSJO,O,O,O,O,O,X
LITZSOJ,O,O,O,O,O,X
LITZOJS,O,O,O,O,X,X
LITZOSJ,O,X,X,O,X,X
LITOJSZ,O,X,X,X,O,X
LITOJZS,O,O,O,O,X,X
LITOSJZ,O,X,X,O,O,X
LITOSZJ,O,X,X,O,O,X
LITOZJS,O,O,O,O,X,X
LITOZSJ,O,X,X,O,X,X
LIJTSZO,O,O,O,X,X,O
LIJTSOZ,O,O,O,X,X,O
LIJTZSO,O,O,O,X,X,O
LIJTZOS,O,O,O,X,X,X
LIJTOSZ,O,X,X,X,X,O
LIJTOZS,O,O,O,X,X,X
LIJSTZO,O,O,O,X,X,O
LIJSTOZ,O,O,O,X,X,O
LIJSZTO,O,O,O,X,X,O
LIJSZOT,O,O,O,X,X,O
LIJSOTZ,O,O,O,X,X,O
LIJSOZT,O,O,O,X,X,O
LIJZTSO,O,O,O,X,X,X
LIJZTOS,O,O,O,X,X,X
LIJZSTO,O,O,O,X,X,O
LIJZSOT,O,O,O,X,X,O
LIJZOTS,O,O,O,X,X,X
LIJZOST,O,O,O,X,X,X
LIJOTSZ,O,X,X,X,X,X
LIJOTZS,O,O,O,X,X,X
LIJOSTZ,O,O,O,X,X,O
LIJOSZT,O,O,O,X,X,O
LIJOZTS,O,O,O,X,X,X
LIJOZST,O,O,O,X,X,X
LISTJZO,O,O,O,O,O,O
LISTJOZ,O,O,O,O,O,O
LISTZJO,O,O,O,O,O,X
LISTZOJ,O,O,O,O,O,X
LISTOJZ,O,O,O,O,O,O
LISTOZJ,O,O,O,O,O,X
LISJTZO,O,O,O,X,X,O
LISJTOZ,O,O,O,X,X,O
LISJZTO,O,O,O,X,X,O
LISJZOT,O,O,O,X,X,O
LISJOTZ,O,O,O,X,X,O
LISJOZT,O,O,O,X,X,O
LISZTJO,O,O,O,X,X,X
LISZTOJ,O,O,O,X,X,X
LISZJTO,O,O,O,X,X,O
LISZJOT,O,O,O,X,X,O
LISZOTJ,O,O,O,X,X,X
LISZOJT,O,O,O,X,X,O
LISOTJZ,O,O,O,O,O,O
LISOTZJ,O,O,O,O,O,X
LISOJTZ,O,O,O,X,X,O
LISOJZT,O,O,O,X,X,O
LISOZTJ,O,O,O,X,X,X
LISOZJT,O,O,O,X,X,O
LIZTJSO,O,O,O,X,X,X
LIZTJOS,O,O,O,X,X,X
LIZTSJO,O,O,O,X,X,X
LIZTSOJ,O,O,O,X,X,X
LIZTOJS,O,O,O,X,X,X
LIZTOSJ,O,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X
LIZJTOS,O,O,O,X,X,X
LIZJSTO,O,O,O,X,X,O
LIZJSOT,O,O,O,X,X,O
LIZJOTS,O,O,O,X,X,X
LIZJOST,O,O,O,X,X,X
LIZSTJO,O,O,O,X,X,X
LIZSTOJ,O,O,O,X,X,X
LIZSJTO,O,O,O,X,X,O
LIZSJOT,O,O,O,X,X,O
LIZSOTJ,O,O,O,X,X,X
LIZSOJT,O,O,O,X,X,O
LIZOTJS,O,O,O,X,X,X
LIZOTSJ,O,X,X,X,X,X
LIZOJTS,O,O,O,X,X,X
LIZOJST,O,O,O,X,X,X
LIZOSTJ,O,X,O,X,X,X
LIZOSJT,O,X,O,X,X,X
LIOTJSZ,O,X,X,X,X,X
LIOTJZS,O,O,O,O,X,X
LIOTSJZ,O,X,X,X,X,X
LIOTSZJ,O,X,X,O,X,X
LIOTZJS,O,O,O,O,X,X
LIOTZSJ,O,X,X,O,X,X
LIOJTSZ,O,X,X,X,X,X
LIOJTZS,O,O,O,X,X,X
LIOJSTZ,O,O,O,X,X,O
LIOJSZT,O,O,O,X,X,O
LIOJZTS,O,O,O,X,X,X
LIOJZST,O,O,O,X,X,X
LIOSTJZ,O,O,O,X,X,O
LIOSTZJ,O,X,O,X,X,X
LIOSJTZ,O,O,O,X,X,O
LIOSJZT,O,O,O,X,X,O
LIOSZTJ,O,X,O,X,X,X
LIOSZJT,O,O,O,X,X,O
LIOZTJS,O,O,O,X,X,X
LIOZTSJ,O,X,X,X,X,X
LIOZJTS,O,O,O,X,X,X
LIOZJST,O,O,O,X,X,X
LIOZSTJ,O,X,O,X,X,X
LIOZSJT,O,X,O,X,X,X
LJTISZO,O,O,O,X,X,O
LJTISOZ,O,O,O,X,X,O
LJTIZSO,O,O,O,X,X,O
LJTIZOS,O,O,O,X,X,X
LJTIOSZ,O,X,X,X,X,O
LJTIOZS,O,O,O,X,X,X
LJTSIZO,O,O,O,X,X,O
LJTSIOZ,O,O,O,X,X,O
LJTSZIO,O,O,O,X,X,O
LJTSZOI,O,O,O,X,X,O
LJTSOIZ,O,O,O,X,X,O
LJTSOZI,O,O,O,X,X,O
LJTZISO,O,O,O,X,X,O
LJTZIOS,O,O,O,X,X,X
LJTZSIO,O,O,O,X,X,O
LJTZSOI,O,O,O,X,X,O
LJTZOIS,O,O,O,X,X,X
LJTZOSI,O,O,O,X,X,X
LJTOISZ,O,X,X,X,X,O
LJTOIZS,O,O,O,X,X,X
LJTOSIZ,O,X,X,X,X,O
LJTOSZI,O,X,X,X,X,O
LJTOZIS,O,O,O,X,X,X
LJTOZSI,O,O,O,X,X,X
LJITSZO,O,O,O,X,X,O
LJITSOZ,O,O,O,X,X,O
LJITZSO,O,O,O,X,X,O
LJITZOS,O,O,O,X,X,X
LJITOSZ,O,X,X,X,X,O
LJITOZS,O,O,O,X,X,X
LJISTZO,O,O,O,X,X,O
LJISTOZ,O,O,O,X,X,O
LJISZTO,O,O,O,X,X,O
LJISZOT,O,O,O,X,X,O
LJISOTZ,O,O,O,X,X,O
LJISOZT,O,O,O,X,X,O
LJIZTSO,O,O,O,X,X,X
LJIZTOS,O,O,O,X,X,X
LJIZSTO,O,O,O,X,X,O
LJIZSOT,O,O,O,X,X,O
LJIZOTS,O,O,O,X,X,X
LJIZOST,O,O,O,X,X,X
LJIOTSZ,O,X,X,X,X,X
LJIOTZS,O,O,O,X,X,X
LJIOSTZ,O,O,O,X,X,O
LJIOSZT,O,O,O,X,X,O
LJIOZTS,O,O,O,X,X,X
LJIOZST,O,O,O,X,X,X
LJSTIZO,O,O,O,X,X,O
LJSTIOZ,O,O,O,X,X,O
LJSTZIO,O,O,O,X,X,O
LJSTZOI,O,O,O,X,X,O
LJSTOIZ,O,O,O,X,X,O
LJSTOZI,O,O,O,X,X,O
LJSITZO,O,O,O,X,X,O
LJSITOZ,O,O,O,X,X,O
LJSIZTO,O,O,O,X,X,O
LJSIZOT,O,O,O,X,X,O
LJSIOTZ,O,O,O,X,X,O
LJSIOZT,O,O,O,X,X,O
LJSZTIO,O,O,O,X,X,X
LJSZTOI,O,O,O,X,X,X
LJSZITO,O,O,O,X,X,O
LJSZIOT,O,O,O,X,X,O
LJSZOTI,O,O,O,X,X,X
LJSZOIT,O,O,O,X,X,O
LJSOTIZ,O,O,O,X,X,O
LJSOTZI,O,O,O,X,X,O
LJSOITZ,O,O,O,X,X,O
LJSOIZT,O,O,O,X,X,O
LJSOZTI,O,O,O,X,X,X
LJSOZIT,O,O,O,X,X,O
LJZTISO,O,O,O,X,X,X
LJZTIOS,O,O,O,X,X,X
LJZTSIO,O,O,O,X,X,X
LJZTSOI,O,O,O,X,X,X
LJZTOIS,O,O,O,X,X,X
LJZTOSI,O,O,O,X,X,X
LJZITSO,O,O,O,X,X,X
LJZITOS,O,O,O,X,X,X
LJZISTO,O,O,O,X,X,O
LJZISOT,O,O,O,X,X,O
LJZIOTS,O,O,O,X,X,X
LJZIOST,O,O,O,X,X,X
LJZSTIO,O,O,O,X,X,X
LJZSTOI,O,O,O,X,X,X
LJZSITO,O,O,O,X,X,O
LJZSIOT,O,O,O,X,X,O
LJZSOTI,O,O,O,X,X,X
LJZSOIT,O,O,O,X,X,O
LJZOTIS,O,O,O,X,X,X
LJZOTSI,O,O,O,X,X,X
LJZOITS,O,O,O,X,X,X
LJZOIST,O,O,O,X,X,X
LJZOSTI,O,O,O,X,X,X
LJZOSIT,O,O,O,X,X,X
LJOTISZ,O,X,X,X,X,X
LJOTIZS,O,O,O,X,X,X
LJOTSIZ,O,X,X,X,X,X
LJOTSZI,O,X,X,X,X,X
LJOTZIS,O,O,O,X,X,X
LJOTZSI,O,O,O,X,X,X
LJOITSZ,O,X,X,X,X,X
LJOITZS,O,O,O,X,X,X
LJOISTZ,O,O,O,X,X,O
LJOISZT,O,O,O,X,X,O
LJOIZTS,O,O,O,X,X,X
LJOIZST,O,O,O,X,X,X
LJOSTIZ,O,O,O,X,X,O
LJOSTZI,O,O,O,X,X,X
LJOSITZ,O,O,O,X,X,O
LJOSIZT,O,O,O,X,X,O
LJOSZTI,O,O,O,X,X,X
LJOSZIT,O,O,O,X,X,O
LJOZTIS,O,O,O,X,X,X
LJOZTSI,O,O,O,X,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,O,O,O,X,X,X
LJOZSTI,O,O,O,X,X,X
LJOZSIT,O,O,O,X,X,X
LSTIJZO,O,O,O,O,O,O
LSTIJOZ,O,O,O,O,O,O
LSTIZJO,O,O,O,O,O,X
LSTIZOJ,O,O,O,O,O,X
LSTIOJZ,O,O,O,O,O,O
LSTIOZJ,O,O,O,O,O,X
LSTJIZO,O,O,O,O,O,O
LSTJIOZ,O,O,O,O,O,O
LSTJZIO,O,O,O,O,O,X
LSTJZOI,O,O,O,O,O,X
LSTJOIZ,O,O,O,O,O,O
LSTJOZI,O,O,O,O,O,X
LSTZIJO,O,O,O,O,O,X
LSTZIOJ,O,O,O,O,O,X
LSTZJIO,O,O,O,O,O,X
LSTZJOI,O,O,O,O,O,X
LSTZOIJ,O,O,O,O,O,X
LSTZOJI,O,O,O,O,O,X
LSTOIJZ,O,O,O,O,O,O
LSTOIZJ,O,O,O,O,O,X
LSTOJIZ,O,O,O,O,O,O
LSTOJZI,O,O,O,O,O,X
LSTOZIJ,O,O,O,O,O,X
LSTOZJI,O,O,O,O,O,X
LSITJZO,O,O,O,O,O,O
LSITJOZ,O,O,O,O,O,O
LSITZJO,O,O,O,O,O,X
LSITZOJ,O,O,O,O,O,X
LSITOJZ,O,O,O,O,O,O
LSITOZJ,O,O,O,O,O,X
LSIJTZO,O,O,O,X,X,O
LSIJTOZ,O,O,O,X,X,O
LSIJZTO,O,O,O,X,X,O
LSIJZOT,O,O,O,X,X,O
LSIJOTZ,O,O,O,X,X,O
LSIJOZT,O,O,O,X,X,O
LSIZTJO,O,O,O,X,X,X
LSIZTOJ,O,O,O,X,X,X
LSIZJTO,O,O,O,X,X,O
LSIZJOT,O,O,O,X,X,O
LSIZOTJ,O,O,O,X,X,X
LSIZOJT,O,O,O,X,X,O
LSIOTJZ,O,O,O,O,O,O
LSIOTZJ,O,O,O,O,O,X
LSIOJTZ,O,O,O,X,X,O
LSIOJZT,O,O,O,X,X,O
LSIOZTJ,O,O,O,X,X,X
LSIOZJT,O,O,O,X,X,O
LSJTIZO,O,O,O,X,X,O
LSJTIOZ,O,O,O,X,X,O
LSJTZIO,O,O,O,X,X,O
LSJTZOI,O,O,O,X,X,O
LSJTOIZ,O,O,O,X,X,O
LSJTOZI,O,O,O,X,X,O
LSJITZO,O,O,O,X,X,O
LSJITOZ,O,O,O,X,X,O
LSJIZTO,O,O,O,X,X,O
LSJIZOT,O,O,O,X,X,O
LSJIOTZ,O,O,O,X,X,O
LSJIOZT,O,O,O,X,X,O
LSJZTIO,O,O,O,X,X,X
LSJZTOI,O,O,O,X,X,X
LSJZITO,O,O,O,X,X,O
LSJZIOT,O,O,O,X,X,O
LSJZOTI,O,O,O,X,X,X
LSJZOIT,O,O,O,X,X,O
LSJOTIZ,O,O,O,X,X,O
LSJOTZI,O,O,O,X,X,O
LSJOITZ,O,O,O,X,X,O
LSJOIZT,O,O,O,X,X,O
LSJOZTI,O,O,O,X,X,X
LSJOZIT,O,O,O,X,X,O
LSZTIJO,O,O,O,X,X,X
LSZTIOJ,O,O,O,X,X,X
LSZTJIO,O,O,O,X,X,X
LSZTJOI,O,O,O,X,X,X
LSZTOIJ,O,O,O,X,X,X
LSZTOJI,O,O,O,X,X,X
LSZITJO,O,O,O,X,X,X
LSZITOJ,O,O,O,X,X,X
LSZIJTO,O,O,O,X,X,O
LSZIJOT,O,O,O,X,X,O
LSZIOTJ,O,O,O,X,X,X
LSZIOJT,O,O,O,X,X,O
LSZJTIO,O,O,O,X,X,X
LSZJTOI,O,O,O,X,X,X
LSZJITO,O,O,O,X,X,O
LSZJIOT,O,O,O,X,X,O
LSZJOTI,O,O,O,X,X,X
LSZJOIT,O,O,O,X,X,O
LSZOTIJ,O,O,O,X,X,X
LSZOTJI,O,O,O,X,X,X
LSZOITJ,O,O,O,X,X,X
LSZOIJT,O,O,O,X,X,O
LSZOJTI,O,O,O,X,X,X
LSZOJIT,O,O,O,X,X,O
LSOTIJZ,O,O,O,O,O,O
LSOTIZJ,O,O,O,O,O,X
LSOTJIZ,O,O,O,O,O,O
LSOTJZI,O,O,O,O,O,X
LSOTZIJ,O,O,O,O,O,X
LSOTZJI,O,O,O,O,O,X
LSOITJZ,O,O,O,O,O,O
LSOITZJ,O,O,O,O,O,X
LSOIJTZ,O,O,O,X,X,O
LSOIJZT,O,O,O,X,X,O
LSOIZTJ,O,O,O,X,X,X
LSOIZJT,O,O,O,X,X,O
LSOJTIZ,O,O,O,X,X,O
LSOJTZI,O,O,O,X,X,O
LSOJITZ,O,O,O,X,X,O
LSOJIZT,O,O,O,X,X,O
LSOJZTI,O,O,O,X,X,X
LSOJZIT,O,O,O,X,X,O
LSOZTIJ,O,O,O,X,X,X
LSOZTJI,O,O,O,X,X,X
LSOZITJ,O,O,O,X,X,X
LSOZIJT,O,O,O,X,X,O
LSOZJTI,O,O,O,X,X,X
LSOZJIT,O,O,O,X,X,O
LZTIJSO,O,O,O,X,X,X
LZTIJOS,O,O,O,X,X,X
LZTISJO,O,O,O,X,X,X
LZTISOJ,O,O,O,X,X,X
LZTIOJS,O,O,O,X,X,X
LZTIOSJ,O,X,X,X,X,X
LZTJISO,O,O,O,X,X,X
LZTJIOS,O,O,O,X,X,X
LZTJSIO,O,O,O,X,X,X
LZTJSOI,O,O,O,X,X,X
LZTJOIS,O,O,O,X,X,X
LZTJOSI,X,O,O,X,X,X
LZTSIJO,O,O,O,X,X,X
LZTSIOJ,O,O,O,X,X,X
LZTSJIO,O,O,O,X,X,X
LZTSJOI,O,O,O,X,X,X
LZTSOIJ,O,O,O,X,X,X
LZTSOJI,O,O,O,X,X,X
LZTOIJS,O,O,O,X,X,X
LZTOISJ,O,X,X,X,X,X
LZTOJIS,O,O,O,X,X,X
LZTOJSI,X,O,O,X,X,X
LZTOSIJ,O,X,X,X,X,X
LZTOSJI,O,X,X,X,X,X
LZITJSO,O,O,O,X,X,X
LZITJOS,O,O,O,X,X,X
LZITSJO,O,O,O,X,X,X
LZITSOJ,O,O,O,X,X,X
LZITOJS,O,O,O,X,X,X
LZITOSJ,O,X,X,X,X,X
LZIJTSO,O,O,O,X,X,X
LZIJTOS,O,O,O,X,X,X
LZIJSTO,O,O,O,X,X,O
LZIJSOT,O,O,O,X,X,O
LZIJOTS,O,O,O,X,X,X
LZIJOST,O,O,O,X,X,X
LZISTJO,O,O,O,X,X,X
LZISTOJ,O,O,O,X,X,X
LZISJTO,O,O,O,X,X,O
LZISJOT,O,O,O,X,X,O
LZISOTJ,O,O,O,X,X,X
LZISOJT,O,O,O,X,X,O
LZIOTJS,O,O,O,X,X,X
LZIOTSJ,O,X,X,X,X,X
LZIOJTS,O,O,O,X,X,X
LZIOJST,O,O,O,X,X,X
LZIOSTJ,O,X,O,X,X,X
LZIOSJT,O,X,O,X,X,X
LZJTISO,O,O,O,X,X,X
LZJTIOS,O,O,O,X,X,X
LZJTSIO,O,O,O,X,X,X
LZJTSOI,O,O,O,X,X,X
LZJTOIS,O,O,O,X,X,X
LZJTOSI,O,O,O,X,X,X
LZJITSO,O,O,O,X,X,X
LZJITOS,O,O,O,X,X,X
LZJISTO,O,O,O,X,X,O
LZJISOT,O,O,O,X,X,O
LZJIOTS,O,O,O,X,X,X
LZJIOST,O,O,O,X,X,X
LZJSTIO,O,O,O,X,X,X
LZJSTOI,O,O,O,X,X,X
LZJSITO,O,O,O,X,X,O
LZJSIOT,O,O,O,X,X,O
LZJSOTI,O,O,O,X,X,X
LZJSOIT,O,O,O,X,X,O
LZJOTIS,O,O,O,X,X,X
LZJOTSI,O,O,O,X,X,X
LZJOITS,O,O,O,X,X,X
LZJOIST,O,O,O,X,X,X
LZJOSTI,O,O,O,X,X,X
LZJOSIT,O,O,O,X,X,X
LZSTIJO,O,O,O,X,X,X
LZSTIOJ,O,O,O,X,X,X
LZSTJIO,O,O,O,X,X,X
LZSTJOI,O,O,O,X,X,X
LZSTOIJ,O,O,O,X,X,X
LZSTOJI,O,O,O,X,X,X
LZSITJO,O,O,O,X,X,X
LZSITOJ,O,O,O,X,X,X
LZSIJTO,O,O,O,X,X,O
LZSIJOT,O,O,O,X,X,O
LZSIOTJ,O,O,O,X,X,X
LZSIOJT,O,O,O,X,X,O
LZSJTIO,O,O,O,X,X,X
LZSJTOI,O,O,O,X,X,X
LZSJITO,O,O,O,X,X,O
LZSJIOT,O,O,O,X,X,O
LZSJOTI,O,O,O,X,X,X
LZSJOIT,O,O,O,X,X,O
LZSOTIJ,O,O,O,X,X,X
LZSOTJI,O,O,O,X,X,X
LZSOITJ,O,O,O,X,X,X
LZSOIJT,O,O,O,X,X,O
LZSOJTI,O,O,O,X,X,X
LZSOJIT,O,O,O,X,X,O
LZOTIJS,O,O,O,X,X,X
LZOTISJ,O,X,X,X,X,X
