sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TILJSZO,X,O,O,O
TILJSOZ,X,O,O,O
TILJZSO,X,O,O,O
TILJZOS,X,O,O,O
TILJOSZ,X,X,O,O
TILJOZS,X,O,O,O
TILSJZO,X,O,O,O
TILSJOZ,X,O,O,O
TILSZJO,X,O,O,O
TILSZOJ,X,O,O,O
TILSOJZ,X,O,O,O
TILSOZJ,X,O,O,O
TILZJSO,X,O,O,O
TILZJOS,X,O,O,O
TILZSJO,X,O,O,O
TILZSOJ,X,O,O,O
TILZOJS,X,O,X,O
TILZOSJ,X,O,O,O
TILOJSZ,X,X,X,O
TILOJZS,X,O,X,O
TILOSJZ,X,X,X,O
TILOSZJ,X,X,X,O
TILOZJS,X,O,X,O
TILOZSJ,X,O,X,O
TIJLSZO,X,O,O,O
TIJLSOZ,X,O,O,O
TIJLZSO,X,O,O,O
TIJLZOS,X,O,O,O
TIJLOSZ,X,X,O,O
TIJLOZS,X,O,O,O
TIJSLZO,X,O,O,O
TIJSLOZ,X,O,O,O
TIJSZLO,X,O,O,O
TIJSZOL,X,O,O,O
TIJSOLZ,X,O,O,O
TIJSOZL,X,O,X,O
TIJZLSO,X,O,O,X
TIJZLOS,X,O,O,X
TIJZSLO,X,O,O,O
TIJZSOL,X,O,O,O
TIJZOLS,X,O,O,X
TIJZOSL,X,X,O,O
TIJOLSZ,X,X,O,O
TIJOLZS,X,O,O,O
TIJOSLZ,X,X,O,O
TIJOSZL,X,X,X,O
TIJOZLS,X,O,O,X
TIJOZSL,X,X,O,O
TISLJZO,X,O,O,O
TISLJOZ,X,O,O,O
TISLZJO,X,O,O,O
TISLZOJ,X,O,O,O
TISLOJZ,X,O,O,O
TISLOZJ,X,O,O,O
TISJLZO,X,O,O,O
TISJLOZ,X,O,O,O
TISJZLO,X,O,O,O
TISJZOL,X,O,O,O
TISJOLZ,X,O,O,O
TISJOZL,X,O,X,O
TISZLJO,X,O,O,O
TISZLOJ,X,O,O,O
TISZJLO,X,O,O,O
TISZJOL,X,O,O,O
TISZOLJ,X,O,O,O
TISZOJL,X,O,O,O
TISOLJZ,X,O,O,O
TISOLZJ,X,O,O,O
TISOJLZ,X,O,O,O
TISOJZL,X,O,X,O
TISOZLJ,X,O,X,O
TISOZJL,X,O,X,O
TIZLJSO,X,O,O,O
TIZLJOS,X,O,O,O
TIZLSJO,X,O,O,O
TIZLSOJ,X,O,O,O
TIZLOJS,X,O,X,O
TIZLOSJ,X,O,O,O
TIZJLSO,X,O,O,X
TIZJLOS,X,O,O,X
TIZJSLO,X,O,O,O
TIZJSOL,X,O,O,O
TIZJOLS,X,O,O,X
TIZJOSL,X,X,O,O
TIZSLJO,X,O,O,O
TIZSLOJ,X,O,O,O
TIZSJLO,X,O,O,O
TIZSJOL,X,O,O,O
TIZSOLJ,X,O,O,O
TIZSOJL,X,O,O,O
TIZOLJS,X,O,X,O
TIZOLSJ,X,O,O,O
TIZOJLS,X,O,O,X
TIZOJSL,X,X,O,O
TIZOSLJ,X,X,O,O
TIZOSJL,X,X,O,O
TIOLJSZ,X,X,X,O
TIOLJZS,X,O,X,O
TIOLSJZ,X,X,X,O
TIOLSZJ,X,X,X,O
TIOLZJS,X,O,X,O
TIOLZSJ,X,O,X,O
TIOJLSZ,X,X,X,O
TIOJLZS,X,O,X,O
TIOJSLZ,X,X,X,O
TIOJSZL,X,X,X,O
TIOJZLS,X,O,X,X
TIOJZSL,X,X,X,O
TIOSLJZ,X,X,X,O
TIOSLZJ,X,X,X,O
TIOSJLZ,X,X,X,O
TIOSJZL,X,X,X,O
TIOSZLJ,X,X,X,O
TIOSZJL,X,X,X,O
