sequence,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFylBzhBGjB3nBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFRhBSnBTjBUmBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFfmB0hBxiBCoBFq?BzrB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFzgBfnBxiBCoBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFXiBTjBmlBcsB6r?BFqB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhF0hBTjBmlBSsBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Je3AJvhFTjBlmBcsBRqBmp?BCsB
TILJSZO,O,X,O,X,X,O,X
TILJSOZ,O,X,O,X,X,O,X
TILJZSO,O,X,O,O,O,O,X
TILJZOS,O,X,O,O,O,O,X
TILJOSZ,O,X,O,X,X,O,X
TILJOZS,O,X,O,O,O,O,X
TILSJZO,O,X,O,X,X,O,X
TILSJOZ,O,X,O,X,X,O,X
TILSZJO,O,X,O,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X
TILSOJZ,O,X,O,X,X,O,X
TILSOZJ,O,X,O,X,X,X,X
TILZJSO,O,X,O,O,O,O,X
TILZJOS,O,X,O,O,O,O,X
TILZSJO,O,X,O,O,O,X,X
TILZSOJ,O,X,O,O,O,X,X
TILZOJS,O,X,O,O,O,O,X
TILZOSJ,O,X,O,O,O,X,X
TILOJSZ,O,X,O,X,X,O,X
TILOJZS,O,X,O,O,O,O,X
TILOSJZ,O,X,O,X,X,O,X
TILOSZJ,O,X,O,X,X,X,X
TILOZJS,O,X,O,O,O,O,X
TILOZSJ,O,X,O,O,O,X,X
TIJLSZO,O,X,O,X,X,O,X
TIJLSOZ,O,X,O,X,X,O,X
TIJLZSO,O,X,O,O,O,O,X
TIJLZOS,O,X,O,O,O,O,X
TIJLOSZ,O,X,O,X,X,O,X
TIJLOZS,O,X,O,O,O,O,X
TIJSLZO,O,O,O,X,X,O,X
TIJSLOZ,O,O,O,X,X,O,X
TIJSZLO,O,O,O,X,O,O,X
TIJSZOL,O,O,O,X,O,O,X
TIJSOLZ,O,O,O,X,X,O,X
TIJSOZL,O,O,O,X,O,O,X
TIJZLSO,O,O,X,O,O,O,X
TIJZLOS,O,O,X,O,O,O,X
TIJZSLO,O,O,X,O,O,O,X
TIJZSOL,O,O,X,O,O,O,X
TIJZOLS,O,O,X,O,O,O,X
TIJZOSL,O,O,X,O,O,O,X
TIJOLSZ,O,X,O,X,X,O,X
TIJOLZS,O,X,O,O,O,O,X
TIJOSLZ,O,O,O,X,X,O,X
TIJOSZL,O,O,O,X,O,O,X
TIJOZLS,O,O,X,O,O,O,X
TIJOZSL,O,O,X,O,O,O,X
TISLJZO,O,O,O,X,X,O,X
TISLJOZ,O,O,O,X,X,O,X
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,O,O,O,X,X,O,X
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,O,O,O,X,X,O,X
TISJLOZ,O,O,O,X,X,O,X
TISJZLO,O,O,O,X,O,O,X
TISJZOL,O,O,O,X,O,O,X
TISJOLZ,O,O,O,X,X,O,X
