sequence,v115@ThB8BeA8AeB8AeB8BeE8JeZEJvhFukB1lB0hB6nBTj?BXrB
TSLOZJI,X
TSJILZO,X
TSJILOZ,X
TSJIZLO,X
TSJIZOL,X
TSJIOLZ,X
TSJIOZL,X
TSJLIZO,X
TSJLIOZ,X
TSJLZIO,X
TSJLZOI,X
TSJLOIZ,X
TSJLOZI,X
TSJZILO,X
TSJZIOL,X
TSJZLIO,X
TSJZLOI,X
TSJZOIL,X
TSJZOLI,X
TSJOILZ,X
TSJOIZL,X
TSJOLIZ,X
TSJOLZI,X
TSJOZIL,X
TSJOZLI,X
TSZILJO,X
TSZILOJ,X
TSZIJLO,X
TSZIJOL,X
TSZIOLJ,X
TSZIOJL,X
TSZLIJO,X
TSZLIOJ,X
TSZLJIO,X
TSZLJOI,X
TSZLOIJ,X
TSZLOJI,X
TSZJILO,X
TSZJIOL,X
TSZJLIO,X
TSZJLOI,X
TSZJOIL,X
TSZJOLI,X
TSZOILJ,X
TSZOIJL,X
TSZOLIJ,X
TSZOLJI,X
TSZOJIL,X
TSZOJLI,X
TSOILJZ,X
TSOILZJ,X
TSOIJLZ,X
TSOIJZL,X
TSOIZLJ,X
TSOIZJL,X
TSOLIJZ,X
TSOLIZJ,X
TSOLJIZ,X
TSOLJZI,X
TSOLZIJ,X
TSOLZJI,X
TSOJILZ,X
TSOJIZL,X
TSOJLIZ,X
TSOJLZI,X
TSOJZIL,X
TSOJZLI,X
TSOZILJ,X
TSOZIJL,X
TSOZLIJ,X
TSOZLJI,X
TSOZJIL,X
TSOZJLI,X
TZILJSO,X
TZILJOS,O
TZILSJO,X
TZILSOJ,X
TZILOJS,O
TZILOSJ,X
TZIJLSO,X
TZIJLOS,O
TZIJSLO,X
TZIJSOL,X
TZIJOLS,O
TZIJOSL,X
TZISLJO,X
TZISLOJ,X
TZISJLO,X
TZISJOL,X
TZISOLJ,X
TZISOJL,X
TZIOLJS,O
TZIOLSJ,X
TZIOJLS,O
TZIOJSL,X
TZIOSLJ,X
TZIOSJL,X
TZLIJSO,X
TZLIJOS,O
TZLISJO,X
TZLISOJ,X
TZLIOJS,O
TZLIOSJ,X
TZLJISO,X
TZLJIOS,O
TZLJSIO,X
TZLJSOI,X
TZLJOIS,O
TZLJOSI,X
TZLSIJO,X
TZLSIOJ,X
TZLSJIO,X
TZLSJOI,X
TZLSOIJ,X
TZLSOJI,X
TZLOIJS,O
TZLOISJ,X
TZLOJIS,O
TZLOJSI,X
TZLOSIJ,X
TZLOSJI,X
TZJILSO,X
TZJILOS,O
TZJISLO,X
TZJISOL,X
TZJIOLS,O
TZJIOSL,X
TZJLISO,X
TZJLIOS,O
TZJLSIO,X
TZJLSOI,X
TZJLOIS,O
TZJLOSI,X
TZJSILO,X
TZJSIOL,X
TZJSLIO,X
TZJSLOI,X
TZJSOIL,X
TZJSOLI,X
TZJOILS,O
TZJOISL,X
TZJOLIS,O
TZJOLSI,X
TZJOSIL,X
TZJOSLI,X
TZSILJO,X
TZSILOJ,X
TZSIJLO,X
TZSIJOL,X
TZSIOLJ,X
TZSIOJL,X
TZSLIJO,X
TZSLIOJ,X
TZSLJIO,X
TZSLJOI,X
TZSLOIJ,X
TZSLOJI,X
TZSJILO,X
TZSJIOL,X
TZSJLIO,X
TZSJLOI,X
TZSJOIL,X
TZSJOLI,X
TZSOILJ,X
TZSOIJL,X
TZSOLIJ,X
TZSOLJI,X
TZSOJIL,X
TZSOJLI,X
TZOILJS,O
TZOILSJ,X
TZOIJLS,O
TZOIJSL,X
TZOISLJ,X
TZOISJL,X
TZOLIJS,O
TZOLISJ,X
TZOLJIS,O
TZOLJSI,X
TZOLSIJ,X
TZOLSJI,X
TZOJILS,O
TZOJISL,X
TZOJLIS,O
TZOJLSI,X
TZOJSIL,X
TZOJSLI,X
TZOSILJ,X
TZOSIJL,X
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,X
TZOSJLI,X
TOILJSZ,X
TOILJZS,O
TOILSJZ,X
TOILSZJ,X
TOILZJS,O
TOILZSJ,X
TOIJLSZ,X
TOIJLZS,O
TOIJSLZ,X
