sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TSOIZJL,O,O,X,X,O,X,O,X
TSOLIJZ,O,O,O,O,X,X,O,X
TSOLIZJ,O,O,X,O,X,O,O,X
TSOLJIZ,O,O,O,O,O,X,O,X
TSOLJZI,O,O,O,O,O,X,O,X
TSOLZIJ,O,O,X,O,O,O,O,X
TSOLZJI,O,O,X,O,O,O,O,X
TSOJILZ,O,O,O,X,O,X,O,X
TSOJIZL,X,O,X,X,O,X,O,X
TSOJLIZ,O,O,O,X,O,X,O,X
TSOJLZI,O,O,O,X,O,X,O,X
TSOJZIL,O,O,X,X,O,X,O,X
TSOJZLI,O,O,O,X,O,X,O,X
TSOZILJ,O,O,X,X,O,X,O,X
TSOZIJL,O,O,X,X,O,X,O,X
TSOZLIJ,O,O,X,X,O,O,O,X
TSOZLJI,O,O,X,X,O,O,O,X
TSOZJIL,O,O,X,X,O,X,O,X
TSOZJLI,O,O,X,X,O,O,O,X
TZILJSO,O,O,O,O,O,O,X,X
TZILJOS,O,O,O,O,O,O,O,X
TZILSJO,O,O,O,O,O,O,X,X
TZILSOJ,O,O,X,O,O,O,X,X
TZILOJS,O,O,X,O,O,O,O,X
TZILOSJ,O,O,X,O,O,O,X,X
TZIJLSO,O,O,O,X,O,O,X,X
TZIJLOS,O,O,O,X,O,O,O,X
TZIJSLO,O,O,X,X,O,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X
TZIJOLS,O,X,O,X,O,O,O,X
TZIJOSL,O,O,X,X,O,X,X,X
TZISLJO,O,O,X,X,O,X,X,X
TZISLOJ,O,O,X,X,O,X,X,X
TZISJLO,O,O,X,X,O,X,X,X
TZISJOL,O,O,X,X,O,X,X,X
TZISOLJ,O,O,X,X,O,X,X,X
TZISOJL,O,O,X,X,O,X,X,X
TZIOLJS,O,X,X,O,O,O,O,X
TZIOLSJ,O,X,X,O,O,O,X,X
TZIOJLS,O,X,X,O,O,O,O,X
TZIOJSL,O,O,X,X,O,X,X,X
TZIOSLJ,O,O,X,O,O,X,X,X
TZIOSJL,O,O,X,X,O,X,X,X
TZLIJSO,O,O,O,O,O,O,X,X
TZLIJOS,O,O,O,O,O,O,O,X
TZLISJO,O,O,O,O,O,O,X,X
TZLISOJ,O,O,X,O,O,O,X,X
TZLIOJS,O,O,X,O,O,O,O,X
TZLIOSJ,O,O,X,O,O,O,X,X
TZLJISO,O,O,O,O,O,O,X,X
TZLJIOS,O,O,O,O,O,O,X,X
TZLJSIO,O,O,O,O,O,O,X,X
TZLJSOI,O,O,O,O,O,O,X,X
TZLJOIS,O,O,O,O,O,O,X,X
TZLJOSI,O,O,O,O,O,O,X,X
TZLSIJO,O,O,O,O,O,O,O,X
TZLSIOJ,O,O,X,O,O,O,O,X
TZLSJIO,O,O,O,O,O,O,O,X
TZLSJOI,O,O,O,O,O,O,O,X
TZLSOIJ,O,O,X,O,O,O,O,X
TZLSOJI,O,O,X,O,O,O,O,X
TZLOIJS,O,O,X,O,O,O,O,X
TZLOISJ,O,O,X,O,O,O,X,X
TZLOJIS,O,O,X,O,O,O,X,X
TZLOJSI,O,O,X,O,O,O,X,X
TZLOSIJ,O,O,X,O,X,O,O,X
TZLOSJI,O,O,X,O,X,O,O,X
TZJILSO,O,O,O,O,O,O,X,X
TZJILOS,O,O,O,O,O,O,X,X
TZJISLO,O,O,X,O,O,X,X,X
TZJISOL,O,O,X,O,O,X,X,X
TZJIOLS,O,X,O,O,O,O,X,X
TZJIOSL,O,O,X,O,O,X,X,X
TZJLISO,O,O,O,O,O,O,X,X
TZJLIOS,O,O,O,O,O,O,X,X
TZJLSIO,O,O,O,O,O,O,X,X
TZJLSOI,O,O,O,O,O,O,X,X
TZJLOIS,O,O,O,O,O,O,X,X
TZJLOSI,O,O,O,O,O,O,X,X
TZJSILO,O,O,X,O,O,X,X,X
TZJSIOL,O,O,X,O,O,X,X,X
TZJSLIO,O,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,O,O,X,X
TZJSOIL,O,O,X,O,O,X,X,X
TZJSOLI,O,O,O,O,O,O,X,X
TZJOILS,O,X,O,O,O,O,X,X
TZJOISL,O,O,X,O,O,X,X,X
TZJOLIS,O,O,O,O,O,O,X,X
TZJOLSI,O,O,O,O,O,O,X,X
TZJOSIL,O,O,X,O,O,X,X,X
TZJOSLI,O,O,O,O,O,O,X,X
TZSILJO,O,O,X,X,O,X,O,X
TZSILOJ,O,O,X,X,O,X,O,X
TZSIJLO,O,O,X,X,O,X,O,X
TZSIJOL,O,O,X,X,O,X,O,X
TZSIOLJ,O,O,X,X,O,X,O,X
TZSIOJL,O,O,X,X,O,X,O,X
TZSLIJO,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,X,O,O,O,O,X
TZSLJIO,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,X,O,O,O,O,X
TZSLOJI,O,O,X,O,O,O,O,X
TZSJILO,O,O,X,X,O,X,O,X
TZSJIOL,O,O,X,X,O,X,O,X
TZSJLIO,O,O,O,X,O,O,O,X
TZSJLOI,O,O,O,X,O,O,O,X
TZSJOIL,O,O,X,X,O,X,O,X
TZSJOLI,O,O,O,X,O,O,O,X
TZSOILJ,O,O,X,O,O,X,O,X
TZSOIJL,O,O,X,X,O,X,O,X
TZSOLIJ,O,O,X,O,O,O,O,X
TZSOLJI,O,O,X,O,O,O,O,X
TZSOJIL,O,O,X,X,O,X,O,X
TZSOJLI,O,O,X,X,O,O,O,X
TZOILJS,O,X,X,O,O,O,O,X
TZOILSJ,O,X,X,O,O,O,X,X
TZOIJLS,O,X,X,O,O,O,O,X
TZOIJSL,O,O,X,O,O,X,X,X
TZOISLJ,O,O,X,O,O,X,X,X
TZOISJL,O,O,X,X,O,X,X,X
TZOLIJS,O,O,X,O,O,O,O,X
TZOLISJ,O,O,X,O,O,O,X,X
TZOLJIS,O,O,X,O,O,O,X,X
TZOLJSI,O,O,X,O,O,O,X,X
TZOLSIJ,O,O,X,O,X,O,O,X
TZOLSJI,O,O,X,O,X,O,O,X
TZOJILS,O,X,X,O,O,O,X,X
TZOJISL,O,O,X,O,O,X,X,X
TZOJLIS,O,O,X,O,O,O,X,X
TZOJLSI,O,O,X,O,O,O,X,X
TZOJSIL,O,O,X,O,O,X,X,X
TZOJSLI,O,O,X,O,O,O,X,X
TZOSILJ,O,O,X,O,O,X,O,X
TZOSIJL,O,O,X,X,O,X,O,X
TZOSLIJ,O,O,X,O,O,O,O,X
TZOSLJI,O,O,X,O,O,O,O,X
TZOSJIL,O,O,X,X,O,X,O,X
TZOSJLI,O,O,X,X,O,O,O,X
TOILJSZ,X,X,O,O,O,X,O,X
TOILJZS,X,X,O,O,O,O,O,X
TOILSJZ,O,O,O,O,X,X,O,X
TOILSZJ,O,O,X,O,X,O,O,X
TOILZJS,O,O,X,O,X,O,O,X
TOILZSJ,O,O,X,O,X,O,X,X
TOIJLSZ,X,X,O,O,O,X,O,X
TOIJLZS,X,X,O,O,O,O,O,X
TOIJSLZ,X,X,O,O,O,X,O,X
TOIJSZL,X,X,X,O,O,X,X,X
TOIJZLS,X,X,O,O,O,X,O,X
TOIJZSL,X,X,X,O,O,X,X,X
TOISLJZ,O,O,X,O,X,X,O,X
TOISLZJ,O,O,X,O,X,O,O,X
TOISJLZ,O,O,X,X,O,X,O,X
TOISJZL,X,O,X,X,O,X,O,X
TOISZLJ,O,O,X,X,O,X,O,X
TOISZJL,O,O,X,X,O,X,O,X
TOIZLJS,O,X,X,O,O,O,O,X
TOIZLSJ,O,X,X,O,X,O,X,X
TOIZJLS,O,X,X,X,O,O,O,X
TOIZJSL,O,O,X,X,O,X,X,X
TOIZSLJ,O,O,X,X,O,X,X,X
TOIZSJL,O,O,X,X,O,X,X,X
TOLIJSZ,X,X,O,O,O,X,O,X
TOLIJZS,X,X,O,O,O,O,O,X
TOLISJZ,O,O,O,O,X,X,O,X
TOLISZJ,O,O,X,O,X,O,O,X
TOLIZJS,O,O,X,O,X,O,O,X
TOLIZSJ,O,O,X,O,X,O,X,X
TOLJISZ,X,X,O,O,O,X,O,X
TOLJIZS,X,X,O,O,O,O,O,X
TOLJSIZ,O,X,O,O,O,X,O,X
TOLJSZI,O,X,O,O,O,X,O,X
TOLJZIS,O,X,O,O,O,O,X,X
TOLJZSI,O,X,O,O,O,O,X,X
TOLSIJZ,O,O,O,O,X,X,O,X
TOLSIZJ,O,O,X,O,X,O,O,X
TOLSJIZ,O,O,O,O,O,X,O,X
TOLSJZI,O,O,O,O,O,X,O,X
TOLSZIJ,O,O,X,O,O,O,O,X
TOLSZJI,O,O,X,O,O,O,O,X
TOLZIJS,O,O,X,O,O,O,O,X
TOLZISJ,O,O,X,O,O,O,X,X
TOLZJIS,O,O,X,O,O,O,X,X
TOLZJSI,O,O,X,O,O,O,X,X
TOLZSIJ,O,O,X,O,X,O,O,X
TOLZSJI,O,O,X,O,X,O,O,X
TOJILSZ,X,X,O,O,O,X,O,X
TOJILZS,X,X,O,O,O,O,O,X
TOJISLZ,X,X,O,O,O,X,O,X
TOJISZL,X,X,X,O,O,X,X,X
TOJIZLS,X,X,O,O,O,X,O,X
TOJIZSL,X,X,X,O,O,X,X,X
TOJLISZ,X,X,O,O,O,X,O,X
TOJLIZS,X,X,O,O,O,O,O,X
TOJLSIZ,O,X,O,O,O,X,O,X
TOJLSZI,O,X,O,O,O,X,O,X
TOJLZIS,O,X,O,O,O,O,X,X
TOJLZSI,O,X,O,O,O,O,X,X
TOJSILZ,O,X,O,O,O,X,O,X
TOJSIZL,X,X,X,O,O,X,O,X
TOJSLIZ,O,X,O,O,O,X,O,X
TOJSLZI,O,X,O,O,O,X,O,X
TOJSZIL,O,X,X,O,O,X,O,X
TOJSZLI,O,X,O,O,O,X,O,X
TOJZILS,O,X,O,O,O,O,X,X
TOJZISL,O,X,X,O,O,X,X,X
TOJZLIS,O,X,O,O,O,O,X,X
TOJZLSI,O,X,O,O,O,O,X,X
TOJZSIL,O,X,X,O,O,X,X,X
TOJZSLI,O,X,O,O,O,O,X,X
TOSILJZ,O,O,X,O,X,X,O,X
TOSILZJ,O,O,X,O,X,O,O,X
TOSIJLZ,O,O,X,X,O,X,O,X
TOSIJZL,X,O,X,X,O,X,O,X
TOSIZLJ,O,O,X,X,O,X,O,X
TOSIZJL,O,O,X,X,O,X,O,X
TOSLIJZ,O,O,O,O,X,X,O,X
TOSLIZJ,O,O,X,O,X,O,O,X
TOSLJIZ,O,O,O,O,O,X,O,X
TOSLJZI,O,O,O,O,O,X,O,X
TOSLZIJ,O,O,X,O,O,O,O,X
TOSLZJI,O,O,X,O,O,O,O,X
TOSJILZ,O,O,O,X,O,X,O,X
TOSJIZL,X,O,X,X,O,X,O,X
TOSJLIZ,O,O,O,X,O,X,O,X
TOSJLZI,O,O,O,X,O,X,O,X
TOSJZIL,O,O,X,X,O,X,O,X
TOSJZLI,O,O,O,X,O,X,O,X
TOSZILJ,O,O,X,X,O,X,O,X
TOSZIJL,O,O,X,X,O,X,O,X
TOSZLIJ,O,O,X,X,O,O,O,X
TOSZLJI,O,O,X,X,O,O,O,X
TOSZJIL,O,O,X,X,O,X,O,X
TOSZJLI,O,O,X,X,O,O,O,X
TOZILJS,O,X,X,O,O,O,O,X
TOZILSJ,O,X,X,O,O,O,X,X
TOZIJLS,O,X,X,O,O,O,O,X
TOZIJSL,O,O,X,X,O,X,X,X
TOZISLJ,O,O,X,O,O,X,X,X
TOZISJL,O,O,X,X,O,X,X,X
TOZLIJS,O,O,X,O,O,O,O,X
TOZLISJ,O,O,X,O,O,O,X,X
TOZLJIS,O,O,X,O,O,O,X,X
TOZLJSI,O,O,X,O,O,O,X,X
TOZLSIJ,O,O,X,O,X,O,O,X
TOZLSJI,O,O,X,O,X,O,O,X
TOZJILS,O,X,X,O,O,O,X,X
TOZJISL,O,O,X,X,O,X,X,X
TOZJLIS,O,O,X,O,O,O,X,X
TOZJLSI,O,O,X,O,O,O,X,X
TOZJSIL,O,O,X,X,O,X,X,X
TOZJSLI,O,O,X,X,O,O,X,X
TOZSILJ,O,O,X,O,O,X,O,X
TOZSIJL,O,O,X,X,O,X,O,X
TOZSLIJ,O,O,X,O,O,O,O,X
TOZSLJI,O,O,X,O,O,O,O,X
TOZSJIL,O,O,X,X,O,X,O,X
TOZSJLI,O,O,X,X,O,O,O,X
ITLJSZO,X,O,O,O,O,X,X,X
ITLJSOZ,X,O,O,O,O,X,O,X
ITLJZSO,X,O,O,O,O,O,X,X
ITLJZOS,X,O,O,O,O,O,O,X
ITLJOSZ,X,X,O,O,O,X,O,X
ITLJOZS,X,X,O,O,O,O,O,X
ITLSJZO,X,O,O,O,O,X,O,X
ITLSJOZ,O,O,O,O,O,X,O,X
ITLSZJO,O,O,O,O,O,O,O,X
ITLSZOJ,O,O,X,O,O,O,O,X
ITLSOJZ,O,O,O,O,X,X,O,X
ITLSOZJ,O,O,X,O,X,O,O,X
ITLZJSO,O,O,O,O,O,O,X,X
ITLZJOS,O,O,O,O,O,O,O,X
ITLZSJO,O,O,O,O,O,O,X,X
ITLZSOJ,O,O,X,O,O,O,X,X
ITLZOJS,O,O,X,O,O,O,O,X
ITLZOSJ,O,O,X,O,O,O,X,X
ITLOJSZ,X,X,O,O,X,X,O,X
ITLOJZS,X,X,O,O,X,O,O,X
ITLOSJZ,O,O,O,O,X,X,O,X
ITLOSZJ,O,O,X,O,X,O,O,X
ITLOZJS,O,O,X,O,X,O,O,X
ITLOZSJ,O,O,X,O,X,O,X,X
ITJLSZO,X,O,O,X,O,X,X,X
ITJLSOZ,X,O,O,X,O,X,O,X
ITJLZSO,X,O,O,X,O,O,X,X
ITJLZOS,X,O,O,X,O,O,O,X
ITJLOSZ,X,X,O,X,O,X,O,X
ITJLOZS,X,X,O,X,O,O,O,X
ITJSLZO,X,O,O,X,O,X,X,X
ITJSLOZ,X,O,O,X,O,X,O,X
ITJSZLO,X,O,X,X,O,X,X,X
ITJSZOL,X,O,X,X,O,X,X,X
ITJSOLZ,X,O,O,X,O,X,O,X
ITJSOZL,X,O,X,X,O,X,X,X
ITJZLSO,X,O,O,X,O,X,X,X
ITJZLOS,X,X,O,X,O,X,O,X
ITJZSLO,X,O,X,X,O,X,X,X
ITJZSOL,X,O,X,X,X,X,X,X
ITJZOLS,X,X,O,X,O,X,O,X
ITJZOSL,X,O,X,X,O,X,X,X
ITJOLSZ,X,X,O,X,O,X,O,X
ITJOLZS,X,X,O,X,O,O,O,X
ITJOSLZ,X,X,O,X,O,X,O,X
ITJOSZL,X,X,X,X,O,X,X,X
ITJOZLS,X,X,O,X,O,X,O,X
ITJOZSL,X,X,X,X,O,X,X,X
ITSLJZO,X,O,O,X,O,X,O,X
ITSLJOZ,O,O,O,X,O,X,O,X
ITSLZJO,O,O,O,X,O,O,O,X
ITSLZOJ,O,O,X,X,O,O,O,X
ITSLOJZ,O,O,O,X,X,X,O,X
ITSLOZJ,O,O,X,X,X,O,O,X
ITSJLZO,X,O,O,X,O,X,O,X
ITSJLOZ,O,O,O,X,O,X,O,X
ITSJZLO,X,O,X,X,O,X,O,X
ITSJZOL,X,O,X,X,O,X,O,X
ITSJOLZ,O,O,O,X,O,X,O,X
ITSJOZL,X,O,X,X,O,X,O,X
ITSZLJO,O,O,X,X,O,X,O,X
ITSZLOJ,O,O,X,X,O,X,O,X
ITSZJLO,O,O,X,X,O,X,O,X
ITSZJOL,O,O,X,X,O,X,O,X
ITSZOLJ,O,O,X,X,O,X,O,X
ITSZOJL,O,O,X,X,O,X,O,X
ITSOLJZ,O,O,X,X,X,X,O,X
ITSOLZJ,O,O,X,X,X,O,O,X
ITSOJLZ,O,O,X,X,O,X,O,X
ITSOJZL,X,O,X,X,O,X,O,X
ITSOZLJ,O,O,X,X,O,X,O,X
ITSOZJL,O,O,X,X,O,X,O,X
ITZLJSO,O,O,O,O,O,O,X,X
ITZLJOS,O,O,O,O,O,O,O,X
ITZLSJO,O,O,O,O,O,O,X,X
ITZLSOJ,O,O,X,O,O,O,X,X
ITZLOJS,O,O,X,O,O,O,O,X
ITZLOSJ,O,O,X,O,O,O,X,X
ITZJLSO,O,O,O,X,O,O,X,X
ITZJLOS,O,O,O,X,O,O,O,X
ITZJSLO,O,O,X,X,O,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X
ITZJOLS,O,X,O,X,O,O,O,X
ITZJOSL,O,O,X,X,O,X,X,X
ITZSLJO,O,O,X,X,O,X,X,X
ITZSLOJ,O,O,X,X,O,X,X,X
ITZSJLO,O,O,X,X,O,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X
ITZSOJL,O,O,X,X,O,X,X,X
ITZOLJS,O,X,X,O,O,O,O,X
ITZOLSJ,O,X,X,O,O,O,X,X
ITZOJLS,O,X,X,O,O,O,O,X
ITZOJSL,O,O,X,X,O,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X
ITZOSJL,O,O,X,X,O,X,X,X
ITOLJSZ,X,X,O,O,O,X,O,X
ITOLJZS,X,X,O,O,O,O,O,X
ITOLSJZ,O,O,O,O,X,X,O,X
ITOLSZJ,O,O,X,O,X,O,O,X
ITOLZJS,O,O,X,O,X,O,O,X
ITOLZSJ,O,O,X,O,X,O,X,X
ITOJLSZ,X,X,O,O,O,X,O,X
ITOJLZS,X,X,O,O,O,O,O,X
ITOJSLZ,X,X,O,X,O,X,O,X
ITOJSZL,X,X,X,X,O,X,X,X
ITOJZLS,X,X,O,X,O,X,O,X
ITOJZSL,X,X,X,X,O,X,X,X
ITOSLJZ,O,O,X,O,X,X,O,X
ITOSLZJ,O,O,X,O,X,O,O,X
ITOSJLZ,O,O,X,X,O,X,O,X
ITOSJZL,X,O,X,X,O,X,O,X
ITOSZLJ,O,O,X,X,O,X,O,X
ITOSZJL,O,O,X,X,O,X,O,X
ITOZLJS,O,X,X,O,O,O,O,X
ITOZLSJ,O,X,X,O,X,O,X,X
ITOZJLS,O,X,X,X,O,O,O,X
ITOZJSL,O,O,X,X,O,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,O,X,X,X
ILTJSZO,X,O,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,O,X,O,X
ILTJZSO,X,O,O,O,O,O,X,X
ILTJZOS,X,O,O,O,O,O,O,X
ILTJOSZ,X,X,O,O,O,X,O,X
ILTJOZS,X,X,O,O,O,O,O,X
ILTSJZO,X,O,O,O,O,X,O,X
ILTSJOZ,O,O,O,O,O,X,O,X
ILTSZJO,O,O,O,O,O,O,O,X
ILTSZOJ,O,O,X,O,O,O,O,X
ILTSOJZ,O,O,O,O,X,X,O,X
ILTSOZJ,O,O,X,O,X,O,O,X
ILTZJSO,O,O,O,O,O,O,X,X
ILTZJOS,O,O,O,O,O,O,O,X
ILTZSJO,O,O,O,O,O,O,X,X
ILTZSOJ,O,O,X,O,O,O,X,X
ILTZOJS,O,O,X,O,O,O,O,X
ILTZOSJ,O,O,X,O,O,O,X,X
ILTOJSZ,X,X,O,O,X,X,O,X
ILTOJZS,X,X,O,O,X,O,O,X
ILTOSJZ,O,O,O,O,X,X,O,X
ILTOSZJ,O,O,X,O,X,O,O,X
ILTOZJS,O,O,X,O,X,O,O,X
ILTOZSJ,O,O,X,O,X,O,X,X
ILJTSZO,X,X,O,O,O,X,X,O
ILJTSOZ,X,X,O,O,O,X,X,X
ILJTZSO,X,X,O,O,O,X,X,X
ILJTZOS,X,X,O,O,O,X,X,X
ILJTOSZ,X,X,O,O,O,X,X,X
ILJTOZS,X,X,O,O,O,X,X,X
ILJSTZO,X,X,O,O,O,X,X,O
ILJSTOZ,X,X,O,O,O,X,X,X
ILJSZTO,X,O,X,O,X,X,X,O
ILJSZOT,X,O,X,O,X,X,X,O
ILJSOTZ,X,X,O,O,O,X,X,X
ILJSOZT,X,O,X,O,X,X,X,O
ILJZTSO,X,O,O,O,O,X,X,X
ILJZTOS,X,X,O,O,O,X,X,X
ILJZSTO,X,O,X,O,O,X,X,X
ILJZSOT,X,O,X,O,O,X,X,X
ILJZOTS,X,X,O,O,O,X,X,X
ILJZOST,X,O,X,O,O,X,X,X
ILJOTSZ,X,X,O,O,O,X,X,X
ILJOTZS,X,X,O,O,O,X,X,X
ILJOSTZ,X,X,O,O,O,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,X,X,O,O,O,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,X,O,X,O,O,X,O,O
ILSTJOZ,O,O,X,O,O,X,O,X
ILSTZJO,O,O,X,O,O,X,O,O
ILSTZOJ,O,O,X,O,O,X,O,X
ILSTOJZ,O,O,X,O,X,X,O,X
ILSTOZJ,O,O,X,O,X,X,O,X
ILSJTZO,X,X,O,O,O,X,O,O
ILSJTOZ,O,X,O,O,O,X,O,X
ILSJZTO,X,O,X,O,X,X,O,O
ILSJZOT,X,O,X,O,X,X,X,O
ILSJOTZ,X,X,O,O,O,X,O,X
ILSJOZT,X,O,X,O,X,X,X,O
ILSZTJO,O,O,X,O,X,X,O,O
ILSZTOJ,O,O,X,O,X,X,O,X
ILSZJTO,O,O,X,O,X,X,O,O
ILSZJOT,O,O,X,O,X,X,X,O
ILSZOTJ,O,O,X,O,X,X,X,X
ILSZOJT,X,O,X,O,X,X,X,O
ILSOTJZ,O,O,X,O,X,X,O,X
ILSOTZJ,O,O,X,O,X,X,O,X
ILSOJTZ,X,X,X,O,X,X,O,X
ILSOJZT,X,O,X,O,X,X,X,O
ILSOZTJ,X,O,X,O,X,X,X,X
ILSOZJT,X,O,X,O,X,X,X,O
ILZTJSO,O,O,X,O,O,X,X,X
ILZTJOS,O,X,X,O,O,X,X,X
ILZTSJO,O,O,X,O,O,X,X,X
ILZTSOJ,O,O,X,O,O,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X
ILZTOSJ,O,X,X,O,O,X,X,X
ILZJTSO,O,O,O,O,O,X,X,X
ILZJTOS,O,X,O,O,O,X,X,X
ILZJSTO,O,O,X,O,O,X,X,X
ILZJSOT,O,O,X,O,O,X,X,X
ILZJOTS,X,X,O,O,O,O,X,X
ILZJOST,O,O,X,O,O,X,X,X
ILZSTJO,O,O,X,O,O,X,X,X
ILZSTOJ,O,O,X,O,O,X,X,X
ILZSJTO,O,O,X,O,O,X,X,X
ILZSJOT,O,O,X,O,O,X,X,X
ILZSOTJ,O,O,X,O,O,X,X,X
ILZSOJT,X,O,X,O,X,X,X,X
ILZOTJS,X,X,X,O,O,X,X,X
ILZOTSJ,X,X,X,O,O,X,X,X
ILZOJTS,X,X,X,O,X,O,X,X
ILZOJST,X,O,X,O,X,X,X,X
ILZOSTJ,O,O,X,O,O,X,X,X
ILZOSJT,X,O,X,O,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,X
ILOTJZS,X,X,X,O,X,O,X,X
ILOTSJZ,X,X,X,O,X,X,X,X
ILOTSZJ,X,X,X,O,X,O,X,X
ILOTZJS,X,X,X,O,X,O,X,X
ILOTZSJ,X,X,X,O,X,O,X,X
ILOJTSZ,X,X,O,O,X,X,X,X
ILOJTZS,X,X,O,O,X,X,X,X
ILOJSTZ,X,X,O,O,X,X,X,X
ILOJSZT,X,X,X,O,X,X,X,X
ILOJZTS,X,X,O,O,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,O,X,X,X,X
ILOSTZJ,X,O,X,O,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,X,X
ILOSJZT,X,O,X,O,X,X,X,X
ILOSZTJ,X,O,X,O,X,X,X,X
ILOSZJT,X,O,X,O,X,X,X,X
ILOZTJS,X,X,X,O,X,X,X,X
ILOZTSJ,X,X,X,O,X,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X
ILOZJST,X,O,X,O,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,X,X
ILOZSJT,X,O,X,O,X,X,X,X
IJTLSZO,X,O,O,O,O,X,X,O
IJTLSOZ,X,O,O,O,O,X,X,X
IJTLZSO,X,O,O,O,O,O,X,X
IJTLZOS,X,O,O,O,O,O,X,X
IJTLOSZ,X,X,O,O,O,X,X,X
IJTLOZS,X,X,O,O,O,O,X,X
IJTSLZO,X,O,O,O,O,X,X,O
IJTSLOZ,X,O,O,O,O,X,X,X
IJTSZLO,X,O,X,O,O,X,X,O
IJTSZOL,X,O,X,O,O,X,X,O
IJTSOLZ,X,O,O,O,O,X,X,X
IJTSOZL,X,O,X,O,O,X,X,X
IJTZLSO,X,O,O,O,O,X,X,X
IJTZLOS,X,X,O,O,O,X,X,X
IJTZSLO,X,O,X,O,O,X,X,X
IJTZSOL,X,O,X,O,X,X,X,X
IJTZOLS,X,X,O,O,O,X,X,X
IJTZOSL,X,O,X,O,O,X,X,X
IJTOLSZ,X,X,O,O,O,X,X,X
IJTOLZS,X,X,O,O,O,O,X,X
IJTOSLZ,X,X,O,O,O,X,X,X
IJTOSZL,X,X,X,O,O,X,X,X
IJTOZLS,X,X,O,O,O,X,X,X
IJTOZSL,X,X,X,O,O,X,X,X
IJLTSZO,X,X,O,O,O,X,X,O
IJLTSOZ,X,X,O,O,O,X,X,X
IJLTZSO,X,X,O,O,O,X,X,X
IJLTZOS,X,X,O,O,O,X,X,X
IJLTOSZ,X,X,O,O,O,X,X,X
IJLTOZS,X,X,O,O,O,X,X,X
IJLSTZO,X,X,O,O,O,X,X,O
IJLSTOZ,X,X,O,O,O,X,X,X
IJLSZTO,X,O,X,O,X,X,X,O
IJLSZOT,X,O,X,O,X,X,X,O
IJLSOTZ,X,X,O,O,O,X,X,X
IJLSOZT,X,O,X,O,X,X,X,O
IJLZTSO,X,O,O,O,O,X,X,X
IJLZTOS,X,X,O,O,O,X,X,X
IJLZSTO,X,O,X,O,O,X,X,X
IJLZSOT,X,O,X,O,O,X,X,X
IJLZOTS,X,X,O,O,O,X,X,X
IJLZOST,X,O,X,O,O,X,X,X
IJLOTSZ,X,X,O,O,O,X,X,X
IJLOTZS,X,X,O,O,O,X,X,X
IJLOSTZ,X,X,O,O,O,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,X,X,O,O,O,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,X,O,O,O,O,X,X,O
IJSTLOZ,X,O,O,O,O,X,X,X
IJSTZLO,X,O,X,O,O,X,X,O
IJSTZOL,X,O,X,O,O,X,X,O
IJSTOLZ,X,O,O,O,O,X,X,X
IJSTOZL,X,O,X,O,O,X,X,X
IJSLTZO,X,X,O,O,O,X,X,O
IJSLTOZ,X,X,O,O,O,X,X,X
IJSLZTO,X,O,X,O,X,X,X,O
IJSLZOT,X,O,X,O,X,X,X,O
IJSLOTZ,X,X,O,O,O,X,X,X
IJSLOZT,X,O,X,O,X,X,X,O
IJSZTLO,X,X,X,O,X,X,X,O
