sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TIOZLSJ,O,X,X,O,X,O,X,X
TIOZJLS,O,X,X,X,O,O,O,X
TIOZJSL,O,O,X,X,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,X,X,X
TLIJSZO,X,O,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,O,X,O,X
TLIJZSO,X,O,O,O,O,O,X,X
TLIJZOS,X,O,O,O,O,O,O,X
TLIJOSZ,X,X,O,O,O,X,O,X
TLIJOZS,X,X,O,O,O,O,O,X
TLISJZO,X,O,O,O,O,X,O,X
TLISJOZ,O,O,O,O,O,X,O,X
TLISZJO,O,O,O,O,O,O,O,X
TLISZOJ,O,O,X,O,O,O,O,X
TLISOJZ,O,O,O,O,X,X,O,X
TLISOZJ,O,O,X,O,X,O,O,X
TLIZJSO,O,O,O,O,O,O,X,X
TLIZJOS,O,O,O,O,O,O,O,X
TLIZSJO,O,O,O,O,O,O,X,X
TLIZSOJ,O,O,X,O,O,O,X,X
TLIZOJS,O,O,X,O,O,O,O,X
TLIZOSJ,O,O,X,O,O,O,X,X
TLIOJSZ,X,X,O,O,X,X,O,X
TLIOJZS,X,X,O,O,X,O,O,X
TLIOSJZ,O,O,O,O,X,X,O,X
TLIOSZJ,O,O,X,O,X,O,O,X
TLIOZJS,O,O,X,O,X,O,O,X
TLIOZSJ,O,O,X,O,X,O,X,X
TLJISZO,X,O,O,O,O,X,X,O
TLJISOZ,X,O,O,O,O,X,O,X
TLJIZSO,X,O,O,O,O,O,X,X
TLJIZOS,X,O,O,O,O,O,O,X
TLJIOSZ,X,X,O,O,O,X,O,X
TLJIOZS,X,X,O,O,O,O,O,X
TLJSIZO,X,O,O,O,O,X,O,O
TLJSIOZ,O,O,O,O,O,X,O,X
TLJSZIO,O,O,O,O,O,X,O,O
TLJSZOI,O,O,O,O,O,X,O,O
TLJSOIZ,O,O,O,O,O,X,O,X
TLJSOZI,O,O,O,O,O,X,O,O
TLJZISO,O,O,O,O,O,O,X,X
TLJZIOS,O,O,O,O,O,O,X,X
TLJZSIO,O,O,O,O,O,O,X,O
TLJZSOI,O,O,O,O,O,O,X,O
TLJZOIS,O,O,O,O,O,O,X,X
TLJZOSI,O,O,O,O,O,O,X,X
TLJOISZ,X,X,O,O,O,X,O,X
TLJOIZS,X,X,O,O,O,O,O,X
TLJOSIZ,O,X,O,O,O,X,O,X
TLJOSZI,O,X,O,O,O,X,O,O
TLJOZIS,O,X,O,O,O,O,X,X
TLJOZSI,O,X,O,O,O,O,X,X
TLSIJZO,X,O,O,O,O,X,O,O
TLSIJOZ,O,O,O,O,O,X,O,X
TLSIZJO,O,O,O,O,O,O,O,O
TLSIZOJ,O,O,X,O,O,O,O,X
TLSIOJZ,O,O,O,O,X,X,O,X
TLSIOZJ,O,O,X,O,X,O,O,X
TLSJIZO,X,O,O,O,O,X,O,O
TLSJIOZ,O,O,O,O,O,X,O,X
TLSJZIO,O,O,O,O,O,X,O,O
TLSJZOI,O,O,O,O,O,X,O,O
TLSJOIZ,O,O,O,O,O,X,O,X
TLSJOZI,O,O,O,O,O,X,O,O
TLSZIJO,O,O,O,O,O,O,O,O
TLSZIOJ,O,O,X,O,O,O,O,X
TLSZJIO,O,O,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O,O,O
TLSZOIJ,O,O,X,O,O,O,O,X
TLSZOJI,O,O,X,O,O,O,O,X
TLSOIJZ,O,O,O,O,X,X,O,X
TLSOIZJ,O,O,X,O,X,O,O,X
TLSOJIZ,O,O,O,O,O,X,O,X
TLSOJZI,O,O,O,O,O,X,O,X
TLSOZIJ,O,O,X,O,O,O,O,X
TLSOZJI,O,O,X,O,O,O,O,X
TLZIJSO,O,O,O,O,O,O,X,X
TLZIJOS,O,O,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,O,X,X
TLZISOJ,O,O,X,O,O,O,X,X
TLZIOJS,O,O,X,O,O,O,O,X
TLZIOSJ,O,O,X,O,O,O,X,X
TLZJISO,O,O,O,O,O,O,X,X
TLZJIOS,O,O,O,O,O,O,X,X
TLZJSIO,O,O,O,O,O,O,X,X
TLZJSOI,O,O,O,O,O,O,X,X
