sequence,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjB6pBOpBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjBOpB6pBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je/EJvhFalBThB?xiBlnB2uBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?KpBfqBlnBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je2EJvhFThBxiB?lnB3kByuBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?VsBipB0pB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jei/IvhFThBxiB?cpBeqBVsB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeTBJvhFxiBikB?lnB3pBUsBmpB
TILJSZO,O,O,O,O,X,X,X,X
TILJSOZ,X,X,O,O,O,O,X,X
TILJZSO,X,X,X,X,X,O,O,X
TILJZOS,X,X,X,X,O,O,O,X
TILJOSZ,O,O,O,O,O,O,X,X
TILJOZS,X,X,X,X,O,O,O,X
TILSJZO,O,O,X,O,X,O,X,X
TILSJOZ,X,X,X,O,O,O,X,X
TILSZJO,O,O,X,O,X,O,X,X
TILSZOJ,O,X,X,O,X,O,X,X
TILSOJZ,O,X,X,O,O,O,X,X
TILSOZJ,O,X,X,O,X,O,X,X
TILZJSO,X,X,X,X,X,O,X,X
TILZJOS,X,X,X,X,O,O,X,X
TILZSJO,O,X,X,O,X,O,X,X
TILZSOJ,O,X,X,O,X,O,X,X
TILZOJS,X,X,X,X,O,O,X,X
TILZOSJ,O,X,X,O,X,O,X,X
TILOJSZ,O,O,O,O,O,O,X,X
TILOJZS,X,X,X,X,O,O,O,X
TILOSJZ,O,O,X,O,O,O,X,X
TILOSZJ,O,O,X,O,X,O,X,X
TILOZJS,X,X,X,X,O,O,X,X
TILOZSJ,O,X,X,O,X,O,X,X
TIJLSZO,O,O,O,O,X,X,X,X
TIJLSOZ,X,X,O,O,O,X,X,X
TIJLZSO,X,X,X,X,X,O,O,X
TIJLZOS,X,X,X,X,O,O,O,X
TIJLOSZ,O,O,O,O,O,X,X,X
TIJLOZS,X,X,X,X,O,O,O,X
TIJSLZO,O,O,O,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,O,X
TIJSZOL,X,O,O,X,X,X,O,X
TIJSOLZ,X,O,O,X,X,X,X,X
TIJSOZL,X,O,O,X,X,X,O,X
TIJZLSO,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,O,X
TIJZSLO,X,O,O,X,X,X,O,X
TIJZSOL,X,O,O,X,X,X,O,X
TIJZOLS,X,X,X,X,X,X,O,X
TIJZOSL,X,O,O,X,X,X,O,X
TIJOLSZ,O,O,O,O,O,X,X,X
TIJOLZS,X,X,X,X,O,O,O,X
TIJOSLZ,O,O,O,X,X,X,X,X
TIJOSZL,O,O,O,X,X,X,O,X
TIJOZLS,X,X,X,X,X,X,O,X
TIJOZSL,X,O,O,X,X,X,O,X
TISLJZO,O,O,X,O,X,X,X,X
TISLJOZ,X,X,X,O,O,X,X,X
TISLZJO,O,O,X,O,X,O,X,X
TISLZOJ,O,X,X,O,X,O,X,X
TISLOJZ,O,X,X,O,O,X,X,X
TISLOZJ,O,X,X,O,X,O,X,O
TISJLZO,O,O,O,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X
TISJZLO,O,O,O,X,X,X,O,X
TISJZOL,X,O,O,X,X,X,O,X
TISJOLZ,X,O,O,X,X,X,X,X
TISJOZL,X,O,O,X,X,X,O,X
TISZLJO,O,O,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X,X
TISOLJZ,O,O,X,O,O,X,X,X
TISOLZJ,O,O,X,O,X,O,X,O
TISOJLZ,O,O,O,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,O,X
TISOZLJ,O,O,X,X,X,X,X,X
TISOZJL,O,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,O,X,X
TIZLJOS,X,X,X,X,O,O,X,X
TIZLSJO,O,X,X,O,X,O,X,X
TIZLSOJ,O,X,X,O,X,O,X,X
TIZLOJS,X,X,X,X,O,O,X,X
TIZLOSJ,O,X,X,O,X,O,X,X
TIZJLSO,X,X,X,X,X,X,O,X
TIZJLOS,X,X,X,X,X,X,O,X
TIZJSLO,X,O,O,X,X,X,O,X
TIZJSOL,X,O,O,X,X,X,O,X
TIZJOLS,X,X,X,X,X,X,O,X
TIZJOSL,X,O,O,X,X,X,O,X
TIZSLJO,O,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,O,O,X,X
TIZOLSJ,O,X,X,O,X,O,X,X
TIZOJLS,X,X,X,X,X,X,O,X
TIZOJSL,X,O,O,X,X,X,O,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X
TIOLJSZ,O,O,O,O,O,O,X,X
TIOLJZS,X,X,X,X,O,O,O,X
TIOLSJZ,O,O,X,O,O,O,X,X
TIOLSZJ,O,O,X,O,X,O,X,X
TIOLZJS,X,X,X,X,O,O,X,X
TIOLZSJ,O,X,X,O,X,O,X,X
TIOJLSZ,O,O,O,O,O,X,X,X
