sequence,v115@GhB8HeD8FeF8Oex/IvhF0hBliBGlB/rBKtBTsB,v115@GhB8HeD8FeF8Oe0/IvhFxgBymBziBWrBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhFxgBmiBzlBCnBXsBVyB,v115@GhB8HeD8FeF8Oe0/IvhF6lBlhBziB/rB2sBxxB
TLSOJIZ,O,O,O,X
TLSOJZI,O,O,O,X
TLSOZIJ,O,O,O,X
TLSOZJI,O,O,O,X
TLZIJSO,O,O,O,O
TLZIJOS,O,O,O,O
TLZISJO,O,O,O,O
TLZISOJ,O,O,O,O
TLZIOJS,O,O,O,X
TLZIOSJ,O,X,O,X
TLZJISO,O,O,O,X
TLZJIOS,O,O,O,X
TLZJSIO,O,O,O,X
TLZJSOI,O,O,O,X
TLZJOIS,O,O,O,X
TLZJOSI,O,O,X,X
TLZSIJO,O,O,O,O
TLZSIOJ,O,O,O,O
TLZSJIO,O,O,O,X
TLZSJOI,O,O,O,X
TLZSOIJ,O,O,O,X
TLZSOJI,O,O,O,X
TLZOIJS,O,O,O,X
TLZOISJ,O,X,O,X
TLZOJIS,O,O,O,X
TLZOJSI,O,O,X,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,X,X,X
TLOIJZS,O,X,O,X
TLOISJZ,O,X,O,X
TLOISZJ,O,X,O,X
TLOIZJS,O,X,O,X
TLOIZSJ,O,X,O,X
TLOJISZ,O,O,X,X
TLOJIZS,O,O,O,X
TLOJSIZ,O,O,X,X
TLOJSZI,O,O,X,X
TLOJZIS,O,O,O,X
TLOJZSI,O,O,X,X
TLOSIJZ,O,O,O,X
TLOSIZJ,O,O,O,X
TLOSJIZ,O,O,O,X
TLOSJZI,O,O,O,X
TLOSZIJ,O,O,O,X
TLOSZJI,O,O,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,X,O,X
TLOZJIS,O,O,O,X
TLOZJSI,O,O,X,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,O,X,X
TJILSOZ,O,O,X,X
TJILZSO,O,O,X,X
TJILZOS,O,O,X,X
TJILOSZ,O,O,X,X
TJILOZS,O,O,X,X
TJISLZO,O,O,O,X
TJISLOZ,O,O,O,X
TJISZLO,O,O,O,X
TJISZOL,O,O,O,X
TJISOLZ,O,O,O,X
TJISOZL,O,O,O,X
TJIZLSO,X,O,O,X
TJIZLOS,X,O,O,X
TJIZSLO,X,O,O,X
TJIZSOL,X,O,O,X
TJIZOLS,X,O,O,X
TJIZOSL,X,O,O,X
TJIOLSZ,O,O,X,X
TJIOLZS,O,O,O,X
TJIOSLZ,O,O,X,X
TJIOSZL,O,O,O,X
TJIOZLS,X,O,O,X
TJIOZSL,X,O,O,X
TJLISZO,O,O,X,X
TJLISOZ,O,O,X,X
TJLIZSO,O,O,X,X
TJLIZOS,O,O,X,X
TJLIOSZ,O,O,X,X
TJLIOZS,O,O,X,X
TJLSIZO,O,O,O,X
TJLSIOZ,O,O,O,X
TJLSZIO,O,O,O,X
TJLSZOI,O,O,O,X
TJLSOIZ,O,O,O,X
TJLSOZI,O,O,O,X
TJLZISO,O,O,O,X
TJLZIOS,O,O,O,X
TJLZSIO,O,O,O,X
TJLZSOI,O,O,O,X
TJLZOIS,O,O,O,X
TJLZOSI,O,O,X,X
TJLOISZ,O,O,X,X
TJLOIZS,O,O,O,X
TJLOSIZ,O,O,X,X
TJLOSZI,O,O,X,X
TJLOZIS,O,O,O,X
TJLOZSI,O,O,X,X
TJSILZO,O,O,O,X
TJSILOZ,O,O,O,X
TJSIZLO,O,O,O,X
TJSIZOL,O,O,O,X
TJSIOLZ,O,O,O,X
TJSIOZL,O,O,O,X
TJSLIZO,O,O,O,X
TJSLIOZ,O,O,O,X
TJSLZIO,O,O,O,X
TJSLZOI,O,O,O,X
TJSLOIZ,O,O,O,X
TJSLOZI,O,O,O,X
TJSZILO,O,O,O,X
TJSZIOL,O,O,O,X
TJSZLIO,O,O,O,X
TJSZLOI,O,O,O,X
TJSZOIL,O,O,O,X
TJSZOLI,O,O,O,X
TJSOILZ,O,O,O,X
TJSOIZL,O,O,O,X
TJSOLIZ,O,O,O,X
TJSOLZI,O,O,O,X
TJSOZIL,O,O,O,X
TJSOZLI,O,O,O,X
TJZILSO,X,O,O,X
TJZILOS,X,O,O,X
TJZISLO,X,O,O,X
TJZISOL,X,O,O,X
TJZIOLS,X,O,O,X
TJZIOSL,X,O,O,X
TJZLISO,X,O,O,X
TJZLIOS,X,O,O,X
TJZLSIO,X,O,O,X
TJZLSOI,X,O,O,X
TJZLOIS,X,O,O,X
TJZLOSI,X,O,X,X
TJZSILO,X,O,O,X
