sequence,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhB0mB6sBlp?B2wB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFxgBymB0lB+sBlp?B3rB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBamBUiBWsBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF2lBRhBfsB6sBlp?BUrB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhBKrBGnBlp?BUsB,v115@EhC8HeB8HeC8AeB8DeB8Je2EJvhFRgBUiBfrB6rBlp?BTsB,v115@EhC8HeB8HeC8AeB8DeB8JeOEJvhFXgBlhBUmBTnBCq?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFmgBqmB/nB0lBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFigBfrBxmBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeRAJvhFUiBypBGrBTsB/p?BFrB,v115@EhC8HeB8HeC8AeB8DeB8Jel/IvhFclB/pBxmBGrBTs?BirB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBxmBarBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeSFJvhF/pBxmBmkBlmBUr?BTsB
TILJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TILJZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,O,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,O,O,O,X,X,X,X
TILSJOZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILSZJO,X,X,O,O,O,X,O,O,X,X,X,X,X
TILSZOJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILSOJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILSOZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILZJSO,X,X,X,O,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,X,O,O,O,O,O,X,X,X,X,X
TILZSOJ,X,X,X,O,O,O,O,O,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,O,X,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILOSZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TILOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TIJLSZO,O,X,O,O,X,O,O,X,X,X,X,X,X
TIJLSOZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TIJLZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TIJLZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TIJLOZS,O,X,O,O,X,O,O,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,O,X,O,O,X,X,X,X
TIJSLOZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TIJSZLO,O,O,O,X,X,O,X,O,O,X,X,X,X
TIJSZOL,O,O,O,O,X,O,X,O,O,X,X,O,X
TIJSOLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TIJSOZL,O,O,O,O,X,O,X,O,O,X,X,O,X
TIJZLSO,X,O,O,O,X,X,O,X,X,X,X,X,X
TIJZLOS,X,O,O,O,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,O,O,O,X,X,X,X,X
TIJZSOL,O,O,O,O,X,O,O,O,X,X,X,O,X
TIJZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TIJZOSL,O,O,O,O,X,O,O,O,X,X,X,O,X
TIJOLSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TIJOLZS,O,X,O,O,X,O,O,X,X,X,X,X,X
TIJOSLZ,O,O,O,O,X,O,O,O,O,X,X,O,X
TIJOSZL,O,O,O,O,X,O,O,O,O,X,X,O,X
TIJOZLS,X,O,O,O,X,O,O,X,X,X,X,X,X
TIJOZSL,O,O,O,O,X,O,O,O,X,X,X,O,X
TISLJZO,O,X,O,X,X,O,X,O,O,X,X,X,X
TISLJOZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TISLZJO,X,X,O,X,O,O,X,O,X,X,X,X,X
TISLZOJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TISLOJZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TISLOZJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TISJLZO,O,X,O,X,X,O,X,O,O,X,X,X,X
