sequence,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigB3hBFjBc?qBOsBTrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigBFiBXjBc?qBOrBzrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjBllBc?rBesBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBGlBK?rBfsBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjB0lBm?mBzpB1wB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBClBO?rBXqBzrB
TILJSZO,O,X,O,O,X,X
TILJSOZ,X,X,X,O,X,X
TILJZSO,O,X,O,O,X,X
TILJZOS,O,X,O,X,X,X
TILJOSZ,O,X,X,O,X,X
TILJOZS,O,X,X,X,X,X
TILSJZO,X,X,O,O,X,X
TILSJOZ,X,X,X,O,X,X
TILSZJO,X,X,X,O,X,X
TILSZOJ,X,X,X,O,X,X
TILSOJZ,X,X,X,O,X,X
TILSOZJ,X,X,X,O,X,X
TILZJSO,O,X,O,X,X,X
TILZJOS,O,X,O,X,X,X
TILZSJO,O,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X
TILZOJS,O,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X
TILOJZS,X,X,X,O,X,X
TILOSJZ,X,X,X,O,X,X
TILOSZJ,O,X,X,O,X,X
TILOZJS,O,X,X,X,X,X
TILOZSJ,O,X,X,O,X,X
TIJLSZO,O,O,O,O,O,X
TIJLSOZ,X,X,X,O,O,X
TIJLZSO,O,O,O,O,O,O
TIJLZOS,O,O,O,X,O,X
TIJLOSZ,O,X,X,O,O,X
TIJLOZS,O,X,X,X,O,X
TIJSLZO,O,O,O,O,O,O
TIJSLOZ,X,X,X,O,O,O
TIJSZLO,O,O,X,X,O,O
TIJSZOL,O,O,X,X,O,O
TIJSOLZ,O,X,X,X,O,X
TIJSOZL,O,O,X,X,O,O
TIJZLSO,O,O,X,O,O,O
TIJZLOS,O,O,X,X,O,X
TIJZSLO,O,O,X,X,O,O
TIJZSOL,O,O,X,X,O,O
TIJZOLS,O,O,X,X,O,X
TIJZOSL,O,O,X,X,O,O
TIJOLSZ,O,X,X,O,O,X
TIJOLZS,O,X,X,X,O,X
TIJOSLZ,O,X,X,X,O,X
TIJOSZL,O,O,X,X,O,X
TIJOZLS,O,O,X,X,O,X
TIJOZSL,O,O,X,X,O,O
TISLJZO,X,O,O,O,O,O
TISLJOZ,X,X,X,O,O,O
TISLZJO,X,O,X,O,O,O
TISLZOJ,X,O,X,O,O,O
TISLOJZ,X,X,X,O,O,O
TISLOZJ,X,O,X,O,O,O
TISJLZO,O,O,O,X,O,O
TISJLOZ,X,X,X,X,O,O
