sequence,v115@KhB8GeB8EeF8CeB8JeOEJvhF8kBRhBSnBTjBlrB3sB,v115@KhB8GeB8EeF8CeB8Je2EJvhFRhBSnBTjB3kB0rBlsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBRhBGjB1rB8sBXsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBxiB/sBFoB0rB,v115@KhB8GeB8EeF8CeB8Jei/IvhFRhBGjB3kBznBlrBUsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBCjBTkBXoBlrBUsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBcoBxrBXsBlsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhB3iBcoBTkB1rBSxB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBTkBFnBXoB0rBCtB
TILJSZO,X,X,X,O,O,O,X,O,X
TILJSOZ,X,O,O,O,O,O,X,X,X
TILJZSO,O,X,O,X,X,X,O,O,X
TILJZOS,O,O,O,X,X,X,O,O,X
TILJOSZ,X,O,O,O,X,X,X,O,X
TILJOZS,O,O,O,X,X,X,O,O,X
TILSJZO,X,X,X,O,O,O,X,O,X
TILSJOZ,X,O,O,O,O,O,X,X,X
TILSZJO,O,X,O,O,O,O,X,O,X
TILSZOJ,O,X,O,O,O,O,X,O,X
TILSOJZ,X,O,O,O,O,O,X,O,X
TILSOZJ,O,X,O,O,O,O,X,O,X
TILZJSO,O,X,O,X,X,X,O,O,X
TILZJOS,O,O,O,X,X,X,O,O,X
TILZSJO,O,X,O,O,X,X,O,O,X
TILZSOJ,O,X,O,O,X,X,O,O,X
TILZOJS,O,O,O,X,X,X,O,O,X
TILZOSJ,O,X,O,O,X,X,O,O,X
TILOJSZ,X,O,O,O,O,O,X,O,X
TILOJZS,O,O,O,X,X,X,O,O,X
TILOSJZ,X,O,O,O,O,O,X,O,X
TILOSZJ,O,X,O,O,O,O,X,O,X
TILOZJS,O,O,O,X,X,X,O,O,X
TILOZSJ,O,X,O,O,X,X,O,O,X
TIJLSZO,X,X,X,O,O,O,X,O,X
TIJLSOZ,X,O,O,O,O,O,X,X,X
TIJLZSO,O,X,O,X,X,X,O,O,X
TIJLZOS,O,O,O,X,X,X,O,O,X
TIJLOSZ,X,O,O,O,X,X,X,X,X
TIJLOZS,O,O,O,X,X,X,O,O,X
TIJSLZO,X,X,X,O,O,O,X,X,X
TIJSLOZ,X,O,O,O,O,O,X,X,X
TIJSZLO,X,X,X,O,O,O,X,O,X
TIJSZOL,X,X,X,X,X,X,X,O,X
TIJSOLZ,X,O,X,O,O,O,X,X,X
TIJSOZL,X,X,X,X,O,O,X,X,X
TIJZLSO,O,O,O,X,X,X,O,O,X
TIJZLOS,O,O,O,X,X,X,O,O,X
