sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TOZILSJ,O,X,X,O,X
TOZIJLS,O,X,O,X,X
TOZIJSL,O,X,X,X,X
TOZISLJ,O,X,X,O,X
TOZISJL,O,X,X,X,X
TOZLIJS,O,X,O,X,X
TOZLISJ,O,X,X,O,X
TOZLJIS,O,X,O,O,X
TOZLJSI,O,X,O,O,X
TOZLSIJ,O,X,O,O,X
TOZLSJI,O,X,O,O,X
TOZJILS,O,X,O,O,X
TOZJISL,O,X,X,O,X
TOZJLIS,O,X,O,O,X
TOZJLSI,O,X,O,O,X
TOZJSIL,O,X,X,O,X
TOZJSLI,O,X,X,O,X
TOZSILJ,O,X,X,O,X
TOZSIJL,O,X,X,X,X
TOZSLIJ,O,X,X,O,X
TOZSLJI,O,X,X,O,X
TOZSJIL,O,X,X,O,X
TOZSJLI,O,X,X,O,X
ITLJSZO,X,X,O,O,X
ITLJSOZ,X,X,O,X,X
ITLJZSO,X,X,O,O,X
ITLJZOS,X,X,O,O,X
ITLJOSZ,X,X,O,X,X
ITLJOZS,X,X,O,O,X
ITLSJZO,X,X,O,O,X
ITLSJOZ,X,X,O,X,X
ITLSZJO,X,X,O,O,X
ITLSZOJ,X,X,O,O,X
ITLSOJZ,X,X,O,X,X
ITLSOZJ,X,X,O,O,X
ITLZJSO,X,X,O,O,X
ITLZJOS,X,X,O,O,X
ITLZSJO,O,X,X,O,X
ITLZSOJ,O,X,X,O,X
ITLZOJS,X,X,O,X,X
ITLZOSJ,O,X,X,O,X
ITLOJSZ,X,X,O,X,X
ITLOJZS,X,X,O,O,X
ITLOSJZ,X,X,O,X,X
ITLOSZJ,X,X,O,O,X
ITLOZJS,X,X,O,X,X
ITLOZSJ,O,X,X,O,X
ITJLSZO,X,X,O,O,X
ITJLSOZ,X,X,O,X,X
ITJLZSO,O,X,O,O,X
ITJLZOS,O,X,O,O,X
ITJLOSZ,X,X,O,X,X
ITJLOZS,O,X,O,O,X
ITJSLZO,O,X,O,O,X
ITJSLOZ,O,X,O,X,X
ITJSZLO,O,X,O,O,X
ITJSZOL,O,X,X,O,X
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,X,X,X,X
ITJZLSO,O,X,X,O,X
ITJZLOS,O,X,X,O,X
ITJZSLO,O,X,X,O,X
ITJZSOL,O,X,X,O,X
ITJZOLS,O,X,X,O,X
ITJZOSL,O,X,X,O,X
ITJOLSZ,O,X,O,X,X
ITJOLZS,O,X,O,O,X
ITJOSLZ,O,X,O,X,X
ITJOSZL,O,X,X,X,X
ITJOZLS,O,X,O,O,X
ITJOZSL,O,X,X,O,X
ITSLJZO,O,X,O,O,X
ITSLJOZ,X,X,O,X,X
ITSLZJO,O,X,O,O,X
ITSLZOJ,O,X,O,O,X
ITSLOJZ,O,X,O,X,X
ITSLOZJ,O,X,O,O,X
ITSJLZO,O,X,O,O,X
ITSJLOZ,O,X,O,X,X
ITSJZLO,O,X,O,O,X
ITSJZOL,O,X,X,O,X
ITSJOLZ,O,X,O,X,X
ITSJOZL,O,X,X,X,X
ITSZLJO,O,X,O,O,X
ITSZLOJ,O,X,O,O,X
ITSZJLO,O,X,O,O,X
ITSZJOL,O,X,X,O,X
ITSZOLJ,O,X,X,O,X
ITSZOJL,O,X,X,X,X
ITSOLJZ,O,X,O,X,X
ITSOLZJ,O,X,O,O,X
ITSOJLZ,O,X,O,X,X
ITSOJZL,O,X,X,X,X
ITSOZLJ,O,X,X,X,X
ITSOZJL,O,X,X,X,X
ITZLJSO,X,X,X,O,O
ITZLJOS,X,X,X,O,O
ITZLSJO,O,X,X,O,O
ITZLSOJ,O,X,X,O,O
ITZLOJS,X,X,X,X,O
ITZLOSJ,O,X,X,O,O
ITZJLSO,O,X,X,O,O
ITZJLOS,O,X,X,O,O
ITZJSLO,O,X,X,O,O
ITZJSOL,O,X,X,O,O
ITZJOLS,O,X,X,O,O
ITZJOSL,O,X,X,O,O
ITZSLJO,O,X,X,O,O
ITZSLOJ,O,X,X,O,O
ITZSJLO,O,X,X,O,O
ITZSJOL,O,X,X,O,O
ITZSOLJ,O,X,X,O,O
ITZSOJL,O,X,X,X,O
ITZOLJS,O,X,X,X,O
ITZOLSJ,O,X,X,O,O
ITZOJLS,O,X,X,X,O
ITZOJSL,O,X,X,X,O
ITZOSLJ,O,X,X,O,O
ITZOSJL,O,X,X,X,O
ITOLJSZ,O,X,O,X,X
ITOLJZS,O,X,O,O,X
ITOLSJZ,O,X,O,X,X
ITOLSZJ,O,X,O,O,X
ITOLZJS,O,X,O,X,X
ITOLZSJ,O,X,X,O,X
ITOJLSZ,O,X,O,X,X
ITOJLZS,O,X,O,O,X
ITOJSLZ,O,X,O,X,X
ITOJSZL,O,X,X,X,X
ITOJZLS,O,X,O,O,X
ITOJZSL,O,X,X,O,X
ITOSLJZ,O,X,X,X,X
ITOSLZJ,O,X,X,O,X
ITOSJLZ,O,X,O,X,X
ITOSJZL,O,X,X,X,X
ITOSZLJ,O,X,X,X,X
ITOSZJL,O,X,X,X,X
ITOZLJS,O,X,X,X,O
ITOZLSJ,O,X,X,O,O
ITOZJLS,O,X,O,X,O
ITOZJSL,O,X,X,X,O
ITOZSLJ,O,X,X,O,O
ITOZSJL,O,X,X,X,O
ILTJSZO,X,X,O,O,X
ILTJSOZ,X,X,O,X,X
ILTJZSO,X,X,O,O,X
ILTJZOS,X,X,O,O,X
ILTJOSZ,X,X,O,X,X
ILTJOZS,X,X,O,O,X
ILTSJZO,X,X,O,O,X
ILTSJOZ,X,X,O,X,X
ILTSZJO,X,X,O,O,X
ILTSZOJ,X,X,O,O,X
ILTSOJZ,X,X,O,X,X
ILTSOZJ,X,X,O,O,X
ILTZJSO,X,X,O,O,X
ILTZJOS,X,X,O,O,X
ILTZSJO,O,X,X,O,X
ILTZSOJ,O,X,X,O,X
ILTZOJS,X,X,O,X,X
ILTZOSJ,O,X,X,O,X
ILTOJSZ,X,X,O,X,X
ILTOJZS,X,X,O,O,X
ILTOSJZ,X,X,O,X,X
ILTOSZJ,X,X,O,O,X
ILTOZJS,X,X,O,X,X
ILTOZSJ,O,X,X,O,X
ILJTSZO,X,O,O,O,X
ILJTSOZ,X,O,O,X,X
ILJTZSO,O,O,O,O,X
ILJTZOS,O,O,O,O,X
ILJTOSZ,X,O,O,X,X
ILJTOZS,O,O,O,O,X
ILJSTZO,X,O,O,X,X
ILJSTOZ,X,O,O,X,X
ILJSZTO,X,O,O,X,X
ILJSZOT,X,O,X,X,X
ILJSOTZ,X,O,O,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,O,O,O,O,X
ILJZTOS,O,O,O,O,X
ILJZSTO,O,O,X,O,X
ILJZSOT,O,O,X,X,X
ILJZOTS,O,O,X,X,X
ILJZOST,O,O,X,X,X
ILJOTSZ,X,O,O,X,X
ILJOTZS,O,O,O,X,X
ILJOSTZ,X,O,O,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,O,O,O,X,X
ILJOZST,O,O,X,X,X
ILSTJZO,X,O,O,X,X
ILSTJOZ,X,O,O,X,X
ILSTZJO,X,X,O,X,X
ILSTZOJ,X,O,O,X,X
ILSTOJZ,X,O,O,X,X
ILSTOZJ,X,O,O,X,X
ILSJTZO,X,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,X,O,O,X,X
ILSJZOT,X,O,X,X,X
ILSJOTZ,X,O,O,X,X
ILSJOZT,X,O,O,X,X
ILSZTJO,X,O,O,X,X
ILSZTOJ,X,O,O,X,X
ILSZJTO,X,O,O,X,X
ILSZJOT,X,O,X,X,X
ILSZOTJ,X,O,O,X,X
ILSZOJT,X,O,O,X,X
ILSOTJZ,X,O,O,X,X
ILSOTZJ,X,O,O,X,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,X,O,O,X,X
ILSOZTJ,X,O,O,X,X
ILSOZJT,X,O,O,X,X
ILZTJSO,X,O,O,O,O
ILZTJOS,X,O,O,X,O
ILZTSJO,O,O,X,O,O
ILZTSOJ,O,O,X,O,O
ILZTOJS,X,O,O,X,O
ILZTOSJ,O,O,X,O,O
ILZJTSO,X,O,O,X,O
ILZJTOS,X,O,O,X,O
ILZJSTO,X,O,X,X,O
ILZJSOT,X,O,X,X,O
ILZJOTS,X,O,X,X,O
ILZJOST,X,O,X,X,O
ILZSTJO,O,O,X,O,O
ILZSTOJ,O,O,X,O,O
ILZSJTO,O,X,X,X,O
ILZSJOT,X,O,X,X,O
ILZSOTJ,O,O,X,X,O
ILZSOJT,O,O,X,X,O
ILZOTJS,X,O,O,X,O
ILZOTSJ,O,O,X,X,O
ILZOJTS,X,O,O,X,O
ILZOJST,X,O,X,X,O
ILZOSTJ,O,O,X,X,O
ILZOSJT,O,O,X,X,O
ILOTJSZ,X,X,O,X,X
ILOTJZS,X,X,O,X,X
ILOTSJZ,X,X,O,X,X
ILOTSZJ,X,X,O,X,X
ILOTZJS,X,X,O,X,X
ILOTZSJ,O,X,X,X,X
ILOJTSZ,X,O,O,X,X
ILOJTZS,O,O,O,X,X
ILOJSTZ,X,O,O,X,X
ILOJSZT,X,O,O,X,X
ILOJZTS,O,O,O,X,X
ILOJZST,O,O,X,X,X
ILOSTJZ,X,O,O,X,X
ILOSTZJ,X,O,O,X,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,X,O,O,X,X
ILOSZTJ,X,O,O,X,X
ILOSZJT,X,O,O,X,X
ILOZTJS,X,O,O,X,O
ILOZTSJ,O,O,X,X,O
ILOZJTS,X,O,O,X,O
ILOZJST,X,O,X,X,O
ILOZSTJ,O,O,X,X,O
ILOZSJT,O,O,X,X,O
IJTLSZO,X,O,O,O,X
IJTLSOZ,X,O,O,X,X
IJTLZSO,O,O,O,O,X
IJTLZOS,O,O,O,O,X
IJTLOSZ,X,O,O,X,X
IJTLOZS,O,O,O,O,X
IJTSLZO,O,O,O,O,X
IJTSLOZ,O,O,O,X,X
IJTSZLO,O,O,O,O,X
IJTSZOL,O,X,X,O,X
IJTSOLZ,O,O,O,X,X
IJTSOZL,O,X,X,X,X
IJTZLSO,O,O,X,O,X
IJTZLOS,O,O,X,O,X
IJTZSLO,O,O,X,O,X
IJTZSOL,O,X,X,O,X
IJTZOLS,O,X,X,O,X
IJTZOSL,O,X,X,O,X
IJTOLSZ,O,O,O,X,X
IJTOLZS,O,O,O,O,X
IJTOSLZ,O,O,O,X,X
IJTOSZL,O,X,X,X,X
IJTOZLS,O,X,O,O,X
IJTOZSL,O,X,X,O,X
IJLTSZO,X,O,O,O,X
IJLTSOZ,X,O,O,X,X
IJLTZSO,O,O,O,O,X
IJLTZOS,O,O,O,O,X
IJLTOSZ,X,O,O,X,X
IJLTOZS,O,O,O,O,X
IJLSTZO,X,O,O,X,X
IJLSTOZ,X,O,O,X,X
IJLSZTO,X,O,O,X,X
IJLSZOT,X,O,X,X,X
IJLSOTZ,X,O,O,X,X
IJLSOZT,X,O,X,X,X
IJLZTSO,O,O,O,O,X
IJLZTOS,O,O,O,O,X
IJLZSTO,O,O,X,O,X
IJLZSOT,O,O,X,X,X
IJLZOTS,O,O,X,X,X
IJLZOST,O,O,X,X,X
IJLOTSZ,X,O,O,X,X
IJLOTZS,O,O,O,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,O,O,X,X,X
IJLOZST,O,O,X,X,X
IJSTLZO,O,O,O,O,X
IJSTLOZ,O,O,O,X,X
IJSTZLO,O,O,O,O,X
IJSTZOL,O,X,X,O,X
IJSTOLZ,O,O,O,X,X
IJSTOZL,O,X,X,X,X
IJSLTZO,O,O,O,X,X
IJSLTOZ,O,O,O,X,X
IJSLZTO,O,O,O,X,X
IJSLZOT,O,O,X,X,X
IJSLOTZ,O,O,O,X,X
IJSLOZT,O,O,X,X,X
IJSZTLO,O,O,O,O,X
IJSZTOL,O,O,X,O,X
IJSZLTO,O,O,X,O,X
IJSZLOT,X,O,X,X,X
IJSZOTL,O,X,X,O,X
IJSZOLT,O,O,X,X,X
IJSOTLZ,O,O,O,X,X
IJSOTZL,O,X,X,X,X
IJSOLTZ,O,O,X,X,X
IJSOLZT,O,O,X,X,X
IJSOZTL,O,X,X,X,X
IJSOZLT,O,O,X,X,X
IJZTLSO,O,O,X,O,O
IJZTLOS,O,O,X,O,O
IJZTSLO,O,O,X,O,O
IJZTSOL,O,O,X,O,O
IJZTOLS,O,O,X,O,O
IJZTOSL,O,O,X,O,O
IJZLTSO,O,O,X,O,O
IJZLTOS,O,O,X,O,O
IJZLSTO,O,O,X,O,O
IJZLSOT,O,O,X,X,O
IJZLOTS,O,O,X,X,O
IJZLOST,O,O,X,X,O
IJZSTLO,O,O,X,O,O
IJZSTOL,O,O,X,O,O
IJZSLTO,O,O,X,O,O
IJZSLOT,X,O,X,X,O
IJZSOTL,O,X,X,O,O
IJZSOLT,O,O,X,X,O
IJZOTLS,O,X,X,O,O
IJZOTSL,O,X,X,O,O
IJZOLTS,O,X,X,X,O
IJZOLST,O,X,X,X,O
IJZOSTL,O,X,X,O,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,O,X,O,X,X
IJOTLZS,O,X,O,O,X
IJOTSLZ,O,X,O,X,X
IJOTSZL,O,X,X,X,X
IJOTZLS,O,X,O,O,X
IJOTZSL,O,X,X,O,X
IJOLTSZ,O,X,O,X,X
IJOLTZS,O,X,O,X,X
IJOLSTZ,O,X,O,X,X
IJOLSZT,O,X,O,X,X
IJOLZTS,O,X,O,X,X
IJOLZST,O,X,X,X,X
IJOSTLZ,O,X,O,X,X
IJOSTZL,O,X,X,X,X
IJOSLTZ,O,X,O,X,X
IJOSLZT,O,X,X,X,X
IJOSZTL,O,X,X,X,X
IJOSZLT,O,X,X,X,X
IJOZTLS,O,X,O,O,O
IJOZTSL,O,X,X,O,O
IJOZLTS,O,X,O,X,O
IJOZLST,O,X,X,X,O
IJOZSTL,O,X,X,O,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,O,O,X
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,X,O,O,X
ISTLZOJ,O,O,O,O,X
ISTLOJZ,O,O,O,X,X
ISTLOZJ,O,O,O,O,X
ISTJLZO,O,O,O,O,X
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,O,X
ISTJZOL,O,X,X,O,X
ISTJOLZ,O,O,O,X,X
ISTJOZL,O,X,X,X,X
ISTZLJO,O,X,O,O,X
ISTZLOJ,O,O,O,O,X
ISTZJLO,O,X,O,O,X
ISTZJOL,O,X,X,X,X
ISTZOLJ,O,X,X,O,X
ISTZOJL,O,X,X,X,X
ISTOLJZ,O,X,O,X,X
ISTOLZJ,O,X,O,O,X
ISTOJLZ,O,X,O,X,X
ISTOJZL,O,X,X,X,X
ISTOZLJ,O,X,X,X,X
ISTOZJL,O,X,X,X,X
ISLTJZO,O,O,O,X,X
ISLTJOZ,O,O,O,X,X
ISLTZJO,O,X,O,X,X
ISLTZOJ,O,O,O,X,X
ISLTOJZ,O,O,O,X,X
ISLTOZJ,O,O,O,X,X
ISLJTZO,O,O,O,X,X
ISLJTOZ,O,O,O,X,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,O,O,O,X,X
ISLJOZT,O,O,O,X,X
ISLZTJO,O,O,O,X,X
ISLZTOJ,O,O,O,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,X,X,X
ISLZOTJ,O,O,O,X,X
ISLZOJT,O,O,O,X,X
ISLOTJZ,O,O,O,X,X
ISLOTZJ,O,O,O,X,X
ISLOJTZ,O,O,O,X,X
ISLOJZT,O,O,O,X,X
ISLOZTJ,O,O,O,X,X
ISLOZJT,O,O,O,X,X
ISJTLZO,O,O,O,O,X
ISJTLOZ,O,O,O,X,X
ISJTZLO,O,O,O,O,X
ISJTZOL,O,X,X,O,X
ISJTOLZ,O,O,O,X,X
ISJTOZL,O,X,X,X,X
ISJLTZO,O,O,O,X,X
ISJLTOZ,O,O,O,X,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,O,O,O,X,X
ISJLOZT,O,O,O,X,X
ISJZTLO,O,O,O,O,X
ISJZTOL,O,O,X,O,X
ISJZLTO,O,O,X,O,X
ISJZLOT,X,O,X,X,X
ISJZOTL,O,X,X,O,X
ISJZOLT,O,O,X,X,X
ISJOTLZ,O,O,O,X,X
ISJOTZL,O,X,X,X,X
ISJOLTZ,O,O,X,X,X
ISJOLZT,O,O,X,X,X
ISJOZTL,O,X,X,X,X
ISJOZLT,O,O,X,X,X
ISZTLJO,O,O,O,O,O
ISZTLOJ,O,O,O,O,O
ISZTJLO,O,O,O,O,O
ISZTJOL,O,X,X,X,O
ISZTOLJ,O,O,X,O,O
ISZTOJL,O,X,X,X,O
ISZLTJO,O,O,O,O,O
ISZLTOJ,O,O,O,O,O
ISZLJTO,O,O,O,X,O
ISZLJOT,O,O,X,X,O
ISZLOTJ,O,O,O,X,O
ISZLOJT,X,O,O,X,O
ISZJTLO,O,O,O,O,O
ISZJTOL,O,X,X,X,O
ISZJLTO,O,O,X,X,O
ISZJLOT,X,O,X,X,O
ISZJOTL,O,X,X,X,O
ISZJOLT,X,O,X,X,O
ISZOTLJ,O,X,X,O,O
ISZOTJL,O,X,X,X,O
ISZOLTJ,O,O,X,X,O
ISZOLJT,X,O,X,X,O
ISZOJTL,O,X,X,X,O
ISZOJLT,X,X,X,X,O
ISOTLJZ,O,X,O,X,X
ISOTLZJ,O,X,O,X,X
ISOTJLZ,O,X,O,X,X
ISOTJZL,O,X,X,X,X
ISOTZLJ,O,X,X,X,X
ISOTZJL,O,X,X,X,X
ISOLTJZ,O,O,O,X,X
ISOLTZJ,O,O,O,X,X
ISOLJTZ,O,O,O,X,X
ISOLJZT,O,O,O,X,X
ISOLZTJ,O,O,O,X,X
ISOLZJT,O,O,O,X,X
ISOJTLZ,O,O,O,X,X
ISOJTZL,O,X,X,X,X
ISOJLTZ,O,O,X,X,X
ISOJLZT,O,O,X,X,X
ISOJZTL,O,X,X,X,X
ISOJZLT,O,O,X,X,X
ISOZTLJ,O,X,X,X,O
ISOZTJL,O,X,X,X,O
ISOZLTJ,O,O,X,X,O
ISOZLJT,O,O,X,X,O
ISOZJTL,O,X,X,X,O
ISOZJLT,O,X,X,X,O
IZTLJSO,X,O,X,O,O
IZTLJOS,X,O,X,O,O
IZTLSJO,O,O,X,O,O
IZTLSOJ,O,O,X,O,O
IZTLOJS,X,O,X,X,O
IZTLOSJ,O,O,X,O,O
IZTJLSO,O,O,X,O,O
IZTJLOS,O,O,X,O,O
IZTJSLO,O,O,X,O,O
IZTJSOL,O,X,X,O,O
IZTJOLS,O,X,X,O,O
IZTJOSL,O,X,X,O,O
IZTSLJO,O,O,X,O,O
IZTSLOJ,O,O,X,O,O
IZTSJLO,O,O,X,O,O
IZTSJOL,O,X,X,O,O
IZTSOLJ,O,O,X,O,O
IZTSOJL,O,X,X,X,O
IZTOLJS,O,O,X,X,O
IZTOLSJ,O,O,X,O,O
IZTOJLS,O,X,X,X,O
IZTOJSL,O,X,X,X,O
IZTOSLJ,O,O,X,O,O
IZTOSJL,O,X,X,X,O
IZLTJSO,X,O,X,O,O
IZLTJOS,X,O,X,X,O
IZLTSJO,O,O,X,O,O
IZLTSOJ,O,O,X,O,O
IZLTOJS,X,O,X,X,O
IZLTOSJ,O,O,X,O,O
IZLJTSO,X,O,X,X,O
IZLJTOS,X,O,X,X,O
IZLJSTO,X,O,X,X,O
IZLJSOT,X,O,X,X,O
IZLJOTS,X,O,X,X,O
IZLJOST,X,O,X,X,O
IZLSTJO,O,O,X,O,O
IZLSTOJ,O,O,X,O,O
IZLSJTO,O,X,X,X,O
IZLSJOT,X,O,X,X,O
IZLSOTJ,O,O,X,X,O
IZLSOJT,O,O,X,X,O
IZLOTJS,X,O,X,X,O
IZLOTSJ,O,O,X,X,O
IZLOJTS,X,O,X,X,O
IZLOJST,X,O,X,X,O
IZLOSTJ,O,O,X,X,O
IZLOSJT,O,O,X,X,O
IZJTLSO,O,O,X,O,O
IZJTLOS,O,O,X,O,O
IZJTSLO,O,O,X,O,O
IZJTSOL,O,O,X,O,O
IZJTOLS,O,O,X,O,O
IZJTOSL,O,O,X,O,O
IZJLTSO,O,O,X,O,O
IZJLTOS,O,O,X,O,O
IZJLSTO,O,O,X,O,O
IZJLSOT,O,O,X,X,O
IZJLOTS,O,O,X,X,O
IZJLOST,O,O,X,X,O
IZJSTLO,O,O,X,O,O
IZJSTOL,O,O,X,O,O
IZJSLTO,O,O,X,O,O
IZJSLOT,X,O,X,X,O
IZJSOTL,O,X,X,O,O
IZJSOLT,O,O,X,X,O
IZJOTLS,O,X,X,O,O
IZJOTSL,O,X,X,O,O
IZJOLTS,O,X,X,X,O
IZJOLST,O,X,X,X,O
IZJOSTL,O,X,X,O,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,O,X,O,O
IZSTLOJ,O,O,X,O,O
IZSTJLO,O,O,X,O,O
IZSTJOL,O,X,X,O,O
IZSTOLJ,O,O,X,O,O
IZSTOJL,O,X,X,X,O
IZSLTJO,O,O,X,O,O
IZSLTOJ,O,O,X,O,O
IZSLJTO,X,X,X,X,O
IZSLJOT,X,O,X,X,O
IZSLOTJ,X,O,X,X,O
IZSLOJT,X,O,X,X,O
IZSJTLO,O,X,X,O,O
IZSJTOL,O,X,X,O,O
IZSJLTO,X,X,X,O,O
IZSJLOT,X,O,X,X,O
IZSJOTL,X,X,X,O,O
IZSJOLT,X,X,X,X,O
IZSOTLJ,O,X,X,O,O
IZSOTJL,O,X,X,X,O
IZSOLTJ,O,O,X,X,O
IZSOLJT,X,O,X,X,O
IZSOJTL,O,X,X,X,O
IZSOJLT,X,X,X,X,O
IZOTLJS,O,X,X,X,O
IZOTLSJ,O,X,X,O,O
IZOTJLS,O,X,X,X,O
IZOTJSL,O,X,X,X,O
IZOTSLJ,O,X,X,O,O
IZOTSJL,O,X,X,X,O
IZOLTJS,O,X,X,X,O
IZOLTSJ,O,X,X,X,O
IZOLJTS,X,X,X,X,O
IZOLJST,X,X,X,X,O
IZOLSTJ,O,X,X,X,O
IZOLSJT,O,X,X,X,O
IZOJTLS,O,X,X,X,O
IZOJTSL,O,X,X,X,O
IZOJLTS,O,X,X,X,O
IZOJLST,O,X,X,X,O
IZOJSTL,O,X,X,X,O
IZOJSLT,O,X,X,X,O
IZOSTLJ,O,X,X,O,O
IZOSTJL,O,X,X,X,O
IZOSLTJ,O,X,X,X,O
IZOSLJT,X,X,X,X,O
IZOSJTL,O,X,X,X,O
IZOSJLT,X,X,X,X,O
IOTLJSZ,O,X,O,X,X
IOTLJZS,O,X,O,O,X
IOTLSJZ,O,X,O,X,X
IOTLSZJ,O,X,O,O,X
IOTLZJS,O,X,O,X,X
IOTLZSJ,O,X,X,O,X
IOTJLSZ,O,X,O,X,X
IOTJLZS,O,X,O,O,X
IOTJSLZ,O,X,O,X,X
IOTJSZL,O,X,X,X,X
IOTJZLS,O,X,O,O,X
IOTJZSL,O,X,X,O,X
IOTSLJZ,O,X,X,X,X
IOTSLZJ,O,X,X,O,X
IOTSJLZ,O,X,O,X,X
IOTSJZL,O,X,X,X,X
IOTSZLJ,O,X,X,X,X
IOTSZJL,O,X,X,X,X
IOTZLJS,O,X,X,X,O
IOTZLSJ,O,X,X,O,O
IOTZJLS,O,X,O,X,O
IOTZJSL,O,X,X,X,O
IOTZSLJ,O,X,X,O,O
IOTZSJL,O,X,X,X,O
IOLTJSZ,O,X,O,X,X
IOLTJZS,O,X,O,X,X
IOLTSJZ,O,X,O,X,X
IOLTSZJ,O,X,O,X,X
IOLTZJS,O,X,O,X,X
IOLTZSJ,O,X,X,X,X
IOLJTSZ,O,X,O,X,X
IOLJTZS,O,X,O,X,X
IOLJSTZ,O,X,O,X,X
IOLJSZT,O,X,O,X,X
IOLJZTS,O,X,O,X,X
IOLJZST,O,X,X,X,X
IOLSTJZ,O,X,O,X,X
IOLSTZJ,O,X,O,X,X
IOLSJTZ,O,X,O,X,X
IOLSJZT,O,X,O,X,X
IOLSZTJ,O,X,O,X,X
IOLSZJT,O,X,O,X,X
IOLZTJS,O,X,O,X,O
IOLZTSJ,O,X,X,X,O
IOLZJTS,X,X,O,X,O
IOLZJST,X,X,X,X,O
IOLZSTJ,O,X,X,X,O
IOLZSJT,O,X,X,X,O
IOJTLSZ,O,X,O,X,X
IOJTLZS,O,X,O,O,X
IOJTSLZ,O,X,O,X,X
IOJTSZL,O,X,X,X,X
IOJTZLS,O,X,O,O,X
IOJTZSL,O,X,X,O,X
IOJLTSZ,O,X,O,X,X
IOJLTZS,O,X,O,X,X
IOJLSTZ,O,X,O,X,X
IOJLSZT,O,X,O,X,X
IOJLZTS,O,X,O,X,X
IOJLZST,O,X,X,X,X
IOJSTLZ,O,X,O,X,X
IOJSTZL,O,X,X,X,X
IOJSLTZ,O,X,O,X,X
IOJSLZT,O,X,X,X,X
IOJSZTL,O,X,X,X,X
IOJSZLT,O,X,X,X,X
IOJZTLS,O,X,O,O,O
IOJZTSL,O,X,X,O,O
IOJZLTS,O,X,O,X,O
IOJZLST,O,X,X,X,O
IOJZSTL,O,X,X,O,O
IOJZSLT,O,X,X,X,O
IOSTLJZ,O,X,X,X,X
IOSTLZJ,O,X,X,X,X
IOSTJLZ,O,X,O,X,X
IOSTJZL,O,X,X,X,X
IOSTZLJ,O,X,X,X,X
IOSTZJL,O,X,X,X,X
IOSLTJZ,O,X,O,X,X
IOSLTZJ,O,X,X,X,X
IOSLJTZ,O,X,O,X,X
IOSLJZT,O,X,X,X,X
IOSLZTJ,O,X,X,X,X
IOSLZJT,O,X,X,X,X
IOSJTLZ,O,X,O,X,X
IOSJTZL,O,X,X,X,X
IOSJLTZ,O,X,O,X,X
IOSJLZT,O,X,X,X,X
IOSJZTL,O,X,X,X,X
IOSJZLT,O,X,X,X,X
IOSZTLJ,O,X,X,X,O
IOSZTJL,O,X,X,X,O
IOSZLTJ,O,X,X,X,O
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,X,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,O,X,X,X,O
IOZTLSJ,O,X,X,O,O
IOZTJLS,O,X,O,X,O
IOZTJSL,O,X,X,X,O
IOZTSLJ,O,X,X,O,O
IOZTSJL,O,X,X,X,O
IOZLTJS,O,X,O,X,O
IOZLTSJ,O,X,X,X,O
IOZLJTS,X,X,O,X,O
IOZLJST,X,X,X,X,O
IOZLSTJ,O,X,X,X,O
IOZLSJT,O,X,X,X,O
IOZJTLS,O,X,O,X,O
IOZJTSL,O,X,X,X,O
IOZJLTS,O,X,O,X,O
IOZJLST,O,X,X,X,O
IOZJSTL,O,X,X,X,O
IOZJSLT,O,X,X,X,O
IOZSTLJ,O,X,X,O,O
IOZSTJL,O,X,X,X,O
IOZSLTJ,O,X,X,X,O
IOZSLJT,O,X,X,X,O
IOZSJTL,O,X,X,X,O
IOZSJLT,O,X,X,X,O
LTIJSZO,X,X,O,O,X
LTIJSOZ,X,X,O,X,X
LTIJZSO,X,X,O,O,X
LTIJZOS,X,X,O,O,X
LTIJOSZ,X,X,O,X,X
LTIJOZS,X,X,O,O,X
LTISJZO,X,X,O,O,X
LTISJOZ,X,X,O,X,X
LTISZJO,X,X,O,O,X
LTISZOJ,X,X,O,O,X
