sequence,v115@QhC8FeG8CeB8JeT/IvhFKlBRhBFjBUmBXsBGsB,v115@QhC8FeG8CeB8JeT/IvhFOlBFjBCmBxrB/sB0rB,v115@QhC8FeG8CeB8JeT/IvhFigBUiBFjB3lBxrBWxB,v115@QhC8FeG8CeB8JeT/IvhFxiB0lBlmB3nBilBWxB,v115@QhC8FeG8CeB8JeT/IvhFfnBxiBllBusBilB0rB
TLOSZIJ,O,X,O,X,X
TLOSZJI,O,X,X,X,X
TLOZIJS,O,O,X,X,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,O,X,X,X
TLOZJSI,O,X,X,X,O
TLOZSIJ,O,X,X,X,X
TLOZSJI,O,X,X,X,O
TJILSZO,X,O,X,X,X
TJILSOZ,X,O,X,X,X
TJILZSO,X,O,X,X,X
TJILZOS,X,O,X,X,X
TJILOSZ,X,O,X,X,X
TJILOZS,X,O,X,X,X
TJISLZO,X,O,O,X,X
TJISLOZ,X,O,O,X,X
TJISZLO,X,X,O,X,X
TJISZOL,X,X,O,X,X
TJISOLZ,X,O,O,X,X
TJISOZL,X,X,O,X,X
TJIZLSO,X,O,X,X,X
TJIZLOS,X,O,X,X,X
TJIZSLO,X,X,O,X,O
TJIZSOL,X,X,O,X,O
TJIZOLS,X,O,X,X,X
TJIZOSL,X,X,O,X,O
TJIOLSZ,X,O,X,X,X
TJIOLZS,X,O,X,X,X
TJIOSLZ,X,O,O,X,X
TJIOSZL,X,X,O,X,X
TJIOZLS,X,O,X,X,X
TJIOZSL,X,X,O,X,O
TJLISZO,X,O,X,X,X
TJLISOZ,X,O,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,X,O,X,X,X
TJLIOZS,X,O,X,X,X
TJLSIZO,X,O,X,X,X
TJLSIOZ,X,O,X,X,X
TJLSZIO,O,X,X,X,X
TJLSZOI,O,X,X,X,X
TJLSOIZ,X,O,X,X,X
TJLSOZI,O,X,X,X,X
TJLZISO,X,O,X,X,X
TJLZIOS,O,O,X,X,X
TJLZSIO,O,X,X,X,O
TJLZSOI,O,X,X,X,O
TJLZOIS,O,O,X,X,X
TJLZOSI,O,X,X,X,O
TJLOISZ,X,O,X,X,X
TJLOIZS,X,O,X,X,X
TJLOSIZ,X,O,X,X,X
TJLOSZI,O,X,X,X,X
TJLOZIS,O,O,X,X,X
TJLOZSI,O,X,X,X,O
TJSILZO,X,O,O,X,X
TJSILOZ,X,O,O,X,X
TJSIZLO,X,X,O,X,X
TJSIZOL,X,X,O,X,X
TJSIOLZ,X,O,O,X,X
TJSIOZL,X,X,O,X,X
TJSLIZO,X,O,O,X,X
TJSLIOZ,X,O,O,X,X
TJSLZIO,O,X,X,X,X
TJSLZOI,O,X,X,X,X
TJSLOIZ,X,O,O,X,X
TJSLOZI,O,X,X,X,X
TJSZILO,O,X,X,X,O
TJSZIOL,X,X,X,X,O
TJSZLIO,O,X,X,X,O
TJSZLOI,O,X,X,X,O
TJSZOIL,X,X,X,X,O
TJSZOLI,X,X,X,X,O
TJSOILZ,X,O,O,X,X
TJSOIZL,X,X,O,X,X
TJSOLIZ,X,O,O,X,X
TJSOLZI,O,X,X,X,X
TJSOZIL,X,X,X,X,O
TJSOZLI,X,X,X,X,O
TJZILSO,X,O,X,X,X
TJZILOS,O,O,X,X,X
TJZISLO,X,X,X,X,O
TJZISOL,X,X,X,X,O
TJZIOLS,X,O,X,X,X
TJZIOSL,X,X,X,X,O
TJZLISO,X,O,X,X,X
TJZLIOS,O,O,X,X,X
TJZLSIO,O,X,X,X,O
TJZLSOI,O,X,X,X,O
TJZLOIS,O,O,X,X,X
TJZLOSI,O,X,X,X,O
TJZSILO,O,X,X,X,O
TJZSIOL,X,X,X,X,O
TJZSLIO,O,X,X,X,O
TJZSLOI,O,X,X,X,O
TJZSOIL,X,X,X,X,O
TJZSOLI,X,X,X,X,O
TJZOILS,X,O,X,X,X
TJZOISL,X,X,X,X,O
TJZOLIS,X,O,X,X,X
TJZOLSI,X,X,X,X,O
TJZOSIL,X,X,X,X,O
TJZOSLI,X,X,X,X,O
TJOILSZ,X,O,X,X,X
TJOILZS,X,O,X,X,X
TJOISLZ,X,O,O,X,X
TJOISZL,X,X,O,X,X
TJOIZLS,X,O,X,X,X
TJOIZSL,X,X,O,X,O
TJOLISZ,X,O,X,X,X
TJOLIZS,X,O,X,X,X
TJOLSIZ,X,O,X,X,X
TJOLSZI,O,X,X,X,X
TJOLZIS,O,O,X,X,X
TJOLZSI,O,X,X,X,O
TJOSILZ,X,O,O,X,X
TJOSIZL,X,X,O,X,X
TJOSLIZ,X,O,O,X,X
TJOSLZI,O,X,X,X,X
TJOSZIL,X,X,X,X,O
TJOSZLI,X,X,X,X,O
TJOZILS,X,O,X,X,X
TJOZISL,X,X,X,X,O
TJOZLIS,X,O,X,X,X
TJOZLSI,X,X,X,X,O
TJOZSIL,X,X,X,X,O
TJOZSLI,X,X,X,X,O
TSILJZO,X,O,O,X,X
TSILJOZ,X,O,O,X,X
TSILZJO,O,X,O,X,X
TSILZOJ,O,X,O,O,X
TSILOJZ,X,O,O,X,X
TSILOZJ,O,X,O,O,X
TSIJLZO,X,O,O,X,X
TSIJLOZ,X,O,O,X,X
TSIJZLO,X,X,O,X,X
TSIJZOL,X,X,O,O,X
TSIJOLZ,X,O,O,X,X
TSIJOZL,X,X,O,O,X
TSIZLJO,O,X,O,X,X
TSIZLOJ,O,X,O,O,X
TSIZJLO,O,X,O,X,X
TSIZJOL,X,X,O,O,X
TSIZOLJ,O,X,O,O,X
TSIZOJL,X,X,O,O,X
TSIOLJZ,X,O,O,X,X
TSIOLZJ,O,X,O,O,X
TSIOJLZ,X,O,O,X,X
TSIOJZL,X,X,O,O,X
TSIOZLJ,X,X,O,O,X
TSIOZJL,X,X,O,O,X
TSLIJZO,X,O,O,X,X
TSLIJOZ,X,O,O,X,X
TSLIZJO,O,X,O,X,X
TSLIZOJ,O,X,O,O,X
TSLIOJZ,X,O,O,X,X
TSLIOZJ,O,X,O,O,X
TSLJIZO,X,O,O,X,X
TSLJIOZ,X,O,O,X,X
TSLJZIO,O,X,X,X,X
TSLJZOI,O,X,X,X,X
TSLJOIZ,X,O,O,X,X
TSLJOZI,O,X,X,X,X
TSLZIJO,O,X,O,X,X
TSLZIOJ,O,X,O,O,X
TSLZJIO,O,X,X,X,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,X,O,O,X
TSLZOJI,O,X,X,O,X
TSLOIJZ,X,O,O,X,X
TSLOIZJ,O,X,O,O,X
TSLOJIZ,X,O,O,X,X
TSLOJZI,O,X,X,X,X
TSLOZIJ,O,X,O,O,X
TSLOZJI,O,X,X,O,X
TSJILZO,X,O,O,X,X
TSJILOZ,X,O,O,X,X
TSJIZLO,X,X,O,X,X
TSJIZOL,X,X,O,O,X
TSJIOLZ,X,O,O,X,X
TSJIOZL,X,X,O,O,X
TSJLIZO,X,O,O,X,X
TSJLIOZ,X,O,O,X,X
TSJLZIO,O,X,X,X,X
TSJLZOI,O,X,X,X,X
TSJLOIZ,X,O,O,X,X
TSJLOZI,O,X,X,X,X
TSJZILO,O,X,X,X,O
TSJZIOL,X,X,X,O,O
TSJZLIO,O,X,X,X,O
TSJZLOI,O,X,X,X,O
TSJZOIL,X,X,X,O,O
TSJZOLI,X,X,X,O,O
TSJOILZ,X,O,O,X,X
TSJOIZL,X,X,O,O,X
TSJOLIZ,X,O,O,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,X,X,X,O,O
TSJOZLI,X,X,X,O,O
TSZILJO,O,X,O,X,X
TSZILOJ,O,X,O,O,X
TSZIJLO,O,X,O,X,O
TSZIJOL,X,X,O,O,O
TSZIOLJ,O,X,O,O,X
TSZIOJL,X,X,O,O,O
TSZLIJO,O,X,O,X,X
TSZLIOJ,O,X,O,O,X
TSZLJIO,O,X,X,X,O
TSZLJOI,O,X,X,X,O
TSZLOIJ,O,X,O,O,X
TSZLOJI,O,X,X,O,O
TSZJILO,O,X,X,X,O
TSZJIOL,X,X,X,O,O
TSZJLIO,O,X,X,X,O
TSZJLOI,O,X,X,X,O
TSZJOIL,X,X,X,O,O
TSZJOLI,X,X,X,O,O
TSZOILJ,O,X,O,O,X
TSZOIJL,X,X,O,O,O
TSZOLIJ,O,X,O,O,X
TSZOLJI,O,X,X,O,O
TSZOJIL,X,X,X,O,O
TSZOJLI,X,X,X,O,O
TSOILJZ,X,O,O,X,X
TSOILZJ,O,X,O,O,X
TSOIJLZ,X,O,O,X,X
TSOIJZL,X,X,O,O,X
TSOIZLJ,X,X,O,O,X
TSOIZJL,X,X,O,O,X
TSOLIJZ,X,O,O,X,X
TSOLIZJ,O,X,O,O,X
TSOLJIZ,X,O,O,X,X
TSOLJZI,O,X,X,X,X
TSOLZIJ,O,X,O,O,X
TSOLZJI,O,X,X,O,X
TSOJILZ,X,O,O,X,X
TSOJIZL,X,X,O,O,X
TSOJLIZ,X,O,O,X,X
TSOJLZI,O,X,X,X,X
TSOJZIL,X,X,X,O,O
TSOJZLI,X,X,X,O,O
TSOZILJ,O,X,O,O,X
TSOZIJL,X,X,O,O,O
TSOZLIJ,O,X,O,O,X
TSOZLJI,O,X,X,O,O
TSOZJIL,X,X,X,O,O
TSOZJLI,X,X,X,O,O
TZILJSO,X,O,X,X,X
TZILJOS,O,O,X,X,X
TZILSJO,O,X,O,X,X
TZILSOJ,O,X,O,X,X
TZILOJS,O,O,X,X,X
TZILOSJ,O,X,O,X,X
TZIJLSO,X,O,X,X,X
TZIJLOS,O,O,X,X,X
TZIJSLO,X,X,O,X,O
TZIJSOL,X,X,O,X,O
TZIJOLS,X,O,X,X,X
TZIJOSL,X,X,O,X,O
TZISLJO,O,X,O,X,X
TZISLOJ,O,X,O,O,X
TZISJLO,O,X,O,X,O
TZISJOL,X,X,O,O,O
TZISOLJ,O,X,O,O,X
TZISOJL,X,X,O,O,O
TZIOLJS,O,O,X,X,X
TZIOLSJ,O,X,O,X,X
TZIOJLS,X,O,X,X,X
TZIOJSL,X,X,O,X,O
TZIOSLJ,X,X,O,O,X
TZIOSJL,X,X,O,O,O
TZLIJSO,X,O,X,X,X
TZLIJOS,O,O,X,X,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,O,O,X,X,X
TZLIOSJ,O,X,X,X,X
TZLJISO,X,O,X,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,X,X,X,O
TZLJSOI,O,X,X,X,O
TZLJOIS,O,O,X,X,X
TZLJOSI,O,X,X,X,O
TZLSIJO,O,X,X,X,X
TZLSIOJ,O,X,X,O,X
TZLSJIO,O,X,X,X,O
TZLSJOI,O,X,X,X,O
TZLSOIJ,O,X,X,O,X
TZLSOJI,O,X,X,O,O
TZLOIJS,O,O,X,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,X,X,X,O
TZLOSIJ,O,X,X,O,X
TZLOSJI,O,X,X,O,O
TZJILSO,X,O,X,X,X
TZJILOS,O,O,X,X,X
TZJISLO,X,X,X,X,O
TZJISOL,X,X,X,X,O
TZJIOLS,X,O,X,X,X
TZJIOSL,X,X,X,X,O
TZJLISO,X,O,X,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,X,X,X,O
TZJLSOI,O,X,X,X,O
TZJLOIS,O,O,X,X,X
TZJLOSI,O,X,X,X,O
TZJSILO,O,X,X,X,O
TZJSIOL,X,X,X,O,O
TZJSLIO,O,X,X,X,O
TZJSLOI,O,X,X,X,O
TZJSOIL,X,X,X,O,O
TZJSOLI,X,X,X,O,O
TZJOILS,X,O,X,X,X
TZJOISL,X,X,X,X,O
TZJOLIS,X,O,X,X,X
TZJOLSI,X,X,X,X,O
TZJOSIL,X,X,X,O,O
TZJOSLI,X,X,X,O,O
TZSILJO,O,X,O,X,X
TZSILOJ,O,X,O,O,X
TZSIJLO,O,X,O,X,O
TZSIJOL,X,X,O,O,O
TZSIOLJ,O,X,O,O,X
TZSIOJL,X,X,O,O,O
TZSLIJO,O,X,O,X,X
TZSLIOJ,O,X,O,O,X
TZSLJIO,O,X,X,X,O
TZSLJOI,O,X,X,X,O
TZSLOIJ,O,X,O,O,X
TZSLOJI,O,X,X,O,O
TZSJILO,O,X,X,X,O
TZSJIOL,X,X,X,O,O
TZSJLIO,O,X,X,X,O
TZSJLOI,O,X,X,X,O
TZSJOIL,X,X,X,O,O
TZSJOLI,X,X,X,O,O
TZSOILJ,O,X,O,O,X
TZSOIJL,X,X,O,O,O
TZSOLIJ,O,X,O,O,X
TZSOLJI,O,X,X,O,O
TZSOJIL,X,X,X,O,O
TZSOJLI,X,X,X,O,O
TZOILJS,O,O,X,X,X
TZOILSJ,O,X,O,X,X
TZOIJLS,X,O,X,X,X
TZOIJSL,X,X,O,X,O
TZOISLJ,X,X,O,O,X
TZOISJL,X,X,O,O,O
TZOLIJS,O,O,X,X,X
TZOLISJ,O,X,X,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,X,X,X,O
TZOLSIJ,O,X,X,O,X
TZOLSJI,O,X,X,O,O
TZOJILS,X,O,X,X,X
TZOJISL,X,X,X,X,O
TZOJLIS,X,O,X,X,X
TZOJLSI,X,X,X,X,O
TZOJSIL,X,X,X,O,O
TZOJSLI,X,X,X,O,O
TZOSILJ,O,X,O,O,X
TZOSIJL,X,X,O,O,O
TZOSLIJ,O,X,O,O,X
TZOSLJI,O,X,X,O,O
TZOSJIL,X,X,X,O,O
TZOSJLI,X,X,X,O,O
TOILJSZ,X,O,X,X,X
TOILJZS,X,O,X,X,X
TOILSJZ,X,O,O,X,X
TOILSZJ,O,X,O,X,X
TOILZJS,O,O,X,X,X
TOILZSJ,O,X,O,X,X
TOIJLSZ,X,O,X,X,X
TOIJLZS,X,O,X,X,X
TOIJSLZ,X,O,O,X,X
TOIJSZL,X,X,O,X,X
TOIJZLS,X,O,X,X,X
TOIJZSL,X,X,O,X,O
TOISLJZ,X,O,O,X,X
TOISLZJ,O,X,O,O,X
TOISJLZ,X,O,O,X,X
TOISJZL,X,X,O,O,X
TOISZLJ,X,X,O,O,X
TOISZJL,X,X,O,O,X
TOIZLJS,X,O,X,X,X
TOIZLSJ,X,X,O,X,X
TOIZJLS,X,O,X,X,X
TOIZJSL,X,X,O,X,O
TOIZSLJ,X,X,O,O,X
TOIZSJL,X,X,O,O,O
TOLIJSZ,X,O,X,X,X
TOLIJZS,X,O,X,X,X
TOLISJZ,X,O,O,X,X
TOLISZJ,O,X,O,X,X
TOLIZJS,O,O,X,X,X
TOLIZSJ,O,X,O,X,X
TOLJISZ,X,O,X,X,X
TOLJIZS,X,O,X,X,X
TOLJSIZ,X,O,X,X,X
TOLJSZI,O,X,X,X,X
TOLJZIS,O,O,X,X,X
TOLJZSI,O,X,X,X,O
TOLSIJZ,X,O,O,X,X
TOLSIZJ,O,X,O,X,X
TOLSJIZ,X,O,O,X,X
TOLSJZI,O,X,X,X,X
TOLSZIJ,O,X,O,X,X
TOLSZJI,O,X,X,X,X
TOLZIJS,O,O,X,X,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,O,X,X,X
TOLZJSI,O,X,X,X,O
TOLZSIJ,O,X,X,X,X
TOLZSJI,O,X,X,X,O
TOJILSZ,X,O,X,X,X
TOJILZS,X,O,X,X,X
TOJISLZ,X,O,O,X,X
TOJISZL,X,X,O,X,X
TOJIZLS,X,O,X,X,X
TOJIZSL,X,X,O,X,O
TOJLISZ,X,O,X,X,X
TOJLIZS,X,O,X,X,X
TOJLSIZ,X,O,X,X,X
TOJLSZI,O,X,X,X,X
TOJLZIS,O,O,X,X,X
TOJLZSI,O,X,X,X,O
TOJSILZ,X,O,O,X,X
TOJSIZL,X,X,O,X,X
TOJSLIZ,X,O,O,X,X
TOJSLZI,O,X,X,X,X
TOJSZIL,X,X,X,X,O
TOJSZLI,X,X,X,X,O
TOJZILS,X,O,X,X,X
TOJZISL,X,X,X,X,O
TOJZLIS,X,O,X,X,X
TOJZLSI,X,X,X,X,O
TOJZSIL,X,X,X,X,O
TOJZSLI,X,X,X,X,O
TOSILJZ,X,O,O,X,X
TOSILZJ,O,X,O,O,X
TOSIJLZ,X,O,O,X,X
TOSIJZL,X,X,O,O,X
TOSIZLJ,X,X,O,O,X
TOSIZJL,X,X,O,O,X
TOSLIJZ,X,O,O,X,X
TOSLIZJ,O,X,O,O,X
TOSLJIZ,X,O,O,X,X
TOSLJZI,O,X,X,X,X
TOSLZIJ,O,X,O,O,X
TOSLZJI,O,X,X,O,X
TOSJILZ,X,O,O,X,X
TOSJIZL,X,X,O,O,X
TOSJLIZ,X,O,O,X,X
TOSJLZI,O,X,X,X,X
TOSJZIL,X,X,X,O,O
TOSJZLI,X,X,X,O,O
TOSZILJ,O,X,O,O,X
TOSZIJL,X,X,O,O,O
TOSZLIJ,O,X,O,O,X
TOSZLJI,O,X,X,O,O
TOSZJIL,X,X,X,O,O
TOSZJLI,X,X,X,O,O
TOZILJS,O,O,X,X,X
TOZILSJ,O,X,O,X,X
TOZIJLS,X,O,X,X,X
TOZIJSL,X,X,O,X,O
TOZISLJ,X,X,O,O,X
TOZISJL,X,X,O,O,O
TOZLIJS,O,O,X,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,O,X,X,X
TOZLJSI,O,X,X,X,O
TOZLSIJ,O,X,X,O,X
TOZLSJI,O,X,X,O,O
TOZJILS,X,O,X,X,X
TOZJISL,X,X,X,X,O
TOZJLIS,X,O,X,X,X
TOZJLSI,X,X,X,X,O
TOZJSIL,X,X,X,O,O
TOZJSLI,X,X,X,O,O
TOZSILJ,O,X,O,O,X
TOZSIJL,X,X,O,O,O
TOZSLIJ,O,X,O,O,X
TOZSLJI,O,X,X,O,O
TOZSJIL,X,X,X,O,O
TOZSJLI,X,X,X,O,O
ITLJSZO,X,O,X,X,X
ITLJSOZ,X,O,X,X,X
ITLJZSO,X,O,X,X,X
ITLJZOS,X,O,X,X,X
ITLJOSZ,X,O,X,X,X
ITLJOZS,X,O,X,X,X
ITLSJZO,X,O,O,X,X
ITLSJOZ,X,O,O,X,X
ITLSZJO,O,X,O,X,X
ITLSZOJ,O,X,O,X,X
ITLSOJZ,X,O,O,X,X
ITLSOZJ,O,X,O,X,X
ITLZJSO,X,O,X,X,X
ITLZJOS,O,O,X,X,X
ITLZSJO,O,X,O,X,X
ITLZSOJ,O,X,O,X,X
ITLZOJS,O,O,X,X,X
ITLZOSJ,O,X,O,X,X
ITLOJSZ,X,O,X,X,X
ITLOJZS,X,O,X,X,X
ITLOSJZ,X,O,O,X,X
ITLOSZJ,O,X,O,X,X
ITLOZJS,O,O,X,X,X
ITLOZSJ,O,X,O,X,X
ITJLSZO,X,O,X,X,X
ITJLSOZ,X,O,X,X,X
ITJLZSO,X,O,X,X,X
ITJLZOS,X,O,X,X,X
ITJLOSZ,X,O,X,X,X
ITJLOZS,X,O,X,X,X
ITJSLZO,X,O,O,X,X
