sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
TZSIJLO,O,O,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X
TZSLIOJ,O,O,X,O,X,X,X
TZSLJIO,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,X,X,X
TZSLOIJ,O,O,X,O,X,X,X
TZSLOJI,O,O,X,O,X,X,X
TZSJILO,O,O,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X
TZSJOIL,O,O,X,X,X,X,O
TZSJOLI,O,O,O,X,X,X,O
TZSOILJ,O,O,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,X,X,X
TZSOLJI,O,O,O,O,X,X,X
TZSOJIL,O,O,X,X,X,X,O
TZSOJLI,O,O,O,X,X,X,O
TZOILJS,O,O,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X
TZOIJLS,O,O,X,X,X,O,X
TZOIJSL,O,O,X,X,X,O,X
TZOISLJ,O,O,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X
TZOLIJS,O,O,O,O,O,X,X
TZOLISJ,O,O,O,O,X,X,X
TZOLJIS,O,O,O,O,O,X,X
TZOLJSI,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,X,X,X
TZOJILS,O,O,X,X,X,O,O
TZOJISL,O,O,X,X,X,O,O
TZOJLIS,O,O,O,X,O,X,O
TZOJLSI,O,O,O,X,X,X,O
TZOJSIL,O,O,X,X,X,X,O
TZOJSLI,O,O,O,X,X,X,O
TZOSILJ,O,O,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,O,X,X,X
TZOSLJI,O,O,O,O,X,X,X
TZOSJIL,O,O,X,X,X,X,O
TZOSJLI,O,O,O,X,X,X,O
TOILJSZ,X,X,X,O,O,O,X
TOILJZS,X,X,X,O,O,O,X
TOILSJZ,X,X,X,O,O,X,X
TOILSZJ,X,X,X,O,X,X,X
TOILZJS,X,X,X,O,O,X,X
TOILZSJ,X,X,X,O,X,X,X
TOIJLSZ,X,X,X,X,O,O,X
TOIJLZS,X,X,X,X,O,O,X
TOIJSLZ,X,X,X,X,X,O,X
TOIJSZL,X,X,X,X,X,O,X
TOIJZLS,X,X,X,X,X,O,X
TOIJZSL,X,X,X,X,X,O,X
TOISLJZ,X,X,X,O,X,X,X
TOISLZJ,X,X,X,O,X,X,X
TOISJLZ,X,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,O,X
TOISZLJ,O,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,O,X
TOIZJSL,O,X,X,X,X,O,X
TOIZSLJ,O,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X
TOLIJSZ,X,X,O,O,O,O,X
TOLIJZS,X,X,O,O,O,O,X
TOLISJZ,X,X,O,O,O,X,X
TOLISZJ,X,X,O,O,X,X,X
TOLIZJS,X,X,O,O,O,X,X
TOLIZSJ,X,X,O,O,X,X,X
TOLJISZ,X,X,O,O,O,O,X
TOLJIZS,X,X,O,O,O,O,X
TOLJSIZ,X,X,O,O,O,X,X
TOLJSZI,X,X,O,O,X,X,X
TOLJZIS,X,X,O,O,O,X,X
TOLJZSI,X,X,O,O,X,X,X
TOLSIJZ,X,X,O,O,O,X,X
TOLSIZJ,X,X,O,O,X,X,X
TOLSJIZ,X,X,O,O,O,X,X
TOLSJZI,X,X,O,O,X,X,X
TOLSZIJ,X,X,O,O,X,X,X
TOLSZJI,X,X,O,O,X,X,X
TOLZIJS,X,X,O,O,O,X,X
TOLZISJ,X,X,O,O,X,X,X
TOLZJIS,X,X,O,O,O,X,X
TOLZJSI,X,X,O,O,X,X,X
TOLZSIJ,X,X,O,O,X,X,X
TOLZSJI,X,X,O,O,X,X,X
TOJILSZ,X,X,X,X,O,O,X
TOJILZS,X,X,X,X,O,O,X
TOJISLZ,X,X,X,X,X,O,X
TOJISZL,X,X,X,X,X,O,X
TOJIZLS,X,X,X,X,X,O,X
TOJIZSL,X,X,X,X,X,O,X
TOJLISZ,X,X,O,O,O,O,X
TOJLIZS,X,X,O,O,O,O,X
TOJLSIZ,X,X,O,O,O,X,X
TOJLSZI,X,X,O,O,X,X,X
TOJLZIS,X,X,O,O,O,X,X
TOJLZSI,X,X,O,O,X,X,X
TOJSILZ,X,X,X,X,X,O,X
TOJSIZL,X,X,X,X,X,O,X
TOJSLIZ,X,X,O,O,O,X,X
TOJSLZI,X,X,O,O,X,X,X
TOJSZIL,X,X,X,X,X,X,O
TOJSZLI,X,X,O,X,X,X,O
TOJZILS,X,X,X,X,X,O,O
TOJZISL,X,X,X,X,X,O,O
TOJZLIS,X,X,O,X,O,X,O
TOJZLSI,X,X,O,X,X,X,O
TOJZSIL,X,X,X,X,X,X,O
TOJZSLI,X,X,O,X,X,X,O
TOSILJZ,X,X,X,O,X,X,X
TOSILZJ,X,X,X,O,X,X,X
TOSIJLZ,X,X,X,X,X,O,X
TOSIJZL,O,X,X,X,X,O,X
TOSIZLJ,O,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X
TOSLIJZ,X,X,O,O,O,X,X
TOSLIZJ,X,X,O,O,X,X,X
TOSLJIZ,X,X,O,O,O,X,X
TOSLJZI,X,X,O,O,X,X,X
TOSLZIJ,X,X,O,O,X,X,X
TOSLZJI,X,X,O,O,X,X,X
TOSJILZ,X,X,X,X,X,O,X
TOSJIZL,O,X,X,X,X,O,X
TOSJLIZ,X,X,O,O,O,X,X
TOSJLZI,X,X,O,O,X,X,X
TOSJZIL,O,X,X,X,X,X,O
TOSJZLI,O,X,O,X,X,X,O
TOSZILJ,O,X,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X,X
TOSZLIJ,O,X,O,O,X,X,X
TOSZLJI,O,X,O,O,X,X,X
TOSZJIL,O,X,X,X,X,X,O
TOSZJLI,O,X,O,X,X,X,O
TOZILJS,O,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X
TOZIJLS,O,X,X,X,X,O,X
TOZIJSL,O,X,X,X,X,O,X
TOZISLJ,O,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X
TOZLIJS,O,X,O,O,O,X,X
TOZLISJ,O,X,O,O,X,X,X
TOZLJIS,O,X,O,O,O,X,X
TOZLJSI,O,X,O,O,X,X,X
TOZLSIJ,O,X,O,O,X,X,X
TOZLSJI,O,X,O,O,X,X,X
TOZJILS,O,X,X,X,X,O,O
TOZJISL,O,X,X,X,X,O,O
TOZJLIS,O,X,O,X,O,X,O
TOZJLSI,O,X,O,X,X,X,O
TOZJSIL,O,X,X,X,X,X,O
TOZJSLI,O,X,O,X,X,X,O
TOZSILJ,O,X,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X,X
TOZSLIJ,O,X,O,O,X,X,X
TOZSLJI,O,X,O,O,X,X,X
TOZSJIL,O,X,X,X,X,X,O
TOZSJLI,O,X,O,X,X,X,O
ITLJSZO,X,X,X,O,O,X,X
ITLJSOZ,X,X,X,O,O,X,X
ITLJZSO,X,X,X,O,O,X,X
ITLJZOS,X,X,X,O,O,X,X
ITLJOSZ,X,X,X,O,O,O,X
ITLJOZS,X,X,X,O,O,O,X
ITLSJZO,O,O,X,O,O,X,X
ITLSJOZ,X,X,X,O,O,X,X
ITLSZJO,O,O,X,O,X,X,X
ITLSZOJ,O,O,X,O,X,X,X
ITLSOJZ,X,X,X,O,O,X,X
ITLSOZJ,X,X,X,O,X,X,X
ITLZJSO,O,O,X,O,O,X,X
ITLZJOS,O,O,X,O,O,X,X
ITLZSJO,O,O,X,O,X,X,X
ITLZSOJ,O,O,X,O,X,X,X
ITLZOJS,O,O,X,O,O,X,X
ITLZOSJ,O,O,X,O,X,X,X
ITLOJSZ,X,X,X,O,O,O,X
ITLOJZS,X,X,X,O,O,O,X
ITLOSJZ,X,X,X,O,O,X,X
ITLOSZJ,X,X,X,O,X,X,X
ITLOZJS,X,X,X,O,O,X,X
ITLOZSJ,X,X,X,O,X,X,X
ITJLSZO,X,X,X,X,O,X,X
ITJLSOZ,X,X,X,X,O,X,X
ITJLZSO,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,O,X,X
ITJLOSZ,X,X,X,X,O,O,X
ITJLOZS,X,X,X,X,O,O,X
ITJSLZO,O,X,X,X,O,X,X
ITJSLOZ,X,X,X,X,O,X,X
ITJSZLO,O,X,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,O,X
ITJSOZL,O,X,X,X,X,O,X
ITJZLSO,O,X,X,X,O,X,X
ITJZLOS,O,X,X,X,O,X,X
ITJZSLO,O,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X,X
ITJZOLS,O,X,X,X,X,O,X
ITJZOSL,O,X,X,X,X,O,X
ITJOLSZ,X,X,X,X,O,O,X
ITJOLZS,X,X,X,X,O,O,X
ITJOSLZ,X,X,X,X,X,O,X
ITJOSZL,X,X,X,X,X,O,X
ITJOZLS,X,X,X,X,X,O,X
ITJOZSL,X,X,X,X,X,O,X
ITSLJZO,O,O,X,O,O,X,X
ITSLJOZ,X,X,X,O,O,X,X
ITSLZJO,O,O,X,O,X,X,X
ITSLZOJ,O,O,X,O,X,X,X
ITSLOJZ,X,X,X,O,O,X,X
ITSLOZJ,X,X,X,O,X,X,X
ITSJLZO,O,O,X,X,O,X,X
ITSJLOZ,X,X,X,X,O,X,X
ITSJZLO,O,X,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,O,X
ITSJOZL,O,X,X,X,X,O,X
ITSZLJO,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X
ITSZOJL,O,O,X,X,X,X,X
ITSOLJZ,X,X,X,O,X,X,X
ITSOLZJ,X,X,X,O,X,X,X
ITSOJLZ,X,X,X,X,X,O,X
ITSOJZL,O,X,X,X,X,O,X
ITSOZLJ,O,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,O,X,X
ITZLJOS,O,O,X,X,O,X,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,X
ITZLOSJ,O,O,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,X
ITZJLOS,O,O,X,X,O,X,X
ITZJSLO,O,O,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X
ITZJOLS,O,O,X,X,X,O,X
ITZJOSL,O,O,X,X,X,O,X
ITZSLJO,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,X
ITZOJLS,O,O,X,X,X,O,X
ITZOJSL,O,O,X,X,X,O,X
ITZOSLJ,O,O,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,O,X
ITOLJZS,X,X,X,O,O,O,X
ITOLSJZ,X,X,X,O,O,X,X
ITOLSZJ,X,X,X,O,X,X,X
ITOLZJS,X,X,X,O,O,X,X
ITOLZSJ,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,X,O,O,X
ITOJLZS,X,X,X,X,O,O,X
ITOJSLZ,X,X,X,X,X,O,X
ITOJSZL,X,X,X,X,X,O,X
ITOJZLS,X,X,X,X,X,O,X
ITOJZSL,X,X,X,X,X,O,X
ITOSLJZ,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,O,X,X,X
ITOSJLZ,X,X,X,X,X,O,X
ITOSJZL,O,X,X,X,X,O,X
ITOSZLJ,O,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,O,X
ITOZJSL,O,X,X,X,X,O,X
ITOZSLJ,O,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X
ILTJSZO,X,X,O,O,O,X,X
ILTJSOZ,X,X,X,O,O,X,X
ILTJZSO,X,X,O,O,O,X,X
ILTJZOS,X,X,X,O,O,X,X
ILTJOSZ,X,X,X,O,O,O,X
ILTJOZS,X,X,X,O,O,O,X
ILTSJZO,O,O,O,O,O,X,X
ILTSJOZ,X,X,X,O,O,X,X
ILTSZJO,O,O,O,O,X,X,X
ILTSZOJ,O,O,X,O,X,X,X
ILTSOJZ,X,X,X,O,O,X,X
ILTSOZJ,X,X,X,O,X,X,X
ILTZJSO,O,O,O,O,O,X,X
ILTZJOS,O,O,X,O,O,X,X
ILTZSJO,O,O,O,O,X,X,X
ILTZSOJ,O,O,X,O,X,X,X
ILTZOJS,O,O,X,O,O,X,X
ILTZOSJ,O,O,X,O,X,X,X
ILTOJSZ,X,X,X,O,O,O,X
ILTOJZS,X,X,X,O,O,O,X
ILTOSJZ,X,X,X,O,O,X,X
ILTOSZJ,X,X,X,O,X,X,X
ILTOZJS,X,X,X,O,O,X,X
ILTOZSJ,X,X,X,O,X,X,X
ILJTSZO,X,X,O,O,O,X,X
ILJTSOZ,X,X,X,O,O,X,X
ILJTZSO,X,X,O,O,O,X,X
ILJTZOS,X,X,X,O,O,X,X
ILJTOSZ,X,X,X,O,O,O,X
ILJTOZS,X,X,X,O,O,O,X
ILJSTZO,X,O,O,O,O,X,X
ILJSTOZ,X,X,X,O,O,X,X
ILJSZTO,X,O,O,X,O,X,X
ILJSZOT,X,O,O,X,O,X,X
ILJSOTZ,X,X,X,O,O,X,X
ILJSOZT,X,O,O,X,O,X,X
ILJZTSO,X,O,O,X,O,X,X
ILJZTOS,X,O,X,X,O,X,X
ILJZSTO,X,O,O,X,O,X,X
ILJZSOT,X,O,O,X,O,X,X
ILJZOTS,X,O,X,X,O,X,X
ILJZOST,X,O,O,X,O,X,X
ILJOTSZ,X,X,X,O,O,O,X
ILJOTZS,X,X,X,O,O,O,X
ILJOSTZ,X,X,X,O,O,X,X
ILJOSZT,X,X,O,X,O,X,X
ILJOZTS,X,X,X,X,O,X,X
ILJOZST,X,X,O,X,O,X,X
ILSTJZO,O,O,O,O,O,X,X
ILSTJOZ,X,X,X,O,O,X,X
ILSTZJO,O,O,O,O,X,X,X
ILSTZOJ,O,O,X,O,X,X,X
ILSTOJZ,X,X,X,O,O,X,X
ILSTOZJ,X,X,X,O,X,X,X
ILSJTZO,O,O,O,O,O,X,X
ILSJTOZ,X,X,X,O,O,X,X
ILSJZTO,X,O,O,X,O,X,X
ILSJZOT,X,O,O,X,O,X,X
ILSJOTZ,X,X,X,O,O,X,X
ILSJOZT,X,O,O,X,O,X,X
ILSZTJO,O,O,O,O,X,X,X
ILSZTOJ,O,O,X,O,X,X,X
ILSZJTO,O,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X
ILSZOTJ,O,O,X,O,X,X,X
ILSZOJT,O,O,O,X,X,X,X
ILSOTJZ,X,X,X,O,O,X,X
ILSOTZJ,X,X,X,O,X,X,X
ILSOJTZ,X,X,X,O,O,X,X
ILSOJZT,X,O,O,X,O,X,X
ILSOZTJ,X,O,X,O,X,X,X
ILSOZJT,X,O,O,X,X,X,X
ILZTJSO,O,O,O,O,O,X,X
ILZTJOS,O,O,X,O,O,X,X
ILZTSJO,O,O,O,O,X,X,X
ILZTSOJ,O,O,X,O,X,X,X
ILZTOJS,O,O,X,O,O,X,X
ILZTOSJ,O,O,X,O,X,X,X
ILZJTSO,O,O,O,X,O,X,X
ILZJTOS,O,O,X,X,O,X,X
ILZJSTO,O,O,O,X,O,X,X
ILZJSOT,O,O,O,X,O,X,X
ILZJOTS,O,O,X,X,O,X,X
ILZJOST,O,O,O,X,O,X,X
ILZSTJO,O,O,O,O,X,X,X
ILZSTOJ,O,O,X,O,X,X,X
ILZSJTO,O,O,O,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X
ILZSOTJ,O,O,X,O,X,X,X
ILZSOJT,O,O,O,X,X,X,X
ILZOTJS,O,O,X,O,O,X,X
ILZOTSJ,O,O,X,O,X,X,X
ILZOJTS,O,O,X,X,O,X,X
ILZOJST,O,O,O,X,O,X,X
ILZOSTJ,O,O,X,O,X,X,X
ILZOSJT,O,O,O,X,X,X,X
ILOTJSZ,X,X,X,O,O,O,X
ILOTJZS,X,X,X,O,O,O,X
ILOTSJZ,X,X,X,O,O,X,X
ILOTSZJ,X,X,X,O,X,X,X
ILOTZJS,X,X,X,O,O,X,X
ILOTZSJ,X,X,X,O,X,X,X
ILOJTSZ,X,X,X,O,O,O,X
ILOJTZS,X,X,X,O,O,O,X
ILOJSTZ,X,X,X,O,O,X,X
ILOJSZT,X,X,O,X,O,X,X
ILOJZTS,X,X,X,X,O,X,X
ILOJZST,X,X,O,X,O,X,X
ILOSTJZ,X,X,X,O,O,X,X
ILOSTZJ,X,X,X,O,X,X,X
ILOSJTZ,X,X,X,O,O,X,X
ILOSJZT,X,O,O,X,O,X,X
ILOSZTJ,X,O,X,O,X,X,X
ILOSZJT,X,O,O,X,X,X,X
ILOZTJS,X,O,X,O,O,X,X
ILOZTSJ,X,O,X,O,X,X,X
ILOZJTS,X,O,X,X,O,X,X
ILOZJST,X,O,O,X,O,X,X
ILOZSTJ,X,O,X,O,X,X,X
ILOZSJT,X,O,O,X,X,X,X
IJTLSZO,X,X,X,X,O,X,X
IJTLSOZ,X,X,X,X,O,X,X
IJTLZSO,X,X,X,X,O,X,X
IJTLZOS,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,O,O,X
IJTLOZS,X,X,X,X,O,O,X
IJTSLZO,O,X,X,X,O,X,X
IJTSLOZ,X,X,X,X,O,X,X
IJTSZLO,O,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,O,X
IJTSOZL,O,X,X,X,X,O,X
IJTZLSO,O,X,X,X,O,X,X
IJTZLOS,O,X,X,X,O,X,X
IJTZSLO,O,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X,X
IJTZOLS,O,X,X,X,X,O,X
IJTZOSL,O,X,X,X,X,O,X
IJTOLSZ,X,X,X,X,O,O,X
IJTOLZS,X,X,X,X,O,O,X
IJTOSLZ,X,X,X,X,X,O,X
IJTOSZL,X,X,X,X,X,O,X
IJTOZLS,X,X,X,X,X,O,X
IJTOZSL,X,X,X,X,X,O,X
IJLTSZO,X,X,O,X,O,X,X
IJLTSOZ,X,X,X,X,O,X,X
IJLTZSO,X,X,O,X,O,X,X
IJLTZOS,X,X,X,X,O,X,X
IJLTOSZ,X,X,X,X,O,O,X
IJLTOZS,X,X,X,X,O,O,X
IJLSTZO,X,O,O,X,O,X,X
IJLSTOZ,X,X,X,X,O,X,X
IJLSZTO,X,O,O,X,O,X,X
IJLSZOT,X,O,O,X,O,X,X
IJLSOTZ,X,X,X,X,O,X,X
IJLSOZT,X,O,O,X,O,X,X
IJLZTSO,X,O,O,X,O,X,X
IJLZTOS,X,O,X,X,O,X,X
IJLZSTO,X,O,O,X,O,X,X
IJLZSOT,X,O,O,X,O,X,X
IJLZOTS,X,O,X,X,O,X,X
IJLZOST,X,O,O,X,O,X,X
IJLOTSZ,X,X,X,X,O,O,X
IJLOTZS,X,X,X,X,O,O,X
IJLOSTZ,X,X,X,X,O,X,X
IJLOSZT,X,X,O,X,O,X,X
IJLOZTS,X,X,X,X,O,X,X
IJLOZST,X,X,O,X,O,X,X
IJSTLZO,O,O,X,X,O,X,X
IJSTLOZ,X,X,X,X,O,X,X
IJSTZLO,O,X,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,O,X
IJSTOZL,O,X,X,X,X,O,X
IJSLTZO,O,O,O,X,O,X,X
IJSLTOZ,X,X,X,X,O,X,X
IJSLZTO,X,O,O,X,O,X,X
IJSLZOT,X,O,O,X,O,X,X
IJSLOTZ,X,X,X,X,O,X,X
IJSLOZT,X,O,O,X,O,X,X
IJSZTLO,O,O,X,X,X,X,X
IJSZTOL,O,O,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X
IJSZOTL,O,O,X,X,X,X,O
IJSZOLT,O,O,O,X,X,X,X
IJSOTLZ,X,X,X,X,X,O,X
IJSOTZL,O,X,X,X,X,O,X
IJSOLTZ,X,X,O,X,X,X,X
IJSOLZT,X,O,O,X,X,X,X
IJSOZTL,X,X,X,X,X,X,O
IJSOZLT,X,X,O,X,X,X,X
IJZTLSO,O,O,X,X,O,X,X
IJZTLOS,O,O,X,X,O,X,X
IJZTSLO,O,O,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X
IJZTOLS,O,O,X,X,X,O,X
IJZTOSL,O,O,X,X,X,O,X
IJZLTSO,O,O,O,X,O,X,X
IJZLTOS,O,O,X,X,O,X,X
IJZLSTO,O,O,O,X,O,X,X
IJZLSOT,O,O,O,X,O,X,X
IJZLOTS,O,O,X,X,O,X,X
IJZLOST,O,O,O,X,O,X,X
IJZSTLO,O,O,X,X,X,X,X
IJZSTOL,O,O,X,X,X,X,X
IJZSLTO,O,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,O,X,X,X,X,O
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,O,O,X,X,X,O,O
IJZOTSL,O,O,X,X,X,O,O
IJZOLTS,O,O,O,X,X,X,X
IJZOLST,O,O,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X,O
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,X,X,X,X,O,O,X
IJOTLZS,X,X,X,X,O,O,X
IJOTSLZ,X,X,X,X,X,O,X
IJOTSZL,X,X,X,X,X,O,X
IJOTZLS,X,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,O,X
IJOLTSZ,X,X,O,X,O,O,X
IJOLTZS,X,X,O,X,O,O,X
IJOLSTZ,X,X,O,X,O,X,X
IJOLSZT,X,X,O,X,O,X,X
IJOLZTS,X,X,O,X,O,X,X
IJOLZST,X,X,O,X,O,X,X
IJOSTLZ,X,X,X,X,X,O,X
IJOSTZL,X,X,X,X,X,O,X
IJOSLTZ,X,X,O,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X
IJOSZTL,X,X,X,X,X,X,O
IJOSZLT,X,X,O,X,X,X,X
IJOZTLS,X,X,X,X,X,O,O
IJOZTSL,X,X,X,X,X,O,O
IJOZLTS,X,X,O,X,X,X,X
IJOZLST,X,X,O,X,X,X,X
IJOZSTL,X,X,X,X,X,X,O
IJOZSLT,X,X,O,X,X,X,X
ISTLJZO,O,O,X,O,O,X,X
ISTLJOZ,X,X,X,O,O,X,X
ISTLZJO,O,O,X,O,X,X,X
ISTLZOJ,O,O,X,O,X,X,X
ISTLOJZ,X,X,X,O,O,X,X
ISTLOZJ,X,X,X,O,X,X,X
ISTJLZO,O,O,X,X,O,X,X
ISTJLOZ,X,X,X,X,O,X,X
ISTJZLO,O,X,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,X,O,X
ISTJOZL,O,X,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X
ISTZJOL,O,O,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X
ISTZOJL,O,O,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,X
ISTOLZJ,X,X,X,O,X,X,X
ISTOJLZ,X,X,X,X,X,O,X
ISTOJZL,O,X,X,X,X,O,X
ISTOZLJ,O,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X
ISLTJZO,O,O,O,O,O,X,X
ISLTJOZ,X,X,X,O,O,X,X
ISLTZJO,O,O,O,O,X,X,X
ISLTZOJ,O,O,X,O,X,X,X
ISLTOJZ,X,X,X,O,O,X,X
ISLTOZJ,X,X,X,O,X,X,X
ISLJTZO,O,O,O,O,O,X,X
ISLJTOZ,X,X,X,O,O,X,X
ISLJZTO,X,O,O,X,O,X,X
ISLJZOT,X,O,O,X,O,X,X
ISLJOTZ,X,X,X,O,O,X,X
ISLJOZT,X,O,O,X,O,X,X
ISLZTJO,O,O,O,O,X,X,X
ISLZTOJ,O,O,X,O,X,X,X
ISLZJTO,O,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X
ISLZOTJ,O,O,X,O,X,X,X
ISLZOJT,O,O,O,X,X,X,X
ISLOTJZ,X,X,X,O,O,X,X
ISLOTZJ,X,X,X,O,X,X,X
ISLOJTZ,X,X,X,O,O,X,X
ISLOJZT,X,O,O,X,O,X,X
ISLOZTJ,X,O,X,O,X,X,X
ISLOZJT,X,O,O,X,X,X,X
ISJTLZO,O,O,X,X,O,X,X
ISJTLOZ,X,X,X,X,O,X,X
ISJTZLO,O,X,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,X,O,X
ISJTOZL,O,X,X,X,X,O,X
ISJLTZO,O,O,O,X,O,X,X
ISJLTOZ,X,X,X,X,O,X,X
ISJLZTO,X,O,O,X,O,X,X
ISJLZOT,X,O,O,X,O,X,X
ISJLOTZ,X,X,X,X,O,X,X
ISJLOZT,X,O,O,X,O,X,X
ISJZTLO,O,O,X,X,X,X,X
ISJZTOL,O,O,X,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,O,X,X,X,X,O
ISJZOLT,O,O,O,X,X,X,X
ISJOTLZ,X,X,X,X,X,O,X
ISJOTZL,O,X,X,X,X,O,X
ISJOLTZ,X,X,O,X,X,X,X
ISJOLZT,X,O,O,X,X,X,X
ISJOZTL,X,X,X,X,X,X,O
ISJOZLT,X,X,O,X,X,X,X
ISZTLJO,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X
ISZTJLO,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X
ISZTOJL,O,O,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X
ISZJTLO,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X
