sequence,v115@NhA8HeB8BeA8BeH8Jei/IvhFRhBunBcoBFlBXmBTpB,v115@NhA8HeB8BeA8BeH8JeZEJvhFzfBfmBlhBunBcoBCqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFfmBlhBqnBTjBupBUqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFCgBlhBWoB8pBzqBXtB
TLSOIZJ,X,X,X,X
TLSOJIZ,X,X,O,X
TLSOJZI,X,X,X,X
TLSOZIJ,X,X,X,X
TLSOZJI,X,X,X,X
TLZIJSO,O,X,X,X
TLZIJOS,X,X,X,X
TLZISJO,X,X,X,X
TLZISOJ,X,X,X,X
TLZIOJS,X,X,X,X
TLZIOSJ,X,X,X,X
TLZJISO,O,X,X,X
TLZJIOS,X,X,X,X
TLZJSIO,O,X,X,X
TLZJSOI,X,X,X,X
TLZJOIS,X,X,X,X
TLZJOSI,X,X,X,X
TLZSIJO,O,X,X,X
TLZSIOJ,X,X,X,X
TLZSJIO,O,X,X,X
TLZSJOI,X,X,X,X
TLZSOIJ,X,X,X,X
TLZSOJI,X,X,X,X
TLZOIJS,X,X,X,X
TLZOISJ,X,X,X,X
TLZOJIS,X,X,X,X
TLZOJSI,X,X,X,X
TLZOSIJ,X,X,X,X
TLZOSJI,X,X,X,X
TLOIJSZ,X,X,O,X
TLOIJZS,X,X,X,X
TLOISJZ,X,X,O,X
TLOISZJ,X,X,X,X
TLOIZJS,X,X,X,X
TLOIZSJ,X,X,X,X
TLOJISZ,X,X,O,X
TLOJIZS,X,X,X,X
TLOJSIZ,X,X,O,X
TLOJSZI,X,X,X,X
TLOJZIS,X,X,X,X
TLOJZSI,X,X,X,X
TLOSIJZ,X,X,O,X
TLOSIZJ,X,X,X,X
TLOSJIZ,X,X,O,X
TLOSJZI,X,X,X,X
TLOSZIJ,X,X,X,X
TLOSZJI,X,X,X,X
TLOZIJS,X,X,X,X
TLOZISJ,X,X,X,X
TLOZJIS,X,X,X,X
TLOZJSI,X,X,X,X
TLOZSIJ,X,X,X,X
TLOZSJI,X,X,X,X
TJILSZO,X,X,X,X
TJILSOZ,X,X,O,X
TJILZSO,X,X,X,X
TJILZOS,X,X,X,X
TJILOSZ,X,X,O,X
TJILOZS,X,X,X,X
TJISLZO,X,X,X,X
TJISLOZ,X,X,O,X
TJISZLO,X,X,X,X
TJISZOL,X,X,X,X
TJISOLZ,X,X,X,X
TJISOZL,X,X,X,X
TJIZLSO,X,X,X,X
TJIZLOS,X,X,X,X
TJIZSLO,X,X,X,X
TJIZSOL,X,X,X,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,X,X
TJIOLSZ,X,X,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,X,X,X,X
TJIOSZL,X,X,X,X
TJIOZLS,X,X,X,O
TJIOZSL,X,X,X,X
TJLISZO,X,X,X,X
TJLISOZ,X,X,O,X
TJLIZSO,X,X,X,X
TJLIZOS,X,X,X,X
TJLIOSZ,X,X,O,X
TJLIOZS,X,X,X,X
TJLSIZO,X,X,X,X
TJLSIOZ,X,X,O,X
TJLSZIO,X,X,X,X
TJLSZOI,X,X,X,X
TJLSOIZ,X,X,O,X
TJLSOZI,X,X,X,X
TJLZISO,X,X,X,X
TJLZIOS,X,X,X,X
TJLZSIO,X,X,X,X
TJLZSOI,X,X,X,X
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,X
TJLOISZ,X,X,O,X
TJLOIZS,X,X,X,X
TJLOSIZ,X,X,O,X
TJLOSZI,X,X,X,X
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,X
TJSILZO,X,X,X,X
TJSILOZ,X,X,O,X
TJSIZLO,X,X,X,X
TJSIZOL,X,X,X,X
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,X
TJSLIZO,X,X,X,X
TJSLIOZ,X,X,O,X
TJSLZIO,X,X,X,X
TJSLZOI,X,X,X,X
TJSLOIZ,X,X,O,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,X,X
TJSZIOL,X,X,X,X
TJSZLIO,X,X,X,X
TJSZLOI,X,X,X,X
TJSZOIL,X,X,X,X
TJSZOLI,X,X,X,X
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,X
TJSOLIZ,X,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,X,X,X
TJSOZLI,X,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,X,X
TJZISOL,X,X,X,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,X,X
TJZSIOL,X,X,X,X
TJZSLIO,X,X,X,X
TJZSLOI,X,X,X,X
TJZSOIL,X,X,X,X
TJZSOLI,X,X,X,X
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,O
TJOIZSL,X,X,X,X
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,X
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,O
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,O
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,O,X
TSILZJO,O,O,X,X
TSILZOJ,X,O,X,X
TSILOJZ,X,X,O,X
TSILOZJ,X,O,X,X
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,O,X
TSIJZLO,X,X,X,X
